Signal_Source,Signal_Position,Claim_Location,Label_Location,Attack_Type
局部_小米MAX3/20230509_1841,"(2540,2940)","[""d3"", ""f6""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230509_1841,"(5915,6315)","[""a3"", ""a6""]","[""d3"", ""c4""]",forged_location
局部_小米MAX3/20230509_1848,"(2715,3115)","[""a5"", ""d4""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230509_1848,"(5153,5553)","[""d3"", ""c1""]","[""d3"", ""c4""]",forged_location
局部_小米MAX3/20230509_1848,"(8591,8991)","[""c1""]","[""d4""]",forged_location
局部_小米MAX3/20230509_1852,"(2552,2952)","[""d1"", ""d4""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230509_1852,"(5725,6125)","[""c2"", ""e5""]","[""d3"", ""c4""]",forged_location
局部_小米MAX3/20230509_1852,"(8446,8846)","[""e5""]","[""d4""]",forged_location
局部_小米MAX3/20230509_1852,"(9478,9878)","[""e6""]","[""d4""]",forged_location
局部_小米MAX3/20230513_1855,"(2460,2860)","[""c6"", ""d4""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230513_1855,"(5454,5854)","[""c5"", ""c4""]","[""d3"", ""c4""]",forged_location
局部_小米MAX3/20230513_1855,"(7989,8389)","[""f6""]","[""d4""]",forged_location
局部_小米MAX3/20230513_1855,"(9154,9554)","[""d6""]","[""d4""]",forged_location
局部_小米MAX3/20230513_1858,"(2533,2933)","[""e2"", ""b4""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230513_1858,"(8168,8568)","[""b4""]","[""d4""]",forged_location
局部_小米MAX3/20230513_1902,"(2525,2925)","[""d3"", ""e4""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230513_1902,"(5658,6058)","[""e3"", ""c4""]","[""d3"", ""c4""]",forged_location
局部_小米MAX3/20230513_1902,"(8246,8646)","[""f3""]","[""d4""]",forged_location
局部_小米MAX3/20230513_1906,"(2575,2975)","[""c4"", ""f4""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230513_1906,"(5762,6162)","[""f2"", ""f5""]","[""d3"", ""c4""]",forged_location
局部_小米MAX3/20230513_1906,"(8136,8536)","[""c3""]","[""d4""]",forged_location
局部_小米MAX3/20230513_1909,"(2472,2872)","[""d3"", ""f1""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230513_1909,"(7978,8378)","[""c1""]","[""d4""]",forged_location
局部_小米MAX3/20230513_1912,"(2427,2827)","[""b5"", ""d4""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230513_1912,"(5532,5932)","[""a6"", ""b2""]","[""d3"", ""c4""]",forged_location
局部_小米MAX3/20230513_1912,"(8003,8403)","[""b3""]","[""d4""]",forged_location
局部_小米MAX3/20230513_1915,"(2454,2854)","[""c2"", ""e5""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230513_1915,"(5020,5420)","[""a3"", ""c4""]","[""d3"", ""c4""]",forged_location
局部_小米MAX3/20230513_1922,"(2415,2815)","[""c6"", ""f1""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230513_1922,"(3923,4230)","[""d3"", ""e3""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230513_1922,"(5463,5863)","[""a1"", ""a4""]","[""d3"", ""c4""]",forged_location
局部_小米MAX3/20230513_1922,"(8073,8473)","[""e5""]","[""d4""]",forged_location
局部_小米MAX3/20230529_2029,"(2664,3064)","[""d3"", ""d1""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230529_2029,"(8533,8933)","[""d5""]","[""d4""]",forged_location
局部_小米MAX3/20230529_2029,"(9724,10100)","[""f3""]","[""d4""]",forged_location
局部_小米MAX3/20230614_2040,"(2727,3127)","[""f5"", ""c5""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230614_2040,"(6153,6490)","[""f5"", ""c4""]","[""d3"", ""c4""]",forged_location
局部_小米MAX3/20230614_2040,"(7327,7727)","[""b5""]","[""d4""]",forged_location
局部_小米MAX3/20230614_2040,"(8686,9086)","[""c6""]","[""d4""]",forged_location
局部_小米MAX3/20230614_2040,"(9964,10364)","[""d3""]","[""d4""]",forged_location
局部_小米MAX3/20230614_2044,"(2594,2994)","[""d3"", ""e3""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230614_2044,"(8378,8778)","[""c6""]","[""d4""]",forged_location
局部_小米MAX3/20230614_2051,"(484,884)","[""d6""]","[""e4""]",forged_location
局部_小米MAX3/20230614_2051,"(2697,3097)","[""b4"", ""a1""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230614_2051,"(5969,6369)","[""d5"", ""c3""]","[""d3"", ""c4""]",forged_location
局部_小米MAX3/20230614_2051,"(8588,8988)","[""e5""]","[""d4""]",forged_location
局部_小米MAX3/20230614_2051,"(9741,10141)","[""f5""]","[""d4""]",forged_location
局部_小米MAX3/20230616_2132,"(0,400)","[""f4""]","[""e4""]",forged_location
局部_小米MAX3/20230616_2132,"(2799,3199)","[""d3"", ""d3""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230616_2132,"(8807,9207)","[""d2""]","[""d4""]",forged_location
局部_小米MAX3/20230616_2136,"(508,908)","[""d1""]","[""e4""]",forged_location
局部_小米MAX3/20230616_2136,"(2723,3123)","[""b4"", ""d4""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230616_2136,"(6009,6409)","[""f1"", ""d5""]","[""d3"", ""c4""]",forged_location
局部_小米MAX3/20230616_2136,"(8655,9055)","[""a2""]","[""d4""]",forged_location
局部_小米MAX3/20230616_2136,"(9750,10150)","[""f3""]","[""d4""]",forged_location
局部_小米MAX3/20230616_2139,"(2636,3036)","[""b3"", ""e3""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230616_2139,"(5703,6103)","[""d3"", ""d6""]","[""d3"", ""c4""]",forged_location
局部_小米MAX3/20230616_2142,"(2594,2994)","[""d2"", ""f1""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230616_2142,"(5695,6095)","[""d6"", ""c4""]","[""d3"", ""c4""]",forged_location
局部_小米MAX3/20230616_2142,"(7184,7584)","[""c5"", ""b1""]","[""d3"", ""c4""]",forged_location
局部_小米MAX3/20230704_1948,"(2480,2880)","[""e5"", ""c5""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230704_1948,"(5399,5799)","[""e4"", ""c4""]","[""d3"", ""c4""]",forged_location
局部_小米MAX3/20230704_1948,"(6858,7258)","[""c6"", ""e3""]","[""d3"", ""c4""]",forged_location
局部_小米MAX3/20230704_1955,"(490,890)","[""b6""]","[""e4""]",forged_location
局部_小米MAX3/20230704_1955,"(2721,3121)","[""d3"", ""f5""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230704_1955,"(5812,6212)","[""e6"", ""d3""]","[""d3"", ""c4""]",forged_location
局部_小米MAX3/20230704_1955,"(8295,8695)","[""f5""]","[""d4""]",forged_location
局部_小米MAX3/20230704_1959,"(477,877)","[""a3""]","[""e4""]",forged_location
局部_小米MAX3/20230704_1959,"(2580,2980)","[""f6"", ""d1""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230704_1959,"(8179,8579)","[""a3""]","[""d4""]",forged_location
局部_小米MAX3/20230705_1303,"(2630,3030)","[""a2"", ""b4""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230705_1303,"(5785,6185)","[""e6"", ""e4""]","[""d3"", ""c4""]",forged_location
局部_小米MAX3/20230705_1306,"(461,861)","[""b5""]","[""e4""]",forged_location
局部_小米MAX3/20230705_1306,"(2624,3024)","[""c4"", ""d4""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230705_1306,"(8180,8580)","[""e6""]","[""d4""]",forged_location
局部_小米MAX3/20230705_1306,"(9319,9719)","[""f5""]","[""d4""]",forged_location
局部_小米MAX3/20230705_1310,"(2746,3146)","[""d3"", ""d2""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230705_1310,"(4121,4430)","[""f2"", ""a3""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230705_1310,"(5481,5881)","[""d3"", ""e5""]","[""d3"", ""c4""]",forged_location
局部_小米MAX3/20230705_1310,"(8361,8761)","[""a2""]","[""d4""]",forged_location
局部_小米MAX3/20230705_1310,"(9508,9908)","[""e4""]","[""d4""]",forged_location
局部_小米MAX3/20230706_2039,"(2618,3018)","[""f2"", ""e6""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230706_2039,"(5905,6305)","[""d3"", ""f5""]","[""d3"", ""c4""]",forged_location
局部_小米MAX3/20230706_2039,"(7002,7402)","[""a2"", ""b5""]","[""d3"", ""c4""]",forged_location
局部_小米MAX3/20230706_2039,"(8778,9178)","[""f3""]","[""d4""]",forged_location
局部_小米MAX3/20230706_2039,"(9994,10394)","[""a6""]","[""d4""]",forged_location
局部_小米MAX3/20230706_2046,"(2685,3085)","[""d1"", ""a5""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230706_2046,"(8576,8976)","[""b6""]","[""d4""]",forged_location
局部_小米MAX3/20230706_2046,"(9719,9960)","[""a4""]","[""d4""]",forged_location
局部_小米MAX3/20230706_2050,"(5630,6030)","[""a5"", ""a5""]","[""d3"", ""c4""]",forged_location
局部_小米MAX3/20230706_2050,"(8362,8762)","[""a1""]","[""d4""]",forged_location
局部_小米MAX3/20230706_2050,"(9482,9882)","[""d3""]","[""d4""]",forged_location
局部_小米MAX3/20230707_1524,"(2525,2925)","[""f4"", ""d4""]","[""d3"", ""d4""]",forged_location
局部_小米MAX3/20230707_1524,"(5526,5926)","[""d3"", ""d3""]","[""d3"", ""c4""]",forged_location
