Signal_Source,Label_Source,Signal_Position,Label_Position,Claim_Location,Label_Location,Replay_Time_Diff,Attack_Type
局部_三星S7/20230703_1721,局部_小米MAX3/20230509_1841,"(2625,2900)","(2540,2940)","[""d3"", ""d4""]","[""d3"", ""d4""]",1,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230509_1841,"(5711,6070)","(5915,6315)","[""d3"", ""c4""]","[""d3"", ""c4""]",5,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230509_1848,"(2625,2900)","(2715,3115)","[""d3"", ""d4""]","[""d3"", ""d4""]",3,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230509_1848,"(5279,5679)","(5153,5553)","[""d3"", ""c4""]","[""d3"", ""c4""]",2,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230509_1848,"(8235,8635)","(8591,8991)","[""d4""]","[""d4""]",7,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230509_1852,"(2625,2900)","(2552,2952)","[""d3"", ""d4""]","[""d3"", ""d4""]",0,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230509_1852,"(5711,6070)","(5725,6125)","[""d3"", ""c4""]","[""d3"", ""c4""]",1,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230509_1852,"(8235,8635)","(8446,8846)","[""d4""]","[""d4""]",4,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230509_1852,"(9035,9435)","(9478,9878)","[""d4""]","[""d4""]",9,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230513_1855,"(2502,2902)","(2460,2860)","[""d3"", ""d4""]","[""d3"", ""d4""]",0,replay_location
局部_三星S7/20230627_1707,局部_小米MAX3/20230513_1855,"(5532,5932)","(5454,5854)","[""d3"", ""c4""]","[""d3"", ""c4""]",1,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230513_1855,"(8235,8635)","(7989,8389)","[""d4""]","[""d4""]",5,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230513_1855,"(9035,9435)","(9154,9554)","[""d4""]","[""d4""]",3,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230513_1858,"(2625,2900)","(2533,2933)","[""d3"", ""d4""]","[""d3"", ""d4""]",1,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230513_1858,"(8235,8635)","(8168,8568)","[""d4""]","[""d4""]",1,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230513_1902,"(2625,2900)","(2525,2925)","[""d3"", ""d4""]","[""d3"", ""d4""]",1,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230513_1902,"(5711,6070)","(5658,6058)","[""d3"", ""c4""]","[""d3"", ""c4""]",0,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230513_1902,"(8235,8635)","(8246,8646)","[""d4""]","[""d4""]",0,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230513_1906,"(2625,2900)","(2575,2975)","[""d3"", ""d4""]","[""d3"", ""d4""]",0,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230513_1906,"(5711,6070)","(5762,6162)","[""d3"", ""c4""]","[""d3"", ""c4""]",2,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230513_1906,"(8235,8635)","(8136,8536)","[""d4""]","[""d4""]",2,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230513_1909,"(2502,2902)","(2472,2872)","[""d3"", ""d4""]","[""d3"", ""d4""]",0,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230513_1909,"(8235,8635)","(7978,8378)","[""d4""]","[""d4""]",5,replay_location
局部_三星S7/20230627_1707,局部_小米MAX3/20230513_1912,"(2360,2760)","(2427,2827)","[""d3"", ""d4""]","[""d3"", ""d4""]",1,replay_location
局部_三星S7/20230627_1707,局部_小米MAX3/20230513_1912,"(5532,5932)","(5532,5932)","[""d3"", ""c4""]","[""d3"", ""c4""]",0,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230513_1912,"(8235,8635)","(8003,8403)","[""d4""]","[""d4""]",5,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230513_1915,"(2502,2902)","(2454,2854)","[""d3"", ""d4""]","[""d3"", ""d4""]",0,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230513_1915,"(5279,5679)","(5020,5420)","[""d3"", ""c4""]","[""d3"", ""c4""]",5,replay_location
局部_三星S7/20230627_1707,局部_小米MAX3/20230513_1922,"(2360,2760)","(2415,2815)","[""d3"", ""d4""]","[""d3"", ""d4""]",1,replay_location
局部_三星S7/20230627_1707,局部_小米MAX3/20230513_1922,"(3480,3880)","","[""d3"", ""d4""]","[""d3"", ""d4""]",8,replay_location
局部_三星S7/20230627_1707,局部_小米MAX3/20230513_1922,"(5532,5932)","(5463,5863)","[""d3"", ""c4""]","[""d3"", ""c4""]",1,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230513_1922,"(8235,8635)","(8073,8473)","[""d4""]","[""d4""]",3,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230529_2029,"(2625,2900)","(2664,3064)","[""d3"", ""d4""]","[""d3"", ""d4""]",2,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230529_2029,"(8235,8635)","(8533,8933)","[""d4""]","[""d4""]",6,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230529_2029,"(9035,9435)","(9724,10100)","[""d4""]","[""d4""]",14,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230614_2040,"(2625,2900)","(2727,3127)","[""d3"", ""d4""]","[""d3"", ""d4""]",3,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230614_2040,"(5711,6070)","(6153,6490)","[""d3"", ""c4""]","[""d3"", ""c4""]",9,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230614_2040,"(8235,8635)","(7327,7727)","[""d4""]","[""d4""]",18,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230614_2040,"(9035,9435)","(8686,9086)","[""d4""]","[""d4""]",7,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230614_2040,"(9035,9435)","(9964,10364)","[""d4""]","[""d4""]",19,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230614_2044,"(2625,2900)","(2594,2994)","[""d3"", ""d4""]","[""d3"", ""d4""]",0,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230614_2044,"(8235,8635)","(8378,8778)","[""d4""]","[""d4""]",3,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230614_2051,"(550,950)","(484,884)","[""e4""]","[""e4""]",1,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230614_2051,"(2625,2900)","(2697,3097)","[""d3"", ""d4""]","[""d3"", ""d4""]",2,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230614_2051,"(5711,6070)","(5969,6369)","[""d3"", ""c4""]","[""d3"", ""c4""]",6,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230614_2051,"(8235,8635)","(8588,8988)","[""d4""]","[""d4""]",7,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230614_2051,"(9035,9435)","(9741,10141)","[""d4""]","[""d4""]",14,replay_location
局部_三星S7/20230627_1707,局部_小米MAX3/20230616_2132,"(265,580)","(0,400)","[""e4""]","[""e4""]",4,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230616_2132,"(2625,2900)","(2799,3199)","[""d3"", ""d4""]","[""d3"", ""d4""]",4,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230616_2132,"(9035,9435)","(8807,9207)","[""d4""]","[""d4""]",4,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230616_2136,"(550,950)","(508,908)","[""e4""]","[""e4""]",0,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230616_2136,"(2625,2900)","(2723,3123)","[""d3"", ""d4""]","[""d3"", ""d4""]",3,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230616_2136,"(5711,6070)","(6009,6409)","[""d3"", ""c4""]","[""d3"", ""c4""]",7,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230616_2136,"(9035,9435)","(8655,9055)","[""d4""]","[""d4""]",7,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230616_2136,"(9035,9435)","(9750,10150)","[""d4""]","[""d4""]",14,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230616_2139,"(2625,2900)","(2636,3036)","[""d3"", ""d4""]","[""d3"", ""d4""]",1,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230616_2139,"(5711,6070)","(5703,6103)","[""d3"", ""c4""]","[""d3"", ""c4""]",0,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230616_2142,"(2625,2900)","(2594,2994)","[""d3"", ""d4""]","[""d3"", ""d4""]",0,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230616_2142,"(5711,6070)","(5695,6095)","[""d3"", ""c4""]","[""d3"", ""c4""]",0,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230616_2142,"(8235,8635)","(7184,7584)","[""d3"", ""c4""]","[""d3"", ""c4""]",21,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230704_1948,"(2502,2902)","(2480,2880)","[""d3"", ""d4""]","[""d3"", ""d4""]",0,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230704_1948,"(5279,5679)","(5399,5799)","[""d3"", ""c4""]","[""d3"", ""c4""]",2,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230704_1948,"(5711,6070)","(6858,7258)","[""d3"", ""c4""]","[""d3"", ""c4""]",24,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230704_1955,"(550,950)","(490,890)","[""e4""]","[""e4""]",1,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230704_1955,"(2625,2900)","(2721,3121)","[""d3"", ""d4""]","[""d3"", ""d4""]",3,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230704_1955,"(5711,6070)","(5812,6212)","[""d3"", ""c4""]","[""d3"", ""c4""]",3,replay_location
