Claim_Path,Claim_Time,Claim_Trace,Label_Time,Label_Trace,Label
局部_小米MAX3/20230509_1841,224.828,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",204.877,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",0
局部_小米MAX3/20230509_1848,203.218,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",203.218,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230509_1852,241.406,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",200.923,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",0
局部_小米MAX3/20230513_1855,185.17,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",191.841,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",0
局部_小米MAX3/20230513_1858,192.626,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",192.626,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230513_1902,195.234,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",195.234,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230513_1906,191.844,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",191.844,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230513_1909,189.199,"[""c5"", ""e3"", ""d4"", ""d3"", ""c4"", ""f2"", ""e4""]",189.199,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",0
局部_小米MAX3/20230513_1912,190.133,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",190.133,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230513_1915,193.618,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",193.618,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230513_1922,222.295,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",191.524,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",0
局部_小米MAX3/20230529_2023,182.756,"[""d6"", ""e3"", ""d4"", ""d3"", ""a6"", ""d4"", ""e4""]",205.716,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",0
局部_小米MAX3/20230529_2026,205.999,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",205.999,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230529_2029,201.968,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",201.968,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230529_2033,202.395,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",202.395,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230614_2040,207.598,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",207.598,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230614_2044,200.905,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",200.905,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230614_2047,81.392,"[""e4"", ""d5"", ""d4"", ""a2"", ""c4"", ""e3"", ""e4""]",206.113,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",0
局部_小米MAX3/20230614_2051,205.535,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",205.535,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230616_2132,207.866,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",207.866,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230616_2136,206.139,"[""e4"", ""f3"", ""d4"", ""b3"", ""c4"", ""d4"", ""e4""]",206.139,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",0
局部_小米MAX3/20230616_2139,199.635,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",199.635,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230616_2142,203.652,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",203.652,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230704_1948,196.603,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",196.603,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230704_1955,197.882,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""a4"", ""e4""]",197.882,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",0
