Claim_Path,Label_Path,Claim_Time,Claim_Trace,Label_Time,Label_Trace,Attack_Type
荟聚003-0413/20250413_1934,荟聚002-0413/20250413_1923,213.226,"[""e4"", ""e3"", ""d3"", ""d4"", ""e4""]",215.36,"[""e4"", ""d4"", ""e4""]",transplant_attack
荟聚003-0413/20250413_1934,荟聚002-0413/20250413_1926,213.226,"[""e4"", ""e3"", ""d3"", ""d4"", ""e4""]",222.95,"[""e4"", ""d4"", ""e4""]",transplant_attack
荟聚003-0413/20250413_1934,荟聚002-0413/20250413_1930,213.226,"[""e4"", ""e3"", ""d3"", ""d4"", ""e4""]",220.693,"[""e4"", ""d4"", ""e4""]",transplant_attack
荟聚001-0413/20250413_1911,交叉_小米MAX3_移动卡/20230628_1436,106.3,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",297.024,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1911,交叉_小米MAX3_移动卡/20230628_1443,106.3,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",300.065,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1911,交叉_小米MAX3_移动卡/20230703_1734,106.3,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",259.999,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1915,交叉_小米MAX3_移动卡/20230703_1739,106.2,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",258.956,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1915,交叉_小米MAX3_移动卡/20230703_1744,106.2,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",253.556,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1917,交叉_小米MAX3_移动卡/20230703_1750,107.218,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",255.199,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1908,交叉_小米MAX3_移动卡/20230704_2002,107.492,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",276.89,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1913,交叉_小米MAX3_移动卡/20230704_2008,106.455,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",278.925,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1911,交叉_小米MAX3_移动卡/20230704_2013,106.3,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",280.62,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1910,交叉_小米MAX3_移动卡/20230704_2019,106.761,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",275.009,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1910,交叉_小米MAX3_移动卡/20230705_1314,106.761,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",253.25,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1915,交叉_小米MAX3_移动卡/20230705_1319,106.2,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",254.605,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1913,交叉_小米MAX3_移动卡/20230705_1324,106.455,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",258.136,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1911,交叉_小米MAX3_移动卡/20230705_1329,106.3,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",265.917,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1908,交叉_小米MAX3_移动卡/20230706_2053,107.492,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",276.245,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1915,交叉_小米MAX3_移动卡/20230706_2059,106.2,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",276.293,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1908,交叉_小米MAX3_移动卡/20230706_2104,107.492,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",265.887,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1913,交叉_小米MAX3_移动卡/20230706_2109,106.455,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",273.326,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1913,交叉_小米MAX3_移动卡/20230707_1534,106.455,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",264.741,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1913,交叉_小米MAX3_移动卡/20230707_1540,106.455,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",261.451,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1910,交叉_小米MAX3_移动卡/20230707_1545,106.761,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",262.531,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1908,交叉_小米MAX3_移动卡/20230707_1550,107.492,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",255.967,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1913,交叉_小米MAX3_移动卡/20230709_1258,106.455,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",274.319,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1915,交叉_小米MAX3_移动卡/20230709_1303,106.2,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",288.92,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1911,交叉_小米MAX3_移动卡/20230709_1309,106.3,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",275.622,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1915,交叉_小米MAX3_移动卡/20230709_1315,106.2,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",279.288,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1908,交叉_小米MAX3_移动卡/20230920_1925,107.492,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",312.816,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1917,交叉_小米MAX3_移动卡/20230920_1931,107.218,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",313.561,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1917,交叉_小米MAX3_移动卡/20230920_1937,107.218,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",309.605,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1911,交叉_小米MAX3_移动卡/20230920_1943,106.3,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",313.443,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1910,交叉_小米MAX3_移动卡/20230920_1950,106.761,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",314.36,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1911,交叉_小米MAX3_移动卡/20230920_1956,106.3,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",309.332,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1911,交叉_小米MAX3_移动卡/20230920_2002,106.3,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",309.684,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
荟聚001-0413/20250413_1908,交叉_小米MAX3_移动卡/20230920_2008,107.492,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",310.022,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack
