Attack_Name,Threshold,Total_Count,Accepted_Count,FAR
forged_location,0.77,100,8,0.08
forged_location,0.78,100,7,0.07
forged_location,0.79,100,7,0.07
forged_location,0.8,100,6,0.06
forged_location,0.81,100,6,0.06
forged_location,0.82,100,6,0.06
replay_location,0.77,100,24,0.24
replay_location,0.78,100,22,0.22
replay_location,0.79,100,22,0.22
replay_location,0.8,100,22,0.22
replay_location,0.81,100,4,0.04
replay_location,0.82,100,4,0.04
transplant_location,0.77,100,15,0.15
transplant_location,0.78,100,12,0.12
transplant_location,0.79,100,9,0.09
transplant_location,0.8,100,4,0.04
transplant_location,0.81,100,1,0.01
transplant_location,0.82,100,0,0.0
