Claim_Row_Index,File_Name,Mid_Time,Anchor_Info,Source_Anchor_Info,Signal_Source,Signal_Position,Claim_Location,Label_Location,Attack_Type,Global_Anchor_ID,Anchor_Region,Claim_Region,Topology_Match,S_topo,S_lte,S_meg,S_signal,S_location
0,20230509_1841_merged.csv,00:00:55,"(2540,2940)","(2540,2940)",局部_小米MAX3/20230509_1841,"(2540,2940)","[""d3"", ""f6""]","[""d3"", ""d4""]",forged_location,0,d4,"d3,f6",False,-1,-1.0,-1.0,-1.0,-1.0
1,20230509_1841_merged.csv,00:02:02,"(5915,6315)","(5915,6315)",局部_小米MAX3/20230509_1841,"(5915,6315)","[""a3"", ""a6""]","[""d3"", ""c4""]",forged_location,2,c4,"a3,a6",False,-1,-1.0,-1.0,-1.0,-1.0
2,20230509_1848_merged.csv,00:00:58,"(2715,3115)","(2715,3115)",局部_小米MAX3/20230509_1848,"(2715,3115)","[""a5"", ""d4""]","[""d3"", ""d4""]",forged_location,0,d4,"a5,d4",True,1,0.793236,0.828287,0.859039,0.836653
3,20230509_1848_merged.csv,00:01:47,"(5153,5553)","(5153,5553)",局部_小米MAX3/20230509_1848,"(5153,5553)","[""d3"", ""c1""]","[""d3"", ""c4""]",forged_location,18,b4,"c1,d3",False,-1,-1.0,-1.0,-1.0,-1.0
4,20230509_1848_merged.csv,00:02:56,"(8591,8991)","(8591,8991)",局部_小米MAX3/20230509_1848,"(8591,8991)","[""c1""]","[""d4""]",forged_location,4,d4,c1,False,-1,-1.0,-1.0,-1.0,-1.0
5,20230509_1852_merged.csv,00:00:55,"(2552,2952)","(2552,2952)",局部_小米MAX3/20230509_1852,"(2552,2952)","[""d1"", ""d4""]","[""d3"", ""d4""]",forged_location,0,d4,"d1,d4",True,1,0.809402,0.826951,0.863894,0.841913
6,20230509_1852_merged.csv,00:01:58,"(5725,6125)","(5725,6125)",局部_小米MAX3/20230509_1852,"(5725,6125)","[""c2"", ""e5""]","[""d3"", ""c4""]",forged_location,0,d4,"c2,e5",False,-1,-1.0,-1.0,-1.0,-1.0
7,20230509_1852_merged.csv,00:02:53,"(8446,8846)","(8446,8846)",局部_小米MAX3/20230509_1852,"(8446,8846)","[""e5""]","[""d4""]",forged_location,6,e4,e5,False,-1,-1.0,-1.0,-1.0,-1.0
8,20230509_1852_merged.csv,00:03:13,"(9478,9878)","(9478,9878)",局部_小米MAX3/20230509_1852,"(9478,9878)","[""e6""]","[""d4""]",forged_location,5,d4,e6,False,-1,-1.0,-1.0,-1.0,-1.0
9,20230513_1855_merged.csv,00:00:53,"(2460,2860)","(2460,2860)",局部_小米MAX3/20230513_1855,"(2460,2860)","[""c6"", ""d4""]","[""d3"", ""d4""]",forged_location,0,d4,"c6,d4",True,1,0.819248,0.833394,0.864791,0.846263
10,20230513_1855_merged.csv,00:01:53,"(5454,5854)","(5454,5854)",局部_小米MAX3/20230513_1855,"(5454,5854)","[""c5"", ""c4""]","[""d3"", ""c4""]",forged_location,2,c4,"c4,c5",True,1,0.729738,0.752648,0.801343,0.772414
11,20230513_1855_merged.csv,00:02:44,"(7989,8389)","(7989,8389)",局部_小米MAX3/20230513_1855,"(7989,8389)","[""f6""]","[""d4""]",forged_location,3,c4,f6,False,-1,-1.0,-1.0,-1.0,-1.0
12,20230513_1855_merged.csv,00:03:07,"(9154,9554)","(9154,9554)",局部_小米MAX3/20230513_1855,"(9154,9554)","[""d6""]","[""d4""]",forged_location,5,d4,d6,False,-1,-1.0,-1.0,-1.0,-1.0
13,20230513_1858_merged.csv,00:00:55,"(2533,2933)","(2533,2933)",局部_小米MAX3/20230513_1858,"(2533,2933)","[""e2"", ""b4""]","[""d3"", ""d4""]",forged_location,0,d4,"b4,e2",False,-1,-1.0,-1.0,-1.0,-1.0
14,20230513_1858_merged.csv,00:02:47,"(8168,8568)","(8168,8568)",局部_小米MAX3/20230513_1858,"(8168,8568)","[""b4""]","[""d4""]",forged_location,3,c4,b4,False,-1,-1.0,-1.0,-1.0,-1.0
15,20230513_1902_merged.csv,00:00:55,"(2525,2925)","(2525,2925)",局部_小米MAX3/20230513_1902,"(2525,2925)","[""d3"", ""e4""]","[""d3"", ""d4""]",forged_location,0,d4,"d3,e4",False,-1,-1.0,-1.0,-1.0,-1.0
16,20230513_1902_merged.csv,00:01:57,"(5658,6058)","(5658,6058)",局部_小米MAX3/20230513_1902,"(5658,6058)","[""e3"", ""c4""]","[""d3"", ""c4""]",forged_location,2,c4,"c4,e3",True,1,0.741482,0.769749,0.824104,0.791273
17,20230513_1902_merged.csv,00:02:49,"(8246,8646)","(8246,8646)",局部_小米MAX3/20230513_1902,"(8246,8646)","[""f3""]","[""d4""]",forged_location,4,d4,f3,False,-1,-1.0,-1.0,-1.0,-1.0
18,20230513_1906_merged.csv,00:00:55,"(2575,2975)","(2575,2975)",局部_小米MAX3/20230513_1906,"(2575,2975)","[""c4"", ""f4""]","[""d3"", ""d4""]",forged_location,0,d4,"c4,f4",False,-1,-1.0,-1.0,-1.0,-1.0
19,20230513_1906_merged.csv,00:01:59,"(5762,6162)","(5762,6162)",局部_小米MAX3/20230513_1906,"(5762,6162)","[""f2"", ""f5""]","[""d3"", ""c4""]",forged_location,2,c4,"f2,f5",False,-1,-1.0,-1.0,-1.0,-1.0
20,20230513_1906_merged.csv,00:02:47,"(8136,8536)","(8136,8536)",局部_小米MAX3/20230513_1906,"(8136,8536)","[""c3""]","[""d4""]",forged_location,4,d4,c3,False,-1,-1.0,-1.0,-1.0,-1.0
21,20230513_1909_merged.csv,00:00:53,"(2472,2872)","(2472,2872)",局部_小米MAX3/20230513_1909,"(2472,2872)","[""d3"", ""f1""]","[""d3"", ""d4""]",forged_location,0,d4,"d3,f1",False,-1,-1.0,-1.0,-1.0,-1.0
22,20230513_1909_merged.csv,00:02:43,"(7978,8378)","(7978,8378)",局部_小米MAX3/20230513_1909,"(7978,8378)","[""c1""]","[""d4""]",forged_location,3,c4,c1,False,-1,-1.0,-1.0,-1.0,-1.0
23,20230513_1912_merged.csv,00:00:53,"(2427,2827)","(2427,2827)",局部_小米MAX3/20230513_1912,"(2427,2827)","[""b5"", ""d4""]","[""d3"", ""d4""]",forged_location,0,d4,"b5,d4",True,1,0.834753,0.804279,0.853558,0.835013
24,20230513_1912_merged.csv,00:01:55,"(5532,5932)","(5532,5932)",局部_小米MAX3/20230513_1912,"(5532,5932)","[""a6"", ""b2""]","[""d3"", ""c4""]",forged_location,2,c4,"a6,b2",False,-1,-1.0,-1.0,-1.0,-1.0
