Claim_Row_Index,File_Name,Mid_Time,Anchor_Info,Source_Anchor_Info,Signal_Source,Signal_Position,Claim_Location,Label_Location,Label_Source,Label_Position,Attack_Type,Global_Anchor_ID,Anchor_Region,Claim_Region,Topology_Match,S_topo,S_lte,S_meg,S_signal,S_location
0,局部_三星S7_transplant_0001_merged.csv,00:00:00,"(0,400)","(0,400)",局部_三星S7_transplant/局部_三星S7_transplant_0001,"(0,400)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230509_1841,"(2540,2940)",transplant_location,6,e4,"d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
1,局部_三星S7_transplant_0002_merged.csv,00:00:00,"(0,400)","(0,400)",局部_三星S7_transplant/局部_三星S7_transplant_0002,"(0,400)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230509_1841,"(5915,6315)",transplant_location,12,"d4,e4","c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
2,局部_三星S7_transplant_0003_merged.csv,00:00:00,"(0,400)","(0,400)",局部_三星S7_transplant/局部_三星S7_transplant_0003,"(0,400)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230509_1848,"(2715,3115)",transplant_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
3,局部_三星S7_transplant_0004_merged.csv,00:00:00,"(0,400)","(0,400)",局部_三星S7_transplant/局部_三星S7_transplant_0004,"(0,400)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230509_1848,"(5153,5553)",transplant_location,2,c4,"c4,d3",True,1,0.771315,0.539234,0.654178,0.643122
4,局部_三星S7_transplant_0005_merged.csv,00:00:00,"(0,400)","(0,400)",局部_三星S7_transplant/局部_三星S7_transplant_0005,"(0,400)","[""d4""]","[""d4""]",局部_小米MAX3/20230509_1848,"(8591,8991)",transplant_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
5,局部_三星S7_transplant_0006_merged.csv,00:00:00,"(0,400)","(0,400)",局部_三星S7_transplant/局部_三星S7_transplant_0006,"(0,400)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230509_1852,"(2552,2952)",transplant_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
6,局部_三星S7_transplant_0007_merged.csv,00:00:00,"(0,400)","(0,400)",局部_三星S7_transplant/局部_三星S7_transplant_0007,"(0,400)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230509_1852,"(5725,6125)",transplant_location,3,c4,"c4,d3",True,1,0.759965,0.757481,0.80908,0.783777
7,局部_三星S7_transplant_0008_merged.csv,00:00:00,"(0,400)","(0,400)",局部_三星S7_transplant/局部_三星S7_transplant_0008,"(0,400)","[""d4""]","[""d4""]",局部_小米MAX3/20230509_1852,"(8446,8846)",transplant_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
8,局部_三星S7_transplant_0009_merged.csv,00:00:00,"(0,400)","(0,400)",局部_三星S7_transplant/局部_三星S7_transplant_0009,"(0,400)","[""d4""]","[""d4""]",局部_小米MAX3/20230509_1852,"(9478,9878)",transplant_location,7,"e3,e4",d4,False,-1,-1.0,-1.0,-1.0,-1.0
9,局部_三星S7_transplant_0010_merged.csv,00:00:00,"(0,400)","(0,400)",局部_三星S7_transplant/局部_三星S7_transplant_0010,"(0,400)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230513_1855,"(2460,2860)",transplant_location,11,d4,"d3,d4",True,1,0.847021,0.770245,0.833682,0.817319
