Claim_Index,Claim_Path,Output_File,Original_File,Material_File,Material_Start_Row,Material_End_Row_Exclusive,Original_Rows,Appended_Rows,Output_Rows
0,交叉_小米MAX3_电信卡/20240523_1959,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡_last\claim_000_20240523_1959_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡\20240523_1959_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\局部_小米MAX3\20230513_1906_merged.csv,5881,6681,13727,800,14527
1,交叉_小米MAX3_电信卡/20230920_2054,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡_last\claim_001_20230920_2054_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡\20230920_2054_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\局部_小米MAX3\20230529_2023_merged.csv,8751,9551,14831,800,15631
2,交叉_小米MAX3_电信卡/20230709_1324,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡_last\claim_002_20230709_1324_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡\20230709_1324_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\局部_小米MAX3\20230513_1906_merged.csv,1796,2596,13552,800,14352
3,交叉_小米MAX3_电信卡/20230920_2018,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡_last\claim_003_20230920_2018_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡\20230920_2018_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\局部_小米MAX3\20230513_1858_merged.csv,8005,8805,15497,800,16297
4,交叉_小米MAX3_电信卡/20230923_2111,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡_last\claim_004_20230923_2111_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡\20230923_2111_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\局部_小米MAX3\20230707_1531_merged.csv,1049,1849,14629,800,15429
5,交叉_小米MAX3_电信卡/20230709_1324,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡_last\claim_005_20230709_1324_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡\20230709_1324_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\局部_小米MAX3\20230616_2132_merged.csv,1612,2412,13552,800,14352
6,交叉_小米MAX3_电信卡/20230923_2048,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡_last\claim_006_20230923_2048_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡\20230923_2048_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\局部_小米MAX3\20230706_2039_merged.csv,9105,9905,14640,800,15440
7,交叉_小米MAX3_电信卡/20230920_2018,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡_last\claim_007_20230920_2018_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡\20230920_2018_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\局部_小米MAX3\20230616_2136_merged.csv,5147,5947,15497,800,16297
8,交叉_小米MAX3_电信卡/20240523_1954,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡_last\claim_008_20240523_1954_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡\20240523_1954_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\局部_小米MAX3\20230616_2139_merged.csv,1891,2691,13216,800,14016
9,交叉_小米MAX3_电信卡/20230923_2054,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡_last\claim_009_20230923_2054_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡\20230923_2054_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\局部_小米MAX3\20230513_1915_merged.csv,685,1485,14769,800,15569
10,交叉_小米MAX3_电信卡/20230923_2048,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡_last\claim_010_20230923_2048_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡\20230923_2048_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\局部_小米MAX3\20230704_1959_merged.csv,6528,7328,14640,800,15440
11,交叉_小米MAX3_电信卡/20240523_1959,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡_last\claim_011_20240523_1959_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡\20240523_1959_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\局部_小米MAX3\20230614_2047_merged.csv,2041,2841,13727,800,14527
12,交叉_小米MAX3_电信卡/20230923_2123,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡_last\claim_012_20230923_2123_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡\20230923_2123_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\局部_小米MAX3\20230529_2029_merged.csv,1389,2189,14153,800,14953
13,交叉_小米MAX3_电信卡/20230709_1340,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡_last\claim_013_20230709_1340_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡\20230709_1340_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\局部_小米MAX3\20230616_2132_merged.csv,1988,2788,13732,800,14532
14,交叉_小米MAX3_电信卡/20230923_2048,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡_last\claim_014_20230923_2048_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡\20230923_2048_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\局部_三星S7\20230704_1948_merged.csv,2503,3303,14640,800,15440
15,交叉_小米MAX3_电信卡/20230709_1334,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡_last\claim_015_20230709_1334_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡\20230709_1334_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\局部_小米MAX3\20230707_1528_merged.csv,6624,7424,13315,800,14115
16,交叉_小米MAX3_电信卡/20240523_1959,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡_last\claim_016_20240523_1959_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡\20240523_1959_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\局部_小米MAX3\20230614_2051_merged.csv,333,1133,13727,800,14527
17,交叉_小米MAX3_电信卡/20230709_1334,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡_last\claim_017_20230709_1334_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡\20230709_1334_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\局部_小米MAX3\20230706_2050_merged.csv,5688,6488,13315,800,14115
18,交叉_小米MAX3_电信卡/20230709_1324,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡_last\claim_018_20230709_1324_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡\20230709_1324_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\局部_三星S7\20230704_1948_merged.csv,8098,8898,13552,800,14352
19,交叉_小米MAX3_电信卡/20230923_2123,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡_last\claim_019_20230923_2123_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡\20230923_2123_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\局部_小米MAX3\20230704_1959_merged.csv,5764,6564,14153,800,14953
20,交叉_小米MAX3_电信卡/20230923_2111,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡_last\claim_020_20230923_2111_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\交叉_小米MAX3_电信卡\20230923_2111_merged.csv,F:\PythonProject\Twinproof\data\collectionData_02\局部_三星S7\20230703_1721_merged.csv,8042,8842,14629,800,15429
