Attack_Name,Claim_Path,Claim_Trace / Claim_Location,Matched_File,Rule_Score,Time_Check_Score,Speed_Check_Score,Continuity_Check_Score,Route_Check_Score,Actual_Duration
forged_trace,交叉_小米MAX3_移动卡/20230628_1436,"[""b6"", ""e3"", ""e4"", ""e3"", ""d3"", ""f1"", ""e4"", ""d4""]",20230628_1436_merged.csv,0.890543,0.873911,1.0,0.998991,0.642857,297.024
forged_trace,交叉_小米MAX3_移动卡/20230628_1443,"[""e4"", ""e3"", ""f5"", ""e3"", ""d3"", ""c4"", ""e4"", ""b2""]",20230628_1443_merged.csv,0.928505,1.0,1.0,0.999667,0.642857,300.065
forged_trace,交叉_小米MAX3_移动卡/20230704_2002,"[""e4"", ""f1"", ""e4"", ""e3"", ""c1"", ""d4"", ""e4"", ""d4""]",20230704_2002_merged.csv,0.914286,1.0,1.0,1.0,0.571429,276.89
forged_trace,交叉_小米MAX3_移动卡/20230704_2008,"[""e4"", ""b4"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",20230704_2008_merged.csv,0.855327,0.613473,1.0,0.999283,0.857143,278.925
forged_trace,交叉_小米MAX3_移动卡/20230704_2013,"[""e4"", ""b3"", ""a2"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",20230704_2013_merged.csv,0.905379,0.875548,1.0,0.999288,0.714286,280.62
forged_trace,交叉_小米MAX3_移动卡/20230704_2019,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""f3"", ""e4"", ""d4""]",20230704_2019_merged.csv,0.800094,0.381265,1.0,1.0,0.928571,275.009
forged_trace,交叉_小米MAX3_移动卡/20230705_1314,"[""e4"", ""e3"", ""e4"", ""e3"", ""b1"", ""d4"", ""e4"", ""d4""]",20230705_1314_merged.csv,0.942857,1.0,1.0,1.0,0.714286,253.25
forged_trace,交叉_小米MAX3_移动卡/20230705_1319,"[""e4"", ""c3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",20230705_1319_merged.csv,0.786145,0.382912,1.0,0.999215,0.857143,254.605
forged_trace,交叉_小米MAX3_移动卡/20230705_1329,"[""e4"", ""e3"", ""e4"", ""a4"", ""d3"", ""b4"", ""e4"", ""d4""]",20230705_1329_merged.csv,0.928421,1.0,1.0,0.999248,0.642857,265.917
forged_trace,交叉_小米MAX3_移动卡/20230706_2053,"[""c6"", ""f4"", ""c4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",20230706_2053_merged.csv,0.942785,1.0,1.0,0.999638,0.714286,276.245
