File_Name,S_Time
交叉_小米MAX3_移动卡/20230628_1436,0.967404
交叉_小米MAX3_移动卡/20230628_1443,1.0
交叉_小米MAX3_移动卡/20230704_2002,1.0
交叉_小米MAX3_移动卡/20230704_2008,0.891143
交叉_小米MAX3_移动卡/20230704_2013,0.966774
交叉_小米MAX3_移动卡/20230704_2019,0.758935
交叉_小米MAX3_移动卡/20230705_1314,1.0
交叉_小米MAX3_移动卡/20230705_1319,0.80646
交叉_小米MAX3_移动卡/20230705_1329,1.0
交叉_小米MAX3_移动卡/20230706_2053,1.0
交叉_小米MAX3_移动卡/20230706_2059,0.870442
交叉_小米MAX3_移动卡/20230706_2104,0.965098
交叉_小米MAX3_移动卡/20230706_2109,1.0
交叉_小米MAX3_移动卡/20230707_1534,1.0
交叉_小米MAX3_移动卡/20230707_1545,0.910612
交叉_小米MAX3_移动卡/20230709_1303,0.982666
交叉_小米MAX3_移动卡/20230709_1315,1.0
交叉_小米MAX3_移动卡/20230920_1925,1.0
交叉_小米MAX3_移动卡/20230920_1931,1.0
交叉_小米MAX3_移动卡/20230920_1937,1.0
交叉_小米MAX3_移动卡/20230920_1943,0.924695
交叉_小米MAX3_移动卡/20230920_2002,0.802001
交叉_小米MAX3_移动卡/20230920_2008,0.882308
