File_Name,S_Time
交叉_小米MAX3_电信卡/20240523_1959,0.923777
交叉_小米MAX3_电信卡/20230920_2054,0.987876
交叉_小米MAX3_电信卡/20230709_1324,0.95992
交叉_小米MAX3_电信卡/20230920_2018,0.836011
交叉_小米MAX3_电信卡/20230923_2111,0.867161
交叉_小米MAX3_电信卡/20230709_1324,0.942198
交叉_小米MAX3_电信卡/20230923_2048,0.946267
交叉_小米MAX3_电信卡/20230920_2018,0.900478
交叉_小米MAX3_电信卡/20240523_1954,0.941469
交叉_小米MAX3_电信卡/20230923_2054,0.931653
交叉_小米MAX3_电信卡/20230923_2048,0.865478
交叉_小米MAX3_电信卡/20240523_1959,0.927915
交叉_小米MAX3_电信卡/20230923_2123,0.912538
交叉_小米MAX3_电信卡/20230709_1340,0.968743
交叉_小米MAX3_电信卡/20230923_2048,0.944063
交叉_小米MAX3_电信卡/20230709_1334,0.963242
交叉_小米MAX3_电信卡/20240523_1959,0.969032
交叉_小米MAX3_电信卡/20230709_1334,0.973698
交叉_小米MAX3_电信卡/20230709_1324,0.977427
交叉_小米MAX3_电信卡/20230923_2123,0.924257
交叉_小米MAX3_电信卡/20230923_2111,0.897855
交叉_小米MAX3_电信卡/20240523_1954,0.968856
交叉_小米MAX3_电信卡/20230923_2048,0.937481
交叉_小米MAX3_电信卡/20230920_2048,0.974034
交叉_小米MAX3_电信卡/20230923_2048,0.941934
交叉_小米MAX3_电信卡/20230920_2054,0.942181
交叉_小米MAX3_电信卡/20230923_2043,0.932871
交叉_小米MAX3_电信卡/20230923_2117,0.93445
交叉_小米MAX3_电信卡/20230923_2106,0.936299
交叉_小米MAX3_电信卡/20240523_1959,0.875387
交叉_小米MAX3_电信卡/20230923_2117,0.932075
交叉_小米MAX3_电信卡/20230920_2054,0.958281
交叉_小米MAX3_电信卡/20240523_1959,0.886013
交叉_小米MAX3_电信卡/20240523_1959,0.885047
