File_Name,S_Time
局部_小米MAX3/20230509_1841,0.911261
局部_小米MAX3/20230509_1848,1.0
局部_小米MAX3/20230509_1852,0.832303
局部_小米MAX3/20230513_1855,0.965226
局部_小米MAX3/20230513_1858,1.0
局部_小米MAX3/20230513_1902,1.0
局部_小米MAX3/20230513_1906,1.0
局部_小米MAX3/20230513_1909,1.0
局部_小米MAX3/20230513_1912,1.0
局部_小米MAX3/20230513_1915,1.0
局部_小米MAX3/20230513_1922,0.861576
局部_小米MAX3/20230529_2023,0.88839
局部_小米MAX3/20230529_2026,1.0
局部_小米MAX3/20230529_2029,1.0
局部_小米MAX3/20230529_2033,1.0
局部_小米MAX3/20230614_2040,1.0
局部_小米MAX3/20230614_2044,1.0
局部_小米MAX3/20230614_2047,0.39489
局部_小米MAX3/20230614_2051,1.0
局部_小米MAX3/20230616_2132,1.0
局部_小米MAX3/20230616_2136,1.0
局部_小米MAX3/20230616_2139,1.0
局部_小米MAX3/20230616_2142,1.0
局部_小米MAX3/20230704_1948,1.0
局部_小米MAX3/20230704_1955,1.0
局部_小米MAX3/20230704_1959,1.0
局部_小米MAX3/20230705_1300,1.0
局部_小米MAX3/20230705_1303,0.939233
局部_小米MAX3/20230705_1306,1.0
局部_小米MAX3/20230705_1310,1.0
局部_小米MAX3/20230706_2039,1.0
局部_小米MAX3/20230706_2043,0.806196
局部_小米MAX3/20230706_2046,1.0
局部_小米MAX3/20230706_2050,1.0
局部_小米MAX3/20230707_1524,1.0
局部_小米MAX3/20230707_1528,1.0
局部_小米MAX3/20230707_1531,1.0
交叉_小米MAX3_移动卡/20230628_1436,1.0
交叉_小米MAX3_移动卡/20230628_1443,0.924289
交叉_小米MAX3_移动卡/20230703_1734,1.0
交叉_小米MAX3_移动卡/20230703_1739,0.822564
交叉_小米MAX3_移动卡/20230703_1744,1.0
交叉_小米MAX3_移动卡/20230703_1750,0.87161
交叉_小米MAX3_移动卡/20230704_2002,0.937036
交叉_小米MAX3_移动卡/20230704_2008,1.0
交叉_小米MAX3_移动卡/20230704_2013,1.0
交叉_小米MAX3_移动卡/20230704_2019,1.0
交叉_小米MAX3_移动卡/20230705_1314,0.81013
交叉_小米MAX3_移动卡/20230705_1319,1.0
交叉_小米MAX3_移动卡/20230705_1324,1.0
交叉_小米MAX3_移动卡/20230705_1329,1.0
交叉_小米MAX3_移动卡/20230706_2053,0.911582
交叉_小米MAX3_移动卡/20230706_2059,1.0
交叉_小米MAX3_移动卡/20230706_2104,1.0
交叉_小米MAX3_移动卡/20230706_2109,1.0
交叉_小米MAX3_移动卡/20230707_1534,1.0
交叉_小米MAX3_移动卡/20230707_1540,1.0
交叉_小米MAX3_移动卡/20230707_1545,0.853522
交叉_小米MAX3_移动卡/20230707_1550,1.0
交叉_小米MAX3_移动卡/20230709_1258,1.0
交叉_小米MAX3_移动卡/20230709_1303,0.929778
交叉_小米MAX3_移动卡/20230709_1309,1.0
交叉_小米MAX3_移动卡/20230709_1315,1.0
交叉_小米MAX3_移动卡/20230920_1925,1.0
交叉_小米MAX3_移动卡/20230920_1931,1.0
交叉_小米MAX3_移动卡/20230920_1937,0.936571
交叉_小米MAX3_移动卡/20230920_1943,1.0
交叉_小米MAX3_移动卡/20230920_1950,1.0
交叉_小米MAX3_移动卡/20230920_1956,1.0
交叉_小米MAX3_移动卡/20230920_2002,1.0
交叉_小米MAX3_移动卡/20230920_2008,1.0
