Claim_Path,Claim_Time,Claim_Trace,Label_Time,Label_Trace,Attack_Type,Matched_File_Name,Detected_Global_Node_Seq,Reachable_Global_Node_Path,Detected_Region_Candidates,Reach_Flag,S_seq,S_whole,S_topo,Topo_Decision
交叉_小米MAX3_移动卡/20230628_1436,307.032,"[""b6"", ""e3"", ""e4"", ""e3"", ""d3"", ""f1"", ""e4"", ""d4""]",297.024,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",forged_claim,20230628_1436_merged.csv,"[7, 8, 4]","[7, 8, 9, 0, 11, 4]","[[""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""], [""d4""], [""d4""]]",1,0.5,0.5,0.5,reachable_scored
交叉_小米MAX3_移动卡/20230628_1443,300.065,"[""e4"", ""e3"", ""f5"", ""e3"", ""d3"", ""c4"", ""e4"", ""b2""]",300.065,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",forged_claim,20230628_1443_merged.csv,"[8, 6, 7, 8, 3, 0]","[8, 7, 6, 7, 8, 9, 0, 1, 2, 3, 2, 1, 0]","[[""e3""], [""e3"", ""e4""], [""e4""], [""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""], [""d4""], [""c4""], [""c4""], [""c4""], [""d4""], [""d4""]]",1,0.307692,0.428571,0.368132,reachable_scored
交叉_小米MAX3_移动卡/20230704_2002,276.89,"[""e4"", ""f1"", ""e4"", ""e3"", ""c1"", ""d4"", ""e4"", ""d4""]",276.89,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",forged_claim,20230704_2002_merged.csv,"[6, 7, 8, 6, 0, 6]","[6, 7, 8, 7, 6, 7, 8, 9, 0, 9, 8, 7, 6]","[[""e4""], [""e3"", ""e4""], [""e3""], [""e3"", ""e4""], [""e4""], [""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""], [""d4"", ""e4""], [""e3""], [""e3"", ""e4""], [""e4""]]",1,0.384615,0.6,0.492308,reachable_scored
交叉_小米MAX3_移动卡/20230704_2008,312.997,"[""e4"", ""b4"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",278.925,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",forged_claim,20230704_2008_merged.csv,"[8, 6, 7, 8, 0]","[8, 7, 6, 7, 8, 9, 0]","[[""e3""], [""e3"", ""e4""], [""e4""], [""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""]]",1,0.625,0.6,0.6125,reachable_scored
交叉_小米MAX3_移动卡/20230704_2013,271.296,"[""e4"", ""b3"", ""a2"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",280.62,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",forged_claim,20230704_2013_merged.csv,"[6, 8, 9, 0]","[6, 7, 8, 9, 0]","[[""e4""], [""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""]]",1,0.5,0.5,0.5,reachable_scored
交叉_小米MAX3_移动卡/20230704_2019,208.714,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""f3"", ""e4"", ""d4""]",275.009,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",forged_claim,20230704_2019_merged.csv,"[6, 7, 8, 0]","[6, 7, 8, 9, 0]","[[""e4""], [""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""]]",1,0.625,0.6,0.6125,reachable_scored
交叉_小米MAX3_移动卡/20230705_1314,253.25,"[""e4"", ""e3"", ""e4"", ""e3"", ""b1"", ""d4"", ""e4"", ""d4""]",253.25,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",forged_claim,20230705_1314_merged.csv,"[12, 6, 8, 9, 4]","[12, 11, 0, 9, 8, 7, 6, 7, 8, 9, 0, 11, 4]","[[""d4"", ""e4""], [""d4""], [""d4""], [""d4"", ""e4""], [""e3""], [""e3"", ""e4""], [""e4""], [""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""], [""d4""], [""d4""]]",1,0.461538,0.75,0.605769,reachable_scored
交叉_小米MAX3_移动卡/20230705_1319,315.707,"[""e4"", ""c3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",254.605,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",forged_claim,20230705_1319_merged.csv,"[6, 7, 8, 0, 11]","[6, 7, 8, 9, 0, 11]","[[""e4""], [""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""], [""d4""]]",1,0.625,0.6,0.6125,reachable_scored
交叉_小米MAX3_移动卡/20230705_1329,265.917,"[""e4"", ""e3"", ""e4"", ""a4"", ""d3"", ""b4"", ""e4"", ""d4""]",265.917,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",forged_claim,20230705_1329_merged.csv,"[6, 7, 8, 9, 0]","[6, 7, 8, 9, 0]","[[""e4""], [""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""]]",1,0.5,0.5,0.5,reachable_scored
交叉_小米MAX3_移动卡/20230706_2053,276.245,"[""c6"", ""f4"", ""c4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",276.245,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",forged_claim,20230706_2053_merged.csv,"[6, 0, 8, 7, 0]","[6, 7, 8, 9, 0, 9, 8, 7, 8, 9, 0]","[[""e4""], [""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""], [""d4"", ""e4""], [""e3""], [""e3"", ""e4""], [""e3""], [""d4"", ""e4""], [""d4""]]",1,0.363636,0.428571,0.396104,reachable_scored
