Claim_Path,Claim_Time,Claim_Trace,Label_Time,Label_Trace,Attack_Type,Matched_File_Name,Detected_Global_Node_Seq,Reachable_Global_Node_Path,Detected_Region_Candidates,Reach_Flag,S_seq,S_whole,S_topo,Topo_Decision
局部_小米MAX3/20230509_1841,224.828,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",204.877,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230509_1841_merged.csv,"[8, 0, 2]","[8, 9, 0, 1, 2]","[['e3'], ['d4', 'e4'], ['d4'], ['d4'], ['c4']]",1,0.428571,0.8,0.614286,reachable_scored
局部_小米MAX3/20230509_1848,203.218,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",203.218,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230509_1848_merged.csv,"[0, 18, 34, 4]","[0, 11, 12, 31, 18, 33, 34, 35, 4]","[['d4'], ['d4'], ['d4', 'e4'], ['d3', 'd4'], ['b4'], ['c5'], ['c5'], ['c6'], ['d4']]",1,0.333333,0.375,0.354167,reachable_scored
局部_小米MAX3/20230509_1852,241.406,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",200.923,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230509_1852_merged.csv,"[0, 8, 6]","[0, 9, 8, 7, 6]","[['d4'], ['d4', 'e4'], ['e3'], ['e3', 'e4'], ['e4']]",1,0.428571,0.6,0.514286,reachable_scored
局部_小米MAX3/20230513_1855,185.17,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",191.841,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230513_1855_merged.csv,"[0, 5, 2, 4]","[0, 11, 4, 5, 4, 3, 2, 3, 4]","[['d4'], ['d4'], ['d4'], ['d4'], ['d4'], ['c4'], ['c4'], ['c4'], ['d4']]",1,0.333333,0.4,0.366667,reachable_scored
局部_小米MAX3/20230513_1858,192.626,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",192.626,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230513_1858_merged.csv,"[0, 1, 4, 3]","[0, 1, 0, 11, 4, 3]","[['d4'], ['d4'], ['d4'], ['d4'], ['d4'], ['c4']]",1,0.285714,0.4,0.342857,reachable_scored
局部_小米MAX3/20230513_1902,195.234,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",195.234,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230513_1902_merged.csv,"[0, 2, 4]","[0, 1, 2, 3, 4]","[['d4'], ['d4'], ['c4'], ['c4'], ['d4']]",1,0.428571,0.4,0.414286,reachable_scored
局部_小米MAX3/20230513_1906,191.844,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",191.844,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230513_1906_merged.csv,"[12, 0, 13, 2, 4]","[12, 11, 0, 11, 12, 31, 18, 13, 18, 31, 12, 11, 0, 1, 2, 3, 4]","[['d4', 'e4'], ['d4'], ['d4'], ['d4'], ['d4', 'e4'], ['d3', 'd4'], ['b4'], ['b3', 'b4'], ['b4'], ['d3', 'd4'], ['d4', 'e4'], ['d4'], ['d4'], ['d4'], ['c4'], ['c4'], ['d4']]",1,0.294118,0.571429,0.432773,reachable_scored
局部_小米MAX3/20230513_1909,189.199,"[""c5"", ""e3"", ""d4"", ""d3"", ""c4"", ""f2"", ""e4""]",189.199,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230513_1909_merged.csv,"[18, 0, 2, 3]","[18, 31, 12, 11, 0, 1, 2, 3]","[['b4'], ['d3', 'd4'], ['d4', 'e4'], ['d4'], ['d4'], ['d4'], ['c4'], ['c4']]",1,0.25,0.5,0.375,reachable_scored
局部_小米MAX3/20230513_1912,190.133,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",190.133,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230513_1912_merged.csv,"[7, 0, 2, 3, 3]","[7, 8, 9, 0, 1, 2, 3]","[['e3', 'e4'], ['e3'], ['d4', 'e4'], ['d4'], ['d4'], ['c4'], ['c4']]",1,0.571429,0.8,0.685714,reachable_scored
局部_小米MAX3/20230513_1915,193.618,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",193.618,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230513_1915_merged.csv,"[0, 8, 22]","[0, 9, 8, 9, 0, 11, 12, 31, 18, 13, 26, 22]","[['d4'], ['d4', 'e4'], ['e3'], ['d4', 'e4'], ['d4'], ['d4'], ['d4', 'e4'], ['d3', 'd4'], ['b4'], ['b3', 'b4'], ['c3'], ['c3', 'd3']]",1,0.416667,0.5,0.458333,reachable_scored
