Claim_Path,Claim_Time,Claim_Trace,Label_Time,Label_Trace,Attack_Type,Matched_File_Name,Detected_Global_Node_Seq,Reachable_Global_Node_Path,Detected_Region_Candidates,Reach_Flag,S_seq,S_whole,S_topo,Topo_Decision
荟聚003-0413/20250413_1934,213.226,"[""e4"", ""e3"", ""d3"", ""d4"", ""e4""]",215.36,"[""e4"", ""d4"", ""e4""]",transplant_attack,20250413_1934_merged.csv,"[4, 5]","[4, 5]","[['d4'], ['d4']]",1,0.2,0.25,0.225,reachable_scored
荟聚003-0413/20250413_1934,213.226,"[""e4"", ""e3"", ""d3"", ""d4"", ""e4""]",222.95,"[""e4"", ""d4"", ""e4""]",transplant_attack,20250413_1934_merged.csv,"[4, 5]","[4, 5]","[['d4'], ['d4']]",1,0.2,0.25,0.225,reachable_scored
荟聚003-0413/20250413_1934,213.226,"[""e4"", ""e3"", ""d3"", ""d4"", ""e4""]",220.693,"[""e4"", ""d4"", ""e4""]",transplant_attack,20250413_1934_merged.csv,"[4, 5]","[4, 5]","[['d4'], ['d4']]",1,0.2,0.25,0.225,reachable_scored
荟聚001-0413/20250413_1911,106.3,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",297.024,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack,20250413_1911_merged.csv,"[18, 8, 18]","[18, 31, 12, 11, 0, 9, 8, 9, 0, 11, 12, 31, 18]","[['b4'], ['d3', 'd4'], ['d4', 'e4'], ['d4'], ['d4'], ['d4', 'e4'], ['e3'], ['d4', 'e4'], ['d4'], ['d4'], ['d4', 'e4'], ['d3', 'd4'], ['b4']]",1,0.384615,0.6,0.492308,reachable_scored
荟聚001-0413/20250413_1911,106.3,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",300.065,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack,20250413_1911_merged.csv,"[18, 8, 18]","[18, 31, 12, 11, 0, 9, 8, 9, 0, 11, 12, 31, 18]","[['b4'], ['d3', 'd4'], ['d4', 'e4'], ['d4'], ['d4'], ['d4', 'e4'], ['e3'], ['d4', 'e4'], ['d4'], ['d4'], ['d4', 'e4'], ['d3', 'd4'], ['b4']]",1,0.384615,0.6,0.492308,reachable_scored
荟聚001-0413/20250413_1911,106.3,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",259.999,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack,20250413_1911_merged.csv,"[18, 8, 18]","[18, 31, 12, 11, 0, 9, 8, 9, 0, 11, 12, 31, 18]","[['b4'], ['d3', 'd4'], ['d4', 'e4'], ['d4'], ['d4'], ['d4', 'e4'], ['e3'], ['d4', 'e4'], ['d4'], ['d4'], ['d4', 'e4'], ['d3', 'd4'], ['b4']]",1,0.384615,0.6,0.492308,reachable_scored
荟聚001-0413/20250413_1915,106.2,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",258.956,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack,20250413_1915_merged.csv,"[33, 3, 4]","[33, 34, 35, 4, 3, 4]","[['c5'], ['c5'], ['c6'], ['d4'], ['c4'], ['d4']]",1,0.166667,0.166667,0.166667,reachable_scored
荟聚001-0413/20250413_1915,106.2,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",253.556,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack,20250413_1915_merged.csv,"[33, 3, 4]","[33, 34, 35, 4, 3, 4]","[['c5'], ['c5'], ['c6'], ['d4'], ['c4'], ['d4']]",1,0.166667,0.166667,0.166667,reachable_scored
荟聚001-0413/20250413_1917,107.218,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",255.199,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack,20250413_1917_merged.csv,"[33, 2, 4]","[33, 34, 35, 4, 3, 2, 3, 4]","[['c5'], ['c5'], ['c6'], ['d4'], ['c4'], ['c4'], ['c4'], ['d4']]",1,0.125,0.166667,0.145833,reachable_scored
荟聚001-0413/20250413_1908,107.492,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",276.89,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",transplant_attack,20250413_1908_merged.csv,[18],[18],[['b4']],1,0.0,0.0,0.0,reachable_scored
