Parking,Indoor road,Mall
308,282,304
291,304,281
289,277,280
304,268,323
271,291,278
302,279,264
300,263,314
311,249,325
297,286,322
272,286,296
296,281,280
314,294,266
336,286,308
318,281,295
281,320,294
287,287,284
321,290,293
299,305,324
298,286,295
346,284,271
316,291,269
319,278,284
325,290,306
307,309,309
293,294,310
299,292,302
289,274,282
321,271,310
307,291,275
285,285,252
305,291,297
291,284,300
293,309,252
294,288,302
276,301,274
293,248,334
324,285,277
297,302,299
319,306,270
305,303,288
327,327,305
307,280,309
310,286,281
297,298,313
304,297,283
301,285,311
287,312,324
307,304,323
291,313,293
307,259,290
286,286,285
295,299,290
293,279,317
311,308,308
282,293,299
314,278,271
302,294,285
300,294,316
310,323,299
316,280,253
316,286,329
293,305,310
296,309,301
322,253,286
273,291,314
318,290,270
319,262,299
314,291,275
317,288,304
281,283,291
314,277,289
313,311,288
306,293,329
281,287,294
318,290,269
323,283,271
283,288,318
296,268,288
320,295,309
278,283,274
292,286,283
302,296,301
281,292,318
280,332,295
260,272,274
309,320,276
274,299,275
260,278,310
286,303,297
347,296,306
335,291,304
314,301,283
297,287,293
284,290,287
290,304,324
261,307,298
303,291,322
317,298,315
288,292,264
301,297,288
277,298,270
303,306,311
271,289,315
318,277,323
273,283,286
304,295,296
275,303,262
299,288,297
316,263,305
307,329,294
318,288,320
315,302,301
289,290,293
313,314,274
309,302,300
276,281,280
315,279,277
305,290,290
309,312,315
311,299,292
296,315,268
303,292,275
298,299,300
300,309,295
287,297,286
306,241,298
284,298,312
306,283,304
296,292,314
315,306,269
303,304,274
252,307,299
309,261,276
307,294,275
285,317,252
328,315,289
310,307,282
311,243,298
290,276,290
308,288,316
302,295,275
298,269,282
291,266,265
306,313,252
273,277,289
303,320,273
317,251,262
305,283,318
298,293,287
273,295,328
279,295,316
323,258,279
300,320,288
331,318,312
327,316,286
290,299,297
295,304,330
306,245,313
330,284,276
318,285,295
310,285,277
301,292,306
272,283,305
285,301,313
282,279,281
331,308,329
353,336,306
328,327,300
334,315,324
329,321,318
325,329,306
322,344,314
337,340,320
335,310,341
314,326,358
313,334,346
348,314,314
315,331,292
325,341,338
341,328,322
334,324,337
331,317,319
346,336,315
326,327,342
342,334,325
222,238,254
226,242,258
230,246,262
234,250,266
238,254,270
242,258,274
246,262,278
250,266,282
254,270,286
258,274,290
408,375,393
398,367,374
369,363,393
399,363,436
407,401,440
