Curve,FAR,TPR,Threshold,AUC
Overall,0.0,0.0,inf,0.869575
Overall,0.0025,0.03,1.0,0.869575
Overall,0.0025,0.03166666666666667,0.998369360653631,0.869575
Overall,0.0025,0.03333333333333333,0.9973266775631621,0.869575
Overall,0.0025,0.035,0.9969672722579535,0.869575
Overall,0.0025,0.03666666666666667,0.9962469037423224,0.869575
Overall,0.0025,0.03833333333333333,0.9952519889343914,0.869575
Overall,0.0025,0.04,0.9948563823149004,0.869575
Overall,0.0025,0.041666666666666664,0.9934858315456433,0.869575
Overall,0.0025,0.043333333333333335,0.9918842456401077,0.869575
Overall,0.0025,0.045,0.9907891512315099,0.869575
Overall,0.0025,0.04666666666666667,0.9904624452742493,0.869575
Overall,0.0025,0.04833333333333333,0.989525173291956,0.869575
Overall,0.0025,0.05,0.9886046895244704,0.869575
Overall,0.0025,0.051666666666666666,0.9875310867258936,0.869575
Overall,0.0025,0.05333333333333334,0.9858086032031784,0.869575
Overall,0.0025,0.055,0.9857546272880221,0.869575
Overall,0.0025,0.056666666666666664,0.9857138375661442,0.869575
Overall,0.0025,0.058333333333333334,0.9856556106122264,0.869575
Overall,0.0025,0.06,0.9833426169309373,0.869575
Overall,0.0025,0.06166666666666667,0.9831752482432334,0.869575
Overall,0.0025,0.06333333333333334,0.9831223771552767,0.869575
Overall,0.003125,0.06333333333333334,0.9810896026227427,0.869575
Overall,0.00375,0.06333333333333334,0.9809713769928644,0.869575
Overall,0.00375,0.065,0.9798490271622557,0.869575
Overall,0.004375,0.065,0.9780590506237657,0.869575
Overall,0.004375,0.06666666666666667,0.9780266624529195,0.869575
Overall,0.005,0.06666666666666667,0.9774721529766363,0.869575
Overall,0.005,0.06833333333333333,0.9763778353600778,0.869575
Overall,0.005,0.07,0.9752689694023922,0.869575
Overall,0.005625,0.07,0.9750658042014974,0.869575
Overall,0.005625,0.07166666666666667,0.9741907615543208,0.869575
Overall,0.00625,0.07166666666666667,0.9741737272175238,0.869575
Overall,0.00625,0.07333333333333333,0.9736525941616038,0.869575
Overall,0.00625,0.075,0.9725641021092569,0.869575
Overall,0.00625,0.07666666666666666,0.9714429858485353,0.869575
Overall,0.00625,0.07833333333333334,0.9708159667348468,0.869575
Overall,0.00625,0.08,0.9706531170716178,0.869575
Overall,0.006875,0.08,0.9705705783139473,0.869575
Overall,0.006875,0.08166666666666667,0.9695567801316837,0.869575
