Method,Attack,Claim_Type,Score
Fingerprint,Replay,Genuine,0.5536069007054126
Fingerprint,Replay,Genuine,0.812871649114467
Fingerprint,Replay,Genuine,0.7503544294003219
Fingerprint,Replay,Genuine,0.8499603536304573
Fingerprint,Replay,Genuine,0.8679205087136286
Fingerprint,Replay,Genuine,0.5790022065077387
Fingerprint,Replay,Genuine,0.7003909217248189
Fingerprint,Replay,Genuine,0.8315297226170084
Fingerprint,Replay,Genuine,0.7111150041600826
Fingerprint,Replay,Genuine,0.7424063309276066
Fingerprint,Replay,Genuine,0.49715307466038483
Fingerprint,Replay,Genuine,0.6176387709752786
Fingerprint,Replay,Genuine,0.7129247053467314
Fingerprint,Replay,Genuine,0.7998051276442772
Fingerprint,Replay,Genuine,0.6731099007740649
Fingerprint,Replay,Genuine,0.6977507590190747
Fingerprint,Replay,Genuine,0.6890130845630283
Fingerprint,Replay,Genuine,0.615420115316715
Fingerprint,Replay,Genuine,0.77234029747657
Fingerprint,Replay,Genuine,0.559783177041181
Fingerprint,Replay,Genuine,0.5625148798934009
Fingerprint,Replay,Genuine,0.7491589117850825
Fingerprint,Replay,Genuine,0.5621317709228898
Fingerprint,Replay,Genuine,0.8373114472491814
Fingerprint,Replay,Genuine,0.7404462917272743
Fingerprint,Replay,Genuine,0.8635098110217664
Fingerprint,Replay,Genuine,0.8669552092759859
Fingerprint,Replay,Genuine,0.7159853937548939
Fingerprint,Replay,Genuine,0.6625460192126882
Fingerprint,Replay,Genuine,0.8463959786525553
Fingerprint,Replay,Genuine,0.7726736526852629
Fingerprint,Replay,Genuine,0.8094820528104884
Fingerprint,Replay,Genuine,0.740174974180397
Fingerprint,Replay,Genuine,0.7273348313735832
Fingerprint,Replay,Genuine,0.6362308270787761
Fingerprint,Replay,Genuine,0.6784785277495309
Fingerprint,Replay,Genuine,0.8189445772762298
Fingerprint,Replay,Genuine,0.6081457997546614
Fingerprint,Replay,Genuine,0.5476056216139233
Fingerprint,Replay,Genuine,0.9784977282972581
Fingerprint,Replay,Genuine,0.6498466106061559
Fingerprint,Replay,Genuine,0.6756762618358406
Fingerprint,Replay,Genuine,0.9373194694887145
Fingerprint,Replay,Genuine,0.5518910037747662
Fingerprint,Replay,Genuine,0.6683373634775264
Fingerprint,Replay,Genuine,0.6405578254010564
Fingerprint,Replay,Genuine,0.6086824156933899
Fingerprint,Replay,Genuine,0.5970251477493285
Fingerprint,Replay,Genuine,0.7203897369409742
Fingerprint,Replay,Genuine,0.41472074376771023
Fingerprint,Replay,Genuine,0.5948416358644528
Fingerprint,Replay,Genuine,0.6216125654603817
Fingerprint,Replay,Genuine,0.5129508886780125
Fingerprint,Replay,Genuine,0.6839770181552205
Fingerprint,Replay,Genuine,0.6803528785683189
Fingerprint,Replay,Genuine,0.6441666058502868
Fingerprint,Replay,Genuine,0.8325173743840656
Fingerprint,Replay,Genuine,0.7696543004225297
Fingerprint,Replay,Genuine,0.6446810714777835
Fingerprint,Replay,Genuine,0.6319672643735659
Fingerprint,Replay,Genuine,0.7376262796550934
Fingerprint,Replay,Genuine,0.70585851446049
Fingerprint,Replay,Genuine,0.8001873912017158
Fingerprint,Replay,Genuine,0.6821143107600983
Fingerprint,Replay,Genuine,0.6296269218837007
