伪造,重放,代理,移植,FAR,,,,,,伪造,重放,代理,移植
10.50%,15.12%,11.53%,11.04%,12.36%,,,,,指纹,7.26%,31.70%,18.26%,19.15%
7.13%,13.21%,9.50%,8.43%,10.34%,,,,,规则,12.77%,23.04%,17.61%,16.96%
6.12%,10.81%,6.47%,6.43%,7.58%,,,,,学习,9.09%,29.46%,25.27%,19.79%
4.42%,8.96%,5.43%,6.95%,6.21%,,,,,Twinproof,2.61%,7.14%,3.62%,3.13%
2.61%,7.14%,3.62%,3.13%,4.12%,,,,,,,,,
2.71%,6.33%,3.04%,2.83%,3.83%,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,消融,伪造,重放,移植,代理
,,,,,,,,,without_time,7.85%,7.94%,4.71%,4.92%
,,,,,,,,,without signal,3.92%,9.66%,7.46%,10.73%
,,,,,,,,,without_current,5.56%,18.58%,6.96%,15.01%
,,,,,,,,,without_topology,8.47%,9.16%,10.32%,8.53%
