Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
17:44:51:522,-1.6965,1.3208,8.8558,60.3346,-0.1125,0.1045,-0.1051,175.6587
17:44:51:544,-1.6965,1.3208,8.8558,57.3648,-0.1442,0.5395,-0.2224,176.0491
17:44:51:562,-1.7874,1.7252,9.8752,58.3346,-0.1442,0.5395,-0.2224,176.5547
17:44:51:580,-1.8329,1.9501,9.9518,60.1037,-0.534,-0.1019,0.1869,176.282
17:44:51:600,-1.8114,2.1272,9.7603,60.0941,-0.4557,-0.1263,0.1893,175.964
17:44:51:619,-1.7779,2.3019,9.5713,57.6848,-0.3873,-0.1251,0.2027,175.4474
17:44:51:638,-1.785,2.3761,9.4277,59.0285,-0.3336,-0.0885,0.2309,174.9578
17:44:51:660,-1.7611,2.3904,9.4349,57.6421,-0.2982,-0.0237,0.2724,174.4121
17:44:51:679,-1.7874,2.3139,9.6455,58.0039,-0.2774,0.0447,0.3176,173.8561
17:44:51:699,-1.6822,2.1416,9.8034,58.5246,-0.2566,0.0642,0.3701,173.3423
17:44:51:719,-1.5458,2.0339,9.7962,59.0106,-0.2212,-0.003,0.4092,172.8916
17:44:51:739,-1.3902,1.9119,9.4804,58.9621,-0.1687,-0.0983,0.4361,172.4359
17:44:51:761,-1.1797,1.7611,9.2219,59.7788,-0.1332,-0.1373,0.4679,172.0574
17:44:51:779,-1.0433,1.6487,9.2339,57.8335,-0.1467,-0.1263,0.4838,171.6811
17:44:51:807,-0.8829,1.6295,9.3272,59.8452,-0.1809,-0.1398,0.485,171.3724
17:44:51:820,-0.7131,1.5793,9.3224,57.4509,-0.2114,-0.1862,0.4813,171.0876
17:44:51:840,-0.5647,1.6032,9.1741,58.4541,-0.2297,-0.2546,0.4544,170.834
17:44:51:876,-0.4187,1.7779,9.1238,59.0795,-0.2529,-0.2803,0.4214,170.6036
17:44:51:883,-0.1819,1.8377,9.2578,58.964,-0.2798,-0.2436,0.3946,170.407
17:44:51:902,-0.0814,2.0004,9.5186,58.187,-0.3067,-0.2143,0.3494,170.2841
17:44:51:924,-0.0574,2.2756,9.7053,59.7187,-0.3678,-0.2827,0.2687,170.1777
17:44:51:939,-0.0526,2.7996,9.9613,59.3633,-0.4924,-0.4648,0.1869,170.112
17:44:51:961,-0.0646,2.8762,10.5021,57.447,-0.5865,-0.5784,0.1747,170.0143
17:44:51:980,0.067,2.534,10.9902,59.4464,-0.5621,-0.5857,0.2162,169.9067
17:44:52:005,0.5049,2.0028,11.1649,58.4934,-0.4228,-0.5918,0.2541,169.8661
17:44:52:020,0.9691,1.4883,11.4544,59.8894,-0.2419,-0.5283,0.2516,169.9329
17:44:52:040,1.1773,0.9906,11.3851,59.2915,-0.0599,-0.4403,0.1673,170.0668
17:44:52:080,0.8351,0.8495,10.7533,59.0696,0.149,-0.5185,-0.1369,170.7104
17:44:52:081,0.5312,0.8662,10.861,58.1604,0.1282,-0.4635,-0.2578,171.0334
17:44:52:101,0.3493,0.7155,10.8897,57.8617,0.0659,-0.4379,-0.3275,171.3764
17:44:52:121,0.4187,0.5767,10.9974,60.1905,-0.0013,-0.4599,-0.3519,171.7695
17:44:52:140,0.5336,0.4283,11.1147,58.6175,-0.0416,-0.4501,-0.3556,172.1441
17:44:52:160,0.4594,0.2823,11.2558,58.4548,-0.0648,-0.3976,-0.3702,172.5057
17:44:52:186,0.402,0.0838,11.6985,59.4722,-0.0795,-0.2375,-0.38,172.8624
17:44:52:201,0.5886,-0.2967,12.2513,59.3304,-0.0392,-0.0628,-0.3812,173.2325
17:44:52:219,0.9834,-0.5695,12.2225,59.8199,0.0793,-0.0555,-0.4252,173.7412
17:44:52:243,1.3424,-0.5671,11.4018,58.6175,0.2724,-0.2265,-0.5364,174.371
17:44:52:271,1.6128,-0.0646,10.6217,57.6307,0.4703,-0.3304,-0.7111,175.2545
17:44:52:279,1.6056,0.3876,10.148,60.8602,0.6426,-0.1044,-0.8907,176.3038
17:44:52:306,1.0241,0.0646,10.0188,59.6716,0.7635,0.311,-1.0642,177.4001
17:44:52:319,0.536,-0.2895,9.9828,59.4396,0.7488,0.377,-1.2572,178.6599
17:44:52:341,0.6245,0.0622,9.7484,59.3014,0.5778,-0.1801,-1.4539,180.1905
17:44:52:363,0.6269,0.95,8.7577,59.634,0.3921,-0.8301,-1.5932,182.0042
17:44:52:382,0.5216,1.0624,7.6905,59.9207,0.3164,-1.0439,-1.5687,183.8147
17:44:52:399,1.0337,0.7226,7.267,58.2336,0.4507,-0.8484,-1.4405,185.5011
17:44:52:419,0.5408,1.3831,6.0849,59.0348,0.772,-0.521,-1.4624,187.1328
17:44:52:442,-0.0598,2.5747,5.8983,61.1646,0.9565,-0.1141,-1.2401,188.3563
17:44:52:464,-0.012,2.5579,6.2405,58.6436,0.9578,0.3183,-0.716,188.915
17:44:52:489,0.2704,2.187,6.8602,60.68,0.9077,0.6103,-0.402,189.1125
17:44:52:501,0.4068,1.5338,7.0445,58.9184,0.8075,0.4943,-0.2884,189.431
17:44:52:519,0.8686,2.3019,6.53,59.8004,0.2956,-0.5735,-0.3238,190.0114
17:44:52:541,0.7585,2.8259,6.6879,60.125,0.0488,-0.5637,-0.4166,190.5963
17:44:52:565,0.7753,2.1799,7.1665,60.0433,-0.0453,-0.0738,-0.4386,191.0228
17:44:52:582,0.4164,2.3545,8.5137,60.0433,0.0622,0.9072,-0.5315,191.1917
17:44:52:599,-0.4427,3.0197,10.2078,61.2719,0.0977,1.4924,-0.5999,191.1582
17:44:52:619,-0.9787,3.149,10.3944,58.2371,-0.0758,1.1235,-0.5058,191.1386
17:44:52:639,-1.6152,3.74,11.744,58.2371,-0.0733,1.2505,-0.4313,190.9727
17:44:52:660,-1.7994,3.259,12.9356,58.3975,-0.0477,1.3715,-0.3311,190.6669
17:44:52:679,-1.3495,2.4646,14.5197,59.8029,-0.0245,1.2224,-0.2908,190.4642
17:44:52:699,-0.6772,1.8521,14.2253,58.3327,-0.0611,0.5358,-0.424,190.6888
