Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
20230703_17:39,"['Lte', 'Lte']","[473, 475]","[-73, -93]","[74:f8:db:6a:5a:1d, bc:9b:5e:fc:58:bf, bc:9b:5e:fc:58:c1, 68:4e:05:a5:00:a8, d4:12:43:12:47:c7, 24:14:07:07:d0:59, 00:54:af:2f:96:7b, 0e:b5:9b:17:0a:70, 7c:b5:9b:17:0a:70, 22:28:3e:14:fc:d4, 38:a9:1c:2e:95:c5, 5c:a0:00:aa:4c:ff]","[LTE-WiFi_5A1D, 芒果Mango, 芒果Mango, 360行车记录仪G300Pro-282C, HZA60-E6550E, HiDVR_07d059, Hotspot967B, 有家便利店, , iTV-3Y2r, tengye, MIFI-2315]","[-58, -66, -72, -73, -78, -79, -83, -85, -88, -90, -90, -93]"
20230703_17:39,"['Lte', 'Lte']","[473, 475]","[-79, -87]","[bc:9b:5e:fc:58:bf, 22:28:3e:14:fc:d4, 24:69:68:f0:0d:88, 20:28:3e:04:fc:d4, 38:a9:1c:2e:95:c5, 74:f8:db:6a:5a:1d, 7c:b5:9b:17:0a:70, bc:9b:5e:fc:58:c1, 0e:b5:9b:17:0a:70, 00:54:af:2f:96:7b, 1e:e1:92:db:a2:95, d4:12:43:12:47:c7, 1e:e1:92:db:a2:14, 3e:a9:1c:2e:95:c6, 38:a9:1c:2e:95:c6, dc:97:58:ce:79:3b, 70:fd:45:4a:d7:70, 70:fd:45:4a:d7:72, 44:a1:91:a5:78:31, 70:fd:45:4a:d7:71, 70:fd:45:4a:d7:73, 44:a1:91:a5:7c:c0, 04:6b:25:e6:47:f1, 70:fd:45:4a:d7:63, 82:cb:fb:c3:f8:3d, 44:a1:91:a5:79:d0, 44:a1:91:a5:79:d1, 44:a1:91:a5:79:d2, 70:fd:45:71:14:53, 44:a1:91:a5:78:32, 44:a1:91:a5:7c:c2, 44:a1:91:a5:7c:c3, 34:ac:11:62:23:f7, 44:a1:91:a5:79:d3, 70:fd:45:71:14:50, 70:fd:45:71:14:51, 70:fd:45:71:14:52, 02:b5:53:61:39:64, 44:a1:91:a5:79:c2, 44:a1:91:a5:78:33, 44:a1:91:a5:78:30, 44:a1:91:a5:79:c0, 70:fd:45:71:14:42, 68:4a:ae:9f:7e:93, e8:9a:ff:06:a5:bb, ce:29:bd:72:98:00, ce:29:bd:b0:8c:ed, 80:76:c2:83:d7:b8, cc:29:bd:02:98:01, 3c:6a:48:8f:df:e6, cc:29:bd:e0:8c:ee, ce:29:bd:f0:8c:ed, cc:29:bd:e0:8c:ed, a2:cf:f5:19:ec:7e]","[芒果Mango, iTV-3Y2r, 艾力斯特, ChinaNet-3Y2r, tengye, LTE-WiFi_5A1D, , 芒果Mango, 有家便利店, Hotspot967B, DIRECT-BMW 69735, HZA60-E6550E, DIRECT-BMW 69735, , tengye_5G, Hi- irest-Massage Chai-12GR07   , Livat WiFi, CO-001, haikang, haikang, public, Livat WiFi, ChinaNet-tfHs, public, HUAWEI_B311_F8C3, Livat WiFi, haikang, CO-001, public, CO-001, CO-001, public, 樊文花, public, Livat WiFi, haikang, CO-001, 萌宝奇贝_5G, CO-001, public, Livat WiFi, Livat WiFi, CO-001, public, DIRECT-13-Android_81d3, , , midea_ed_0775, Mastet boxing-5G, Sozo-5G, 洗脸熊-5G, , 洗脸熊, iTV-n4T7]","[-59, -63, -63, -63, -67, -68, -70, -71, -71, -71, -71, -73, -73, -73, -73, -76, -77, -77, -78, -78, -78, -79, -81, -81, -81, -81, -81, -81, -82, -82, -82, -82, -82, -82, -83, -83, -83, -83, -83, -84, -84, -86, -86, -88, -88, -89, -89, -90, -90, -90, -90, -90, -91, -93]"
20230703_17:39,"['Lte', 'Lte']","[473, 475]","[-69, -87]","[bc:9b:5e:fc:58:bf, 22:28:3e:14:fc:d4, 24:69:68:f0:0d:88, 20:28:3e:04:fc:d4, 38:a9:1c:2e:95:c5, 74:f8:db:6a:5a:1d, 7c:b5:9b:17:0a:70, bc:9b:5e:fc:58:c1, 0e:b5:9b:17:0a:70, 00:54:af:2f:96:7b, 1e:e1:92:db:a2:95, d4:12:43:12:47:c7, 1e:e1:92:db:a2:14, 3e:a9:1c:2e:95:c6, 38:a9:1c:2e:95:c6, dc:97:58:ce:79:3b, 70:fd:45:4a:d7:70, 70:fd:45:4a:d7:72, 44:a1:91:a5:78:31, 70:fd:45:4a:d7:71, 70:fd:45:4a:d7:73, 44:a1:91:a5:7c:c0, 04:6b:25:e6:47:f1, 70:fd:45:4a:d7:63, 82:cb:fb:c3:f8:3d, 44:a1:91:a5:79:d0, 44:a1:91:a5:79:d1, 44:a1:91:a5:79:d2, 70:fd:45:71:14:53, 44:a1:91:a5:78:32, 44:a1:91:a5:7c:c2, 44:a1:91:a5:7c:c3, 34:ac:11:62:23:f7, 44:a1:91:a5:79:d3, 70:fd:45:71:14:50, 70:fd:45:71:14:51, 70:fd:45:71:14:52, 02:b5:53:61:39:64, 44:a1:91:a5:79:c2, 44:a1:91:a5:78:33, 44:a1:91:a5:78:30, 44:a1:91:a5:79:c0, 70:fd:45:71:14:42, 68:4a:ae:9f:7e:93, e8:9a:ff:06:a5:bb, ce:29:bd:72:98:00, ce:29:bd:b0:8c:ed, 80:76:c2:83:d7:b8, cc:29:bd:02:98:01, 3c:6a:48:8f:df:e6, cc:29:bd:e0:8c:ee, ce:29:bd:f0:8c:ed, cc:29:bd:e0:8c:ed, a2:cf:f5:19:ec:7e]","[芒果Mango, iTV-3Y2r, 艾力斯特, ChinaNet-3Y2r, tengye, LTE-WiFi_5A1D, , 芒果Mango, 有家便利店, Hotspot967B, DIRECT-BMW 69735, HZA60-E6550E, DIRECT-BMW 69735, , tengye_5G, Hi- irest-Massage Chai-12GR07   , Livat WiFi, CO-001, haikang, haikang, public, Livat WiFi, ChinaNet-tfHs, public, HUAWEI_B311_F8C3, Livat WiFi, haikang, CO-001, public, CO-001, CO-001, public, 樊文花, public, Livat WiFi, haikang, CO-001, 萌宝奇贝_5G, CO-001, public, Livat WiFi, Livat WiFi, CO-001, public, DIRECT-13-Android_81d3, , , midea_ed_0775, Mastet boxing-5G, Sozo-5G, 洗脸熊-5G, , 洗脸熊, iTV-n4T7]","[-59, -63, -63, -63, -67, -68, -70, -71, -71, -71, -71, -73, -73, -73, -73, -76, -77, -77, -78, -78, -78, -79, -81, -81, -81, -81, -81, -81, -82, -82, -82, -82, -82, -82, -83, -83, -83, -83, -83, -84, -84, -86, -86, -88, -88, -89, -89, -90, -90, -90, -90, -90, -91, -93]"
20230703_17:39,"['Lte', 'Lte']","[473, 475]","[-66, -87]","[bc:9b:5e:fc:58:bf, 22:28:3e:14:fc:d4, 24:69:68:f0:0d:88, 20:28:3e:04:fc:d4, 38:a9:1c:2e:95:c5, 74:f8:db:6a:5a:1d, 7c:b5:9b:17:0a:70, bc:9b:5e:fc:58:c1, 0e:b5:9b:17:0a:70, 00:54:af:2f:96:7b, 1e:e1:92:db:a2:95, d4:12:43:12:47:c7, 1e:e1:92:db:a2:14, 3e:a9:1c:2e:95:c6, 38:a9:1c:2e:95:c6, dc:97:58:ce:79:3b, 70:fd:45:4a:d7:70, 70:fd:45:4a:d7:72, 44:a1:91:a5:78:31, 70:fd:45:4a:d7:71, 70:fd:45:4a:d7:73, 44:a1:91:a5:7c:c0, 04:6b:25:e6:47:f1, 70:fd:45:4a:d7:63, 82:cb:fb:c3:f8:3d, 44:a1:91:a5:79:d0, 44:a1:91:a5:79:d1, 44:a1:91:a5:79:d2, 70:fd:45:71:14:53, 44:a1:91:a5:78:32, 44:a1:91:a5:7c:c2, 44:a1:91:a5:7c:c3, 34:ac:11:62:23:f7, 44:a1:91:a5:79:d3, 70:fd:45:71:14:50, 70:fd:45:71:14:51, 70:fd:45:71:14:52, 02:b5:53:61:39:64, 44:a1:91:a5:79:c2, 44:a1:91:a5:78:33, 44:a1:91:a5:78:30, 44:a1:91:a5:79:c0, 70:fd:45:71:14:42, 68:4a:ae:9f:7e:93, e8:9a:ff:06:a5:bb, ce:29:bd:72:98:00, ce:29:bd:b0:8c:ed, 80:76:c2:83:d7:b8, cc:29:bd:02:98:01, 3c:6a:48:8f:df:e6, cc:29:bd:e0:8c:ee, ce:29:bd:f0:8c:ed, cc:29:bd:e0:8c:ed, a2:cf:f5:19:ec:7e]","[芒果Mango, iTV-3Y2r, 艾力斯特, ChinaNet-3Y2r, tengye, LTE-WiFi_5A1D, , 芒果Mango, 有家便利店, Hotspot967B, DIRECT-BMW 69735, HZA60-E6550E, DIRECT-BMW 69735, , tengye_5G, Hi- irest-Massage Chai-12GR07   , Livat WiFi, CO-001, haikang, haikang, public, Livat WiFi, ChinaNet-tfHs, public, HUAWEI_B311_F8C3, Livat WiFi, haikang, CO-001, public, CO-001, CO-001, public, 樊文花, public, Livat WiFi, haikang, CO-001, 萌宝奇贝_5G, CO-001, public, Livat WiFi, Livat WiFi, CO-001, public, DIRECT-13-Android_81d3, , , midea_ed_0775, Mastet boxing-5G, Sozo-5G, 洗脸熊-5G, , 洗脸熊, iTV-n4T7]","[-59, -63, -63, -63, -67, -68, -70, -71, -71, -71, -71, -73, -73, -73, -73, -76, -77, -77, -78, -78, -78, -79, -81, -81, -81, -81, -81, -81, -82, -82, -82, -82, -82, -82, -83, -83, -83, -83, -83, -84, -84, -86, -86, -88, -88, -89, -89, -90, -90, -90, -90, -90, -91, -93]"
20230703_17:39,"['Lte', 'Lte']","[473, 475]","[-65, -87]","[bc:9b:5e:fc:58:bf, 7c:b5:9b:17:0a:70, 24:69:68:f0:0d:88, dc:97:58:ce:79:3b, 74:f8:db:6a:5a:1d, 5c:c5:63:ce:96:cb, d4:12:43:12:47:c7, 0e:b5:9b:17:0a:70, 70:fd:45:4a:d7:71, 70:fd:45:4a:d7:73, 1e:e1:92:db:a2:14, 70:fd:45:4a:d7:70, 70:fd:45:4a:d7:72, 1e:e1:92:db:a2:95, 02:b5:53:61:39:64, e8:9a:ff:06:a5:bb, 44:a1:91:a5:79:d3, 82:cb:fb:c3:f8:3d, 44:a1:91:a5:79:d0, 70:fd:45:71:14:51, 3e:a9:1c:2e:95:c6, 44:a1:91:a5:79:d1, 44:a1:91:a5:79:d2, 38:a9:1c:2e:95:c6, 00:54:af:2f:96:7b, 02:b5:53:61:39:60, 22:28:3e:14:fc:d4, 70:fd:45:71:14:50, 70:fd:45:71:14:52, 70:fd:45:71:14:53, 20:28:3e:04:fc:d4, 44:a1:91:a5:95:a0, 54:ef:33:5a:c8:7c, 68:4a:ae:9f:7e:91, 44:a1:91:a5:95:a1, 44:a1:91:a5:95:a2, 70:fd:45:4a:d7:61, 70:fd:45:4a:d7:62, 44:a1:91:a5:7c:c3, 68:4a:ae:9f:64:c1, f0:c8:14:6d:35:5f]","[芒果Mango, , 艾力斯特, Hi- irest-Massage Chai-12GR07   , LTE-WiFi_5A1D, 360记录仪XT30-A0B7, HZA60-E6550E, 有家便利店, haikang, public, DIRECT-BMW 69735, Livat WiFi, CO-001, DIRECT-BMW 69735, 萌宝奇贝_5G, DIRECT-13-Android_81d3, public, HUAWEI_B311_F8C3, Livat WiFi, haikang, , haikang, CO-001, tengye_5G, Hotspot967B, 萌宝奇贝, iTV-3Y2r, Livat WiFi, CO-001, public, ChinaNet-3Y2r, Livat WiFi, IPCWiFi48AB5C, haikang, haikang, CO-001, haikang, CO-001, public, haikang, YH_DVR_355F]","[-66, -68, -68, -75, -77, -77, -79, -80, -81, -82, -82, -83, -83, -83, -84, -84, -84, -85, -85, -86, -86, -86, -86, -86, -87, -87, -88, -89, -89, -89, -89, -89, -89, -90, -90, -91, -91, -91, -92, -92, -92]"
20230703_17:39,"['Lte', 'Lte']","[473, 475]","[-68, -87]","[24:69:68:f0:0d:88, 0e:b5:9b:17:0a:70, bc:9b:5e:fc:58:bf, dc:97:58:ce:79:3b, 04:6b:25:e6:47:f1, 7c:b5:9b:17:0a:70, 74:f8:db:6a:5a:1d, 1e:e1:92:db:a2:14, e8:9a:ff:06:a5:bb, 5c:c5:63:ce:96:cb, 44:a1:91:a5:95:a2, 22:28:3e:14:fc:d4, 1e:e1:92:db:a2:95, 54:ef:33:5a:c8:7c, 70:fd:45:4a:d7:70, 44:a1:91:a5:79:d0, 44:a1:91:a5:79:d1, 44:a1:91:a5:79:d2, 44:a1:91:a5:79:d3, 38:a9:1c:2e:95:c6, 3e:a9:1c:2e:95:c6, 38:a9:1c:2e:95:c5, 20:28:3e:04:fc:d4, 34:ac:11:62:23:f7, 02:b5:53:61:39:60, 5c:a0:00:aa:4c:ff, 44:a1:91:a5:95:a0, 44:a1:91:a5:95:a3, 70:fd:45:4a:d7:60, ac:64:cf:7d:60:d3, e2:c2:7d:72:25:c2]","[艾力斯特, 有家便利店, 芒果Mango, Hi- irest-Massage Chai-12GR07   , ChinaNet-tfHs, , LTE-WiFi_5A1D, DIRECT-BMW 69735, DIRECT-13-Android_81d3, 360记录仪XT30-A0B7, CO-001, iTV-3Y2r, DIRECT-BMW 69735, IPCWiFi48AB5C, Livat WiFi, Livat WiFi, haikang, CO-001, public, tengye_5G, , tengye, ChinaNet-3Y2r, 樊文花, 萌宝奇贝, MIFI-2315, Livat WiFi, public, Livat WiFi, CAR_DVR60d3, SETIROM]","[-63, -70, -71, -72, -73, -74, -76, -76, -80, -82, -82, -83, -84, -84, -86, -86, -86, -87, -87, -87, -88, -89, -89, -89, -89, -89, -91, -91, -91, -92, -92]"
20230703_17:40,"['Lte', 'Lte']","[473, 475]","[-69, -87]","[7c:b5:9b:17:0a:70, 24:69:68:f0:0d:88, 0e:b5:9b:17:0a:70, bc:9b:5e:fc:58:c1, dc:97:58:ce:79:3b, 5c:a0:00:aa:4c:ff, bc:9b:5e:fc:58:bf, 1e:e1:92:db:a2:14, 04:6b:25:e6:47:f1, 44:a1:91:a5:78:21, d4:12:43:12:47:c7, 74:f8:db:6a:5a:1d, 70:fd:45:4a:d7:70, e8:9a:ff:06:a5:bb, 22:28:3e:14:fc:d4, 38:a9:1c:2e:95:c5, f4:6d:2f:34:39:da, 34:ac:11:62:23:f7, 1e:e1:92:db:a2:95, 38:a9:1c:2e:95:c6, 5c:c5:63:ce:96:cb, 3e:a9:1c:2e:95:c6, f0:c8:14:6d:35:5f, ec:23:7b:c9:d9:65, e0:cb:56:a8:55:04, e2:c2:7d:72:25:c2, e2:c2:7d:72:25:c7, 70:fd:45:4a:d7:63]","[, 艾力斯特, 有家便利店, 芒果Mango, Hi- irest-Massage Chai-12GR07   , MIFI-2315, 芒果Mango, DIRECT-BMW 69735, ChinaNet-tfHs, haikang, HZA60-E6550E, LTE-WiFi_5A1D, Livat WiFi, DIRECT-13-Android_81d3, iTV-3Y2r, tengye, GLK, 樊文花, DIRECT-BMW 69735, tengye_5G, 360记录仪XT30-A0B7, , YH_DVR_355F, MUJOSH, DDPAI_Mini3Pro_5504, SETIROM, , public]","[-62, -64, -67, -67, -70, -71, -73, -78, -79, -81, -82, -85, -85, -85, -86, -86, -86, -88, -88, -88, -88, -89, -89, -90, -91, -93, -93, -94]"
20230703_17:40,"['Lte', 'Lte']","[473, 475]","[-77, -93]","[7c:b5:9b:17:0a:70, 0e:b5:9b:17:0a:70, 24:69:68:f0:0d:88, 04:6b:25:e6:47:f1, bc:9b:5e:fc:58:bf, 5c:a0:00:aa:4c:ff, dc:97:58:ce:79:3b, e0:cb:56:a8:55:04, ee:23:7b:d9:d9:65, e8:9a:ff:06:a5:bb, 22:28:3e:14:fc:d4, 20:28:3e:04:fc:d4, f0:c8:14:6d:35:5f, 1e:e1:92:db:a2:95, 92:4c:2c:1c:6d:d9, 68:4a:ae:9f:64:c1, 68:4a:ae:9f:64:c0]","[, 有家便利店, 艾力斯特, ChinaNet-tfHs, 芒果Mango, MIFI-2315, Hi- irest-Massage Chai-12GR07   , DDPAI_Mini3Pro_5504, iTV-SSID2, DIRECT-13-Android_81d3, iTV-3Y2r, ChinaNet-3Y2r, YH_DVR_355F, DIRECT-BMW 69735, HONOR 20 PRO, haikang, Livat WiFi]","[-68, -71, -73, -78, -79, -81, -84, -86, -87, -88, -90, -90, -90, -92, -92, -93, -94]"
20230703_17:40,"['Lte', 'Lte']","[473, 475]","[-76, -99]","[0e:b5:9b:17:0a:70, 7c:b5:9b:17:0a:70, 24:69:68:f0:0d:88, ac:64:cf:7d:60:d3, 5c:a0:00:aa:4c:ff, bc:9b:5e:fc:58:bf, ee:23:7b:d9:d9:65, dc:97:58:ce:79:3b, 64:64:4a:99:f6:29, 70:fd:45:4a:d7:70, 64:64:4a:2d:eb:54, f0:c8:14:6d:35:5f, d4:12:43:12:47:c7, 44:a1:91:a5:79:d2, 44:a1:91:a5:79:d3, 34:ac:11:62:23:f7, 92:4c:2c:1c:6d:d9]","[有家便利店, , 艾力斯特, CAR_DVR60d3, MIFI-2315, 芒果Mango, iTV-SSID2, Hi- irest-Massage Chai-12GR07   , 小鹏, Livat WiFi, 小鹏, YH_DVR_355F, HZA60-E6550E, CO-001, public, 樊文花, HONOR 20 PRO]","[-73, -74, -75, -75, -75, -76, -81, -82, -86, -88, -88, -89, -90, -90, -90, -92, -93]"
20230703_17:40,"['Lte', 'Lte']","[473, 475]","[-75, -91]","[7c:b5:9b:17:0a:70, 0e:b5:9b:17:0a:70, 24:69:68:f0:0d:88, bc:9b:5e:fc:58:c1, 5c:c5:63:ce:96:cb, 5c:a0:00:aa:4c:ff, 04:6b:25:e6:47:f1, ac:64:cf:7d:60:d3, f0:c8:14:6d:35:5f, bc:9b:5e:fc:58:bf, e0:cb:56:a8:55:04, 74:f8:db:6a:5a:1d, 70:fd:45:4a:d7:70, 88:12:ac:1f:65:a9, d4:12:43:12:47:c7, dc:97:58:ce:79:3b, 70:fd:45:4a:d7:72, 70:fd:45:4a:d7:71, 70:fd:45:4a:d7:73, 44:a1:91:a5:95:a0, 44:a1:91:a5:95:a3, ee:23:7b:d9:d9:65, 64:64:4a:99:f6:29, 24:b8:da:7c:3a:60]","[, 有家便利店, 艾力斯特, 芒果Mango, 360记录仪XT30-A0B7, MIFI-2315, ChinaNet-tfHs, CAR_DVR60d3, YH_DVR_355F, 芒果Mango, DDPAI_Mini3Pro_5504, LTE-WiFi_5A1D, Livat WiFi, DDPAI_K5_65A9, HZA60-E6550E, Hi- irest-Massage Chai-12GR07   , CO-001, haikang, public, Livat WiFi, public, iTV-SSID2, 小鹏, CMCC-tTk5]","[-68, -68, -68, -75, -76, -76, -79, -80, -83, -85, -85, -87, -87, -87, -88, -89, -89, -89, -89, -92, -93, -93, -93, -94]"
