Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
20230923_20:43,"['Lte', 'Lte', 'Lte', 'Lte']","[298, 117, 178, 55]","[-65, -90, -134, -135]","[6c:59:76:50:2b:dd, bc:9b:5e:fc:58:c1, bc:9b:5e:fc:58:bf, 22:28:3e:14:fc:d4, 20:28:3e:04:fc:d4, 70:fd:45:4a:d7:70, 70:fd:45:4a:d7:71, 70:fd:45:4a:d7:72, 70:fd:45:4a:d7:73, 70:fd:45:4a:d7:76, 70:fd:45:4a:d7:74, 38:a9:1c:2e:95:c6, 3e:a9:1c:2e:95:c6, 44:a1:91:a5:7c:d3, 44:a1:91:a5:79:d1, 44:a1:91:a5:79:d6, 44:a1:91:a5:79:d3, 44:a1:91:a5:79:d4, 44:a1:91:a5:7c:d0, 44:a1:91:a5:7c:d4, 44:a1:91:a5:7c:d6, 44:a1:91:a5:79:d0, 44:a1:91:a5:79:d2, 44:a1:91:a5:7c:d2, cc:29:bd:e0:8c:ee, 82:cb:fb:c3:f8:3d, ce:29:bd:f0:8c:ed, 62:e6:f0:9b:e3:7e, 44:a1:91:a5:95:b0, 24:b8:da:7c:3a:64, 44:a1:91:a5:79:c1, 44:a1:91:a5:7c:d1, 44:a1:91:a5:95:b3, 44:a1:91:a5:95:b1, 44:a1:91:a5:95:b6, 44:a1:91:a5:95:b2, 44:a1:91:a5:95:b4, 3c:6a:48:8f:df:e6, 70:fd:45:4a:d7:64, 70:fd:45:4a:d7:66, 70:fd:45:4a:d7:60, ce:29:bd:72:98:00, 70:fd:45:4a:d7:62, 44:a1:91:a5:78:30, cc:29:bd:02:98:01, 70:fd:45:4a:d7:61, 16:9f:4f:bc:f6:3b, 70:fd:45:71:14:50, 44:a1:91:a5:79:c0, 44:a1:91:a5:78:33, 10:9f:4f:bc:f6:3b]","[MyLink No 02bdd, 芒果Mango, 芒果Mango, iTV-3Y2r, ChinaNet-3Y2r, Livat WiFi, haikang, CO-001, public, camera, Livat service, tengye_5G, , public, haikang, camera, public, Livat service, Livat WiFi, Livat service, camera, Livat WiFi, CO-001, CO-001, 洗脸熊-5G, HUAWEI_B311_F8C3, , DIRECT-BMW 48144, Livat WiFi, CMCC-tTk5-5G, haikang, haikang, public, haikang, camera, CO-001, Livat service, Sozo-5G, Livat service, camera, Livat WiFi, , CO-001, Livat WiFi, Mastet boxing-5G, haikang, , Livat WiFi, Livat WiFi, public, 修个机_5G]","[-63, -64, -64, -69, -70, -73, -73, -73, -73, -73, -74, -75, -75, -77, -78, -78, -79, -79, -80, -80, -80, -80, -80, -80, -80, -80, -81, -81, -82, -82, -82, -83, -83, -84, -84, -84, -84, -85, -85, -85, -86, -86, -87, -87, -87, -88, -88, -88, -88, -89, -89]"
20230923_20:43,"['Lte', 'Lte', 'Lte', 'Lte']","[298, 117, 178, 55]","[-70, -90, -134, -135]",[],[],[]
20230923_20:43,"['Lte', 'Lte', 'Lte', 'Lte']","[298, 117, 178, 55]","[-74, -89, -134, -135]",[],[],[]
20230923_20:43,"['Lte', 'Lte', 'Lte', 'Lte']","[298, 117, 178, 55]","[-66, -90, -134, -135]",[],[],[]
20230923_20:43,"['Lte', 'Lte', 'Lte', 'Lte']","[298, 117, 178, 55]","[-62, -88, -134, -135]",[],[],[]
20230923_20:43,"['Lte', 'Lte', 'Lte', 'Lte']","[298, 117, 178, 55]","[-65, -88, -134, -135]",[],[],[]
20230923_20:43,"['Lte', 'Lte', 'Lte', 'Lte']","[298, 117, 178, 55]","[-56, -88, -134, -135]",[],[],[]
20230923_20:43,"['Lte', 'Lte', 'Lte', 'Lte']","[298, 117, 178, 55]","[-61, -88, -134, -135]",[],[],[]
20230923_20:43,"['Lte', 'Lte', 'Lte']","[298, 178, 55]","[-66, -134, -135]",[],[],[]
20230923_20:43,"['Lte', 'Lte', 'Lte']","[298, 178, 55]","[-63, -134, -135]",[],[],[]
