claim_index,claim_path,output_sensor,output_signal,base_sensor,base_signal,base_sensor_rows,base_signal_rows,output_sensor_rows,output_signal_rows,material_sensor,material_signal,material_sensor_start,material_sensor_end,material_signal_start,material_signal_end
0,交叉_小米MAX3_电信卡/20240523_1959,data\collectionData\交叉_小米MAX3_电信卡_last\sensor_claim_000_20240523_1959.csv,data\collectionData\交叉_小米MAX3_电信卡_last\signal_claim_000_20240523_1959.csv,data\collectionData\交叉_小米MAX3_电信卡\sensor_20240523_1959.csv,data\collectionData\交叉_小米MAX3_电信卡\signal_20240523_1959.csv,13727,133,14527,141,data\collectionData\局部_小米MAX3\sensor_20230513_1906.csv,data\collectionData\局部_小米MAX3\signal_20230513_1906.csv,7177,7977,71,79
1,交叉_小米MAX3_电信卡/20230920_2054,data\collectionData\交叉_小米MAX3_电信卡_last\sensor_claim_001_20230920_2054.csv,data\collectionData\交叉_小米MAX3_电信卡_last\signal_claim_001_20230920_2054.csv,data\collectionData\交叉_小米MAX3_电信卡\sensor_20230920_2054.csv,data\collectionData\交叉_小米MAX3_电信卡\signal_20230920_2054.csv,14831,144,15631,152,data\collectionData\局部_小米MAX3\sensor_20230706_2043.csv,data\collectionData\局部_小米MAX3\signal_20230706_2043.csv,9038,9838,90,98
2,交叉_小米MAX3_电信卡/20230709_1324,data\collectionData\交叉_小米MAX3_电信卡_last\sensor_claim_002_20230709_1324.csv,data\collectionData\交叉_小米MAX3_电信卡_last\signal_claim_002_20230709_1324.csv,data\collectionData\交叉_小米MAX3_电信卡\sensor_20230709_1324.csv,data\collectionData\交叉_小米MAX3_电信卡\signal_20230709_1324.csv,13552,131,14352,139,data\collectionData\局部_小米MAX3\sensor_20230529_2026.csv,data\collectionData\局部_小米MAX3\signal_20230529_2026.csv,2607,3407,26,34
3,交叉_小米MAX3_电信卡/20230920_2018,data\collectionData\交叉_小米MAX3_电信卡_last\sensor_claim_003_20230920_2018.csv,data\collectionData\交叉_小米MAX3_电信卡_last\signal_claim_003_20230920_2018.csv,data\collectionData\交叉_小米MAX3_电信卡\sensor_20230920_2018.csv,data\collectionData\交叉_小米MAX3_电信卡\signal_20230920_2018.csv,15497,150,16297,158,data\collectionData\局部_小米MAX3\sensor_20230707_1524.csv,data\collectionData\局部_小米MAX3\signal_20230707_1524.csv,8004,8804,80,88
4,交叉_小米MAX3_电信卡/20230923_2111,data\collectionData\交叉_小米MAX3_电信卡_last\sensor_claim_004_20230923_2111.csv,data\collectionData\交叉_小米MAX3_电信卡_last\signal_claim_004_20230923_2111.csv,data\collectionData\交叉_小米MAX3_电信卡\sensor_20230923_2111.csv,data\collectionData\交叉_小米MAX3_电信卡\signal_20230923_2111.csv,14629,142,15429,150,data\collectionData\局部_三星S7\sensor_20230704_1948.csv,data\collectionData\局部_三星S7\signal_20230704_1948.csv,6690,7490,66,74
5,交叉_小米MAX3_电信卡/20230709_1324,data\collectionData\交叉_小米MAX3_电信卡_last\sensor_claim_005_20230709_1324.csv,data\collectionData\交叉_小米MAX3_电信卡_last\signal_claim_005_20230709_1324.csv,data\collectionData\交叉_小米MAX3_电信卡\sensor_20230709_1324.csv,data\collectionData\交叉_小米MAX3_电信卡\signal_20230709_1324.csv,13552,131,14352,139,data\collectionData\局部_小米MAX3\sensor_20230707_1528.csv,data\collectionData\局部_小米MAX3\signal_20230707_1528.csv,7622,8422,76,84
6,交叉_小米MAX3_电信卡/20230923_2048,data\collectionData\交叉_小米MAX3_电信卡_last\sensor_claim_006_20230923_2048.csv,data\collectionData\交叉_小米MAX3_电信卡_last\signal_claim_006_20230923_2048.csv,data\collectionData\交叉_小米MAX3_电信卡\sensor_20230923_2048.csv,data\collectionData\交叉_小米MAX3_电信卡\signal_20230923_2048.csv,14640,142,15440,150,data\collectionData\局部_小米MAX3\sensor_20230509_1852.csv,data\collectionData\局部_小米MAX3\signal_20230509_1852.csv,4347,5147,43,51
7,交叉_小米MAX3_电信卡/20230920_2018,data\collectionData\交叉_小米MAX3_电信卡_last\sensor_claim_007_20230920_2018.csv,data\collectionData\交叉_小米MAX3_电信卡_last\signal_claim_007_20230920_2018.csv,data\collectionData\交叉_小米MAX3_电信卡\sensor_20230920_2018.csv,data\collectionData\交叉_小米MAX3_电信卡\signal_20230920_2018.csv,15497,150,16297,158,data\collectionData\局部_小米MAX3\sensor_20230616_2139.csv,data\collectionData\局部_小米MAX3\signal_20230616_2139.csv,8725,9525,87,95
8,交叉_小米MAX3_电信卡/20240523_1954,data\collectionData\交叉_小米MAX3_电信卡_last\sensor_claim_008_20240523_1954.csv,data\collectionData\交叉_小米MAX3_电信卡_last\signal_claim_008_20240523_1954.csv,data\collectionData\交叉_小米MAX3_电信卡\sensor_20240523_1954.csv,data\collectionData\交叉_小米MAX3_电信卡\signal_20240523_1954.csv,13216,128,14016,136,data\collectionData\局部_小米MAX3\sensor_20230513_1902.csv,data\collectionData\局部_小米MAX3\signal_20230513_1902.csv,7170,7970,71,79
9,交叉_小米MAX3_电信卡/20230923_2054,data\collectionData\交叉_小米MAX3_电信卡_last\sensor_claim_009_20230923_2054.csv,data\collectionData\交叉_小米MAX3_电信卡_last\signal_claim_009_20230923_2054.csv,data\collectionData\交叉_小米MAX3_电信卡\sensor_20230923_2054.csv,data\collectionData\交叉_小米MAX3_电信卡\signal_20230923_2054.csv,14769,143,15569,151,data\collectionData\局部_三星S7\sensor_20230703_1721.csv,data\collectionData\局部_三星S7\signal_20230703_1721.csv,8151,8951,81,89
