Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
20230709_13:15,"['Lte', 'Lte', 'Lte']","[473, 239, 475]","[-76, -87, -90]",[],[],[]
20230709_13:15,"['Lte', 'Lte', 'Lte']","[473, 239, 475]","[-68, -81, -89]",[],[],[]
20230709_13:15,"['Lte', 'Lte', 'Lte']","[473, 239, 475]","[-68, -81, -89]",[],[],[]
20230709_13:15,"['Lte', 'Lte', 'Lte']","[473, 239, 475]","[-66, -81, -89]",[],[],[]
20230709_13:15,"['Lte', 'Lte', 'Lte']","[473, 239, 475]","[-64, -81, -89]",[],[],[]
20230709_13:15,"['Lte', 'Lte', 'Lte']","[473, 239, 475]","[-59, -81, -89]",[],[],[]
20230709_13:15,"['Lte', 'Lte', 'Lte']","[473, 239, 475]","[-69, -81, -89]",[],[],[]
20230709_13:15,"['Lte', 'Lte']","[473, 475]","[-72, -89]",[],[],[]
20230709_13:15,"['Lte', 'Lte']","[473, 475]","[-77, -93]",[],[],[]
20230709_13:15,"['Lte', 'Lte']","[473, 475]","[-81, -94]",[],[],[]
20230709_13:15,"['Lte', 'Lte']","[473, 475]","[-77, -94]",[],[],[]
20230709_13:15,"['Lte', 'Lte']","[473, 475]","[-76, -98]",[],[],[]
20230709_13:15,"['Lte', 'Lte']","[473, 475]","[-82, -103]",[],[],[]
20230709_13:15,"['Lte', 'Lte']","[473, 475]","[-78, -94]",[],[],[]
20230709_13:15,"['Lte', 'Lte']","[473, 475]","[-80, -104]",[],[],[]
20230709_13:15,"['Lte', 'Lte']","[473, 475]","[-81, -98]",[],[],[]
20230709_13:15,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 249, 163, 172]","[-74, -132, -124, -133]",[],[],[]
20230709_13:15,"['Lte', 'Lte']","[473, 163]","[-76, -126]",[],[],[]
20230709_13:15,"['Lte', 'Lte']","[473, 163]","[-72, -131]","[70:fd:45:4a:d5:c3, 70:fd:45:4a:d5:c0, 70:fd:45:4a:d5:c1, 70:fd:45:4a:d5:c2, 48:d8:90:d3:72:60, ac:64:cf:06:d3:75, 2a:c8:7c:11:d3:93, 28:c8:7c:11:d3:93, 68:4a:ae:9f:62:e1]","[public, Livat WiFi, haikang, CO-001, JEACAR7260, CAR_DVRd375, iTV-5SWf, ChinaNet-5SWf, haikang]","[-79, -80, -80, -80, -85, -86, -90, -91, -95]"
20230709_13:16,"['Lte', 'Lte', 'Lte']","[473, 249, 163]","[-72, -131, -126]","[8a:5a:85:da:ca:ff, 8a:5a:85:ca:ca:ff, 24:69:68:f0:0d:88]","[DIRECT-BMW 59074, DIRECT-BMW 59074, 艾力斯特]","[-81, -83, -92]"
20230709_13:16,"['Lte', 'Lte', 'Lte']","[473, 249, 163]","[-87, -133, -127]","[48:d8:90:d3:72:60, 8a:5a:85:da:ca:ff, 8a:5a:85:ca:ca:ff]","[JEACAR7260, DIRECT-BMW 59074, DIRECT-BMW 59074]","[-71, -78, -84]"
20230709_13:16,['Lte'],[473],[-85],"[48:d8:90:d3:72:60, 8a:5a:85:da:ca:ff, 8a:5a:85:ca:ca:ff]","[JEACAR7260, DIRECT-BMW 59074, DIRECT-BMW 59074]","[-65, -78, -86]"
20230709_13:16,['Lte'],[473],[-85],[],[],[]
20230709_13:16,['Lte'],[473],[-83],[],[],[]
20230709_13:16,"['Lte', 'Lte']","[473, 163]","[-83, -109]",[],[],[]
20230709_13:16,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 163, 249]","[-84, -108, -112, -129]",[],[],[]
20230709_13:16,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 481, 474, 163, 249]","[-82, -112, -106, -113, -129]",[],[],[]
20230709_13:16,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 163, 249]","[-82, -107, -116, -127]",[],[],[]
20230709_13:16,"['Lte', 'Lte', 'Lte']","[473, 163, 249]","[-72, -115, -124]",[],[],[]
20230709_13:16,['Lte'],[473],[-71],[],[],[]
20230709_13:16,['Lte'],[473],[-79],[],[],[]
20230709_13:16,['Lte'],[473],[-74],[],[],[]
20230709_13:16,['Lte'],[473],[-77],[],[],[]
20230709_13:16,['Lte'],[473],[-72],[],[],[]
20230709_13:16,['Lte'],[473],[-76],[],[],[]
20230709_13:16,['Lte'],[473],[-76],[],[],[]
20230709_13:16,['Lte'],[473],[-81],[],[],[]
20230709_13:16,['Lte'],[473],[-88],[],[],[]
20230709_13:16,['Lte'],[473],[-82],[],[],[]
20230709_13:16,['Lte'],[473],[-86],[],[],[]
20230709_13:16,['Lte'],[473],[-88],[],[],[]
20230709_13:16,['Lte'],[473],[-83],[],[],[]
20230709_13:16,['Lte'],[473],[-84],[],[],[]
20230709_13:16,['Lte'],[473],[-94],[],[],[]
20230709_13:16,"['Lte', 'Lte']","[473, 474]","[-92, -114]",[],[],[]
20230709_13:16,"['Lte', 'Lte', 'Lte']","[473, 474, 163]","[-93, -110, -132]",[],[],[]
20230709_13:16,"['Lte', 'Lte', 'Lte']","[473, 474, 163]","[-92, -107, -135]",[],[],[]
20230709_13:16,"['Lte', 'Lte', 'Lte']","[473, 474, 163]","[-92, -104, -138]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 249, 163]","[-91, -104, -135, -129]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte']","[473, 249, 163]","[-88, -136, -124]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 473, 480, 473, 492]","[-90, -95, -97, -108, -92, -104]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 473, 480, 473, 492]","[-79, -98, -97, -108, -92, -104]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 473, 480, 473, 492]","[-84, -95, -97, -108, -92, -104]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 473, 480, 473, 492]","[-81, -99, -97, -108, -92, -104]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 473, 480, 473, 492]","[-76, -91, -97, -108, -92, -104]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 473, 480, 473, 492]","[-80, -98, -97, -108, -92, -104]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 473, 480, 473, 492]","[-71, -91, -97, -108, -92, -104]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 473, 480, 473, 492]","[-69, -91, -97, -108, -92, -104]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 473, 480, 473, 492]","[-66, -91, -97, -108, -92, -104]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 473, 480, 473, 492]","[-67, -91, -97, -108, -92, -104]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 473, 480, 473, 492]","[-81, -102, -97, -108, -92, -104]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 473, 480, 473, 492]","[-86, -110, -97, -108, -92, -104]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 473, 480, 473, 492]","[-87, -106, -97, -108, -92, -104]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte']","[473, 474, 172]","[-76, -112, -129]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 172, 249, 163]","[-75, -134, -134, -127]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 172, 249, 163]","[-75, -134, -130, -130]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 172, 249, 163]","[-78, -132, -135, -129]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 172, 249, 163, 172]","[-85, -118, -133, -134, -129, -132]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 172, 163, 172]","[-85, -131, -132, -127]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 172, 163, 172]","[-85, -109, -130, -133, -135]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 172, 172]","[-81, -109, -126, -130]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 172, 172]","[-78, -105, -125, -127]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte']","[473, 172, 172]","[-75, -128, -127]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 239, 474, 172, 172, 178]","[-75, -101, -87, -100, -123, -125, -131]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 172, 172]","[-70, -94, -119, -121]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte']","[473, 172, 172]","[-72, -115, -119]",[],[],[]
20230709_13:17,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 172, 178, 171, 172, 178, 171]","[-71, -94, -120, -128, -127, -121, -130, -132]",[],[],[]
