Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
16:53:44:513,-0.8279,5.2355,7.8772,166.2246,0.0599,0.0744,-0.0085,217.2727
16:53:44:531,-0.8279,5.2355,7.8772,167.5704,0.0599,0.0744,-0.0085,217.2384
16:53:44:549,-0.6772,5.1924,8.4084,167.6227,0.0599,0.0744,-0.0085,217.2582
16:53:44:577,-0.6676,5.1589,8.4395,167.3602,-0.1196,-0.1321,-0.0024,217.3677
16:53:44:596,-0.5288,5.1398,8.3127,166.5102,-0.0879,-0.1186,0.0159,217.4333
16:53:44:613,-0.4642,5.1541,8.2768,165.8078,-0.0842,-0.071,0.022,217.4574
16:53:44:626,-0.4187,5.1494,8.3198,166.7132,-0.0916,-0.0502,0.0208,217.4695
16:53:44:646,-0.4235,5.1422,8.3653,166.2247,-0.0793,-0.0527,0.0135,217.4895
16:53:44:665,-0.4451,5.1398,8.1571,168.0479,-0.0464,-0.0551,0.0074,217.5116
16:53:44:694,-0.4475,5.1087,8.2887,166.1177,-0.0525,-0.0539,0.0013,217.5421
16:53:44:704,-0.3996,5.0919,8.3988,166.6018,-0.0659,-0.0527,0,217.5747
16:53:44:722,-0.3685,5.068,8.339,166.8318,-0.0525,-0.038,-0.0036,217.601
16:53:44:746,-0.457,5.0752,8.3988,167.3174,-0.0439,-0.0404,-0.0073,217.6327
16:53:44:766,-0.4307,4.9986,8.2098,166.6615,-0.0341,-0.0563,-0.0061,217.671
16:53:44:780,-0.4092,4.9986,8.2026,167.5219,-0.0452,-0.0294,-0.0024,217.6901
16:53:44:800,-0.4953,5.1015,8.3892,165.9676,-0.0683,-0.0209,0.0074,217.6953
16:53:44:827,-0.4068,5.0776,8.3055,166.0331,-0.0525,-0.0514,0.0098,217.7147
16:53:44:844,-0.4211,5.0441,8.1117,167.1569,-0.0378,-0.0624,0,217.7484
16:53:44:865,-0.335,5.0776,8.0734,165.9058,-0.0574,-0.0795,-0.0097,217.8001
16:53:44:891,-0.1244,5.0728,7.7097,167.8523,-0.0891,-0.104,-0.028,217.88
16:53:44:899,0.1747,5.0249,7.6714,167.4708,-0.1661,-0.1309,-0.0427,217.9892
16:53:44:920,0.2536,5.001,7.5326,165.3684,-0.2504,-0.209,-0.0903,218.1867
16:53:44:954,0.2608,4.9603,7.6044,166.2339,-0.3237,-0.3324,-0.1661,218.5261
16:53:44:959,0.4451,4.9579,7.4967,165.9017,-0.408,-0.5096,-0.1881,218.9833
16:53:44:979,1.0768,4.7713,7.7432,165.2127,-0.5301,-0.5609,-0.2003,219.4794
16:53:44:998,1.2203,4.4913,8.1021,163.9105,-0.6792,-0.5316,-0.2626,220.0143
16:53:45:021,1.4381,4.1085,8.205,162.7409,-0.8185,-0.4363,-0.4019,220.6286
16:53:45:039,1.0241,3.9218,8.9085,163.638,-0.9284,-0.3373,-0.5436,221.325
16:53:45:065,0.8351,3.9912,9.21,163.7698,-0.8881,-0.3117,-0.59,222.0549
16:53:45:082,1.0504,4.0822,8.8726,162.178,-0.6768,-0.3373,-0.5302,222.7356
16:53:45:099,1.4548,4.2473,8.272,163.3952,-0.5301,-0.2946,-0.5241,223.3901
16:53:45:134,0.8542,4.4841,7.3077,165.6517,-0.6462,-0.0771,-0.6743,224.0982
16:53:45:138,-0.1627,4.3382,7.5805,167.1071,-1.0335,0.4348,-0.8906,224.8023
16:53:45:159,-1.1366,4.41,9.5569,162.9386,-1.4171,0.8343,-0.882,225.345
16:53:45:182,-1.048,4.9579,11.3683,162.1099,-1.4232,0.783,-0.6169,225.6634
16:53:45:199,-0.1412,5.0656,10.605,162.1049,-0.9858,0.5252,-0.4532,225.9225
16:53:45:219,-0.4211,4.7617,9.332,161.4273,-0.6609,0.414,-0.6536,226.4361
16:53:45:247,-2.3019,5.7452,11.1936,160.7458,-0.7073,0.5117,-0.9236,227.1959
16:53:45:263,-3.4935,6.0012,9.588,162.5677,-0.7635,0.392,-0.7244,227.7833
16:53:45:281,-1.2299,3.4672,9.7555,162.9962,-0.3029,0.5728,-0.193,227.7872
