Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
15:46:12:258,0.7986,2.2416,10.4915,57.5124,0.702,-2.0512,0.1972,201.9844
15:46:12:275,1.2666,2.0907,9.0622,57.5873,0.6123,-1.6325,-0.0638,201.9844
15:46:12:295,0.9602,2.238,8.2086,58.4406,0.486,-0.7835,-0.2965,210.375
15:46:12:314,0.6406,2.1267,7.7334,57.8578,0.3257,0.3617,-0.5026,210.5156
15:46:12:346,-0.1962,2.0692,8.0829,57.9398,0.2442,1.4187,-0.5626,210.8594
15:46:12:363,-1.2688,2.1398,8.3619,58.2853,0.2738,2.1833,-0.4587,211.3281
15:46:12:376,-2.5473,2.6713,8.7665,55.7551,0.3369,2.191,-0.1884,211.7812
15:46:12:394,-3.5505,3.0879,6.917,57.1848,0.0695,-0.2176,0.2263,212.1094
15:46:12:414,-3.3266,3.0688,7.6843,56.3634,-0.2562,-1.273,0.4771,212.0312
15:46:12:444,-0.9396,2.3721,9.1867,57.3051,-0.4887,-0.988,0.5424,211.8125
15:46:12:462,0.1342,2.4559,9.5697,58.6611,-0.6373,-0.3569,0.5104,211.4688
15:46:12:479,0.1988,2.6761,8.5007,57.5713,-0.7095,0.5012,0.4473,211.0156
15:46:12:491,-0.7481,2.4654,7.5059,56.7134,-0.7073,1.0046,0.4412,210.7812
15:46:12:514,-1.7309,2.2571,7.0499,58.5673,-0.6605,0.55,0.6015,210.2656
15:46:12:531,-2.0445,2.0405,7.1624,56.5586,-0.5286,-0.0322,0.8694,209.6719
15:46:12:562,-1.5561,2.0931,7.8818,59.5016,-0.2836,-0.1651,1.0982,209.0156
15:46:12:570,-0.6763,2.1841,8.4744,57.293,0.0131,-0.3254,1.206,208.2031
15:46:12:596,0.1438,2.6223,8.8287,59.7834,0.2882,-0.465,1.1874,207.0781
15:46:12:615,0.8908,3.0388,8.5055,58.852,0.4197,-0.5702,1.0415,205.7656
15:46:12:632,1.0823,3.3297,8.3236,58.852,0.3715,-0.6442,0.8566,204.4844
15:46:12:666,0.9111,3.471,8.5582,59.8094,0.2069,-0.6016,0.7482,203.2344
15:46:12:671,0.8943,3.6111,8.569,59.0809,-0.0794,-0.4812,0.6891,202.2031
15:46:12:700,1.7515,3.5991,9.0598,60.487,-0.4439,-0.3331,0.4968,201.3906
15:46:12:710,1.7742,3.9977,10.5466,59.1474,-0.7121,-0.0937,0.3424,200.2812
15:46:12:734,1.5061,3.8086,11.8478,59.5484,-0.8458,0.0546,0.3094,199.7812
15:46:12:765,1.87,2.7037,12.7768,58.6553,-0.8296,0.1723,0.3213,199.4688
15:46:12:769,2.0053,1.746,13.4077,56.9143,-0.7156,0.355,0.3805,199.1719
15:46:12:804,1.9011,1.6741,13.1539,58.9459,-0.6091,0.4743,0.451,198.8594
15:46:12:808,2.3153,1.7197,12.2249,59.1934,-0.5878,0.3262,0.3717,198.4531
15:46:12:828,2.7463,1.552,11.5869,59.3613,-0.6328,-0.1201,0.091,197.9688
15:46:12:848,2.2351,1.0912,12.3817,59.3252,-0.6008,-0.4916,-0.1501,197.5469
15:46:12:868,1.4654,0.2963,13.3705,60.1606,-0.4093,-0.4368,-0.1844,197.5
15:46:12:892,1.0093,-0.2867,12.6559,60.504,-0.1979,0.0722,-0.0363,197.7188
15:46:12:911,1.1457,0.0592,11.1427,57.9526,-0.0101,0.5606,0.1546,197.9688
15:46:12:930,2.2602,0.9427,9.6918,59.8232,0.0525,0.3614,0.103,198.0312
15:46:12:946,3.2275,1.7352,9.152,58.248,-0.0072,-0.0802,-0.2334,197.8438
15:46:12:967,3.6285,1.8932,9.4081,58.9354,-0.0873,-0.298,-0.6449,197.7031
15:46:12:990,3.437,1.5006,9.6404,60.2326,-0.1012,-0.0431,-0.9993,197.7812
15:46:13:009,2.113,0.9703,9.0083,58.1996,-0.0639,0.3497,-1.1794,197.7812
15:46:13:025,1.0691,1.0265,7.3874,57.7234,-0.0562,0.5516,-1.124,198.7344
15:46:13:045,0.6956,1.3737,6.1173,58.1209,-0.0618,0.4011,-1.0473,199.8281
15:46:13:069,0.2024,1.8034,6.0658,57.1696,0.0013,0.0634,-0.9573,201.1719
15:46:13:092,0.1534,1.8753,6.4082,58.2153,0.1183,-0.2296,-0.8507,202.4531
15:46:13:110,0.3688,1.8669,6.8523,57.2421,0.2448,-0.5166,-0.8105,203.5781
15:46:13:128,0.4921,2.1219,7.4425,56.6375,0.3345,-0.5768,-0.8081,204.6719
15:46:13:145,0.716,2.2045,7.6233,58.0658,0.2855,-0.4423,-0.8417,205.6406
15:46:13:164,0.6992,2.3098,8.0243,56.6557,0.1249,-0.245,-0.9035,206.5312
15:46:13:184,0.6346,2.1817,8.6013,56.2533,-0.0354,0.0509,-0.937,207.4688
15:46:13:208,0.4801,2.0596,8.9664,57.8616,-0.1547,0.245,-0.9359,208.4375
15:46:13:225,-0.0143,2.0297,9.6942,55.801,-0.1505,0.2986,-0.8904,209.4844
15:46:13:248,-0.5051,1.9902,10.2114,55.5429,-0.0311,0.2818,-0.7871,210.5
15:46:13:268,-0.8043,1.8813,10.5597,56.319,0.1252,0.1601,-0.6329,212.5781
