Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
20230705_12:46,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 501, 473]","[-69, -90, -104, -93]",[],[],[]
20230705_12:46,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 501, 473]","[-69, -90, -104, -93]",[],[],[]
20230705_12:46,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 501, 473]","[-73, -94, -104, -93]",[],[],[]
20230705_12:46,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 501, 473]","[-67, -86, -104, -93]",[],[],[]
20230705_12:46,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 501, 473]","[-63, -86, -104, -93]",[],[],[]
20230705_12:46,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 501, 473]","[-61, -86, -104, -93]",[],[],[]
20230705_12:46,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 501, 473]","[-63, -86, -104, -93]",[],[],[]
20230705_12:46,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 501, 473]","[-72, -92, -104, -93]",[],[],[]
20230705_12:46,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 501, 473]","[-72, -94, -104, -93]",[],[],[]
20230705_12:46,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 501, 473]","[-78, -97, -104, -93]",[],[],[]
20230705_12:46,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 501, 473]","[-75, -95, -104, -93]",[],[],[]
20230705_12:46,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 501, 473]","[-76, -89, -104, -93]",[],[],[]
20230705_12:46,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 501, 473]","[-69, -90, -104, -93]",[],[],[]
20230705_12:46,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 501, 473]","[-73, -88, -104, -93]",[],[],[]
20230705_12:46,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 501, 473]","[-77, -95, -104, -93]",[],[],[]
20230705_12:46,"['Lte', 'Lte', 'Lte']","[473, 501, 473]","[-74, -104, -93]",[],[],[]
20230705_12:46,"['Lte', 'Lte', 'Lte']","[473, 501, 473]","[-75, -104, -93]",[],[],[]
20230705_12:46,"['Lte', 'Lte', 'Lte']","[473, 501, 473]","[-69, -104, -93]",[],[],[]
20230705_12:46,"['Lte', 'Lte', 'Lte']","[473, 501, 473]","[-78, -104, -93]",[],[],[]
20230705_12:46,"['Lte', 'Lte', 'Lte']","[473, 501, 473]","[-75, -104, -93]",[],[],[]
20230705_12:47,"['Lte', 'Lte', 'Lte']","[473, 501, 473]","[-73, -104, -93]",[],[],[]
20230705_12:47,"['Lte', 'Lte', 'Lte']","[473, 501, 473]","[-77, -104, -93]",[],[],[]
20230705_12:47,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 501, 473]","[-73, -96, -104, -93]",[],[],[]
20230705_12:47,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 501, 473]","[-68, -88, -104, -93]",[],[],[]
20230705_12:47,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 501, 473]","[-71, -86, -104, -93]",[],[],[]
20230705_12:47,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 477, 172, 171, 172]","[-73, -98, -100, -119, -130, -119]",[],[],[]
20230705_12:47,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 172, 172]","[-75, -95, -124, -121]",[],[],[]
20230705_12:47,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 474, 172, 172]","[-65, -89, -124, -122]",[],[],[]
20230705_12:47,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 172, 178, 172, 178]","[-68, -123, -128, -116, -127]",[],[],[]
20230705_12:47,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 477, 474, 172, 178, 176, 172, 178]","[-77, -101, -100, -121, -126, -129, -121, -125]",[],[],[]
20230705_12:47,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 493, 474, 477, 172, 178, 172]","[-79, -103, -98, -100, -124, -129, -123]",[],[],[]
20230705_12:47,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 477, 474, 172, 172, 178]","[-79, -98, -102, -127, -125, -130]",[],[],[]
20230705_12:47,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 477, 176, 178, 176, 178]","[-75, -95, -129, -125, -124, -118]",[],[],[]
20230705_12:47,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 176, 178, 176, 178]","[-77, -128, -128, -121, -124]",[],[],[]
20230705_12:47,"['Lte', 'Lte']","[473, 477]","[-74, -94]",[],[],[]
20230705_12:47,"['Lte', 'Lte']","[473, 477]","[-76, -89]",[],[],[]
20230705_12:47,"['Lte', 'Lte']","[473, 477]","[-81, -90]",[],[],[]
20230705_12:47,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 477, 178, 176]","[-89, -87, -116, -121]",[],[],[]
20230705_12:47,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 176, 178, 176, 178]","[-82, -91, -121, -122, -128, -120]",[],[],[]
20230705_12:47,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 493, 176, 178, 176, 178]","[-83, -95, -103, -122, -122, -126, -126]",[],[],[]
20230705_12:47,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 493, 176, 178, 176, 178]","[-83, -93, -103, -120, -126, -120, -124]",[],[],[]
20230705_12:47,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 176, 178, 176]","[-78, -94, -122, -130, -124]",[],[],[]
20230705_12:47,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[477, 473, 493, 176, 178, 176]","[-72, -92, -89, -121, -134, -125]",[],[],[]
