Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
20:21:39:958,-1.6481,3.4303,9.2753,53.2945,-0.4049,-0.0111,-0.0245,188.1796
20:21:39:979,-1.7822,3.5022,8.5998,54.5045,-0.359,-0.0921,-0.0235,188.7555
20:21:40:000,-1.6433,3.4782,8.1111,53.6778,-0.391,-0.3435,-0.0458,188.9072
20:21:40:021,-1.2888,3.4303,8.0871,53.1281,-0.5242,-0.4788,-0.1183,188.7918
20:21:40:038,-1.1738,3.2962,8.4752,52.5861,-0.6797,-0.3584,-0.2078,188.8489
20:21:40:057,-1.2409,2.9129,8.3602,52.6681,-0.7809,-0.2391,-0.2461,189.3114
20:21:40:077,-1.3942,2.3428,8.389,52.4957,-0.8544,-0.3659,-0.2461,189.8376
20:21:40:098,-1.4181,2.3859,7.7566,52.0815,-1.0184,-0.5182,-0.1715,190.2443
20:21:40:123,-1.0109,2.4099,7.953,52.0507,-1.3039,-0.3179,-0.1332,190.5514
20:21:40:142,-0.8863,2.338,8.6189,52.0365,-1.4222,-0.1795,-0.2248,190.7378
20:21:40:161,-1.0061,2.2422,9.8167,53.1294,-1.3061,-0.1997,-0.3846,191.029
20:21:40:182,-1.3031,2.3236,11.3833,53.7082,-0.8405,-0.2178,-0.5135,191.4792
20:21:40:206,-2.1272,1.5858,11.7378,53.5273,-0.0959,-0.2934,-0.5092,192.0811
20:21:40:224,-3.1093,0.8336,11.1629,53.4992,0.4889,-0.4159,-0.048,192.7149
20:21:40:242,-2.6638,1.4517,9.7975,54.5779,0.751,0.0016,0.4346,193.0333
20:21:40:261,-2.4434,2.1511,8.4273,53.8623,0.5518,0.7281,0.7414,192.4445
20:21:40:281,-1.2648,2.1799,7.3733,53.859,-0.0256,0.5865,0.7978,191.411
20:21:40:309,-1.4756,2.841,8.365,54.2721,-0.7457,-0.0825,0.6306,189.9669
20:21:40:326,-2.1703,2.7213,10.1616,52.8183,-1.2134,-0.0825,0.6817,188.8706
20:21:40:345,-1.5427,1.8062,10.8276,53.2519,-1.3508,0.5279,0.915,188.126
20:21:40:365,-0.2827,1.49,10.6551,53.5497,-1.2698,0.9178,0.947,187.1551
20:21:40:382,-0.551,1.9595,11.4169,52.7415,-0.8895,0.7803,0.9225,186.0247
20:21:40:404,-0.2731,2.1176,10.6311,54.4137,-0.1353,0.2541,0.8383,185.153
20:21:40:425,-2.2134,1.6193,10.152,53.8071,1.045,-0.237,0.8245,184.2832
20:21:40:443,-2.8458,0.9151,10.0275,54.2258,2.3904,-0.4596,0.9715,183.6116
20:21:40:461,-2.017,1.7727,5.1742,53.6245,2.7441,-1.4727,0.4367,182.545
20:21:40:483,-4.0388,4.7766,4.8197,54.8375,1.3859,-2.4261,-0.7681,181.2154
20:21:40:505,-2.7883,2.3188,5.8354,54.1485,0.507,0.2435,-0.506,180.7362
20:21:40:524,-1.5427,2.98,8.7243,52.8804,0.1363,1.2427,-0.2387,181.5075
20:21:40:546,-1.4085,3.5501,8.1494,53.2241,-0.0512,-0.1731,-0.097,181.4946
20:21:40:564,-0.4503,3.2052,9.1747,54.3893,0.0415,-1.2255,0.017,181.2946
20:21:40:582,-0.4887,3.4974,8.2931,51.7847,0.147,-1.2554,-0.1492,181.3629
20:21:40:603,-0.9199,3.7657,8.274,53.0315,0.0617,-1.3779,-0.179,181.8825
20:21:40:624,-0.9821,3.9477,7.747,52.6381,-0.1353,-0.8783,-0.0842,182.516
20:21:40:642,-0.8384,4.24,7.7709,53.0569,-0.5636,0.2797,-0.0522,183.1051
20:21:40:663,-1.4469,4.125,7.838,53.9615,-0.8203,1.0126,0.0351,183.399
20:21:40:684,-1.9882,4.0531,8.3219,53.2841,-0.9098,0.9508,0.1161,183.2373
20:21:40:707,-2.1607,3.8423,9.2418,53.6907,-0.7532,0.6184,0.1875,182.6823
20:21:40:731,-1.6098,3.6651,10.1808,53.1656,-0.3782,0.1731,0.1747,182.0004
20:21:40:742,-1.9451,3.3968,10.0562,51.7217,-0.0171,-0.1006,0.1491,181.3924
20:21:40:765,-2.8075,3.2483,9.3328,52.2687,0.1203,-0.2689,0.2301,181.0351
20:21:40:780,-3.0135,2.9321,9.5532,53.8292,0.1225,-0.4341,0.441,180.715
20:21:40:801,-1.8014,2.9225,10.7844,53.5027,0.2833,-0.6418,0.555,180.1905
20:21:40:824,-0.9294,3.2004,10.9905,53.5045,0.605,-0.9411,0.4666,179.4794
20:21:40:843,-0.4312,3.598,10.1185,53.5475,0.7542,-1.1606,0.3579,178.8768
20:21:40:864,0.7139,3.9621,9.558,52.6583,0.6125,-1.2596,0.2791,178.5936
20:21:40:883,1.4421,4.1586,9.7448,53.452,0.2311,-1.021,0.1299,178.5241
20:21:40:902,1.4756,3.7178,10.6886,55.5123,-0.1524,-0.6865,0.0362,178.7625
20:21:40:925,2.1799,2.8937,12.0061,53.6969,-0.3484,-0.5385,-0.0118,179.1545
20:21:40:943,2.4338,1.7966,13.5345,53.4129,-0.3686,-0.4106,-0.0874,179.4547
20:21:40:962,1.8445,0.3929,14.4112,54.1545,-0.3431,0.2658,0.0852,179.8861
20:21:40:982,2.2853,0.4216,14.0279,54.7486,-0.3228,1.0935,0.3696,180.2999
20:21:41:002,2.8698,1.1882,12.8493,52.4345,-0.0032,1.134,0.2333,180.2192
20:21:41:027,1.8397,1.0732,10.7126,53.321,0.5081,0.464,-0.0544,179.6349
20:21:41:044,1.1402,1.1977,8.4129,52.819,0.6828,-0.1187,-0.0373,179.3304
20:21:41:064,1.9499,1.9212,7.1289,52.8886,0.4463,-0.205,0.0117,179.4078
20:21:41:087,2.453,2.4242,7.3829,52.3722,0.1544,-0.1113,-0.1044,179.5922
20:21:41:103,1.7391,2.52,7.7566,52.7289,0.0596,0.0389,-0.2259,179.8297
20:21:41:125,1.1594,2.659,7.426,53.2591,0.1107,0.0453,-0.2802,180.1982
20:21:41:144,1.1211,2.8506,6.9181,51.7215,0.2183,-0.1102,-0.3367,180.5788
20:21:41:163,1.1929,2.865,6.6019,52.7913,0.3398,-0.3307,-0.4251,180.936
20:21:41:189,1.0253,2.8602,6.1803,52.9923,0.4239,-0.4649,-0.489,181.4271
20:21:41:204,0.9342,2.8458,5.7587,52.83,0.4037,-0.449,-0.4901,182.0919
20:21:41:224,1.1259,2.8985,5.7348,51.5816,0.2876,-0.3073,-0.4794,182.8397
20:21:41:247,1.0732,2.9033,6.1755,52.075,0.1949,-0.107,-0.457,183.6125
20:21:41:264,0.6899,3.0039,6.5971,50.65,0.1992,-0.0271,-0.3857,184.326
20:21:41:288,0.872,3.3776,6.8798,51.163,0.2812,-0.0559,-0.2994,184.9487
20:21:41:304,0.7666,3.7178,7.0427,50.7159,0.3302,-0.0484,-0.2269,185.4009
20:21:41:324,0.6372,4.0915,7.9817,51.6276,0.3611,0.1561,-0.0799,185.8137
20:21:41:344,1.3319,4.7526,7.7709,50.8049,0.4058,0.3202,-0.0927,186.1046
20:21:41:366,1.1738,5.3419,7.2775,51.0557,0.2428,0.3031,-0.2781,186.1156
20:21:41:389,0.4887,5.3228,7.3637,50.0731,-0.0523,0.3436,-0.4155,186.1712
20:21:41:405,-0.2491,4.9538,8.2309,51.1648,-0.3899,0.3521,-0.4687,186.431
20:21:41:426,-0.963,4.4077,9.9891,49.2831,-0.5817,0.2988,-0.3974,186.7684
20:21:41:446,-1.2888,4.1681,11.3881,48.8893,-0.5497,0.2978,-0.2429,187.0926
20:21:41:468,-1.1019,4.3598,10.9713,49.7375,-0.5561,0.3042,-0.113,187.3135
20:21:41:485,-0.5941,3.9142,11.1581,48.0112,-0.783,0.1795,-0.1151,187.2794
20:21:41:508,-0.2683,2.6973,13.1608,48.8934,-0.9247,0.0453,-0.2173,187.1541
20:21:41:527,-1.0732,1.3127,15.2784,49.7554,-0.6999,0.0719,-0.2355,187.1404
20:21:41:546,-1.7391,0.7618,14.8903,47.5532,-0.2259,0.2072,-0.0554,187.3123
20:21:41:574,-1.4948,1.0444,12.5715,47.3082,0.1288,0.0911,0.1161,187.4241
20:21:41:588,-0.8001,1.7391,10.4682,47.77,0.196,-0.1752,0.1661,187.268
20:21:41:609,-0.2443,2.132,9.1795,47.6611,0.0085,-0.3073,0.1214,186.9666
20:21:41:627,0.2012,2.1416,9.1316,46.6829,-0.2056,-0.3392,0.0309,186.7971
20:21:41:648,0.1916,1.9739,9.3519,48.4757,-0.2174,-0.368,-0.049,186.744
20:21:41:671,-0.23,2.0553,8.9303,46.1914,-0.0746,-0.4532,-0.0597,186.809
20:21:41:685,-0.2779,2.1272,7.5601,46.9474,0.1033,-0.6375,-0.0299,186.9925
20:21:41:706,-0.1629,2.2326,5.7971,47.9752,0.0777,-0.8857,-0.0107,187.1897
20:21:41:726,0.3976,1.9212,4.9203,45.3467,-0.2355,-1.1073,-0.0203,187.4261
20:21:41:779,0.7282,1.4133,6.9421,45.6344,-0.4432,-0.9156,-0.0916,187.7281
20:21:41:782,0.4551,1.0013,8.8202,45.4649,-0.2323,-0.3872,-0.0874,188.1759
20:21:41:799,-0.024,0.939,8.7004,46.7911,0.1949,0.0304,0.0074,188.5822
20:21:41:806,-0.024,1.2744,7.5697,45.2471,0.5123,0.0709,0.1278,188.789
20:21:41:828,0.5031,1.7679,7.1816,44.6487,0.6604,-0.0282,0.1651,188.7486
20:21:41:849,0.7378,2.0841,7.0954,44.1113,0.687,0.0048,0.1438,188.5366
20:21:41:873,0.6659,2.4242,7.1385,45.8827,0.6146,0.1178,0.1523,188.3829
20:21:41:889,0.7905,2.8219,7.541,43.9213,0.5326,0.1252,0.1693,188.2427
20:21:41:907,0.8288,3.5741,7.8668,43.9351,0.5017,0.057,0.1566,188.102
20:21:41:929,0.9342,4.2496,7.9865,44.1437,0.3962,-0.0463,0.1491,187.9615
20:21:41:949,1.3798,4.6041,8.7675,43.344,0.2567,-0.1858,0.1097,187.8392
20:21:41:969,1.7104,4.4173,9.6921,43.6647,0.147,-0.3925,0.0852,187.7798
20:21:41:989,2.1799,3.7753,11.1773,43.3922,0.1651,-0.6301,0.1534,187.8702
20:21:42:009,2.5823,3.3201,12.3607,43.5098,0.4569,-0.8676,0.3345,188.0987
20:21:42:029,3.5788,3.9286,11.206,43.341,0.8745,-1.265,0.4634,188.3238
20:21:42:049,5.3802,4.7095,8.2357,42.3986,0.7073,-1.6687,0.3195,188.4302
20:21:42:073,7.0954,4.4795,8.6094,42.7521,-0.0874,-1.4503,-0.0991,188.6472
20:21:42:088,6.5828,3.1285,10.5353,43.4782,-0.7223,-0.8037,-0.6285,189.3338
20:21:42:110,3.9717,1.5954,11.9199,41.9796,-0.9055,-0.1986,-0.832,190.4698
20:21:42:130,2.5296,0.8576,11.7378,42.9356,-0.669,-0.1145,-0.7478,191.7797
20:21:42:151,2.1224,0.9965,9.9556,42.5473,-0.3878,-0.4809,-0.5998,192.8239
20:21:42:171,2.5871,1.3415,8.1446,42.0529,-0.5092,-0.6354,-0.4901,193.6593
20:21:42:189,2.8985,1.7822,8.25,42.1327,-0.8448,-0.4138,-0.4869,194.4987
20:21:42:208,2.314,1.8158,9.3136,41.1678,-0.8938,-0.1773,-0.538,195.3367
20:21:42:229,1.375,1.7343,9.443,42.395,-0.5657,-0.1986,-0.5273,196.1863
20:21:42:256,0.8384,1.8349,8.2692,42.117,-0.1513,-0.3851,-0.4474,196.9546
20:21:42:273,1.0828,2.0745,7.081,42.1053,0.0521,-0.466,-0.375,197.6962
20:21:42:289,1.2073,2.2997,6.7505,42.6758,0.1427,-0.3542,-0.3825,198.3728
20:21:42:310,0.7761,2.4003,6.487,42.6592,0.2684,-0.155,-0.3889,199.0864
20:21:42:331,0.4456,2.6254,5.9647,41.9348,0.3877,-0.0079,-0.3377,199.7419
20:21:42:354,0.7234,3.1333,5.8402,41.934,0.4442,0.0709,-0.2983,200.3342
20:21:42:370,1.1211,3.7896,6.0031,42.9933,0.4324,0.2158,-0.3281,200.7962
20:21:42:389,1.2121,4.446,6.3863,41.5771,0.3494,0.4203,-0.3974,201.2409
20:21:42:410,1.3702,4.8868,7.517,41.7299,0.2982,0.5641,-0.4901,201.6824
20:21:42:432,1.0828,4.9011,9.1843,42.9175,0.3802,0.6855,-0.5391,202.1505
20:21:42:458,0.7091,5.0449,10.6743,42.7986,0.5315,0.8421,-0.4805,202.6444
20:21:42:474,0.7043,4.6664,11.9582,42.03,0.7925,0.9295,-0.3388,203.1111
20:21:42:490,0.7953,4.7143,11.3306,44.1622,0.9012,0.9295,-0.1247,203.3694
20:21:42:511,1.399,5.2748,11.2252,43.6853,0.7478,0.8624,0.0436,203.377
20:21:42:532,1.2744,6.2522,10.8755,43.6674,0.4026,0.8975,0.1715,203.1617
20:21:42:552,1.8828,6.4917,10.8324,43.5764,-0.1449,0.8176,0.1992,202.8696
20:21:42:572,2.4338,4.7335,12.8302,44.3974,-0.5817,0.546,0.0447,202.4053
20:21:42:591,0.7522,1.8972,14.7418,45.8528,-0.5082,0.4022,0.0128,202.002
20:21:42:612,-0.7234,0.733,14.4064,44.8663,0.0223,0.2935,0.4421,201.8765
20:21:42:633,-0.1581,1.5523,10.9473,44.8835,0.5059,0.0283,0.9118,201.6475
20:21:42:658,1.3223,2.8123,7.2727,44.0629,0.4058,-0.3158,1.0279,200.9277
20:21:42:674,1.8541,2.8746,6.0749,45.5878,-0.0299,-0.4394,0.899,200.0067
20:21:42:693,1.787,2.52,5.8641,45.1356,-0.3857,-0.4618,0.752,199.1591
20:21:42:713,1.4565,2.0936,6.1947,46.2001,-0.6062,-0.3137,0.6583,198.5524
20:21:42:735,1.2121,1.6241,6.4055,46.3911,-0.7457,0.024,0.6988,198.1018
20:21:42:756,1.2025,1.5523,6.1995,46.2382,-0.7979,0.2797,0.718,197.6451
20:21:42:771,1.078,1.49,5.7779,45.7003,-0.7617,0.2594,0.7052,196.9512
20:21:42:791,1.2792,1.6481,5.6677,44.8911,-0.7266,0.1284,0.6764,196.1142
20:21:42:814,1.2983,1.4469,5.9695,44.667,-0.7021,0.1423,0.6263,195.381
20:21:42:839,0.9774,1.1642,5.8114,45.256,-0.6701,0.3042,0.6508,194.6975
20:21:42:854,1.2504,1.5044,5.4282,46.7504,-0.6584,0.4267,0.653,194.0734
20:21:42:873,-0.3785,1.5714,5.4809,46.0515,-0.5369,0.285,0.7457,193.3914
20:21:42:892,0.1102,1.9068,5.4138,46.4714,-0.2664,-0.058,1.0184,192.687
20:21:42:914,0.9007,2.3045,4.5562,46.0091,0.1022,-0.5598,1.2058,191.8085
20:21:42:932,2.247,2.5105,3.2531,44.7561,0.2833,-1.2341,1.3156,190.7936
20:21:42:953,3.9525,3.0518,1.8589,46.5687,0.1384,-1.9872,1.258,189.736
20:21:42:972,6.2809,3.0614,1.3558,46.5231,-0.5348,-2.5891,0.963,188.7756
20:21:42:992,7.8668,1.7295,3.277,47.205,-1.5117,-2.7414,0.5667,188.2003
20:21:43:014,8.3123,0.3449,9.4286,48.0298,-2.3554,-2.5081,0.3781,188.2247
20:21:43:041,10.588,-1.7966,15.1634,48.9476,-2.6238,-1.5909,0.3174,188.6899
20:21:43:056,11.345,-2.7692,19.9495,47.2329,-2.3351,-0.1539,0.0543,189.0579
20:21:43:074,10.5689,-2.6302,21.0994,48.3661,-2.0166,1.33,-0.3004,189.0568
20:21:43:094,7.8428,-2.0314,20.879,48.2423,-1.7748,2.0097,-0.6829,188.9931
20:21:43:116,4.791,-1.9978,21.4587,49.3205,-1.3199,1.8296,-0.9971,189.2409
20:21:43:139,2.132,-2.8123,21.6264,47.834,-0.358,1.4483,-1.0248,189.9904
20:21:43:158,1.2888,-2.75,17.8272,47.5513,0.6849,1.1223,-0.8128,191.0787
20:21:43:175,1.8493,-1.7774,12.6769,49.8553,1.1281,0.8794,-0.6733,192.132
20:21:43:195,2.3859,-0.9199,9.5436,48.9146,1.0066,0.7409,-0.7361,192.9244
20:21:43:217,2.3188,-0.5605,8.686,49.7783,0.7797,0.6642,-0.8767,193.6062
