Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
20230326_20:49,['Lte'],[473],[-76],[],[],[]
20230326_20:49,['Lte'],[473],[-63],[],[],[]
20230326_20:49,['Lte'],[473],[-71],[],[],[]
20230326_20:49,['Lte'],[473],[-60],[],[],[]
20230326_20:49,['Lte'],[473],[-61],[],[],[]
20230326_20:49,['Lte'],[473],[-60],[],[],[]
20230326_20:49,['Lte'],[473],[-61],[],[],[]
20230326_20:49,['Lte'],[473],[-69],[],[],[]
20230326_20:49,['Lte'],[473],[-76],[],[],[]
20230326_20:49,['Lte'],[473],[-79],[],[],[]
20230326_20:49,['Lte'],[473],[-80],[],[],[]
20230326_20:49,"['Lte', 'Lte']","[473, 492]","[-81, -105]",[],[],[]
20230326_20:50,['Lte'],[473],[-80],[],[],[]
20230326_20:50,['Lte'],[473],[-75],[],[],[]
20230326_20:50,['Lte'],[473],[-70],[],[],[]
20230326_20:50,['Lte'],[473],[-75],[],[],[]
20230326_20:50,['Lte'],[473],[-74],[],[],[]
20230326_20:50,['Lte'],[473],[-70],[],[],[]
20230326_20:50,['Lte'],[473],[-79],[],[],[]
20230326_20:50,"['Lte', 'Lte']","[473, 474]","[-78, -92]",[],[],[]
20230326_20:50,['Lte'],[473],[-78],[],[],[]
20230326_20:50,['Lte'],[473],[-79],[],[],[]
20230326_20:50,['Lte'],[473],[-73],[],[],[]
20230326_20:50,['Lte'],[473],[-75],[],[],[]
20230326_20:50,['Lte'],[473],[-74],[],[],[]
20230326_20:50,['Lte'],[473],[-75],[],[],[]
20230326_20:50,['Lte'],[473],[-74],[],[],[]
20230326_20:50,['Lte'],[473],[-75],[],[],[]
20230326_20:50,['Lte'],[473],[-73],[],[],[]
20230326_20:50,['Lte'],[473],[-70],[],[],[]
20230326_20:50,['Lte'],[473],[-82],[],[],[]
20230326_20:50,['Lte'],[473],[-75],[],[],[]
20230326_20:50,['Lte'],[473],[-75],[],[],[]
20230326_20:50,['Lte'],[473],[-74],[],[],[]
20230326_20:50,['Lte'],[473],[-71],[],[],[]
20230326_20:50,"['Lte', 'Lte', 'Lte']","[473, 477, 492]","[-69, -89, -88]",[],[],[]
20230326_20:50,"['Lte', 'Lte', 'Lte']","[473, 477, 492]","[-76, -89, -88]",[],[],[]
20230326_20:50,"['Lte', 'Lte']","[473, 477]","[-85, -97]",[],[],[]
20230326_20:50,"['Lte', 'Lte']","[473, 477]","[-88, -90]",[],[],[]
20230326_20:50,"['Lte', 'Lte', 'Lte']","[477, 473, 482]","[-90, -88, -132]",[],[],[]
