Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
16:23:17:544,0.4484,4.1094,9.4258,51.0108,-0.2619,-0.1427,0.609,74.74
16:23:17:562,-0.7201,3.0168,8.744,51.2587,0.0149,-0.0106,0.3748,326.54
16:23:17:582,-0.4048,3.1753,8.826,51.4387,0.0096,0.0213,0.3939,326.1
16:23:17:602,-0.1942,3.2677,8.7976,51.2342,0.0128,0.0319,0.3875,325.64
16:23:17:622,-0.03,3.2921,8.7609,51.4639,0,0.033,0.395,325.19
16:23:17:642,0.1065,3.2921,8.83,51.9155,-0.049,0.0234,0.4078,324.72
16:23:17:662,0.0821,3.2153,9.104,51.9618,-0.1022,0.0085,0.4184,324.24
16:23:17:682,-0.2548,3.0689,9.5772,52.1095,-0.0916,0.033,0.4621,323.75
16:23:17:702,-0.4189,3.0348,9.9183,52.0778,-0.0149,0.0884,0.5345,323.19
16:23:17:722,-0.5653,2.9059,10.1448,52.0575,0.0937,0.1192,0.5983,322.55
16:23:17:742,-0.711,2.8324,10.3379,52.0239,0.2619,0.1341,0.6771,321.82
16:23:17:762,-0.6522,3.0134,10.2136,52.2971,0.444,0.2151,0.7463,321
16:23:17:782,-0.7111,3.4905,10.0347,52.691,0.5451,0.2981,0.774,320.1
16:23:17:802,-0.6328,3.8043,9.9726,52.7952,0.5738,0.2406,0.8208,319.15
16:23:17:822,-0.2057,3.6078,9.9603,53.2523,0.5898,0.1874,0.8272,318.17
16:23:17:842,0.1499,3.0538,9.6434,53.0588,0.5334,0.3396,0.7314,317.2
16:23:17:862,0.376,2.4973,9.2809,53.4296,0.3865,0.478,0.5696,316.33
16:23:17:883,-0.2277,2.9504,9.6801,53.4688,0.0937,0.3758,0.5323,315.54
16:23:17:904,-0.531,3.2507,10.2885,53.353,-0.0234,0.1373,0.5526,314.93
16:23:17:922,-0.7383,3.137,10.5721,53.4119,0.1118,-0.0458,0.5951,314.27
16:23:17:942,-0.8963,3.0112,10.3152,53.4786,0.3992,0.0096,0.6686,313.58
16:23:17:962,-1.0367,2.7689,9.9472,53.631,0.6675,0.1129,0.7176,312.8
16:23:17:984,-1.197,2.374,9.4378,53.7794,0.7261,-0.017,0.7655,311.86
16:23:18:002,-0.9054,1.9634,8.7138,53.9823,0.6377,-0.0628,0.7527,311.09
16:23:18:022,-0.5973,1.5603,8.0259,54.0887,0.4259,-0.115,0.7112,310.27
16:23:18:042,-0.3031,1.6065,7.6061,53.94,0.1991,-0.1703,0.6548,309.52
16:23:18:062,-0.3864,1.6493,7.5758,54.1513,0.0586,-0.0479,0.6601,308.83
16:23:18:082,-0.3741,1.7142,7.566,54.3574,-0.0053,0.2385,0.7527,308.04
16:23:18:102,-0.8579,1.7809,7.4134,54.4169,-0.0894,0.708,0.79,307.12
16:23:18:121,0.0109,1.5614,7.4142,54.5955,-0.3077,0.8709,0.7176,306.02
16:23:18:142,-0.8403,2.1401,7.2488,54.7595,-0.5419,1.2552,0.7059,304.97
16:23:18:162,-1.5905,2.7208,7.5308,54.744,-0.7016,1.4852,0.7974,303.82
