Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
20241102_16:28,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 473, 475]","[-77, -85, -79, -88]","[c0:49:43:f1:59:83, c2:49:43:b2:a9:e1, c0:49:43:b2:a9:e1, 3c:30:6f:68:b0:61, 3c:30:6f:68:b0:60, 30:1b:97:3e:35:9c, 30:1b:97:3e:38:1e, c4:3a:35:35:4c:ee, 06:cd:4b:12:d1:63, 44:a1:91:a5:7c:c3, 44:a1:91:a5:7c:c1, 30:1b:97:3e:35:a5, c0:49:43:b2:a9:e0, c0:49:43:f1:59:82, 94:d9:b3:8c:d7:65, 22:28:3e:14:fc:d4, 20:28:3e:04:fc:d4, 5c:c5:63:ce:5b:e6, bc:9b:5e:fc:58:bf, 72:77:24:31:71:78]","[LTE-WiFi_5A1D_5G, , LTE-WiFi_5A1D_5G, iTV-XhJt, ChinaNet-XhJt, Wlan-F81179491, Wlan-F81179488, WIFI_DVR_Z1, Xiaomi 14, camera, haikang, Wlan-F81179511, LTE-WiFi_5A1D, LTE-WiFi_5A1D, crd, iTV-3Y2r, ChinaNet-3Y2r, 360行车记录仪M320Pro-19AA, 芒果Mango, ]","[-76, -74, -73, -87, -75, -82, -89, -66, -48, -89, -87, -92, -58, -62, -80, -90, -91, -74, -79, -86]"
20241102_16:28,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 473, 475]","[-76, -90, -81, -87]","[44:a1:91:a5:95:b3, 44:a1:91:a5:95:b2, 44:a1:91:a5:7c:d3, 44:a1:91:a5:95:b1, 44:a1:91:a5:7c:d2, 44:a1:91:a5:95:b0, 44:a1:91:a5:7c:d1, 44:a1:91:a5:7c:d0, bc:9b:5e:fc:58:c1, 24:b8:da:7c:3a:64, 38:a9:1c:2e:95:c6, 10:9f:4f:bc:f6:3b, c0:49:43:f1:59:83, cc:29:bd:02:98:01, 68:77:da:0b:c0:79, c2:49:43:b2:a9:e1, c0:49:43:b2:a9:e1, cc:29:bd:e0:8c:ee, 68:4a:ae:9f:7e:93, 68:4a:ae:9f:7e:92, 5c:e8:83:7e:a4:b2, 70:fd:45:4a:d7:73, 70:fd:45:4a:d7:72, 70:fd:45:4a:d7:71, 70:fd:45:4a:d7:70, 5c:e8:83:7e:a4:b3, 5c:e8:83:7e:a4:b1, 44:a1:91:a5:79:c0, 44:a1:91:a5:95:a2, 44:a1:91:a5:95:a3, 44:a1:91:a5:95:a1, 44:a1:91:a5:95:a0, 44:a1:91:a5:79:c1, c0:49:43:b2:a9:e0, c0:49:43:f1:59:82, 38:a9:1c:2e:95:c5, a2:d1:e6:a7:73:66, 24:b8:da:7c:3a:60, 70:fd:45:4a:d7:61, 70:fd:45:4a:d7:60, 22:28:3e:14:fc:d4, 24:69:68:f0:0d:88, 20:28:3e:04:fc:d4, bc:9b:5e:fc:58:bf, 70:fd:45:4a:d7:62, 70:fd:45:4a:d7:63]","[camera, livestream, camera, haikang, livestream, Livat WiFi, haikang, Livat WiFi, 芒果Mango, CMCC-樊文花, tengye_5G, 修个机-5G, LTE-WiFi_5A1D_5G, Mastet boxing-5G, 十二集新中式养生-5G, , LTE-WiFi_5A1D_5G, 洗脸熊-5G, camera, livestream, livestream, camera, livestream, haikang, Livat WiFi, camera, haikang, Livat WiFi, livestream, camera, haikang, Livat WiFi, haikang, LTE-WiFi_5A1D, LTE-WiFi_5A1D, tengye, Xiaomi 14, CMCC-樊文花, haikang, Livat WiFi, iTV-3Y2r, 艾力斯特, ChinaNet-3Y2r, 芒果Mango, livestream, camera]","[-83, -82, -81, -82, -80, -83, -79, -81, -67, -86, -59, -91, -64, -82, -87, -67, -64, -83, -90, -90, -82, -62, -62, -62, -63, -84, -87, -74, -81, -81, -82, -82, -72, -52, -55, -59, -62, -78, -60, -73, -59, -55, -59, -51, -60, -61]"
20241102_16:28,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 473, 475]","[-72, -87, -74, -91]","[44:a1:91:a5:7c:d3, 44:a1:91:a5:7c:d2, 44:a1:91:a5:7c:d1, 44:a1:91:a5:7c:d0, bc:9b:5e:fc:58:c1, 02:b5:53:61:39:64, 70:fd:45:71:14:52, 70:fd:45:71:14:53, 70:fd:45:71:14:51, 44:a1:91:a5:79:d3, 44:a1:91:a5:79:d2, 44:a1:91:a5:79:d1, 44:a1:91:a5:78:33, 44:a1:91:a5:78:32, 70:fd:45:71:14:50, 44:a1:91:a5:78:31, 44:a1:91:a5:79:d0, 44:a1:91:a5:78:30, 16:9f:4f:bc:f6:3b, 10:9f:4f:bc:f6:3b, 38:a9:1c:2e:95:c6, 6a:77:da:3b:c0:79, c0:49:43:f1:59:83, c2:49:43:b1:59:83, cc:29:bd:02:98:01, c0:49:43:b2:a9:e1, c2:49:43:b2:a9:e1, cc:29:bd:e0:8c:ee, 5c:e8:83:7e:a4:b3, 5c:e8:83:7e:a4:b2, 5c:e8:83:7e:a4:b1, 70:fd:45:4a:d7:73, 70:fd:45:4a:d7:72, 70:fd:45:4a:d7:71, 70:fd:45:4a:d7:70, 5c:e8:83:7e:a4:b0, 44:a1:91:a5:79:c3, 44:a1:91:a5:79:c1, 22:08:89:b1:d8:e8, 20:08:89:91:d8:e8, c0:49:43:b2:a9:e0, c0:49:43:f1:59:82, a2:d1:e6:a7:73:66, 24:b8:da:7c:3a:60, 24:69:68:f0:0d:88, e8:9a:ff:06:a5:bb, bc:9b:5e:fc:58:bf, 44:a1:91:a5:95:b3, 44:a1:91:a5:95:b2, 44:a1:91:a5:95:b1, 44:a1:91:a5:95:b0, 24:b8:da:7c:3a:64, 68:77:da:0b:c0:79, 68:4a:ae:9f:7e:93, 68:4a:ae:9f:7e:92, 44:a1:91:a5:79:c0, 44:a1:91:a5:95:a2, 44:a1:91:a5:95:a3, 44:a1:91:a5:95:a1, 44:a1:91:a5:95:a0, 38:a9:1c:2e:95:c5, 70:fd:45:4a:d7:61, 70:fd:45:4a:d7:60, 22:28:3e:14:fc:d4, 20:28:3e:04:fc:d4, 70:fd:45:4a:d7:62, 70:fd:45:4a:d7:63]","[camera, livestream, haikang, Livat WiFi, 芒果Mango, 萌宝奇贝_5G, livestream, camera, haikang, camera, livestream, haikang, camera, livestream, Livat WiFi, haikang, Livat WiFi, Livat WiFi, , 修个机-5G, tengye_5G, , LTE-WiFi_5A1D_5G, , Mastet boxing-5G, LTE-WiFi_5A1D_5G, , 洗脸熊-5G, camera, livestream, haikang, camera, livestream, haikang, Livat WiFi, Livat WiFi, camera, haikang, , Master boxing, LTE-WiFi_5A1D, LTE-WiFi_5A1D, Xiaomi 14, CMCC-樊文花, 艾力斯特, DIRECT-13-Android_81d3, 芒果Mango, camera, livestream, haikang, Livat WiFi, CMCC-樊文花, 十二集新中式养生-5G, camera, livestream, Livat WiFi, livestream, camera, haikang, Livat WiFi, tengye, haikang, Livat WiFi, iTV-3Y2r, ChinaNet-3Y2r, livestream, camera]","[-76, -76, -76, -76, -64, -88, -88, -87, -88, -78, -77, -78, -81, -81, -85, -84, -78, -81, -91, -90, -76, -92, -71, -74, -90, -69, -68, -89, -83, -85, -83, -67, -67, -66, -68, -84, -79, -79, -79, -80, -61, -58, -59, -74, -60, -76, -62, -83, -82, -82, -83, -86, -87, -90, -90, -74, -81, -81, -82, -82, -59, -60, -73, -59, -59, -60, -61]"
20241102_16:28,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 473, 475]","[-85, -101, -75, -96]","[44:a1:91:a5:7c:d3, 44:a1:91:a5:7c:d2, 44:a1:91:a5:7c:d1, 44:a1:91:a5:7c:d0, bc:9b:5e:fc:58:c1, 02:b5:53:61:39:64, 70:fd:45:71:14:52, 70:fd:45:71:14:50, 70:fd:45:71:14:53, 70:fd:45:71:14:51, 44:a1:91:a5:79:d2, 44:a1:91:a5:79:d3, 44:a1:91:a5:79:d0, 44:a1:91:a5:79:d1, 38:a9:1c:2e:95:c6, 20:08:89:91:d8:e9, c0:49:43:f1:59:83, c2:49:43:b1:59:83, cc:29:bd:e0:8c:ee, 70:fd:45:4a:d7:73, 70:fd:45:4a:d7:72, 70:fd:45:4a:d7:71, 70:fd:45:4a:d7:70, 5c:e8:83:7e:a4:b0, 5c:e8:83:7e:a4:b1, 44:a1:91:a5:79:c1, 44:a1:91:a5:79:c0, 02:b5:53:61:39:60, c0:49:43:b2:a9:e0, c0:49:43:f1:59:82, 38:a9:1c:2e:95:c5, bc:fd:0c:81:25:38, a2:d1:e6:a7:73:66, 70:fd:45:4a:d7:60, 24:69:68:f0:0d:88, bc:9b:5e:fc:58:bf, 44:a1:91:a5:78:33, 44:a1:91:a5:78:32, 44:a1:91:a5:78:31, 44:a1:91:a5:78:30, 16:9f:4f:bc:f6:3b, 10:9f:4f:bc:f6:3b, 6a:77:da:3b:c0:79, cc:29:bd:02:98:01, c0:49:43:b2:a9:e1, c2:49:43:b2:a9:e1, 5c:e8:83:7e:a4:b3, 5c:e8:83:7e:a4:b2, 44:a1:91:a5:79:c3, 22:08:89:b1:d8:e8, 20:08:89:91:d8:e8, 24:b8:da:7c:3a:60, e8:9a:ff:06:a5:bb, 44:a1:91:a5:95:b3, 44:a1:91:a5:95:b2, 44:a1:91:a5:95:b1, 44:a1:91:a5:95:b0, 24:b8:da:7c:3a:64, 68:77:da:0b:c0:79, 68:4a:ae:9f:7e:93, 68:4a:ae:9f:7e:92, 44:a1:91:a5:95:a2, 44:a1:91:a5:95:a3, 44:a1:91:a5:95:a1, 44:a1:91:a5:95:a0, 70:fd:45:4a:d7:61, 22:28:3e:14:fc:d4, 20:28:3e:04:fc:d4, 70:fd:45:4a:d7:62, 70:fd:45:4a:d7:63]","[camera, livestream, haikang, Livat WiFi, 芒果Mango, 萌宝奇贝_5G, livestream, Livat WiFi, camera, haikang, livestream, camera, Livat WiFi, haikang, tengye_5G, Mastet boxing-5G, LTE-WiFi_5A1D_5G, , 洗脸熊-5G, camera, livestream, haikang, Livat WiFi, Livat WiFi, haikang, haikang, Livat WiFi, 萌宝奇贝, LTE-WiFi_5A1D, LTE-WiFi_5A1D, tengye, CAR_DVR_78812538, Xiaomi 14, Livat WiFi, 艾力斯特, 芒果Mango, camera, livestream, haikang, Livat WiFi, , 修个机-5G, , Mastet boxing-5G, LTE-WiFi_5A1D_5G, , camera, livestream, camera, , Master boxing, CMCC-樊文花, DIRECT-13-Android_81d3, camera, livestream, haikang, Livat WiFi, CMCC-樊文花, 十二集新中式养生-5G, camera, livestream, livestream, camera, haikang, Livat WiFi, haikang, iTV-3Y2r, ChinaNet-3Y2r, livestream, camera]","[-82, -81, -82, -82, -69, -89, -88, -88, -89, -89, -83, -83, -82, -82, -77, -91, -73, -70, -91, -82, -81, -80, -81, -89, -89, -86, -86, -73, -57, -58, -65, -82, -65, -78, -53, -57, -81, -81, -84, -81, -91, -90, -92, -90, -69, -68, -83, -85, -79, -79, -80, -74, -76, -83, -82, -82, -83, -86, -87, -90, -90, -81, -81, -82, -82, -60, -59, -59, -60, -61]"
20241102_16:28,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 473, 475]","[-77, -92, -79, -95]",[],[],[]
20241102_16:28,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 473, 475, 322]","[-71, -99, -77, -97, -101]",[],[],[]
20241102_16:28,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 473, 475, 322]","[-72, -90, -76, -92, -94]",[],[],[]
20241102_16:28,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 473, 475, 322]","[-84, -99, -80, -102, -105]",[],[],[]
20241102_16:28,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 475, 473, 475]","[-74, -113, -64, -99]",[],[],[]
20241102_16:28,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 473, 475, 322]","[-67, -70, -98, -104]",[],[],[]
