Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
17:07:57:355,0.1747,2.601,9.6431,54.7807,-0.2125,-0.0893,-0.0659,180.5787
17:07:57:396,0.1747,2.601,9.6431,53.7725,-0.2626,0.0096,-0.0317,171.2155
17:07:57:413,0.1747,2.601,9.6431,54.7891,-0.2626,0.0096,-0.0317,171.22
17:07:57:430,0.2513,2.7541,9.0353,52.8714,-0.2626,0.0096,-0.0317,171.3838
17:07:57:449,0.3446,2.7876,9.0018,54.1264,0.0416,-0.1638,-0.0158,171.5676
17:07:57:461,0.3015,2.7589,9.3464,53.9084,-0.0305,-0.1846,-0.0513,171.7043
17:07:57:478,0.1866,2.6967,9.7484,54.0756,-0.0928,-0.1736,-0.0733,171.6642
17:07:57:498,0.0335,2.6321,9.8034,52.7012,-0.0708,-0.093,-0.0671,171.5154
17:07:57:517,-0.1292,2.6465,9.5737,52.622,0.0049,-0.0441,-0.0537,171.2753
17:07:57:538,-0.0885,2.7015,9.1932,54.6239,0.0599,-0.0746,-0.0219,171.1107
17:07:57:555,0.0455,2.7494,9.1382,53.6268,0.0563,-0.1003,0.0049,171.0087
17:07:57:575,0.0718,2.7565,9.4469,54.2063,0.0074,-0.1113,0.0037,170.9409
17:07:57:594,0.0263,2.7063,9.5904,52.5183,0.0062,-0.1064,-0.0024,170.8358
17:07:57:613,0.0574,2.735,9.4804,53.7284,0.0453,-0.0954,-0.0012,170.7617
17:07:57:632,-0.0096,2.7494,9.2339,54.4562,0.066,-0.049,0.0049,170.6783
17:07:57:665,0.0359,2.8068,9.2411,53.9084,0.0343,-0.0148,0.0245,170.5652
17:07:57:675,0.2345,2.7709,9.2818,54.8894,-0.0219,-0.0563,0.0428,170.525
17:07:57:700,0.28,2.7589,9.4134,54.7891,-0.0537,-0.0563,0.044,170.512
17:07:57:714,0.3183,2.7446,9.5402,53.9084,-0.0708,-0.0575,0.0355,170.5043
17:07:57:731,0.3637,2.7422,9.5522,56.1318,-0.0647,-0.0685,0.0342,170.5199
17:07:57:748,0.4642,2.7829,9.5904,55.2292,-0.0415,-0.0551,0.0514,170.559
17:07:57:770,0.5695,2.7972,9.4493,53.0523,-0.0121,-0.0478,0.0587,170.5748
17:07:57:810,0.5192,2.8451,9.2961,54.2279,0.0086,-0.0209,0.0599,170.5563
17:07:57:811,0.5743,2.8427,9.4229,54.0793,-0.006,-0.049,0.0685,170.5499
17:07:57:835,0.7418,2.8499,9.4493,55.1431,-0.0158,-0.1064,0.0807,170.5652
17:07:57:848,0.8016,2.8953,9.3559,55.452,0.0184,-0.1076,0.0868,170.5951
17:07:57:869,0.8231,2.9312,9.1143,53.6385,0.0502,-0.1113,0.0782,170.603
17:07:57:904,0.8782,2.9862,8.8678,53.749,0.0441,-0.1272,0.0648,170.6578
17:07:57:910,0.8925,2.9767,8.7673,55.3651,-0.0073,-0.1284,0.044,170.7183
17:07:57:942,0.8447,2.948,8.9037,56.5286,-0.0781,-0.1211,0.0159,170.7532
17:07:57:948,0.792,2.8905,9.2076,55.2354,-0.127,-0.1272,-0.0036,170.7978
17:07:57:972,0.7992,2.8953,9.3081,54.7295,-0.1282,-0.1235,-0.011,170.8532
17:07:57:991,0.8447,2.9073,9.2698,55.5732,-0.0903,-0.1137,-0.0256,170.9397
17:07:58:011,0.9117,2.9312,9.1884,54.3073,-0.0622,-0.1394,-0.0574,171.061
17:07:58:033,0.9476,2.9719,9.1813,54.7866,-0.0574,-0.1822,-0.0965,171.2722
17:07:58:048,1.2514,3.0748,9.1621,53.7284,-0.0488,-0.209,-0.1294,171.5198
17:07:58:072,1.5266,3.1202,9.3153,54.7891,-0.0293,-0.1919,-0.1856,171.9073
17:07:58:099,1.3448,3.0532,9.4564,55.1135,0.022,-0.2176,-0.2932,172.3924
17:07:58:114,1.3591,3.1059,8.9946,54.624,0.1222,-0.2616,-0.3628,172.922
17:07:58:137,1.608,3.3499,8.3318,54.3057,0.1907,-0.2054,-0.3469,173.507
17:07:58:151,1.919,3.4624,8.0686,54.0793,0.1039,-0.176,-0.3384,174.1547
17:07:58:175,1.6415,3.1298,9.3918,53.4435,-0.3432,-0.2261,-0.4288,175.37
17:07:58:194,1.06,3.0485,9.7244,53.5956,-0.4141,-0.1907,-0.4422,175.9139
17:07:58:211,0.5719,3.2447,9.3607,56.6343,-0.3261,-0.0856,-0.3604,176.2358
17:07:58:228,0.591,3.5916,8.7003,54.4562,-0.1893,-0.0014,-0.2186,176.4121
17:07:58:248,0.871,3.9075,8.3222,55.3837,-0.1649,-0.027,-0.1172,176.54
17:07:58:269,0.9978,4.0965,8.3844,54.4562,-0.2516,-0.2017,-0.083,176.6987
17:07:58:291,1.1079,3.9697,8.1452,54.1209,-0.3237,-0.3886,-0.1185,176.9636
17:07:58:309,0.8758,4.0319,8.327,55.1642,-0.3542,-0.3972,-0.1869,177.2558
17:07:58:328,0.5551,4.1659,8.4419,54.3129,-0.3445,-0.2689,-0.1893,177.4775
17:07:58:349,0.5982,4.1085,8.3725,54.1209,-0.2516,-0.0502,-0.1392,177.5988
17:07:58:369,0.4929,3.9505,8.5663,53.9398,-0.1575,0.2418,-0.116,177.5736
17:07:58:390,0.2273,4.0056,8.54,53.7572,-0.1331,0.3285,-0.1441,177.5444
17:07:58:409,0.0359,3.8189,8.4658,53.6623,-0.1453,0.2442,-0.1649,177.5204
17:07:58:430,0.1555,3.6108,8.4395,54.1361,-0.1844,0.1318,-0.1429,177.5336
17:07:58:449,0.4714,3.6969,8.9228,54.0348,-0.254,0.0646,-0.0916,177.5582
17:07:58:472,0.3733,3.9841,8.8295,52.8122,-0.2711,0.1196,-0.0635,177.4987
17:07:58:495,0.3829,3.74,8.8367,52.9679,-0.1807,0.4189,-0.0623,177.3875
17:07:58:508,-0.1723,4.0558,8.9994,53.6666,-0.0512,0.6767,-0.1062,177.1816
17:07:58:528,-0.1986,4.3262,8.7984,54.1361,0.0392,0.6181,-0.0769,176.964
17:07:58:548,0.5982,4.1085,8.1547,53.2106,0.0563,0.4152,-0.0061,176.8372
17:07:58:569,0.2943,4.2066,8.8032,53.4285,-0.0317,0.3187,-0.0647,176.7922
17:07:58:593,-0.3709,3.7591,9.6837,53.2236,-0.1306,0.2124,-0.1062,176.7384
17:07:58:612,-0.6532,3.5725,10.2269,53.5374,-0.0842,0.1514,-0.039,176.6035
17:07:58:642,0.3876,3.5988,10.593,53.3464,0.0673,0.3823,0.154,176.1096
17:07:58:661,0.4642,3.3236,11.3611,54.9192,0.0062,0.4568,0.1014,175.866
17:07:58:666,-0.012,2.9695,12.3781,53.3482,-0.0659,0.3456,0.0196,175.6935
17:07:58:687,-0.5192,2.6106,12.993,55.7266,-0.05,0.166,0.0379,175.491
17:07:58:708,-0.5599,2.4431,12.8351,53.8935,0.077,0.1123,0.1918,175.1642
17:07:58:729,-0.2393,2.4024,12.4307,53.9145,0.198,0.1623,0.3788,174.6708
17:07:58:748,-0.2369,2.2062,12.3757,54.1361,0.1882,0.2246,0.4802,174.0422
17:07:58:769,-0.1388,2.2516,12.3805,54.7706,0.0697,0.2955,0.5352,173.3639
17:07:58:791,-0.1723,1.9382,12.0431,54.2927,0.0111,0.4287,0.5694,172.6354
17:07:58:811,-0.5121,1.7994,10.9591,52.2192,0.1442,0.5203,0.5767,171.8417
17:07:58:829,-0.5695,2.0411,9.9685,53.2806,0.3372,0.4556,0.6537,170.9987
17:07:58:848,-0.0479,2.2445,9.5809,53.0955,0.3898,0.1037,0.7245,170.2017
17:07:58:870,0.4307,2.2277,9.7244,55.7182,0.314,-0.2445,0.6854,169.6016
17:07:58:891,0.256,2.0076,9.6861,52.0966,0.2017,-0.3239,0.5266,169.1861
17:07:58:909,-0.1077,1.6989,9.0018,54.1209,0.1284,-0.1553,0.3922,168.8024
17:07:58:929,-0.347,1.5601,7.5517,54.5504,0.1491,0.1575,0.3959,168.3169
17:07:58:949,-0.3183,1.663,5.8504,54.4296,0.1784,0.4678,0.5022,167.6216
17:07:58:972,-0.0814,1.8784,4.7713,54.235,0.0758,0.6559,0.5877,166.7768
17:07:58:990,0.0096,2.0435,4.8096,55.8265,-0.1783,0.739,0.595,165.923
17:07:59:009,-0.28,2.0315,5.5872,52.9956,-0.4483,0.7378,0.5474,165.0873
17:07:59:028,-0.7274,2.1224,6.9751,52.9956,-0.5643,0.6633,0.5254,164.2963
17:07:59:048,-1.1557,2.3713,7.7216,52.9956,-0.4165,0.4849,0.5645,163.4977
17:07:59:073,-0.8327,2.321,7.8365,52.9956,-0.127,0.2613,0.6427,162.7181
17:07:59:097,-0.213,2.8068,7.8245,55.9177,0.2249,-0.0404,0.54,161.4648
17:07:59:111,-0.5408,3.1226,8.6453,55.9177,0.1589,-0.082,0.3568,161.1008
17:07:59:128,-0.9332,3.0389,9.4516,55.9177,0.1027,-0.0954,0.22,160.8846
