Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
20230627_17:07,"['Lte', 'Lte']","[473, 475]","[-74, -93]","[bc:9b:5e:fc:58:c1, bc:9b:5e:fc:58:bf, 22:28:3e:14:fc:d4, 20:28:3e:04:fc:d4, 38:a9:1c:2e:95:c6, 3e:a9:1c:2e:95:c6, 24:69:68:f0:0d:88, 0e:b5:9b:17:0a:70, 7c:b5:9b:17:0a:70, 82:cb:fb:c3:f8:3d, 38:a9:1c:2e:95:c5, dc:97:58:ce:79:3b, 44:a1:91:a5:79:c3, 74:f8:db:6a:5a:1d, 34:ac:11:62:23:f7, 70:fd:45:4a:d7:72, 44:a1:91:a5:79:c0, 44:a1:91:a5:7c:d0, 70:fd:45:4a:d7:70, 70:fd:45:4a:d7:71, 70:fd:45:4a:d7:73, 02:b5:53:61:39:64, 70:fd:45:71:14:53, 44:a1:91:a5:79:d2, 44:a1:91:a5:79:d3, cc:29:bd:02:98:01, 44:a1:91:a5:79:d1, 44:a1:91:a5:95:b3, 24:b8:da:7c:3a:64, 70:fd:45:71:14:50, 70:fd:45:71:14:52, 70:fd:45:71:14:51, 44:a1:91:a5:79:d0, 44:a1:91:a5:95:b0, 44:a1:91:a5:95:b2, ce:29:bd:72:98:00, 70:fd:45:71:14:41]","[芒果Mango, 芒果Mango, iTV-3Y2r, ChinaNet-3Y2r, tengye_5G, , 艾力斯特, 有家便利店, , HUAWEI_B311_F8C3, tengye, Hi- irest-Massage Chai-12GR07   , public, LTE-WiFi_5A1D, 樊文花, CO-001, Livat WiFi, Livat WiFi, Livat WiFi, haikang, public, 萌宝奇贝_5G, public, CO-001, public, Mastet boxing-5G, haikang, public, CMCC-tTk5-5G, Livat WiFi, CO-001, haikang, Livat WiFi, Livat WiFi, CO-001, , haikang]","[-64, -66, -66, -67, -68, -68, -68, -73, -75, -78, -79, -79, -80, -82, -82, -83, -83, -84, -84, -84, -85, -87, -87, -88, -88, -88, -89, -89, -89, -89, -89, -89, -90, -90, -90, -90, -92]"
20230627_17:07,"['Lte', 'Lte']","[473, 475]","[-80, -84]","[bc:9b:5e:fc:58:bf, 22:28:3e:14:fc:d4, bc:9b:5e:fc:58:c1, 20:28:3e:04:fc:d4, 24:69:68:f0:0d:88, 7c:b5:9b:17:0a:70, 0e:b5:9b:17:0a:70, 74:f8:db:6a:5a:1d, d4:d2:d6:d1:ab:ad, 38:a9:1c:2e:95:c6, 3e:a9:1c:2e:95:c6, 70:fd:45:4a:d7:62, 70:fd:45:4a:d7:63, dc:97:58:ce:79:3b, 70:fd:45:4a:d7:70, 70:fd:45:4a:d7:71, 70:fd:45:4a:d7:73, 70:fd:45:4a:d7:72, 44:a1:91:a5:7c:d3, 44:a1:91:a5:95:b2, 34:ac:11:62:23:f7, 02:b5:53:61:39:60, 44:a1:91:a5:7c:d0, 44:a1:91:a5:7c:d1, 44:a1:91:a5:7c:d2, 44:a1:91:a5:95:b3, 82:cb:fb:c3:f8:3d, 44:a1:91:a5:95:b1, 44:a1:91:a5:79:d0, 44:a1:91:a5:79:d2, 44:a1:91:a5:79:d3, 44:a1:91:a5:95:b0, 02:b5:53:61:39:64, f4:6d:2f:34:39:da, 44:a1:91:a5:79:d1, 44:a1:91:a5:78:30, ac:83:f3:cc:c8:83, 62:e6:f0:66:0d:7b, 70:fd:45:71:14:53, 44:a1:91:a5:78:31, 44:a1:91:a5:78:32, 5c:e8:83:7e:a4:b0, 24:b8:da:7c:3a:64, 46:59:43:34:0b:de]","[芒果Mango, iTV-3Y2r, 芒果Mango, ChinaNet-3Y2r, 艾力斯特, , 有家便利店, LTE-WiFi_5A1D, CAR-DVR-abad, tengye_5G, , CO-001, public, Hi- irest-Massage Chai-12GR07   , Livat WiFi, haikang, public, CO-001, public, CO-001, 樊文花, 萌宝奇贝, Livat WiFi, haikang, CO-001, public, HUAWEI_B311_F8C3, haikang, Livat WiFi, CO-001, public, Livat WiFi, 萌宝奇贝_5G, GLK, haikang, Livat WiFi, HZA60-2FBF4B, Audi_MMI_3568, public, haikang, CO-001, Livat WiFi, CMCC-tTk5-5G, ]","[-63, -64, -64, -66, -69, -71, -72, -73, -73, -74, -75, -76, -78, -79, -81, -81, -81, -81, -83, -83, -83, -83, -84, -84, -84, -84, -84, -84, -85, -85, -85, -85, -85, -85, -86, -88, -88, -88, -89, -90, -90, -91, -91, -92]"
20230627_17:08,"['Lte', 'Lte']","[473, 475]","[-77, -93]","[20:28:3e:04:fc:d4, d4:d2:d6:d1:ab:ad, 0e:b5:9b:17:0a:70, 24:69:68:f0:0d:88, bc:9b:5e:fc:58:bf, 22:28:3e:14:fc:d4, 7c:b5:9b:17:0a:70, 38:a9:1c:2e:95:c5, 74:f8:db:6a:5a:1d, dc:97:58:ce:79:3b, 3e:a9:1c:2e:95:c6, 38:a9:1c:2e:95:c6, 44:a1:91:a5:7c:d1, 44:a1:91:a5:7c:c0, 44:a1:91:a5:7c:c3, 44:a1:91:a5:7c:d0, 44:a1:91:a5:7c:d3, 82:cb:fb:c3:f8:3d, 44:a1:91:a5:7c:d2, 70:fd:45:4a:d7:70, 70:fd:45:4a:d7:71, 70:fd:45:4a:d7:73, 70:fd:45:4a:d7:72, 44:a1:91:a5:95:b3, 34:ac:11:62:23:f7, 44:a1:91:a5:79:c1, 44:a1:91:a5:79:c2, 44:a1:91:a5:79:d3, 44:a1:91:a5:95:b2, 02:b5:53:61:39:64, 44:a1:91:a5:95:b1, ce:29:bd:32:98:00, 44:a1:91:a5:78:20, 44:a1:91:a5:79:c0, 44:a1:91:a5:79:d2, 44:a1:91:a5:95:b0, 44:a1:91:a5:78:32, 44:a1:91:a5:78:33, 44:a1:91:a5:79:d0, 44:a1:91:a5:79:d1, 70:fd:45:71:14:53, ac:83:f3:cc:c8:83, 70:fd:45:71:14:51, 5c:e8:83:7e:a4:b2, 5c:e8:83:7e:a4:b0, 5c:e8:83:7e:a4:b1, 5c:e8:83:7e:a4:b3, 64:64:4a:99:f6:29]","[ChinaNet-3Y2r, CAR-DVR-abad, 有家便利店, 艾力斯特, 芒果Mango, iTV-3Y2r, , tengye, LTE-WiFi_5A1D, Hi- irest-Massage Chai-12GR07   , , tengye_5G, haikang, Livat WiFi, public, Livat WiFi, public, HUAWEI_B311_F8C3, CO-001, Livat WiFi, haikang, public, CO-001, public, 樊文花, haikang, CO-001, public, CO-001, 萌宝奇贝_5G, haikang, , Livat WiFi, Livat WiFi, CO-001, Livat WiFi, CO-001, public, Livat WiFi, haikang, public, HZA60-2FBF4B, haikang, CO-001, Livat WiFi, haikang, public, 小鹏]","[-66, -67, -68, -68, -70, -71, -76, -76, -77, -78, -80, -81, -82, -82, -82, -83, -83, -83, -84, -84, -84, -84, -85, -85, -85, -85, -85, -86, -86, -86, -86, -86, -86, -86, -87, -87, -87, -87, -88, -88, -88, -88, -89, -89, -90, -90, -91, -93]"
20230627_17:08,"['Lte', 'Lte']","[473, 475]","[-75, -96]","[24:69:68:f0:0d:88, dc:97:58:ce:79:3b, 74:f8:db:6a:5a:1d, 7c:b5:9b:17:0a:70, 0e:b5:9b:17:0a:70, 22:28:3e:14:fc:d4, 04:6b:25:e6:47:f1, bc:9b:5e:fc:58:bf, 20:28:3e:04:fc:d4, d4:d2:d6:d1:ab:ad, 44:a1:91:a5:79:c0, 38:a9:1c:2e:95:c5, 44:a1:91:a5:79:c3, 44:a1:91:a5:79:d0, 44:a1:91:a5:79:c2, 38:a9:1c:2e:95:c6, 44:a1:91:a5:79:d2, 44:a1:91:a5:79:d3, 3e:a9:1c:2e:95:c6, 44:a1:91:a5:7c:d0, 44:a1:91:a5:7c:d1, 44:a1:91:a5:7c:d2, 44:a1:91:a5:7c:d3, 70:fd:45:4a:d7:71, 70:fd:45:4a:d7:72, 44:a1:91:a5:79:d1, 44:a1:91:a5:95:b3, 62:e6:f0:66:0d:7b, 44:a1:91:a5:79:c1, 70:fd:45:4a:d7:70, 34:ac:11:62:23:f7, e8:9a:ff:06:a5:bb, 70:fd:45:4a:d7:73, 44:a1:91:a5:95:b2, 44:a1:91:a5:95:b1, 44:a1:91:a5:78:31, 44:a1:91:a5:95:b0, 54:ef:33:5a:c8:7c, 44:a1:91:a5:78:30, 44:a1:91:a5:78:32, 44:a1:91:a5:7c:c2, 44:a1:91:a5:78:33, 5c:e8:83:7e:a4:b0, 70:fd:45:71:14:53]","[艾力斯特, Hi- irest-Massage Chai-12GR07   , LTE-WiFi_5A1D, , 有家便利店, iTV-3Y2r, ChinaNet-tfHs, 芒果Mango, ChinaNet-3Y2r, CAR-DVR-abad, Livat WiFi, tengye, public, Livat WiFi, CO-001, tengye_5G, CO-001, public, , Livat WiFi, haikang, CO-001, public, haikang, CO-001, haikang, public, Audi_MMI_3568, haikang, Livat WiFi, 樊文花, DIRECT-13-Android_81d3, public, CO-001, haikang, haikang, Livat WiFi, IPCWiFi48AB5C, Livat WiFi, CO-001, CO-001, public, Livat WiFi, public]","[-61, -70, -71, -71, -72, -72, -72, -73, -74, -77, -78, -82, -83, -84, -84, -85, -85, -85, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -87, -87, -87, -88, -88, -88, -89, -89, -89, -90, -90, -90, -91, -93, -93]"
20230627_17:08,"['Lte', 'Lte']","[473, 475]","[-65, -96]","[24:69:68:f0:0d:88, 7c:b5:9b:17:0a:70, 0e:b5:9b:17:0a:70, bc:9b:5e:fc:58:bf, dc:97:58:ce:79:3b, bc:9b:5e:fc:58:c1, 22:28:3e:14:fc:d4, 74:f8:db:6a:5a:1d, 38:a9:1c:2e:95:c6, 70:fd:45:4a:d7:63, 3e:a9:1c:2e:95:c6, 44:a1:91:a5:79:d0, 44:a1:91:a5:79:d1, 44:a1:91:a5:79:d2, ee:23:7b:d9:d9:65, ec:23:7b:c9:d9:65, 70:fd:45:4a:d7:70, 44:a1:91:a5:79:d3, ac:83:f3:cc:c8:83, 70:fd:45:4a:d7:71, 70:fd:45:4a:d7:72, 70:fd:45:4a:d7:60, 70:fd:45:4a:d7:73]","[艾力斯特, , 有家便利店, 芒果Mango, Hi- irest-Massage Chai-12GR07   , 芒果Mango, iTV-3Y2r, LTE-WiFi_5A1D, tengye_5G, public, , Livat WiFi, haikang, CO-001, iTV-SSID2, MUJOSH, Livat WiFi, public, HZA60-2FBF4B, haikang, CO-001, Livat WiFi, public]","[-58, -66, -67, -73, -77, -77, -82, -85, -87, -87, -88, -88, -88, -88, -88, -89, -90, -90, -90, -91, -91, -91, -92]"
20230627_17:08,"['Lte', 'Lte']","[473, 475]","[-68, -96]","[7c:b5:9b:17:0a:70, bc:9b:5e:fc:58:c1, 24:69:68:f0:0d:88, 0e:b5:9b:17:0a:70, e8:9a:ff:06:a5:bb, dc:97:58:ce:79:3b, bc:9b:5e:fc:58:bf, 74:f8:db:6a:5a:1d, 22:28:3e:14:fc:d4, 54:ef:33:5a:c8:7c, 44:a1:91:a5:79:d1, 44:a1:91:a5:79:d2, 44:a1:91:a5:95:b2, 38:a9:1c:2e:95:c5, 44:a1:91:a5:79:d3, 44:a1:91:a5:95:b0, 44:a1:91:a5:95:b1, 70:fd:45:4a:d7:70, 44:a1:91:a5:79:d0, 44:a1:91:a5:95:b3, ee:23:7b:d9:d9:65]","[, 芒果Mango, 艾力斯特, 有家便利店, DIRECT-13-Android_81d3, Hi- irest-Massage Chai-12GR07   , 芒果Mango, LTE-WiFi_5A1D, iTV-3Y2r, IPCWiFi48AB5C, haikang, CO-001, CO-001, tengye, public, Livat WiFi, haikang, Livat WiFi, Livat WiFi, public, iTV-SSID2]","[-60, -66, -68, -69, -70, -73, -74, -78, -84, -87, -89, -89, -89, -89, -90, -90, -90, -91, -91, -91, -94]"
20230627_17:08,"['Lte', 'Lte']","[473, 475]","[-71, -96]","[24:69:68:f0:0d:88, dc:97:58:ce:79:3b, e8:9a:ff:06:a5:bb, 56:3a:1e:83:96:73, 54:ef:33:5a:c8:7c, 44:a1:91:a5:79:d2, 44:a1:91:a5:79:d3, 34:ac:11:62:23:f7, 44:a1:91:a5:79:d1, 44:a1:91:a5:95:b2, 44:a1:91:a5:95:b1, 44:a1:91:a5:95:b3]","[艾力斯特, Hi- irest-Massage Chai-12GR07   , DIRECT-13-Android_81d3, , IPCWiFi48AB5C, CO-001, public, 樊文花, haikang, CO-001, haikang, public]","[-66, -86, -86, -87, -88, -89, -89, -89, -90, -90, -90, -91]"
20230627_17:08,"['Lte', 'Lte']","[473, 475]","[-78, -97]","[24:69:68:f0:0d:88, bc:9b:5e:fc:58:bf, 7c:b5:9b:17:0a:70, 04:6b:25:e6:47:f1, 0e:b5:9b:17:0a:70, dc:97:58:ce:79:3b, e8:9a:ff:06:a5:bb, 22:28:3e:14:fc:d4, 64:64:4a:2d:eb:54, 68:4a:ae:9f:64:a1, 68:4a:ae:9f:64:a0]","[艾力斯特, 芒果Mango, , ChinaNet-tfHs, 有家便利店, Hi- irest-Massage Chai-12GR07   , DIRECT-13-Android_81d3, iTV-3Y2r, 小鹏, haikang, Livat WiFi]","[-69, -73, -74, -78, -80, -84, -86, -88, -91, -93, -94]"
20230627_17:08,"['Lte', 'Lte']","[473, 475]","[-75, -94]","[24:69:68:f0:0d:88, 7c:b5:9b:17:0a:70, 0e:b5:9b:17:0a:70, bc:9b:5e:fc:58:c1, 04:6b:25:e6:47:f1, 74:f8:db:6a:5a:1d, e8:9a:ff:06:a5:bb, 22:28:3e:14:fc:d4, 56:3a:1e:83:96:73, 64:64:4a:2d:eb:54, 20:28:3e:04:fc:d4, 68:3a:1e:83:96:73, 34:ac:11:62:23:f7, dc:97:58:ce:79:3b, 82:cb:fb:c3:f8:3d, 68:4a:ae:9f:64:c3, 54:ef:33:5a:c8:7c, aa:02:db:ba:f4:54]","[艾力斯特, , 有家便利店, 芒果Mango, ChinaNet-tfHs, LTE-WiFi_5A1D, DIRECT-13-Android_81d3, iTV-3Y2r, , 小鹏, ChinaNet-3Y2r, , 樊文花, Hi- irest-Massage Chai-12GR07   , HUAWEI_B311_F8C3, public, IPCWiFi48AB5C, ]","[-68, -76, -78, -78, -80, -83, -84, -86, -86, -86, -87, -89, -90, -91, -92, -94, -95, -95]"
20230627_17:08,"['Lte', 'Lte']","[473, 475]","[-76, -93]","[24:69:68:f0:0d:88, 0e:b5:9b:17:0a:70, 7c:b5:9b:17:0a:70, 04:6b:25:e6:47:f1, bc:9b:5e:fc:58:bf, e8:9a:ff:06:a5:bb, ec:23:7b:c9:d9:65, 22:28:3e:14:fc:d4, 74:f8:db:6a:5a:1d, 4a:87:64:98:75:17, dc:97:58:ce:79:3b, 56:3a:1e:83:96:73, 68:3a:1e:83:96:73, a2:cd:f3:f4:16:4f]","[艾力斯特, 有家便利店, , ChinaNet-tfHs, 芒果Mango, DIRECT-13-Android_81d3, MUJOSH, iTV-3Y2r, LTE-WiFi_5A1D, vivo@Y93s@MW, Hi- irest-Massage Chai-12GR07   , , , My MIB 509114 5 GHz]","[-71, -73, -76, -80, -81, -84, -84, -86, -88, -88, -89, -90, -90, -92]"
