Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
15:24:50:303,1.7862,4.7363,8.3798,55.6013,-0.1696,0.263,-0.0163,169.1094
15:24:50:346,2.3788,4.8177,7.4952,55.8127,-0.1675,0.0665,0.1347,169.1406
15:24:50:366,2.4278,4.8441,7.7765,56.4472,-0.2495,0.0353,0.1027,169.1406
15:24:50:392,2.4254,4.856,8.0734,54.9127,-0.265,-0.0781,0.1033,205.8125
15:24:50:405,2.5667,4.9327,8.3954,56.7079,-0.2413,-0.1745,0.1312,205.7188
15:24:50:430,2.9725,4.9255,8.715,56.3561,-0.1678,-0.1535,0.128,205.6719
15:24:50:448,3.3652,4.8082,8.8311,57.554,-0.0722,-0.084,0.0804,205.625
15:24:50:465,3.6094,4.7902,8.8347,55.2713,0.0293,-0.0856,-0.0243,205.625
15:24:50:486,3.5735,4.9207,8.8,56.6159,0.1654,-0.1639,-0.1492,205.5469
15:24:50:514,3.182,5.0045,8.3643,55.666,0.3049,-0.2425,-0.2288,205.5
15:24:50:533,2.526,5.1517,7.5359,57.1004,0.3188,-0.1812,-0.1873,205.5469
15:24:50:549,1.8401,5.3205,6.9289,56.5963,0.1819,0.0018,-0.015,205.75
15:24:50:565,2.0567,5.8089,6.6608,57.5055,-0.0088,0.0393,0.1222,206.0156
15:24:50:586,2.0783,5.6665,6.7589,55.8807,-0.2711,0.1589,0.1949,206.2188
15:24:50:613,2.2962,5.451,7.1001,56.4188,-0.5156,0.2177,0.1925,206.1562
15:24:50:630,2.5942,5.287,7.7609,55.9692,-0.6216,0.1155,0.1174,206.0625
15:24:50:648,2.4302,4.8932,8.1823,57.8621,-0.5308,-0.1234,0.0609,205.8594
15:24:50:664,2.1573,4.5843,8.1476,55.8558,-0.3566,-0.2901,0.087,205.6562
15:24:50:683,2.5128,4.6095,8.0303,57.2643,-0.2067,-0.3852,0.0583,205.5938
15:24:50:704,2.9498,4.7351,7.9608,57.7741,-0.0634,-0.6712,-0.0989,205.6406
15:24:50:731,2.6505,5.0284,8.1225,55.7759,0.0961,-0.8366,-0.1782,205.6875
15:24:50:749,2.3512,5.3876,8.2481,57.0118,0.2024,-0.4454,-0.0954,205.7812
15:24:50:767,2.5499,5.7287,7.901,56.228,0.2799,-0.1053,-0.0251,206.0781
15:24:50:785,2.3752,5.5192,6.9936,56.7497,0.2442,-0.1176,0.0319,206.5156
15:24:50:816,2.5691,5.6174,6.5722,56.9518,0.093,-0.1831,0.0652,206.7188
15:24:50:837,3.0647,6.0244,6.7901,57.6712,-0.089,-0.0169,-0.0177,206.7188
15:24:50:844,2.6182,5.9047,7.136,57.1151,-0.2647,0.2739,-0.0579,206.6719
15:24:50:864,2.5655,6.8205,8.0219,55.6594,-0.2448,0.3677,-0.0973,206.6406
15:24:50:883,2.0376,6.2351,8.5414,56.7818,-0.123,0.4835,-0.035,206.7031
15:24:50:904,2.1166,5.5432,9.444,56.4208,0.0248,0.7554,0.0828,206.75
15:24:50:924,2.4135,5.2427,10.185,56.2856,0.2226,1.0468,0.1208,206.75
15:24:50:945,2.8061,5.706,9.9756,57.4397,0.4418,1.006,0.0777,206.5469
15:24:50:964,3.2586,6.6852,9.5733,56.9127,0.6378,0.5592,-0.056,206.1406
15:24:50:985,2.7846,6.7547,8.3679,55.9278,0.5768,0.0486,-0.1668,205.625
15:24:51:010,2.5535,6.7882,7.8292,54.8793,0.2906,-0.2089,-0.285,205.2656
15:24:51:028,2.198,6.5799,8.5773,56.7779,0.0234,-0.0923,-0.4275,205.2031
15:24:51:045,1.3732,5.6461,9.6787,56.7617,-0.1236,0.2329,-0.4081,205.4219
15:24:51:063,1.5599,5.287,10.6555,56.2735,-0.0692,0.1323,-0.4105,205.8906
15:24:51:086,1.3301,4.9973,11.3055,55.0651,0.0708,-0.0539,-0.431,206.375
15:24:51:112,0.5556,4.7447,11.6455,56.0863,0.2109,0.0936,-0.3252,206.7344
15:24:51:131,-0.0813,4.4299,11.3534,56.7262,0.3486,0.2255,-0.1311,207.2344
15:24:51:145,-0.511,4.1797,10.4831,55.8566,0.4623,0.1128,0.1147,207.6719
15:24:51:165,-0.1136,4.1593,7.2079,55.6513,0.4748,-0.1194,0.2916,207.8281
15:24:51:185,0.5639,4.3904,6.1089,55.0096,0.2431,-0.0686,0.3938,207.8125
15:24:51:210,0.9937,4.0564,6.2729,54.9858,-0.081,-0.2086,0.5184,207.2188
15:24:51:225,1.3121,3.7404,6.5339,55.7418,-0.3723,-0.0616,0.498,207.0312
15:24:51:243,1.6437,3.7942,7.0271,56.1066,-0.5444,0.0478,0.422,206.5156
15:24:51:263,1.4785,3.5871,7.3312,55.2398,-0.5015,0.0026,0.2953,206.0312
15:24:51:283,1.6258,3.5081,6.9218,56.24,-0.3547,0.1464,0.2162,205.5469
15:24:51:303,1.1709,3.8026,6.6357,56.5564,-0.2146,-0.0366,0.0995,205.25
15:24:51:325,0.9566,4.1318,6.1077,56.8528,-0.1124,-0.1008,0.0798,205
15:24:51:345,0.9614,4.358,5.7546,54.6954,-0.0993,-0.0211,0.1323,204.8281
15:24:51:369,1.2188,4.6633,5.9413,57.1509,-0.1321,-0.0917,0.188,204.8125
15:24:51:383,0.9207,4.643,6.3855,57.2882,-0.1686,-0.2816,0.2223,204.7188
15:24:51:403,-0.0849,4.8967,7.1384,56.9878,-0.1827,-0.5588,0.267,204.5625
15:24:51:436,0.0612,6.265,8.4529,57.4193,-0.1446,-0.6252,0.4945,204.3438
15:24:51:443,-0.1735,5.7515,9.0382,58.1722,0.1236,-0.553,0.7398,204.25
15:24:51:470,1.293,5.5168,8.393,56.3998,0.5345,-0.4022,1.0705,203.9062
15:24:51:483,2.2746,4.8141,6.4453,56.7674,0.7324,-0.1048,1.2285,203.1875
15:24:51:504,3.4166,5.3732,4.8125,56.9786,0.5736,-0.0686,1.1861,202.0469
15:24:51:530,4.3264,6.4662,5.417,58.0328,0.1188,-0.7357,1.0026,200.5156
15:24:51:548,4.324,6.6661,7.1324,56.7885,-0.4727,-0.9072,0.7768,199.0469
15:24:51:565,3.6046,6.0352,9.2202,57.2703,-0.8259,-0.5061,0.6106,198.1562
15:24:51:586,3.6297,5.4522,10.5645,58.059,-0.8325,-0.1122,0.5778,197.8594
15:24:51:609,4.3755,4.9746,9.9911,59.5288,-0.6322,0.0164,0.5299,197.4844
15:24:51:627,4.7777,4.5029,9.0789,55.9893,-0.5041,-0.2941,0.4039,197.125
15:24:51:647,6.2119,4.8513,8.9066,57.4034,-0.6237,-0.8542,0.335,196.7031
15:24:51:663,6.887,4.7435,9.2034,57.2948,-1.0227,-1.007,0.0916,196.3281
15:24:51:684,6.9541,4.2575,10.2425,58.6609,-1.4232,-1.0875,-0.17,196.1875
15:24:51:704,6.3005,3.0281,11.7018,58.9007,-1.6956,-1.121,-0.3343,196.6562
15:24:51:726,6.5339,2.1829,12.6511,58.0546,-1.7441,-1.0624,-0.3545,197.5312
15:24:51:743,6.9756,1.7448,11.7389,57.4235,-1.5047,-0.9034,-0.5364,198.6719
15:24:51:766,6.1796,1.5951,10.1515,55.5656,-1.0698,-0.8917,-0.9093,199.7969
15:24:51:784,5.0315,1.9507,9.0071,56.5211,-0.624,-0.7218,-1.0837,201.0625
15:24:51:809,4.2774,2.6737,8.6336,56.6041,-0.2735,-0.0963,-0.8797,202.625
15:24:51:828,3.8991,2.9407,8.8228,55.6092,0.0008,0.8449,-0.4105,204.125
15:24:51:846,3.6501,2.4104,9.1292,56.3638,0.3119,1.6625,-0.0507,205.2344
15:24:51:871,3.2634,1.716,9.4907,56.3939,0.7079,2.283,0.1991,205.5625
15:24:51:883,2.5715,1.0229,8.3559,56.1507,1.4882,1.8761,0.4639,205.5625
15:24:51:905,2.5068,1.1055,6.8667,54.1197,1.5529,1.1594,0.5382,205.2031
15:24:51:929,3.9553,2.7743,4.433,56.2107,0.8109,0.9064,0.1374,204.375
15:24:51:945,3.2538,3.6039,4.925,57.1633,0.2818,0.4042,-0.1668,203.1719
15:24:51:963,2.8013,4.0803,6.4537,54.6371,0.2144,-0.1359,-0.2203,201.8906
15:24:51:984,2.2351,3.6913,7.0618,54.9388,0.2783,-0.0547,-0.1596,200.2031
15:24:52:010,1.8209,2.9431,6.905,52.4774,0.2504,0.3602,0.0476,200.3125
15:24:52:027,3.0384,3.2148,6.9469,54.6396,0.2104,0.3104,0.0441,200.4531
15:24:52:045,3.6465,3.3848,7.7035,54.918,0.1116,0.1869,-0.1519,200.5625
15:24:52:066,3.5651,3.477,9.2741,54.918,0.1361,0.3363,-0.3242,200.2031
15:24:52:084,3.1952,3.5943,9.6033,54.3353,0.1808,0.2657,-0.4573,200.2031
15:24:52:104,2.6277,3.8876,9.4045,54.2433,0.1622,0.0614,-0.4187,200.3125
15:24:52:127,2.4673,4.2683,9.2633,52.8884,0.0234,-0.0805,-0.3085,200.5625
15:24:52:144,2.6062,4.0767,9.2226,55.0402,-0.1473,-0.0435,-0.2565,200.9844
15:24:52:168,2.9665,3.8361,9.4045,54.3812,-0.2551,0.1938,-0.3159,201.3906
15:24:52:182,2.4961,4.0276,9.5961,51.148,-0.3465,0.4777,-0.3487,201.7656
15:24:52:204,1.1445,4.0073,9.632,53.9787,-0.5534,0.6851,-0.1332,202.0938
15:24:52:227,0.2371,3.5225,10.1575,50.3562,-0.8922,0.5847,0.242,202.4531
15:24:52:249,1.0488,2.3625,12.1639,53.0191,-0.9401,0.5589,0.4247,202.7656
15:24:52:306,2.2363,1.5054,13.0425,50.6248,-0.6525,0.2742,0.3603,202.8438
15:24:52:306,3.0563,1.6215,12.7864,51.3414,-0.1625,0.0305,0.1134,202.3438
15:24:52:306,2.7355,2.2799,11.3067,50.0917,0.2099,0.1331,-0.0821,201.9062
15:24:52:323,1.8113,3.1214,9.6619,51.8239,0.2559,0.6404,-0.0555,201.6562
15:24:52:343,0.9745,3.5249,8.9018,51.0036,0.089,1.0795,0.156,201.6562
15:24:52:363,0.6849,3.2041,9.4057,50.3093,0.0035,1.083,0.3155,201.6562
15:24:52:383,0.6681,2.742,9.6404,49.4609,0.1079,0.7501,0.3773,201.375
15:24:52:403,1.038,2.6366,8.8132,49.9082,0.2807,0.3837,0.3563,200.8281
15:24:52:424,1.3792,2.6055,7.1504,50.3093,0.3835,0.0912,0.2505,200.25
15:24:52:444,1.4091,2.7456,5.7318,49.5345,0.3806,0.0076,0.1304,199.6562
15:24:52:463,0.8896,2.8964,4.9681,49.8803,0.3145,0.0676,0.1344,199.2188
15:24:52:483,1.4414,3.9474,5.1034,50.1299,0.2384,0.258,0.0697,198.9531
15:24:52:503,0.7746,3.7667,5.4098,48.799,0.1814,0.3496,0.0822,198.875
