Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
20230616_21:39,"['Lte', 'Lte']","[473, 317]","[-64, -81]",[],[],[]
20230616_21:39,"['Lte', 'Lte']","[473, 317]","[-65, -81]",[],[],[]
20230616_21:39,"['Lte', 'Lte']","[473, 317]","[-69, -81]",[],[],[]
20230616_21:39,"['Lte', 'Lte']","[473, 317]","[-67, -81]",[],[],[]
20230616_21:39,"['Lte', 'Lte']","[473, 317]","[-67, -81]",[],[],[]
20230616_21:39,"['Lte', 'Lte']","[473, 317]","[-66, -81]",[],[],[]
20230616_21:39,['Lte'],[473],[-70],[],[],[]
20230616_21:39,['Lte'],[473],[-69],[],[],[]
20230616_21:39,['Lte'],[473],[-77],[],[],[]
20230616_21:39,['Lte'],[473],[-76],[],[],[]
20230616_21:39,['Lte'],[473],[-79],"[f0:b0:40:01:2f:ba, 4c:e9:e4:73:92:34, 52:e9:e4:73:92:34, a0:cf:f5:29:f3:35, a2:cf:f5:19:f3:35, a0:cf:f5:29:99:e9, f8:38:69:10:3c:9a, 3c:30:6f:68:9d:2c]","[CAR-DVR-2fba, evisu, H3C_GUEST, ChinaNet-WgD7, iTV-WgD7, ChinaNet-x7T6, SGM OnStar 6888, MLB]","[-67, -71, -72, -79, -82, -82, -86, -90]"
20230616_21:39,['Lte'],[473],[-79],"[ba:9f:09:39:40:e7, 7c:b5:9b:17:0a:70, bc:9b:5e:fc:58:c1, ec:23:7b:c9:d9:65, ee:23:7b:d9:d9:65, 2c:05:47:95:39:ea, dc:97:58:ce:79:3b, b6:4c:25:b5:d5:95]","[DIRECT-it-myCadillac, , 芒果Mango, MUJOSH, iTV-SSID2, FCDVR_9539ea, Hi- irest-Massage Chai-12GR07   , LABUBU]","[-73, -73, -78, -83, -84, -86, -88, -89]"
