Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
13:42:37:560,0.4953,1.2371,9.734,30.8933,-0.385,0.2569,-0.2724,166.7199
13:42:37:584,0.4953,1.2371,9.734,32.1527,-0.385,0.2569,-0.2724,167.0409
13:42:37:597,0.2656,1.2179,9.7867,32.4647,-0.385,0.2569,-0.2724,167.0822
13:42:37:616,0.1651,1.1892,9.7914,31.5652,-0.0295,-0.029,0.0392,166.9135
13:42:37:635,0.0981,1.1581,9.679,30.6592,0.0121,-0.0388,0.0477,166.6718
13:42:37:656,0.2297,1.2012,9.6383,30.6244,0.0524,-0.0657,0.0709,166.4778
13:42:37:673,0.3422,1.3089,9.6024,32.4647,0.0744,-0.0889,0.0807,166.3352
13:42:37:692,0.4068,1.2945,9.6455,30.4654,0.0585,-0.0864,0.0685,166.2814
13:42:37:714,0.4498,1.2347,9.7819,31.269,0.0255,-0.084,0.049,166.2135
13:42:37:733,0.4834,1.2395,9.7627,31.4437,0.0035,-0.0779,0.0318,166.1492
13:42:37:750,0.5145,1.3352,9.7603,32.9402,0.0035,-0.0693,0.0111,166.1579
13:42:37:769,0.6987,1.4859,9.8393,31.2355,0.0096,-0.0742,-0.0011,166.1542
13:42:37:788,0.9547,1.5147,9.8632,31.4437,0.028,-0.0926,-0.0158,166.2172
13:42:37:807,0.9691,1.5434,9.7699,31.8893,0.0512,-0.0974,-0.0683,166.3729
13:42:37:826,0.938,1.4859,9.6096,31.4454,0.0646,-0.095,-0.1392,166.5654
13:42:37:861,0.8734,1.4429,9.5713,29.8405,0.0524,-0.0938,-0.1856,166.8182
13:42:37:868,0.8806,1.4094,9.7244,31.2639,0.0121,-0.1048,-0.2113,167.0816
13:42:37:887,0.7394,1.4118,9.88,30.0628,-0.0185,-0.106,-0.2333,167.3484
13:42:37:910,0.5982,1.4285,9.7603,30.7084,-0.0087,-0.0791,-0.2369,167.5967
13:42:37:923,0.591,1.3495,9.521,30.8594,0.0316,-0.0583,-0.2039,167.8408
13:42:37:949,0.6197,1.34,9.4134,31.2639,0.0561,-0.0681,-0.1722,168.0006
13:42:37:968,0.6389,1.3567,9.4516,31.2355,0.0377,-0.0913,-0.1587,168.1097
13:42:37:984,0.5791,1.3017,9.4899,31.6951,-0.0111,-0.0913,-0.1648,168.2911
13:42:38:001,0.5767,1.34,9.6503,30.4654,-0.0661,-0.0864,-0.1587,168.4281
13:42:38:024,0.536,1.3998,9.8201,30.6231,-0.0954,-0.095,-0.1319,168.5405
13:42:38:041,0.5216,1.3974,9.8632,33.8156,-0.0551,-0.073,-0.1037,168.5812
13:42:38:066,0.4905,1.4596,9.8058,31.9993,0.0096,-0.0657,-0.0805,168.646
13:42:38:092,0.7466,1.4692,9.7412,30.6832,0.0487,-0.0877,-0.0708,168.7363
13:42:38:100,0.6556,1.4548,9.7268,31.5333,0.028,-0.0828,-0.116,168.8405
13:42:38:127,0.3398,1.4453,9.7651,31.1491,-0.0368,-0.0571,-0.1648,168.9673
13:42:38:141,0.2417,1.4309,9.8536,30.4654,-0.0697,-0.0327,-0.149,169.0804
13:42:38:162,0.4498,1.4644,9.734,30.4374,-0.0405,0.0113,-0.0903,169.1216
13:42:38:189,0.6413,1.6726,9.3129,30.3775,0.028,0.0724,-0.0463,169.1067
13:42:38:200,0.8925,1.7707,9.1095,31.0051,0.0671,0.065,-0.0341,169.1539
13:42:38:221,0.9834,1.7898,9.2363,30.262,0.0634,-0.0058,-0.0695,169.2592
13:42:38:245,0.8949,1.7085,9.5737,31.7753,0.0426,-0.0828,-0.1404,169.4039
13:42:38:276,0.9547,1.6989,9.7555,31.1872,0.0292,-0.1096,-0.2149,169.6594
13:42:38:281,1.0457,1.6487,9.8536,30.0176,0.0341,-0.0486,-0.2565,169.951
13:42:38:309,1.2299,1.6199,10.1432,31.3059,0.0451,-0.0156,-0.2552,170.2015
13:42:38:321,1.5362,1.5769,10.2197,32.2748,0.0683,-0.0693,-0.2406,170.4859
13:42:38:341,1.4596,1.6582,9.8345,31.0925,0.1232,-0.0645,-0.2406,170.7287
13:42:38:372,1.1342,1.8497,9.3153,32.4055,0.177,0.0394,-0.2381,170.9586
13:42:38:384,1.0528,1.919,8.9372,31.3692,0.1831,0.1041,-0.2137,171.1668
13:42:38:401,1.1581,2.0435,8.8702,30.8385,0.1391,0.0931,-0.1929,171.3538
13:42:38:422,0.9787,2.053,9.1908,30.7832,0.0084,0.0638,-0.2516,171.9283
13:42:38:444,0.8423,1.9884,9.533,32.6868,-0.0771,-0.0058,-0.3261,172.3284
13:42:38:465,0.6413,1.9382,9.6574,29.3176,-0.1308,-0.0632,-0.397,172.8218
13:42:38:485,0.5599,1.7755,9.7484,30.3778,-0.1321,-0.0315,-0.4263,173.2314
13:42:38:505,0.5192,1.7085,9.7436,30.1006,-0.1223,-0.0046,-0.4251,173.612
13:42:38:522,0.7059,1.7539,9.6766,30.5238,-0.1272,-0.0095,-0.3945,173.9676
13:42:38:541,1.048,1.7731,9.7149,30.7345,-0.1455,-0.0034,-0.3615,174.3022
13:42:38:561,1.127,1.8784,9.8154,30.2671,-0.1846,0.004,-0.3591,174.6331
13:42:38:580,1.0528,2.0889,9.88,30.2431,-0.2176,0.004,-0.3591,174.9889
13:42:38:601,1.0648,2.2205,9.8106,30.9744,-0.209,0.0455,-0.3383,175.3139
13:42:38:621,1.2634,2.3115,9.7197,31.8584,-0.1773,0.0821,-0.3066,175.6228
13:42:38:641,1.4285,2.4479,9.5904,28.6765,-0.1528,0.098,-0.287,175.8814
13:42:38:662,1.4213,2.5699,9.4277,29.1226,-0.1333,0.131,-0.2907,176.1617
13:42:38:681,1.2778,2.5819,9.2602,29.8405,-0.1211,0.1848,-0.3224,176.4236
13:42:38:702,0.8925,2.5962,9.2483,31.1491,-0.1528,0.2092,-0.3835,176.6909
13:42:38:724,0.5599,2.4861,9.5186,30.6564,-0.2335,0.1603,-0.4263,177.0126
13:42:38:746,0.4881,2.3186,9.8824,29.3899,-0.3129,0.0235,-0.408,177.3621
