Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
09:49:28:813,-0.1388,1.7683,9.2315,55.9198,-0.2025,0.1499,0.1181,87.4884
09:49:28:826,-0.1388,1.7683,9.2315,55.2508,-0.2025,0.1499,0.1181,87.123
09:49:28:844,-0.8255,1.3089,9.3416,57.0332,-0.2025,0.1499,0.1181,88.5654
09:49:28:863,-0.9476,1.0648,9.8154,56.0255,-0.3943,0.029,-0.2582,90.1881
09:49:28:892,-1.0122,1.1222,10.3226,56.3972,-0.3907,0.0485,-0.1885,91.0242
09:49:28:911,-1.0002,0.9595,10.3394,57.4538,-0.3015,0.1206,-0.1299,91.6931
09:49:28:926,-0.737,0.9236,10.3561,56.1608,-0.1622,0.1719,-0.0554,92.1083
09:49:28:945,-0.3805,1.0217,9.99,56.643,-0.0132,0.1072,-0.0468,92.2925
09:49:28:960,-0.7178,1.0409,9.6455,54.8346,0.1261,0.0046,-0.1531,92.5438
09:49:28:979,-0.8399,1.0816,9.4397,55.8648,0.1615,-0.1775,-0.2068,92.763
09:49:29:009,-0.6126,1.1438,9.1502,55.5559,0.142,-0.2496,-0.1519,92.8658
09:49:29:028,-0.6963,1.3089,8.9085,55.5269,0.054,-0.1958,-0.1445,92.8658
09:49:29:037,-0.7442,1.1031,9.1358,56.4189,-0.0938,-0.1164,-0.1592,93.0505
09:49:29:060,-0.7657,1.0457,9.411,57.0332,-0.2147,-0.081,-0.147,93.2512
09:49:29:075,-0.4475,1.1462,9.746,57.3435,-0.2892,-0.1005,-0.1372,93.2961
09:49:29:094,-0.3446,1.1988,9.9733,56.5753,-0.2892,-0.1164,-0.1775,93.3947
09:49:29:112,-0.4116,1.151,10.0881,57.3075,-0.1989,-0.1152,-0.2289,93.5298
09:49:29:133,-0.6604,1.0792,9.9733,55.8649,-0.0694,-0.1616,-0.2631,93.7577
09:49:29:168,-0.8806,1.1127,9.8321,55.343,0.032,-0.2215,-0.2936,94.018
09:49:29:173,-1.2012,1.2778,9.533,56.9868,0.065,-0.2386,-0.3009,94.2036
09:49:29:203,-1.0241,1.5601,9.0856,56.1774,0.0443,-0.1921,-0.2105,94.1202
09:49:29:211,-0.6987,1.8688,8.7458,55.5269,0.0064,-0.0871,-0.0945,93.8366
09:49:29:231,-0.3757,1.8544,8.8056,57.5766,-0.0596,-0.004,-0.0444,93.5244
09:49:29:268,-0.5695,1.8353,9.4182,56.3099,-0.1561,-0.081,-0.0908,93.3068
09:49:29:272,-0.8136,2.1799,9.9135,57.4912,-0.1964,-0.2215,-0.1348,93.0414
09:49:29:297,-0.335,2.1583,9.9063,57.3486,-0.0791,-0.2593,-0.0749,92.7602
09:49:29:309,-0.2153,2.1703,9.7843,56.3972,0.1066,-0.2386,-0.0554,92.519
09:49:29:328,-0.3948,1.8736,10.0546,56.9868,0.2397,-0.296,-0.1055,92.4746
09:49:29:349,-0.8375,1.7779,9.9709,56.9284,0.3387,-0.3571,-0.1335,92.5182
09:49:29:386,-0.4762,1.5506,9.4445,56.348,0.3729,-0.3461,-0.0896,92.6232
09:49:29:391,-0.1603,1.3878,8.9348,57.4944,0.313,-0.2276,-0.0407,92.7001
09:49:29:415,-0.146,1.5793,8.8367,54.8601,0.1053,-0.0675,-0.015,92.6769
09:49:29:428,-0.2201,1.4644,9.3655,57.0464,-0.1903,0.0534,0.046,92.6368
09:49:29:448,-0.4714,1.4812,10.0786,57.3745,-0.4261,0.0583,0.0888,92.5615
09:49:29:472,-0.6963,1.6415,10.416,56.348,-0.4395,0.1169,0.1487,92.335
09:49:29:494,-0.5384,1.5864,10.0475,56.9194,-0.2489,0.1976,0.2207,92.0129
09:49:29:512,-0.3493,1.6128,9.4923,57.0677,-0.0364,0.1939,0.2513,91.6745
09:49:29:531,-0.2034,1.6032,9.0066,57.5124,0.0638,0.1438,0.2488,91.2832
09:49:29:548,-0.0024,1.4812,9.064,56.5849,-0.0071,0.0375,0.2244,90.9995
