Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
20220505_19:30,"[Lte]","[473]","[-89]","[70:fd:45:4a:d7:70, 7c:b5:9b:17:0a:70, 0e:b5:9b:17:0a:70, 34:75:63:52:00:b1, d4:a1:48:46:ec:c5, a0:cf:f5:29:a3:16, 88:40:33:90:ad:18, 70:fd:45:4a:d7:60, 44:a1:91:a5:79:c0, 7c:ba:cc:41:b1:d3, 1c:68:7e:50:ba:87, a2:cf:f5:19:a3:16, 44:a1:91:a5:95:b0, 44:a1:91:a5:95:a0, 44:a1:91:a5:78:30, 44:a1:91:a5:7c:d0, 44:a1:91:a5:7c:c0, 68:4a:ae:9f:63:30, a0:cf:f5:29:98:30, a0:cf:f5:29:9a:55, 7c:ba:cc:01:b1:d3, 7c:ba:cc:01:a6:73, 1c:68:7e:50:ba:89, aa:02:db:b2:07:b8, 58:41:20:36:72:4a, a8:02:db:b2:07:b8, 5c:e8:83:7e:a4:b0, 04:f1:69:08:17:13, 38:01:46:7f:60:34, 34:f7:16:a3:b7:b7, 68:4a:ae:9f:66:10, 68:4a:ae:9f:66:00, 44:a1:91:a5:78:20, ba:80:35:44:95:24, 68:4a:ae:9f:5f:e0, c6:70:ab:88:60:ba]","[Livat WiFi, youjia, 有家便利店, 70mai_d08_00b1, HUAWEI-B315-ECC5, 0, CU_g2gv, Livat WiFi, Livat WiFi, TR200-5G-01B1D3, 月芽儿, iTV-EVkW, Livat WiFi, Livat WiFi, Livat WiFi, Livat WiFi, Livat WiFi, Livat WiFi, ChinaNet-FAbU, ChinaNet-KMLa, TR200-2.4G-01B1D3, TR200-2.4G-01A673, 月芽儿-5G, , HELLO MORO, SATURDAYMODE, Livat WiFi, , HimDvr_7F6034, jingluliaoli, Livat WiFi, Livat WiFi, Livat WiFi, , Livat WiFi, dudu]","[-68, -68, -69, -72, -77, -78, -79, -80, -81, -81, -82, -82, -83, -83, -84, -84, -84, -85, -85, -86, -86, -86, -86, -86, -88, -88, -89, -89, -89, -90, -90, -91, -92, -94, -94, -95]"
20220505_19:30,"[Lte]","[473]","[-85]","[34:75:63:52:00:b1, 7c:b5:9b:17:0a:70, 0e:b5:9b:17:0a:70, 70:fd:45:4a:d7:70, a0:cf:f5:29:a3:16, a2:cf:f5:19:a3:16, 1c:68:7e:50:ba:87, 70:fd:45:4a:d7:60, 7c:ba:cc:01:b1:d3, aa:02:db:b2:07:b8, 44:a1:91:a5:79:d0, 44:a1:91:a5:95:a0, 88:40:33:90:ad:18, 44:a1:91:a5:7c:c0, 7c:ba:cc:41:a6:73, 1c:68:7e:50:ba:89, 44:a1:91:a5:7c:d0, 44:a1:91:a5:78:30, 68:4a:ae:9f:63:30, 44:a1:91:a5:79:c0, 44:a1:91:a5:78:20, 44:a1:91:a5:95:b0, 7c:ba:cc:01:a6:73, 70:fd:45:71:14:50, 5c:e8:83:7e:a4:b0, a0:cf:f5:29:9a:55, d4:a1:48:46:ec:c5, 70:fd:45:71:14:40, a0:cf:f5:29:ec:7e, a2:cf:f5:19:9a:55, 58:41:20:36:72:4a, 68:4a:ae:9f:63:20, 5c:e8:83:7e:d3:70, 68:4a:ae:9f:7e:90, 04:f1:69:08:17:10, 48:73:97:bc:bd:91, 48:73:97:bc:bd:90]","[70mai_d08_00b1, youjia, 有家便利店, Livat WiFi, 0, iTV-EVkW, 月芽儿, Livat WiFi, TR200-2.4G-01B1D3, , Livat WiFi, Livat WiFi, CU_g2gv, Livat WiFi, TR200-5G-01A673, 月芽儿-5G, Livat WiFi, Livat WiFi, Livat WiFi, Livat WiFi, Livat WiFi, Livat WiFi, TR200-2.4G-01A673, Livat WiFi, Livat WiFi, ChinaNet-KMLa, HUAWEI-B315-ECC5, Livat WiFi, ChinaNet-n4T7, iTV-KMLa, HELLO MORO, Livat WiFi, Livat WiFi, Livat WiFi, JY, , KFC FREE WIFI]","[-60, -63, -64, -71, -71, -73, -75, -75, -77, -79, -80, -80, -80, -80, -81, -81, -82, -84, -84, -84, -84, -85, -85, -86, -86, -86, -86, -86, -87, -87, -88, -88, -88, -88, -89, -90, -91]"
20220505_19:30,"[Lte]","[473]","[-86]","[34:75:63:52:00:b1, 0e:b5:9b:17:0a:70, 7c:b5:9b:17:0a:70, 70:fd:45:4a:d7:70, a2:cf:f5:19:a3:16, a0:cf:f5:29:a3:16, 1c:68:7e:50:ba:87, 7c:ba:cc:01:b1:d3, 44:a1:91:a5:7c:c0, a0:cf:f5:29:e4:d4, 88:40:33:90:ad:18, 44:a1:91:a5:79:d0, 68:4a:ae:9f:63:30, 70:fd:45:4a:d7:60, d4:a1:48:46:ec:c5, 44:a1:91:a5:79:c0, 44:a1:91:a5:78:20, aa:02:db:b2:07:b8, 44:a1:91:a5:78:30, 44:a1:91:a5:7c:d0, 1c:68:7e:50:ba:89, 34:f7:16:12:ef:99, 44:a1:91:a5:95:b0, 5c:e8:83:7e:a4:b0, 44:a1:91:a5:95:a0, 04:6b:25:e6:47:f1, 58:41:20:36:72:4a, a0:cf:f5:29:9a:55, a2:cf:f5:19:9a:55, ba:80:35:44:8e:34]","[70mai_d08_00b1, 有家便利店, youjia, Livat WiFi, iTV-EVkW, 0, 月芽儿, TR200-2.4G-01B1D3, Livat WiFi, ChinaNet-CT4z, CU_g2gv, Livat WiFi, Livat WiFi, Livat WiFi, HUAWEI-B315-ECC5, Livat WiFi, Livat WiFi, , Livat WiFi, Livat WiFi, 月芽儿-5G, MINISO, Livat WiFi, Livat WiFi, Livat WiFi, ChinaNet-tfHs, HELLO MORO, ChinaNet-KMLa, iTV-KMLa, ]","[-56, -65, -65, -72, -75, -75, -76, -77, -78, -78, -79, -81, -82, -82, -82, -83, -83, -84, -85, -85, -85, -85, -86, -87, -90, -90, -91, -91, -91, -91]"
20220505_19:30,"[Lte]","[473]","[-89]","[34:75:63:52:00:b1, 0e:b5:9b:17:0a:70, 7c:b5:9b:17:0a:70, 70:fd:45:4a:d7:70, 44:a1:91:a5:7c:c0, a0:cf:f5:29:a3:16, a2:cf:f5:19:a3:16, 88:40:33:90:ad:18, 44:a1:91:a5:78:20, 7c:ba:cc:41:b1:d3, 44:a1:91:a5:78:30, 7c:ba:cc:01:a6:73, 32:b4:b8:61:65:28, 44:a1:91:a5:79:d0, 44:a1:91:a5:7c:d0, 68:4a:ae:9f:63:30, aa:02:db:b2:07:b8, 44:a1:91:a5:95:b0, d4:a1:48:46:ec:c5, 70:fd:45:4a:d7:60, 70:fd:45:71:14:40, 58:41:20:36:72:4a, a0:cf:f5:29:9a:55, 7c:ba:cc:01:b1:d3, d0:fa:1d:cc:87:68, ba:80:35:44:8e:34, 38:01:46:7f:60:34]","[70mai_d08_00b1, 有家便利店, youjia, Livat WiFi, Livat WiFi, 0, iTV-EVkW, CU_g2gv, Livat WiFi, TR200-5G-01B1D3, Livat WiFi, TR200-2.4G-01A673, , Livat WiFi, Livat WiFi, Livat WiFi, , Livat WiFi, HUAWEI-B315-ECC5, Livat WiFi, Livat WiFi, HELLO MORO, ChinaNet-KMLa, TR200-2.4G-01B1D3, 360行车记录仪-8768, , HimDvr_7F6034]","[-55, -64, -65, -74, -79, -79, -80, -81, -83, -83, -84, -84, -84, -86, -87, -87, -87, -88, -88, -89, -90, -91, -91, -92, -92, -93, -93]"
20220505_19:30,"[Lte]","[473]","[-91]","[34:75:63:52:00:b1, 7c:b5:9b:17:0a:70, 0e:b5:9b:17:0a:70, 70:fd:45:4a:d7:70, 88:40:33:90:ad:18, d4:a1:48:46:ec:c5, 38:01:46:7f:60:34, 44:a1:91:a5:78:30, 68:4a:ae:9f:63:30, a2:cf:f5:19:a3:16, 44:a1:91:a5:79:d0, a0:cf:f5:29:a3:16, 7c:ba:cc:01:b1:d3, ba:80:35:44:8e:34, 1c:68:7e:50:ba:87, b8:80:35:e4:95:24, 44:a1:91:a5:79:c0, d0:fa:1d:cc:87:68, a8:02:db:b2:07:b8]","[70mai_d08_00b1, youjia, 有家便利店, Livat WiFi, CU_g2gv, HUAWEI-B315-ECC5, HimDvr_7F6034, Livat WiFi, Livat WiFi, iTV-EVkW, Livat WiFi, 0, TR200-2.4G-01B1D3, , 月芽儿, ChinaNet-9566, Livat WiFi, 360行车记录仪-8768, SATURDAYMODE]","[-62, -72, -73, -79, -82, -84, -86, -88, -88, -90, -90, -90, -91, -91, -92, -92, -93, -93, -94]"
20220505_19:30,"[Lte]","[473]","[-86]","[34:75:63:52:00:b1, 0e:b5:9b:17:0a:70, 7c:b5:9b:17:0a:70, 32:b4:b8:61:65:28, 70:fd:45:4a:d7:70, 48:0e:ec:3c:3c:e0, 44:a1:91:a5:78:30, 7c:ba:cc:41:a6:73, a2:cf:f5:19:a3:16, 44:a1:91:a5:7c:c0, d4:a1:48:46:ec:c5, 88:40:33:90:ad:18, d0:fa:1d:cc:87:68, 7c:ba:cc:01:b1:d3, 44:a1:91:a5:78:20, 4e:ab:fc:99:18:47, 1c:68:7e:50:ba:87, a0:cf:f5:29:9a:55, 38:01:46:7f:60:34]","[70mai_d08_00b1, 有家便利店, youjia, , Livat WiFi, Idooer, Livat WiFi, TR200-5G-01A673, iTV-EVkW, Livat WiFi, HUAWEI-B315-ECC5, CU_g2gv, 360行车记录仪-8768, TR200-2.4G-01B1D3, Livat WiFi, iTV-E4Qj, 月芽儿, ChinaNet-KMLa, HimDvr_7F6034]","[-66, -72, -73, -84, -86, -87, -88, -89, -90, -90, -91, -91, -91, -92, -92, -92, -93, -94, -94]"
20220505_19:30,"[Lte]","[473]","[-86]","[34:75:63:52:00:b1, 0e:b5:9b:17:0a:70, ba:80:35:44:8e:34, b8:80:35:e4:8e:34, 4c:ab:fc:99:18:47, 38:01:46:7f:60:34, 4e:ab:fc:99:18:47, 70:fd:45:4a:d7:70, d0:fa:1d:cc:87:68, 32:b4:b8:61:65:28, 44:a1:91:a5:7c:c0, a2:cf:f5:19:a3:16, aa:02:db:b2:07:b8, 70:fd:45:4a:d7:60, 88:40:33:90:ad:18, a0:cf:f5:29:a3:16]","[70mai_d08_00b1, 有家便利店, , ChinaNet-9566, ChinaNet-E4Qj, HimDvr_7F6034, iTV-E4Qj, Livat WiFi, 360行车记录仪-8768, , Livat WiFi, iTV-EVkW, , Livat WiFi, CU_g2gv, 0]","[-57, -85, -86, -86, -86, -87, -88, -89, -89, -89, -91, -92, -92, -93, -93, -93]"
20220505_19:31,"[Lte]","[473]","[-77]","[34:75:63:52:00:b1, 7c:b5:9b:17:0a:70, ba:80:35:44:8e:34, b8:80:35:e4:8e:34, 48:0e:ec:3c:3c:e0, 38:01:46:7f:60:34, 4c:ab:fc:99:18:47, 44:a1:91:a5:7c:c0, 4e:ab:fc:99:18:47, 32:b4:b8:61:65:28, 88:40:33:90:ad:18, 36:f7:16:54:5d:b2, 34:f7:16:c4:5d:b2, 7c:ba:cc:01:b1:d3]","[70mai_d08_00b1, youjia, , ChinaNet-9566, Idooer, HimDvr_7F6034, ChinaNet-E4Qj, Livat WiFi, iTV-E4Qj, , CU_g2gv, , XP-OFFICE, TR200-2.4G-01B1D3]","[-62, -84, -84, -84, -85, -86, -87, -89, -89, -90, -91, -91, -92, -94]"
20220505_19:31,"[Lte]","[473]","[-77]","[34:75:63:52:00:b1, 38:01:46:7f:60:34, d0:fa:1d:cc:87:68, 7c:b5:9b:17:0a:70, 4e:ab:fc:99:18:47, 48:0e:ec:3c:3c:e0, 32:b4:b8:61:65:28, 4c:ab:fc:99:18:47, 64:64:4a:99:f6:29, d4:a1:48:46:ec:c5, a2:cf:f5:19:a3:16, 88:40:33:90:ad:18, a0:cf:f5:29:a3:16, ba:80:35:44:8e:34, b8:80:35:e4:8e:34, 70:fd:45:4a:d7:60, 34:f7:16:c4:5d:b2]","[70mai_d08_00b1, HimDvr_7F6034, 360行车记录仪-8768, youjia, iTV-E4Qj, Idooer, , ChinaNet-E4Qj, 小鹏, HUAWEI-B315-ECC5, iTV-EVkW, CU_g2gv, 0, , ChinaNet-9566, Livat WiFi, XP-OFFICE]","[-72, -82, -83, -84, -84, -85, -86, -86, -86, -91, -92, -93, -93, -93, -93, -94, -95]"
20220505_19:31,"[Lte]","[473]","[-82]","[34:75:63:52:00:b1, 48:0e:ec:3c:3c:e0, d0:fa:1d:cc:87:68, 4c:ab:fc:99:18:47, 7c:b5:9b:17:0a:70, 38:01:46:7f:60:34, 4e:ab:fc:99:18:47, 44:a1:91:a5:78:20, 36:f7:16:54:5d:b2, 7c:ba:cc:01:a6:73, 34:f7:16:c4:66:6d, 88:40:33:90:ad:18, 32:b4:b8:61:65:28, 36:f7:16:54:66:6d]","[70mai_d08_00b1, Idooer, 360行车记录仪-8768, ChinaNet-E4Qj, youjia, HimDvr_7F6034, iTV-E4Qj, Livat WiFi, , TR200-2.4G-01A673, XP-OFFICE, CU_g2gv, , ]","[-72, -78, -84, -85, -86, -90, -90, -92, -92, -92, -92, -93, -94, -94]"
