Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
20221119_19:05,"[Lte, Lte]","[296, 117]","[-66, -86]","[]","[]","[]"
20221119_19:05,"[Lte]","[296]","[-62]","[]","[]","[]"
20221119_19:05,"[Lte]","[296]","[-64]","[]","[]","[]"
20221119_19:05,"[Lte]","[296]","[-65]","[]","[]","[]"
20221119_19:06,"[Lte, Lte, Lte, Lte, Lte]","[296, 117, 178, 172, 176]","[-59, -80, -126, -127, -128]","[]","[]","[]"
20221119_19:06,"[Lte]","[296]","[-62]","[]","[]","[]"
20221119_19:06,"[Lte]","[296]","[-64]","[]","[]","[]"
20221119_19:06,"[Lte, Lte, Lte, Lte, Lte, Lte, Lte]","[296, 117, 132, 176, 176, 172, 172]","[-63, -80, -117, -120, -123, -123, -123]","[]","[]","[]"
20221119_19:06,"[Lte, Lte]","[296, 117]","[-68, -88]","[]","[]","[]"
20221119_19:06,"[Lte, Lte]","[296, 117]","[-68, -81]","[]","[]","[]"
20221119_19:06,"[Lte]","[296]","[-65]","[]","[]","[]"
20221119_19:06,"[Lte, Lte]","[296, 117]","[-76, -94]","[]","[]","[]"
20221119_19:06,"[Lte, Lte]","[296, 117]","[-71, -92]","[]","[]","[]"
20221119_19:06,"[Lte, Lte]","[296, 117]","[-69, -91]","[0e:b5:9b:17:0a:70, b8:80:35:e4:8e:34, 7c:b5:9b:17:0a:70, 84:ea:97:47:71:ca, 22:28:3e:14:fc:d4, 20:28:3e:04:fc:d4, d4:a1:48:46:ec:c5, 48:0e:ec:3c:3c:e0, 34:f7:16:c4:66:6d, a2:cf:f5:19:ea:50, 4e:ab:fc:99:18:47, d0:76:e7:18:f9:15, 44:2c:05:d2:a1:79]","[有家便利店, ChinaNet-9566, youjia, DDPAI_MINI_71CA, iTV-3Y2r, ChinaNet-3Y2r, HUAWEI-B315-ECC5, Idooer, XP-OFFICE, iTV-aNeQ, iTV-E4Qj, slyh-bo, volvo_VOLVO_M6]","[-81, -77, -78, -75, -82, -81, -87, -72, -77, -83, -84, -81, -66]"
20221119_19:06,"[Lte, Lte]","[296, 117]","[-73, -94]","[08:3a:38:b2:0b:57, 3e:a9:1c:2e:95:c6, 7c:b5:9b:17:0a:70, 84:ea:97:47:71:ca, 48:0e:ec:3c:3c:e0, 22:28:3e:14:fc:d4, 20:28:3e:04:fc:d4, 64:64:4a:99:f6:29, d4:a1:48:46:ec:c5, 38:a9:1c:2e:95:c5, 4e:ab:fc:99:18:47, 44:2c:05:d2:a1:79]","[, , youjia, DDPAI_MINI_71CA, Idooer, iTV-3Y2r, ChinaNet-3Y2r, 小鹏, HUAWEI-B315-ECC5, tengye, iTV-E4Qj, volvo_VOLVO_M6]","[-83, -89, -86, -77, -82, -86, -84, -85, -89, -80, -88, -54]"
20221119_19:06,"[Lte, Lte]","[296, 117]","[-72, -93]","[7c:b5:9b:17:0a:70, 38:a9:1c:2e:95:c6, 0e:b5:9b:17:0a:70, 20:28:3e:04:fc:d4, 84:ea:97:47:71:ca, 48:0e:ec:3c:3c:e0, d4:a1:48:46:ec:c5, 88:40:33:90:ad:18, 10:a4:be:da:52:89, 4e:ab:fc:99:18:47, 4c:ab:fc:99:18:47, 38:a9:1c:2e:95:c5, b0:02:47:14:5a:17, 44:2c:05:d2:a1:79, 08:3a:38:b2:0b:57, 3e:a9:1c:2e:95:c6, 22:28:3e:14:fc:d4, 64:64:4a:99:f6:29]","[youjia, tengye_5G, 有家便利店, ChinaNet-3Y2r, DDPAI_MINI_71CA, Idooer, HUAWEI-B315-ECC5, CU_g2gv, vYou_DDPai_MiniSE, iTV-E4Qj, ChinaNet-E4Qj, tengye, FCDVR_230C, volvo_VOLVO_M6, , , iTV-3Y2r, 小鹏]","[-80, -88, -82, -87, -77, -77, -90, -86, -79, -83, -82, -81, -88, -47, -83, -89, -86, -85]"
