Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
20221112_10:45,"[Lte, Lte, Lte, Lte, Lte, Lte, Lte]","[473, 178, 172, 163, 178, 172, 132]","[-79, -134, -130, -132, -130, -133, -130]","[22:28:3e:14:fc:d4, 0e:b5:9b:17:0a:70, 20:28:3e:04:fc:d4, 7c:b5:9b:17:0a:70, 88:40:33:90:ad:18, 70:fd:45:4a:d7:61, d4:a1:48:46:ec:c5, 70:fd:45:4a:d7:60, 68:4a:ae:9f:63:20, 38:a9:1c:2e:95:c6, 3e:a9:1c:2e:95:c6, 68:4a:ae:9f:63:21]","[iTV-3Y2r, 有家便利店, ChinaNet-3Y2r, youjia, CU_g2gv, haikang, HUAWEI-B315-ECC5, Livat WiFi, Livat WiFi, tengye_5G, , haikang]","[-71, -71, -73, -73, -77, -79, -81, -88, -88, -90, -91, -91]"
20221112_10:45,"[Lte, Lte, Lte, Lte]","[473, 178, 178, 132]","[-76, -138, -138, -128]","[22:28:3e:14:fc:d4, 70:fd:45:4a:d7:71, 20:28:3e:04:fc:d4, 70:fd:45:4a:d7:70, 88:40:33:90:ad:18, d4:a1:48:46:ec:c5, 44:a1:91:a5:95:b0, 44:a1:91:a5:95:b1, 44:a1:91:a5:7c:d1, 44:a1:91:a5:78:31, 44:a1:91:a5:7c:d0, 38:a9:1c:2e:95:c6, 68:4a:ae:9f:63:31, 44:a1:91:a5:79:c0, 44:a1:91:a5:78:30, 3e:a9:1c:2e:95:c6, 44:a1:91:a5:79:c1, 44:a1:91:a5:79:d0, 44:a1:91:a5:79:d1, 5c:e8:83:7e:a4:b0, 5c:e8:83:7e:a4:b1]","[iTV-3Y2r, haikang, ChinaNet-3Y2r, Livat WiFi, CU_g2gv, HUAWEI-B315-ECC5, Livat WiFi, haikang, haikang, haikang, Livat WiFi, tengye_5G, haikang, Livat WiFi, Livat WiFi, , haikang, Livat WiFi, haikang, Livat WiFi, haikang]","[-72, -72, -73, -73, -76, -79, -80, -80, -81, -82, -82, -83, -83, -84, -84, -85, -85, -87, -87, -88, -89]"
20221112_10:45,"[Lte, Lte, Lte, Lte, Lte]","[473, 172, 178, 163, 132]","[-78, -133, -139, -132, -119]","[0e:b5:9b:17:0a:70, 7c:b5:9b:17:0a:70, 38:a9:1c:2e:95:c5, 88:40:33:90:ad:18, 38:a9:1c:2e:95:c6, 3e:a9:1c:2e:95:c6, d4:a1:48:46:ec:c5, 44:a1:91:a5:78:20, 70:fd:45:4a:d7:70, 44:a1:91:a5:78:21, 44:a1:91:a5:7c:d0, b8:80:35:e4:95:24, 68:4a:ae:9f:63:20, 5c:e8:83:7e:a4:b0, 44:a1:91:a5:79:d0, 68:4a:ae:9f:63:21, 70:fd:45:4a:d7:71, 44:a1:91:a5:7c:d1, 5c:e8:83:7e:a4:b1, 44:a1:91:a5:79:d1]","[有家便利店, youjia, tengye, CU_g2gv, tengye_5G, , HUAWEI-B315-ECC5, Livat WiFi, Livat WiFi, haikang, Livat WiFi, ChinaNet-9566, Livat WiFi, Livat WiFi, Livat WiFi, haikang, haikang, haikang, haikang, haikang]","[-71, -73, -74, -75, -79, -80, -80, -85, -87, -87, -88, -88, -89, -89, -89, -90, -90, -90, -93, -93]"
20221112_10:45,"[Lte, Lte, Lte]","[473, 178, 132]","[-74, -138, -128]","[7c:b5:9b:17:0a:70, 22:28:3e:14:fc:d4, 20:28:3e:04:fc:d4, 0e:b5:9b:17:0a:70, 88:40:33:90:ad:18, 70:fd:45:4a:d7:71, 70:fd:45:4a:d7:70, d4:a1:48:46:ec:c5, 38:a9:1c:2e:95:c6, 3e:a9:1c:2e:95:c6, 44:a1:91:a5:79:d0, 44:a1:91:a5:95:b1, 44:a1:91:a5:7c:d1, 44:a1:91:a5:78:30, 44:a1:91:a5:79:d1, 44:a1:91:a5:78:31, 5c:e8:83:7e:a4:b0, 5c:e8:83:7e:a4:b1]","[youjia, iTV-3Y2r, ChinaNet-3Y2r, 有家便利店, CU_g2gv, haikang, Livat WiFi, HUAWEI-B315-ECC5, tengye_5G, , Livat WiFi, haikang, haikang, Livat WiFi, haikang, haikang, Livat WiFi, haikang]","[-73, -75, -76, -76, -80, -81, -82, -84, -87, -88, -90, -91, -91, -91, -91, -92, -92, -92]"
20221112_10:45,"[Lte, Lte, Lte, Lte, Lte, Lte]","[473, 178, 172, 163, 176, 132]","[-76, -136, -137, -136, -135, -126]","[]","[]","[]"
20221112_10:45,"[Lte, Lte, Lte, Lte]","[473, 309, 478, 480]","[-85, -110, -116, -117]","[]","[]","[]"
20221112_10:45,"[Lte, Lte, Lte, Lte]","[473, 309, 478, 480]","[-78, -112, -117, -119]","[]","[]","[]"
20221112_10:45,"[Lte, Lte, Lte, Lte, Lte, Lte, Lte]","[473, 474, 172, 132, 176, 172, 171]","[-77, -97, -127, -136, -138, -129, -132]","[]","[]","[]"
20221112_10:46,"[Lte, Lte, Lte, Lte, Lte, Lte, Lte]","[473, 474, 172, 132, 172, 171, 176]","[-71, -93, -121, -138, -124, -131, -136]","[]","[]","[]"
20221112_10:46,"[Lte, Lte, Lte, Lte]","[473, 172, 132, 172]","[-70, -126, -140, -126]","[]","[]","[]"
20221112_10:46,"[Lte, Lte, Lte, Lte, Lte, Lte, Lte]","[473, 474, 172, 171, 132, 172, 171]","[-76, -94, -126, -139, -130, -123, -129]","[]","[]","[]"
20221112_10:46,"[Lte]","[473]","[-81]","[]","[]","[]"
20221112_10:46,"[Lte, Lte, Lte, Lte]","[473, 474, 480, 309]","[-77, -94, -106, -117]","[]","[]","[]"
20221112_10:46,"[Lte, Lte, Lte, Lte]","[473, 474, 480, 309]","[-75, -98, -106, -117]","[]","[]","[]"
20221112_10:46,"[Lte, Lte, Lte, Lte, Lte, Lte, Lte]","[473, 474, 172, 176, 132, 172, 176]","[-71, -92, -117, -129, -131, -123, -130]","[]","[]","[]"
20221112_10:46,"[Lte, Lte, Lte, Lte, Lte, Lte, Lte]","[473, 474, 172, 176, 171, 132, 172]","[-70, -90, -119, -129, -130, -131, -113]","[]","[]","[]"
20221112_10:46,"[Lte, Lte, Lte, Lte, Lte, Lte, Lte, Lte]","[473, 474, 172, 176, 171, 0, 172, 171]","[-70, -94, -109, -127, -125, 2147483647, -111, -126]","[]","[]","[]"
20221112_10:46,"[Lte, Lte, Lte, Lte, Lte, Lte, Lte]","[473, 474, 172, 0, 172, 171, 176]","[-70, -92, -109, 2147483647, -112, -127, -126]","[]","[]","[]"
20221112_10:46,"[Lte, Lte, Lte, Lte, Lte, Lte, Lte]","[473, 474, 172, 176, 132, 172, 176]","[-74, -92, -111, -127, -138, -120, -127]","[]","[]","[]"
20221112_10:46,"[Lte, Lte, Lte, Lte, Lte, Lte]","[473, 474, 172, 176, 172, 176]","[-79, -94, -119, -129, -115, -127]","[]","[]","[]"
