Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
20221119_19:05,"[Lte]","[473]","[-83]","[]","[]","[]"
20221119_19:05,"[Lte]","[473]","[-81]","[]","[]","[]"
20221119_19:05,"[Lte]","[473]","[-81]","[]","[]","[]"
20221119_19:05,"[Lte]","[473]","[-81]","[]","[]","[]"
20221119_19:05,"[Lte]","[473]","[-81]","[]","[]","[]"
20221119_19:05,"[Lte]","[473]","[-83]","[]","[]","[]"
20221119_19:05,"[Lte]","[473]","[-83]","[]","[]","[]"
20221119_19:05,"[Lte]","[473]","[-72]","[]","[]","[]"
20221119_19:05,"[Lte]","[473]","[-72]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-70]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-70]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-78]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-78]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-80]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-80]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-76]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-76]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-76]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-76]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-68]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-68]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-66]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-66]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-70]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-70]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-80]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-80]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-83]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-83]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-77]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-77]","[]","[]","[]"
20221119_19:06,"[Lte, Lte, Lte, Lte]","[473, 0, 0, 0]","[-75, 2147483647, 2147483647, 2147483647]","[]","[]","[]"
20221119_19:06,"[Lte, Lte, Lte, Lte]","[473, 0, 0, 0]","[-75, 2147483647, 2147483647, 2147483647]","[]","[]","[]"
20221119_19:06,"[Lte, Lte, Lte, Lte, Lte, Lte]","[473, 480, 176, 171, 172, 132]","[-72, -90, -130, -130, -125, -134]","[]","[]","[]"
20221119_19:06,"[Lte, Lte, Lte, Lte, Lte, Lte]","[473, 480, 176, 171, 172, 132]","[-72, -90, -130, -130, -125, -134]","[]","[]","[]"
20221119_19:06,"[Lte, Lte, Lte, Lte]","[473, 176, 172, 132]","[-71, -127, -115, -127]","[]","[]","[]"
20221119_19:06,"[Lte, Lte, Lte, Lte]","[473, 176, 172, 132]","[-71, -127, -115, -127]","[]","[]","[]"
20221119_19:06,"[Lte, Lte, Lte, Lte, Lte]","[473, 474, 176, 172, 132]","[-67, -85, -125, -114, -131]","[]","[]","[]"
20221119_19:06,"[Lte, Lte, Lte, Lte, Lte]","[473, 474, 176, 172, 132]","[-67, -85, -125, -114, -131]","[]","[]","[]"
20221119_19:06,"[Lte, Lte, Lte, Lte]","[473, 176, 172, 132]","[-69, -128, -117, -129]","[44:2c:05:d2:a1:79, 4c:ab:fc:99:18:47, 48:0e:ec:3c:3c:e0, 84:ea:97:47:71:ca, 0e:b5:9b:17:0a:70, 20:28:3e:04:fc:d4, da:f9:af:98:f2:74, 3e:a9:1c:2e:95:c6, 38:a9:1c:2e:95:c6]","[volvo_VOLVO_M6, ChinaNet-E4Qj, Idooer, DDPAI_MINI_71CA, 有家便利店, ChinaNet-3Y2r, 华为畅享20 SE, , tengye_5G]","[-59, -73, -73, -74, -79, -80, -86, -89, -90]"
20221119_19:06,"[Lte, Lte, Lte, Lte]","[473, 176, 172, 132]","[-69, -128, -117, -129]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-70]","[10:a4:be:da:52:89, 84:ea:97:47:71:ca, a2:cf:f5:19:ea:50, 44:2c:05:d2:a1:79, 38:a9:1c:2e:95:c5, b0:02:47:14:5a:17, 80:e4:da:d1:98:8d]","[vYou_DDPai_MiniSE, DDPAI_MINI_71CA, iTV-aNeQ, volvo_VOLVO_M6, tengye, FCDVR_230C, RL_E35F51E8]","[-67, -75, -80, -83, -83, -84, -86]"
20221119_19:06,"[Lte]","[473]","[-70]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-75]","[44:2c:05:d2:a1:79, 10:a4:be:da:52:89, 84:ea:97:47:71:ca, 44:a1:91:a5:7c:c1, 80:e4:da:d1:98:8d, 7c:b5:9b:17:0a:70]","[volvo_VOLVO_M6, vYou_DDPai_MiniSE, DDPAI_MINI_71CA, haikang, RL_E35F51E8, youjia]","[-59, -63, -65, -83, -84, -84]"
20221119_19:06,"[Lte]","[473]","[-75]","[]","[]","[]"
20221119_19:06,"[Lte]","[473]","[-79]","[44:2c:05:d2:a1:79, 10:a4:be:da:52:89, 84:ea:97:47:71:ca, b0:02:47:14:5a:17, 80:e4:da:d1:98:8d, 70:fd:45:4b:1b:e1]","[volvo_VOLVO_M6, vYou_DDPai_MiniSE, DDPAI_MINI_71CA, FCDVR_230C, RL_E35F51E8, haikang]","[-43, -60, -68, -79, -81, -87]"
20221119_19:06,"[Lte]","[473]","[-79]","[]","[]","[]"
