Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
17:00:28:107,6.8727,3.0221,6.7817,39.5463,-0.3951,-0.6389,-2.1678,346.4844
17:00:28:127,6.3579,3.1741,6.4585,36.6138,-0.6161,-0.8264,-2.2541,346.4844
17:00:28:147,5.9581,3.3633,6.2071,38.3525,-0.9812,-0.9779,-2.2271,293
17:00:28:167,5.8659,3.234,6.3938,38.1766,-1.3064,-1.0309,-2.1696,296.0469
17:00:28:192,5.6552,3.0712,6.8703,37.1777,-1.4856,-0.926,-2.1835,299.1406
17:00:28:210,5.4781,3.0628,7.1755,38.4339,-1.5138,-0.7923,-2.2019,302.4844
17:00:28:227,4.9705,2.9203,7.324,37.7798,-1.4742,-0.7473,-2.2487,302.4844
17:00:28:246,4.2199,2.8605,7.4796,38.135,-1.4177,-0.6528,-2.2349,309.1719
17:00:28:266,3.4705,3.0628,8.0027,38.4765,-1.3213,-0.343,-2.1204,312.625
17:00:28:294,3.115,3.483,8.4732,37.5552,-1.1405,0.0155,-1.9358,312.625
17:00:28:310,2.9713,3.7236,8.6839,36.069,-0.9306,0.3116,-1.7782,316.0156
17:00:28:325,2.6505,3.8277,8.7844,36.4319,-0.7532,0.5249,-1.6668,319.125
17:00:28:348,2.1154,3.9355,8.7449,36.771,-0.6472,0.7326,-1.5531,321.6875
17:00:28:375,1.7132,4.1701,9.0107,36.3336,-0.6217,0.8488,-1.4061,324.0312
17:00:28:389,1.5133,4.3569,9.5877,37.2533,-0.5884,0.808,-1.2652,327.7969
17:00:28:407,1.5336,4.3569,9.7541,36.6905,-0.5002,0.6549,-1.1715,329.3906
17:00:28:424,1.6725,4.461,9.4381,35.7892,-0.4251,0.539,-1.148,330.7969
17:00:28:446,1.633,4.5292,9.4273,36.5232,-0.4126,0.4338,-1.1582,331.4531
17:00:28:472,1.53,4.4431,9.5542,35.8946,-0.3756,0.1989,-1.1662,332.6719
17:00:28:490,1.597,4.473,9.4069,36.6162,-0.3098,-0.1076,-1.1536,333.9688
17:00:28:507,1.718,4.4335,8.891,36.2568,-0.2688,-0.347,-1.1155,335.3281
17:00:28:530,1.8018,4.3796,8.5331,34.95,-0.2925,-0.4693,-1.0559,336.6719
17:00:28:544,1.7539,4.2611,8.5331,33.9577,-0.3255,-0.5545,-0.9627,338.125
17:00:28:566,1.7575,4.0959,8.5917,35.8769,-0.3255,-0.5947,-0.8463,339.5781
17:00:28:603,1.6449,4.0312,8.7258,35.8965,-0.2861,-0.5646,-0.7227,340.9219
17:00:28:605,1.4845,4.0875,8.9532,35.102,-0.2105,-0.478,-0.5739,342.2344
17:00:28:625,1.445,4.3197,8.8347,35.2774,-0.1104,-0.4139,-0.4063,343.4062
17:00:28:646,1.7886,4.5592,8.5019,36.0437,-0.0858,-0.3768,-0.2535,343.9219
17:00:28:670,2.2638,4.7088,8.4792,34.9941,-0.1239,-0.2639,-0.1725,344.75
17:00:28:689,2.6613,4.7208,8.7461,35.124,-0.1476,-0.0631,-0.173,345.3906
17:00:28:706,2.9115,4.6466,9.0694,34.86,-0.1226,0.1097,-0.2359,345.8281
17:00:28:725,2.9917,4.5831,9.2058,35.6373,-0.064,0.1526,-0.3302,346.1406
17:00:28:746,2.9534,4.5508,9.0562,34.7478,-0.0219,0.0652,-0.4085,346.3906
17:00:28:771,2.8684,4.6023,8.8946,35.2878,-0.0408,-0.0948,-0.4311,346.6562
17:00:28:788,2.9965,4.546,8.7629,36.1629,-0.1239,-0.2972,-0.4162,347
17:00:28:806,3.2538,4.3952,9.1328,35.2324,-0.2318,-0.4687,-0.4314,347.4375
17:00:28:825,3.3855,4.4957,9.8606,34.982,-0.2563,-0.5526,-0.5028,347.9688
17:00:28:846,3.3125,4.8524,10.5179,35.7206,-0.1591,-0.6056,-0.5925,348.5781
17:00:28:872,2.8899,4.9937,10.6914,35.9277,-0.0139,-0.7188,-0.6386,349.6406
17:00:28:888,2.684,4.9722,10.6723,35.1282,0.1232,-0.9225,-0.6138,350.5312
17:00:28:905,3.0324,5.1039,10.5095,35.1052,0.23,-1.1811,-0.5725,351.4844
17:00:28:925,3.0024,5.0835,10.1013,34.6814,0.2838,-1.3335,-0.5696,352.4219
17:00:28:946,1.5731,3.4914,9.1268,34.7314,0.1594,-1.347,-0.3984,353.4062
17:00:28:971,1.1254,2.1386,9.2669,35.1867,-0.1559,-1.3358,0.0285,354.4375
17:00:28:988,2.1812,1.4695,10.4891,34.4055,-0.2938,-1.2948,0.4307,355.4375
17:00:29:005,3.5459,1.0229,11.0506,34.7485,-0.0675,-1.0591,0.5567,356.1406
17:00:29:025,4.5299,0.8589,10.3491,33.6231,0.3661,-0.734,0.3761,356.4219
17:00:29:048,4.7095,1.1103,8.958,33.663,0.7203,-0.3896,0.0296,356.3281
17:00:29:072,4.0667,1.242,7.6053,34.9551,0.8298,-0.097,-0.2713,356.0469
17:00:29:089,3.3843,1.4192,6.8068,34.4819,0.7349,-0.0067,-0.3978,355.7969
17:00:29:105,2.9534,1.558,6.3962,36.2862,0.5768,-0.1281,-0.397,355.7344
17:00:29:126,2.9019,1.7041,6.0132,32.9836,0.406,-0.3201,-0.3355,355.8438
17:00:29:145,2.9785,1.9112,5.6612,34.2838,0.1967,-0.3665,-0.2564,356.0625
17:00:29:166,3.0467,2.0453,5.6385,33.2567,-0.0598,-0.2607,-0.1696,356.4062
17:00:29:186,3.1988,2.2619,6.1736,35.5169,-0.2861,-0.1121,-0.0788,356.7812
17:00:29:205,3.4681,2.5708,6.6357,33.6372,-0.4073,0.0274,0.0003,357.1094
17:00:29:225,3.9242,2.9144,6.8451,34.4947,-0.4733,0.1611,0.0427,357.4062
17:00:29:246,4.3983,3.1586,7.1348,34.2535,-0.5426,0.3015,-0.0162,357.5938
17:00:29:273,4.5395,3.398,7.5407,34.8532,-0.5935,0.4354,-0.1733,357.7031
17:00:29:293,4.3324,3.6673,8.0746,34.03,-0.6166,0.5505,-0.3544,357.8281
17:00:29:311,3.996,3.8888,8.8084,32.9692,-0.5705,0.5819,-0.4876,358.0781
17:00:29:327,3.771,4.127,9.3387,33.829,-0.4235,0.5166,-0.5675,358.4688
17:00:29:346,3.6992,4.1953,9.5961,35.1282,-0.2041,0.5856,-0.6335,359
17:00:29:372,3.5711,4.1797,9.7337,34.2527,0.0638,0.9073,-0.695,359.5938
17:00:29:388,3.3604,4.3736,9.4153,34.8874,0.3317,1.3814,-0.719,0.1719
17:00:29:405,3.3412,4.6801,8.8072,34.5905,0.4886,1.8387,-0.6964,0.5625
17:00:29:427,3.4394,5.0141,8.29,34.5418,0.5059,2.0815,-0.7065,0.75
17:00:29:446,3.3759,5.299,8.0698,35.3219,0.4244,2.0829,-0.7733,0.6875
17:00:29:467,2.8492,5.2894,8.1667,35.0885,0.3083,1.8565,-0.8548,0.5312
17:00:29:490,2.1381,5.1649,8.3918,34.7915,0.2002,1.5263,-0.8857,0.4531
17:00:29:506,1.5887,5.1877,8.7114,34.2906,0.1365,1.2155,-0.8639,0.6094
17:00:29:526,1.2535,5.2511,8.982,36.0664,0.1373,1.0139,-0.8154,0.9219
17:00:29:545,0.7806,5.2152,8.9173,36.9956,0.1813,0.8501,-0.7653,1.375
17:00:29:567,0.3712,5.0871,8.654,36.8146,0.1781,0.6293,-0.694,1.8594
17:00:29:590,-0.0849,4.9063,8.4493,36.4558,0.1078,0.3419,-0.6109,2.3594
17:00:29:607,-0.4835,4.8788,8.4744,34.7154,-0.0036,0.1092,-0.4988,2.8281
17:00:29:625,-0.699,4.8584,8.9939,35.9357,-0.0949,0.0152,-0.3781,2.8281
17:00:29:646,-1.0078,4.7782,9.7613,35.5068,-0.0901,0.0115,-0.2881,3.9062
17:00:29:674,-1.4639,6.4063,10.5597,35.8854,0.1317,0.2442,-0.3454,4.3125
17:00:29:690,-3.5074,6.5212,9.9696,36.284,0.0686,0.4248,-0.2561,4.6406
17:00:29:708,-4.8553,5.8161,10.7956,37.3326,-0.0858,0.3875,0.227,4.6406
17:00:29:731,-4.9152,3.9546,11.946,36.3931,0.0779,0.3015,0.8837,5.1719
17:00:29:744,-3.1291,2.3481,11.3462,36.6088,0.5128,0.5332,1.4581,5.1719
17:00:29:765,-0.8415,1.6526,9.541,37.0515,0.8588,0.8586,1.6581,4.8594
17:00:29:790,0.3449,1.5377,7.828,36.5813,0.8993,0.8618,1.5055,3.7031
17:00:29:808,0.4766,1.6658,6.9218,37.0247,0.6638,0.498,1.2672,1.8438
17:00:29:824,0.1414,1.8513,6.9146,36.3206,0.3094,-0.0245,1.125,359.4844
17:00:29:845,0.2742,2.0728,7.2653,36.701,-0.0092,-0.5089,1.1327,357.2969
17:00:29:866,1.1757,2.5492,7.6328,38.0536,-0.2395,-0.8743,1.1676,355.625
17:00:29:888,2.538,3.2244,7.8519,38.0536,-0.3445,-1.1928,1.0986,354.3281
17:00:29:905,4.196,4.1318,7.5622,36.0488,-0.3892,-1.5755,0.8382,353.2656
17:00:29:925,5.2985,4.7507,7.0391,36.3356,-0.4872,-2.0616,0.362,352.4062
17:00:29:945,5.3847,4.9362,6.826,36.7985,-0.6709,-2.3827,-0.2095,351.7344
17:00:29:965,4.7299,4.8285,7.142,36.0258,-0.8603,-2.2991,-0.6985,351.5469
17:00:29:988,3.7973,4.7878,8.0829,36.3614,-0.9413,-1.8171,-0.9906,352.1562
17:00:30:006,2.7594,4.7926,9.2549,36.6402,-0.8134,-1.1079,-1.0522,353.5156
17:00:30:025,2.0675,4.8465,9.887,35.7273,-0.4821,-0.4815,-0.8948,355.5312
17:00:30:103,1.9191,4.5975,9.4153,35.6341,-0.0976,-0.163,-0.6524,357.6875
17:00:30:104,2.277,4.3401,8.3188,36.1383,0.1451,-0.0392,-0.4468,359.4844
17:00:30:104,2.7115,4.2192,7.3743,35.5678,0.1954,-0.0256,-0.3741,0.8438
17:00:30:115,3.0216,4.2431,6.8631,35.2547,0.0923,-0.1217,-0.4218,1.6875
17:00:30:128,2.9677,4.3257,6.9852,34.0016,-0.0725,-0.2924,-0.5448,2.1719
17:00:30:145,2.7367,4.4897,7.3563,35.9706,-0.2209,-0.4884,-0.6671,2.7812
17:00:30:165,2.4242,4.6645,8.0243,35.2114,-0.3223,-0.6448,-0.7398,3.4219
17:00:30:189,2.3632,4.8429,8.6839,35.4786,-0.3311,-0.7201,-0.764,4.3281
17:00:30:206,2.5224,5.1302,9.1603,35.6228,-0.263,-0.5955,-0.8048,5.4062
17:00:30:224,2.5248,5.469,9.5446,36.4179,-0.1727,-0.2629,-0.8812,6.6562
17:00:30:246,1.9981,5.7251,9.8319,34.5498,-0.0685,0.082,-0.9185,7.9375
17:00:30:265,1.3636,5.7551,10.0665,37.3583,0.0106,0.343,-0.817,9.0781
17:00:30:288,1.05,5.524,10.3191,35.9962,0.0774,0.5145,-0.6149,10.2031
17:00:30:306,1.2415,5.2248,10.6232,34.5545,0.1743,0.6655,-0.4178,11.1094
17:00:30:324,1.8018,4.813,10.9368,36.562,0.3541,0.828,-0.3262,11.7031
17:00:30:344,2.5523,4.6274,11.0589,36.425,0.6399,0.8623,-0.4175,11.9844
17:00:30:365,2.2459,4.7603,10.4616,36.4228,0.9264,0.7579,-0.6684,12
17:00:30:389,0.8417,4.8956,9.6512,36.9599,1.0114,0.493,-0.7486,11.9062
17:00:30:407,-0.5757,4.6908,9.0717,35.6102,0.9131,0.1052,-0.5163,11.9844
17:00:30:425,-0.6786,4.0396,8.5714,37.0754,0.7419,-0.2583,-0.0284,12.375
17:00:30:445,0.4694,3.1203,8.1416,36.7709,0.6415,-0.3305,0.3212,12.8438
17:00:30:464,1.4725,2.5947,7.5598,38.1008,0.6321,0.0583,0.3393,13.0938
17:00:30:489,1.9502,3.0532,7.1468,37.5359,0.6271,0.6834,0.1186,12.9531
17:00:30:507,1.6521,3.9905,6.7566,36.149,0.5978,1.0591,-0.1097,12.5469
17:00:30:526,1.3313,4.9578,6.3555,35.772,0.5003,1.0133,-0.201,11.9844
