Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
20250718_17:00,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[338, 300, 169, 320, 318]","[-82, -119, -114, -95, -108]",[],[],[]
20250718_17:00,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[338, 300, 169, 320, 318]","[-73, -119, -114, -95, -108]",[],[],[]
20250718_17:00,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[338, 300, 169, 320, 318]","[-77, -99, -114, -95, -108]",[],[],[]
20250718_17:00,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[338, 300, 169, 320, 318]","[-76, -95, -114, -95, -108]",[],[],[]
20250718_17:00,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[338, 300, 169, 320, 318]","[-80, -95, -114, -95, -108]",[],[],[]
20250718_17:00,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[338, 300, 169, 320, 318]","[-73, -95, -114, -95, -108]",[],[],[]
20250718_17:00,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[338, 300, 169, 320, 318]","[-71, -95, -114, -95, -108]",[],[],[]
20250718_17:00,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[338, 300, 169, 320, 318]","[-77, -95, -114, -95, -108]",[],[],[]
20250718_17:00,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[338, 300, 169, 320, 318]","[-77, -95, -114, -95, -108]",[],[],[]
20250718_17:00,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[338, 300, 169, 320, 318]","[-69, -95, -114, -95, -108]",[],[],[]
20250718_17:00,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[338, 300, 169, 320, 318]","[-68, -95, -114, -95, -108]",[],[],[]
20250718_17:00,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[338, 300, 169, 320, 318]","[-69, -95, -114, -95, -108]",[],[],[]
20250718_17:00,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[338, 300, 169, 320, 318]","[-78, -95, -114, -95, -108]",[],[],[]
20250718_17:00,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[338, 300, 169, 320, 318]","[-75, -95, -114, -95, -108]",[],[],[]
20250718_17:00,"['Lte', 'Lte', 'Lte', 'Lte']","[338, 169, 320, 318]","[-72, -114, -95, -108]",[],[],[]
20250718_17:00,"['Lte', 'Lte', 'Lte', 'Lte']","[338, 169, 320, 318]","[-74, -114, -95, -108]",[],[],[]
20250718_17:01,"['Lte', 'Lte', 'Lte', 'Lte']","[338, 169, 320, 318]","[-68, -114, -95, -108]",[],[],[]
20250718_17:01,"['Lte', 'Lte', 'Lte', 'Lte']","[338, 169, 320, 318]","[-73, -114, -95, -108]",[],[],[]
20250718_17:01,['Lte'],[338],[-82],[],[],[]
20250718_17:01,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[338, 169, 282, 123, 48]","[-86, -116, -83, -87, -96]",[],[],[]
20250718_17:01,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[338, 169, 282, 123, 48]","[-82, -116, -88, -87, -96]",[],[],[]
20250718_17:01,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[338, 169, 282, 123, 48]","[-83, -126, -88, -98, -98]",[],[],[]
20250718_17:01,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[338, 169, 282, 123, 48]","[-79, -128, -92, -89, -91]",[],[],[]
20250718_17:01,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[338, 169, 282, 123, 48]","[-81, -128, -85, -95, -100]",[],[],[]
20250718_17:01,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[338, 169, 282, 123, 48]","[-76, -124, -85, -95, -100]",[],[],[]
20250718_17:01,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[338, 169, 282, 283, 123, 48]","[-77, -129, -91, -92, -93, -95]",[],[],[]
20250718_17:01,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[338, 169, 282, 283, 123, 48]","[-79, -129, -83, -95, -93, -95]",[],[],[]
20250718_17:01,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[338, 169, 282, 283, 123, 48]","[-78, -127, -83, -95, -93, -102]",[],[],[]
