Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
16:47:57:700,0.0935,3.4363,8.4828,36.0796,-0.0299,-0.4988,-0.2788,346.9375
16:47:57:718,0.3281,3.5201,8.575,36.6546,-0.0653,-0.4679,-0.1773,346.9375
16:47:57:739,0.5185,3.4997,8.812,34.8192,-0.0811,-0.3454,-0.0865,346.9375
16:47:57:765,0.5723,3.4399,8.873,35.1346,-0.0526,-0.1483,-0.0319,346.9375
16:47:57:781,0.6944,3.5273,8.8012,37.1211,-0.0299,-0.069,-0.0191,6.8281
16:47:57:799,0.5077,3.4459,8.9257,36.4569,-0.0105,0.0176,0.0176,7
16:47:57:817,0.5137,3.4566,9.0334,37.2658,0.0058,0.1728,0.1114,7.0625
16:47:57:837,0.4957,3.3633,9.0753,35.5699,0.0233,0.2802,0.1843,7.0938
16:47:57:865,0.6298,3.3716,8.9772,34.1997,0.0236,0.3065,0.2613,7.0781
16:47:57:882,0.9231,3.3417,9.0215,34.6466,-0.0001,0.3185,0.3021,6.9219
16:47:57:904,1.105,3.2292,9.1232,34.8296,-0.0214,0.3244,0.2871,6.6562
16:47:57:917,1.1948,3.1777,9.2417,35.8658,-0.0291,0.3473,0.2318,6.0781
16:47:57:940,1.1098,3.1957,9.2812,37.9904,-0.0193,0.3838,0.1606,5.6875
16:47:57:961,0.9195,3.1921,9.2872,36.5173,-0.0185,0.359,0.113,5.3125
16:47:57:978,0.8285,3.1514,9.3531,36.0879,-0.0153,0.2551,0.0925,5
16:47:57:998,0.8201,3.1801,9.3195,36.0102,0.0036,0.1252,0.0855,4.7812
16:47:58:018,0.8908,3.1526,9.1711,35.0178,-0.0022,0.0527,0.072,4.5938
16:47:58:042,0.9183,3.1155,9.0646,36.2361,-0.0238,0.0184,0.0451,4.4531
16:47:58:061,0.953,3.0484,9.055,37.4346,-0.0456,0.009,0.0014,4.3438
16:47:58:079,0.9422,3.0209,8.9987,35.1742,-0.0547,0.0186,-0.07,4.2812
16:47:58:098,0.8105,2.9958,8.9544,37.3325,-0.0701,0.0245,-0.1499,4.25
16:47:58:118,0.6573,2.9802,8.9473,37.8536,-0.0922,0.025,-0.2407,4.2812
