Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
20250718_16:47,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[125, 140, 2, 79, 246, 139, 140, 23, 119, 119, 119, 119, 119, 119, 119, 119, 119]","[-93, -100, -90, -97, -99, -103, -104, -107, -110, -110, -110, -110, -110, -110, -110, -110, -110]",[],[],[]
20250718_16:47,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[125, 140, 2, 79, 339, 80, 246, 139, 140, 23, 119]","[-93, -95, -93, -99, -97, -95, -99, -103, -104, -107, -110]",[],[],[]
20250718_16:48,"['Lte', 'Lte', 'Lte', 'Lte']","[80, 79, 341, 2]","[-98, -100, -106, -105]",[],[],[]
20250718_16:48,"['Lte', 'Lte', 'Lte', 'Lte']","[80, 2, 341, 79]","[-96, -101, -99, -103]",[],[],[]
20250718_16:48,"['Lte', 'Lte', 'Lte', 'Lte']","[80, 341, 2, 79]","[-96, -101, -102, -103]",[],[],[]
20250718_16:48,"['Lte', 'Lte', 'Lte', 'Lte']","[80, 341, 79, 2]","[-93, -103, -108, -101]",[],[],[]
20250718_16:48,"['Lte', 'Lte', 'Lte', 'Lte']","[80, 2, 341, 79]","[-93, -97, -102, -113]",[],[],[]
20250718_16:48,"['Lte', 'Lte', 'Lte']","[80, 2, 339]","[-91, -94, -102]",[],[],[]
20250718_16:48,"['Lte', 'Lte', 'Lte']","[80, 339, 2]","[-92, -102, -103]",[],[],[]
20250718_16:48,"['Lte', 'Lte', 'Lte']","[80, 339, 2]","[-90, -98, -100]",[],[],[]
20250718_16:48,"['Lte', 'Lte', 'Lte']","[80, 339, 2]","[-90, -110, -105]",[],[],[]
20250718_16:48,"['Lte', 'Lte', 'Lte']","[80, 2, 339]","[-89, -97, -101]",[],[],[]
20250718_16:48,"['Lte', 'Lte', 'Lte']","[80, 2, 339]","[-88, -92, -106]",[],[],[]
20250718_16:48,"['Lte', 'Lte', 'Lte']","[80, 2, 339]","[-90, -101, -109]",[],[],[]
20250718_16:48,"['Lte', 'Lte', 'Lte']","[80, 2, 339]","[-91, -99, -106]",[],[],[]
20250718_16:48,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[80, 2, 1, 140, 125, 1, 339, 318, 246, 140]","[-93, -95, -105, -89, -99, -99, -110, -108, -98, -92]",[],[],[]
20250718_16:48,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[80, 2, 1, 140, 125, 1, 318, 339, 140, 246]","[-88, -86, -93, -88, -98, -92, -104, -105, -100, -97]",[],[],[]
20250718_16:48,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[80, 2, 1, 140, 125, 1, 318, 339, 246, 140]","[-88, -100, -103, -88, -101, -103, -110, -108, -98, -96]",[],[],[]
