Time,Meg
17:50:16:763,59.9232
17:50:16:791,60.6361
17:50:16:809,59.3547
17:50:16:829,59.5003
17:50:16:855,60.2877
17:50:16:870,61.4067
17:50:16:886,59.1553
17:50:16:905,60.9288
17:50:16:925,59.8994
17:50:16:944,59.7197
17:50:16:973,59.4981
17:50:16:981,59.7421
17:50:17:001,60.2633
17:50:17:021,60.1085
17:50:17:040,59.9523
17:50:17:060,60.3017
17:50:17:081,59.3589
17:50:17:103,58.6589
17:50:17:120,59.6055
17:50:17:141,60.7507
17:50:17:160,59.7321
17:50:17:183,58.583
17:50:17:202,59.1323
17:50:17:221,59.0897
17:50:17:250,59.6828
17:50:17:261,60.2863
17:50:17:282,58.1058
17:50:17:300,60.9023
17:50:17:320,59.3976
17:50:17:342,59.9551
17:50:17:360,60.3426
17:50:17:383,60.9605
17:50:17:401,60.8037
17:50:17:421,60.367
17:50:17:441,60.7204
17:50:17:461,59.8244
17:50:17:481,59.7794
17:50:17:502,61.4997
17:50:17:520,60.3276
17:50:17:542,61.695
17:50:17:560,60.7681
17:50:17:584,61.3486
17:50:17:599,62.1034
17:50:17:619,60.1505
17:50:17:640,59.5738
17:50:17:660,61.9931
17:50:17:680,59.8352
17:50:17:700,60.7672
17:50:17:720,59.9486
17:50:17:739,61.9423
17:50:17:759,60.6884
17:50:17:779,60.4323
17:50:17:799,59.3931
17:50:17:820,61.3462
17:50:17:840,59.4049
17:50:17:861,60.4996
17:50:17:881,60.1621
17:50:17:903,61.3838
17:50:17:926,61.7354
17:50:17:952,60.3491
17:50:17:968,60.8485
17:50:17:982,61.695
17:50:18:010,60.0451
17:50:18:020,58.7736
17:50:18:039,59.0362
17:50:18:059,60.9797
17:50:18:080,60.9796
17:50:18:100,60.9796
17:50:18:119,60.9796
17:50:18:139,60.9796
17:50:18:160,60.9797
17:50:18:180,60.4607
17:50:18:201,60.3589
17:50:18:219,60.3549
17:50:18:239,60.0636
17:50:18:260,59.7592
17:50:18:279,60.929
17:50:18:299,58.9212
17:50:18:319,58.5615
17:50:18:339,58.2726
17:50:18:360,58.22
17:50:18:381,59.1663
17:50:18:400,59.1239
17:50:18:419,58.22
17:50:18:441,58.5513
17:50:18:460,59.5016
17:50:18:481,57.9573
17:50:18:500,61.2776
17:50:18:519,59.2456
17:50:18:540,58.6049
17:50:18:559,57.6205
17:50:18:579,58.2485
17:50:18:602,58.2165
17:50:18:619,59.7301
17:50:18:640,58.22
17:50:18:662,59.743
17:50:18:679,59.4105
17:50:18:699,59.9411
17:50:18:719,58.8328
17:50:18:797,55.6594
17:50:18:802,54.8856
17:50:18:802,56.7523
17:50:18:803,56.3533
17:50:18:819,54.7896
17:50:18:840,55.453
17:50:18:861,55.0892
17:50:18:879,54.4404
17:50:18:900,53.8687
17:50:18:919,53.5172
17:50:18:939,51.5883
17:50:18:961,53.5698
17:50:18:979,51.87
17:50:18:999,53.6091
17:50:19:019,52.864
17:50:19:040,53.6704
17:50:19:059,53.9537
17:50:19:080,52.6149
17:50:19:099,53.8061
17:50:19:119,51.1313
17:50:19:138,52.4272
17:50:19:159,51.6271
17:50:19:179,51.3134
17:50:19:199,50.505
17:50:19:219,51.393
17:50:19:242,51.1532
17:50:19:262,51.012
17:50:19:279,49.8283
17:50:19:299,49.0882
17:50:19:325,46.6433
17:50:19:343,46.742
17:50:19:360,48.2885
17:50:19:381,48.6422
17:50:19:398,48.6422
17:50:19:422,47.9422
17:50:19:438,47.5765
17:50:19:458,47.8788
17:50:19:479,47.9796
17:50:19:499,46.5678
17:50:19:519,47.1609
17:50:19:538,45.7632
17:50:19:559,46.251
17:50:19:578,45.3255
17:50:19:600,46.0177
17:50:19:619,45.7247
17:50:19:639,43.4558
17:50:19:659,45.0969
17:50:19:679,43.078
17:50:19:699,44.0501
17:50:19:721,43.6109
17:50:19:739,44.0493
17:50:19:761,43.1941
17:50:19:779,41.8559
17:50:19:799,41.5749
17:50:19:820,41.4105
17:50:19:839,41.2057
17:50:19:860,39.998
17:50:19:878,41.462
17:50:19:900,40.828
17:50:19:919,42.0616
17:50:19:938,41.3892
17:50:19:959,42.8371
17:50:19:978,43.4791
17:50:19:999,44.1858
17:50:20:019,44.4614
17:50:20:041,45.8886
17:50:20:060,46.1955
17:50:20:078,47.319
17:50:20:099,48.873
17:50:20:120,47.8858
17:50:20:138,48.966
17:50:20:159,50.833
17:50:20:178,51.94
17:50:20:198,49.7525
17:50:20:218,53.8792
17:50:20:239,54.009
17:50:20:260,54.6557
17:50:20:281,53.1402
17:50:20:298,53.6901
17:50:20:325,53.0101
17:50:20:338,52.6673
17:50:20:358,53.0016
17:50:20:378,51.7057
17:50:20:398,52.8146
17:50:20:418,51.9976
17:50:20:440,52.5474
17:50:20:459,52.3051
17:50:20:479,51.8808
17:50:20:499,52.1876
17:50:20:525,52.869
17:50:20:545,54.1781
17:50:20:559,54.5612
17:50:20:579,54.3371
17:50:20:600,53.0496
17:50:20:622,53.9377
17:50:20:640,54.3719
17:50:20:660,54.1249
17:50:20:682,55.6538
17:50:20:706,55.235
17:50:20:725,56.8017
17:50:20:741,56.168
17:50:20:761,56.6779
17:50:20:779,56.2057
17:50:20:888,54.4656
17:50:20:889,54.8399
17:50:20:889,56.2304
17:50:20:890,56.3839
17:50:20:890,55.1509
17:50:20:903,56.3366
17:50:20:920,55.3624
17:50:20:940,56.0039
17:50:20:960,58.5366
17:50:20:979,58.6615
17:50:20:999,54.361
17:50:21:023,49.8514
17:50:21:041,51.1441
17:50:21:060,49.8124
17:50:21:080,51.8753
17:50:21:106,52.5015
17:50:21:123,51.2416
17:50:21:142,51.465
17:50:21:159,51.8795
17:50:21:179,52.6385
