Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
17:44:51:522,473,-70,474,,493,,475,,477,
17:44:53:570,473,-77,474,,493,,475,-87.0,477,
17:44:55:518,473,-70,474,,493,,475,-93.0,477,
17:44:57:516,473,-70,474,,493,,475,-93.0,477,
17:44:59:516,473,-68,474,,493,,475,-93.0,477,
17:45:01:517,473,-62,474,,493,,475,-93.0,477,
17:45:03:517,473,-76,474,,493,,475,-93.0,477,
17:45:05:513,473,-70,474,,493,,475,-84.0,477,
17:45:07:516,473,-69,474,,493,,475,-84.0,477,
17:45:09:523,473,-74,474,,493,,475,-92.0,477,
17:45:11:514,473,-83,474,,493,,475,-96.0,477,
17:45:13:512,473,-83,474,,493,,475,-94.0,477,
17:45:15:508,473,-87,474,,493,,475,-104.0,477,
17:45:17:505,473,-91,474,,493,,475,-113.0,477,
17:45:19:506,473,-81,474,,493,,475,-108.0,477,
17:45:21:506,473,-89,474,,493,,475,,477,
17:45:23:508,473,-71,474,,493,,475,,477,
17:45:25:507,473,-79,474,,493,,475,,477,
17:45:27:501,473,-79,474,,493,,475,,477,
17:45:29:505,473,-88,474,,493,,475,,477,
17:45:31:500,473,-81,474,,493,,475,,477,
17:45:33:497,473,-91,474,,493,,475,,477,
17:45:35:497,473,-84,474,,493,,475,,477,
17:45:37:551,473,-84,474,,493,,475,,477,
17:45:39:498,473,-82,474,,493,,475,,477,
17:45:41:494,473,-76,474,,493,,475,,477,
17:45:43:494,473,-73,474,,493,,475,,477,
17:45:45:494,473,-77,474,,493,,475,,477,
17:45:47:491,473,-65,474,,493,,475,,477,
17:45:49:492,473,-68,474,,493,,475,,477,
17:45:51:493,473,-70,474,,493,,475,,477,
17:45:53:487,473,-76,474,,493,,475,,477,
17:45:55:486,473,-81,474,,493,,475,,477,
17:45:57:484,473,-81,474,,493,,475,,477,
17:45:59:482,473,-81,474,,493,,475,,477,
17:46:01:489,473,-85,474,,493,,475,,477,
17:46:03:481,473,-88,474,,493,,475,,477,
17:46:05:480,473,-83,474,,493,,475,,477,
17:46:07:482,473,-87,474,,493,,475,,477,
17:46:09:484,473,-88,474,,493,,475,,477,
17:46:11:479,473,-96,474,,493,,475,,477,
17:46:13:477,473,-93,474,,493,,475,,477,
17:46:15:473,473,-95,474,,493,,475,,477,
17:46:17:492,473,-89,474,,493,,475,,477,
17:46:19:550,473,-93,474,,493,,475,,477,
17:46:21:474,473,-93,474,,493,,475,,477,
17:46:23:474,473,-90,474,-109.0,493,-98.0,475,,477,
17:46:25:470,473,-84,474,-102.0,493,-99.0,475,,477,
17:46:27:468,473,-81,474,-104.0,493,-103.0,475,,477,
17:46:29:467,473,-78,474,-101.0,493,-100.0,475,,477,
17:46:31:471,473,-77,474,-89.0,493,-91.0,475,,477,
