Time,Meg
21:00:20:663,59.0407
21:00:20:682,60.4548
21:00:20:699,59.2253
21:00:20:731,59.4792
21:00:20:748,58.2182
21:00:20:764,58.1126
21:00:20:781,58.4457
21:00:20:797,58.5988
21:00:20:816,56.9574
21:00:20:839,56.6835
21:00:20:866,58.3903
21:00:20:876,56.6352
21:00:20:900,56.6752
21:00:20:916,56.7683
21:00:20:939,55.4087
21:00:20:964,55.2177
21:00:20:979,54.7279
21:00:20:994,54.5956
21:00:21:029,54.5752
21:00:21:033,54.9425
21:00:21:060,55.0887
21:00:21:073,53.1646
21:00:21:094,54.4881
21:00:21:112,52.8583
21:00:21:147,53.9964
21:00:21:151,54.1413
21:00:21:178,55.2027
21:00:21:194,52.7038
21:00:21:212,54.6087
21:00:21:232,52.3245
21:00:21:250,54.435
21:00:21:277,54.8727
21:00:21:289,53.8869
21:00:21:311,54.2629
21:00:21:329,53.9986
21:00:21:359,53.136
21:00:21:376,54.378
21:00:21:390,52.9054
21:00:21:409,52.3405
21:00:21:428,52.647
21:00:21:448,53.8621
21:00:21:478,53.8018
21:00:21:489,52.6962
21:00:21:514,54.0242
21:00:21:528,54.11
21:00:21:546,52.229
21:00:21:569,53.1298
21:00:21:591,52.7846
21:00:21:605,53.9306
21:00:21:630,54.6672
21:00:21:699,51.8716
21:00:21:699,52.2105
21:00:21:699,51.424
21:00:21:713,53.1625
21:00:21:726,54.6572
21:00:21:743,52.9139
21:00:21:764,52.3763
21:00:21:784,52.5686
21:00:21:804,50.6125
21:00:21:826,52.4583
21:00:21:844,53.0656
21:00:21:868,52.4115
21:00:21:882,53.1412
21:00:21:903,52.5202
21:00:21:929,52.8012
21:00:21:951,51.7208
21:00:21:965,52.5801
21:00:21:984,50.6114
21:00:22:004,50.4686
21:00:22:029,50.4531
21:00:22:044,50.1402
21:00:22:070,52.5179
21:00:22:082,51.8939
21:00:22:105,50.6236
21:00:22:130,49.5208
21:00:22:147,49.7924
21:00:22:165,50.7789
21:00:22:184,50.282
21:00:22:205,50.6782
21:00:22:229,49.9319
21:00:22:245,49.5353
21:00:22:263,51.0444
21:00:22:284,50.9512
21:00:22:306,49.776
21:00:22:328,51.2209
21:00:22:346,50.3587
21:00:22:363,50.6359
21:00:22:385,52.154
21:00:22:412,51.6281
21:00:22:430,50.0241
21:00:22:448,50.868
21:00:22:463,51.5562
21:00:22:483,49.7212
21:00:22:503,50.219
21:00:22:527,49.4599
21:00:22:545,49.8541
21:00:22:563,50.9435
21:00:22:660,50.5496
21:00:22:661,53.4347
21:00:22:661,50.331
21:00:22:675,51.5247
21:00:22:676,51.9296
21:00:22:692,51.8862
