Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
20:59:56:928,298,-70,172,-115.0,176,-115.0,296,,163,
20:59:58:959,298,-61,172,-115.0,176,-115.0,296,,163,
21:00:00:960,298,-63,172,-115.0,176,-115.0,296,,163,
21:00:02:959,298,-66,172,-115.0,176,-115.0,296,,163,
21:00:04:954,298,-63,172,-115.0,176,-115.0,296,,163,
21:00:06:953,298,-59,172,-115.0,176,-115.0,296,,163,
21:00:08:952,298,-63,172,-115.0,176,-115.0,296,,163,
21:00:10:954,298,-60,172,-115.0,176,-115.0,296,,163,
21:00:12:955,298,-62,172,-115.0,176,-115.0,296,,163,
21:00:14:949,298,-65,172,-115.0,176,-115.0,296,,163,
21:00:16:946,298,-62,172,-115.0,176,-115.0,296,,163,
21:00:18:949,298,-64,172,-115.0,176,-115.0,296,,163,
21:00:20:947,298,-61,172,-115.0,176,-115.0,296,,163,
21:00:22:946,298,-69,172,-115.0,176,-115.0,296,,163,
21:00:24:943,298,-75,172,-115.0,176,-115.0,296,,163,
21:00:26:947,298,-74,172,-115.0,176,-115.0,296,,163,
21:00:28:943,298,-74,172,-115.0,176,-115.0,296,,163,
21:00:30:943,298,-81,172,-115.0,176,-115.0,296,,163,
21:00:32:944,298,-75,172,-115.0,176,-115.0,296,,163,
21:00:34:938,298,-74,172,-115.0,176,-115.0,296,,163,
21:00:36:936,298,-64,172,-115.0,176,-115.0,296,,163,
21:00:38:939,298,-73,172,-115.0,176,-115.0,296,,163,
21:00:40:936,298,-77,172,-115.0,176,-115.0,296,,163,
21:00:42:938,298,-81,172,-115.0,176,-115.0,296,,163,
21:00:44:938,298,-75,172,-115.0,176,-115.0,296,,163,
21:00:46:930,298,-77,172,-115.0,176,-115.0,296,,163,
21:00:48:933,298,-76,172,-115.0,176,-115.0,296,,163,
21:00:50:933,298,-74,172,-115.0,176,-115.0,296,,163,
21:00:52:936,298,-81,172,-115.0,176,-115.0,296,,163,
21:00:54:957,298,-73,172,-115.0,176,-115.0,296,,163,
21:00:56:925,298,-76,172,-115.0,176,-115.0,296,,163,
21:00:58:924,298,-69,172,-115.0,176,-115.0,296,,163,
21:01:00:925,298,-69,172,-115.0,176,-115.0,296,,163,
21:01:02:933,298,-83,172,-115.0,176,-115.0,296,,163,
21:01:04:926,298,-72,172,-115.0,176,-115.0,296,,163,
21:01:06:922,298,-78,172,-115.0,176,-115.0,296,,163,
21:01:08:920,298,-80,172,-115.0,176,-115.0,296,,163,
21:01:10:924,298,-81,172,-115.0,176,-115.0,296,,163,
21:01:12:923,298,-83,172,-115.0,176,-115.0,296,,163,
21:01:14:914,298,-86,172,-115.0,176,-115.0,296,,163,
