Time,Meg
17:39:51:339,81.3542
17:39:51:350,79.7201
17:39:51:373,80.7619
17:39:51:389,80.3556
17:39:51:409,81.2225
17:39:51:436,80.6792
17:39:51:449,80.3477
17:39:51:473,79.7991
17:39:51:489,79.6946
17:39:51:522,80.2312
17:39:51:535,81.5787
17:39:51:548,80.9773
17:39:51:569,79.6938
17:39:51:587,80.5365
17:39:51:607,80.6239
17:39:51:628,80.7215
17:39:51:654,79.3105
17:39:51:674,79.6494
17:39:51:688,80.002
17:39:51:706,81.2251
17:39:51:727,78.9507
17:39:51:751,80.167
17:39:51:769,81.662
17:39:51:788,78.9467
17:39:51:804,80.8521
17:39:51:824,80.8116
17:39:51:846,79.5116
17:39:51:869,79.0121
17:39:51:887,79.2469
17:39:51:905,80.1854
17:39:51:924,79.6919
17:39:51:945,80.9792
17:39:51:969,80.5365
17:39:51:987,79.3061
17:39:52:005,80.1823
17:39:52:025,79.9273
17:39:52:045,81.7681
17:39:52:068,80.0579
17:39:52:087,80.7527
17:39:52:105,79.7414
17:39:52:127,83.6684
17:39:52:153,81.5963
17:39:52:169,81.9433
17:39:52:189,81.3649
17:39:52:212,85.1442
17:39:52:224,84.7345
17:39:52:244,85.4988
17:39:52:268,85.2303
17:39:52:287,86.9321
17:39:52:305,87.7702
17:39:52:330,89.0324
17:39:52:351,89.1185
17:39:52:369,89.8252
17:39:52:385,91.6556
17:39:52:405,91.6799
17:39:52:424,92.0851
17:39:52:444,90.4603
17:39:52:468,94.4445
17:39:52:484,92.8266
17:39:52:505,93.7315
17:39:52:525,94.9523
17:39:52:545,95.2005
17:39:52:569,96.174
17:39:52:585,96.4818
17:39:52:604,95.9002
17:39:52:624,95.783
17:39:52:645,94.9037
17:39:52:668,94.8084
17:39:52:686,95.1942
17:39:52:705,95.6465
17:39:52:726,95.4738
17:39:52:750,95.3771
17:39:52:769,94.61
17:39:52:789,94.3063
17:39:52:804,93.2056
17:39:52:831,92.3542
17:39:52:851,93.2832
17:39:52:868,92.5755
17:39:52:888,92.9459
17:39:52:906,94.0253
17:39:52:933,92.7194
17:39:52:946,93.8781
17:39:52:968,92.4061
17:39:52:988,92.2815
17:39:53:006,90.6936
17:39:53:026,92.5243
17:39:53:048,92.4304
17:39:53:069,90.6821
17:39:53:086,91.2374
17:39:53:105,90.9889
17:39:53:125,91.5338
17:39:53:145,93.5862
17:39:53:168,91.6354
17:39:53:187,94.9795
17:39:53:204,93.4153
17:39:53:224,95.314
17:39:53:296,94.1767
17:39:53:298,94.1767
17:39:53:298,95.5098
17:39:53:303,94.7418
17:39:53:323,96.4249
17:39:53:343,95.1607
17:39:53:366,94.9009
17:39:53:387,96.3194
17:39:53:405,94.0494
17:39:53:424,93.2731
17:39:53:445,93.3452
17:39:53:470,92.7304
17:39:53:487,94.8505
17:39:53:504,90.9167
17:39:53:524,90.174
17:39:53:544,90.5844
17:39:53:571,88.1345
17:39:53:587,87.427
17:39:53:605,88.2222
17:39:53:624,86.7084
17:39:53:644,85.7314
17:39:53:670,84.9702
17:39:53:687,82.8022
17:39:53:704,81.7039
17:39:53:724,81.969
17:39:53:746,81.494
17:39:53:769,83.1313
17:39:53:787,84.115
17:39:53:804,87.1918
17:39:53:824,90.6663
17:39:53:846,94.2758
17:39:53:868,86.4632
17:39:53:886,73.8403
17:39:53:903,68.9654
17:39:53:924,73.3385
17:39:53:944,79.7712
17:39:53:968,81.0661
17:39:53:988,84.489
17:39:54:004,85.8954
17:39:54:024,87.1244
17:39:54:044,86.9017
17:39:54:070,85.586
17:39:54:087,87.6968
17:39:54:105,88.4549
17:39:54:125,89.7963
17:39:54:144,90.0287
17:39:54:173,90.4729
17:39:54:192,89.1034
17:39:54:207,88.5925
17:39:54:224,87.4734
17:39:54:246,88.8869
17:39:54:270,87.4378
17:39:54:287,88.2281
17:39:54:304,86.5601
17:39:54:323,85.6664
17:39:54:344,83.856
17:39:54:372,84.2805
17:39:54:390,82.6291
