Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
14:36:41:559,473,-75.0,474,,172,,493,,33,
14:36:43:560,473,-68.0,474,,172,,493,,33,
14:36:45:544,473,-64.0,474,,172,,493,,33,
14:36:47:545,473,-62.0,474,,172,,493,,33,
14:36:49:538,473,-65.0,474,,172,,493,,33,
14:36:51:536,473,-66.0,474,,172,,493,,33,
14:36:53:534,473,-68.0,474,,172,,493,,33,
14:36:55:533,473,-72.0,474,,172,,493,-94.0,33,
14:36:57:536,473,-74.0,474,,172,,493,-93.0,33,
14:36:59:532,473,-77.0,474,,172,,493,-100.0,33,
14:37:01:533,473,-78.0,474,,172,,493,-93.0,33,
14:37:03:531,473,-78.0,474,,172,,493,-99.0,33,
14:37:05:536,473,-78.0,474,,172,,493,-96.0,33,
14:37:07:531,473,-83.0,474,,172,,493,-100.0,33,
14:37:09:531,473,-81.0,474,,172,,493,-94.0,33,
14:37:11:524,473,-86.0,474,,172,,493,-100.0,33,
14:37:13:523,473,-84.0,474,,172,,493,-103.0,33,
14:37:15:529,473,-74.0,474,,172,,493,-92.0,33,
14:37:17:531,473,-74.0,474,,172,,493,-89.0,33,
14:37:19:522,473,-74.0,474,,172,,493,-93.0,33,
14:37:21:526,473,-71.0,474,,172,,493,-85.0,33,
14:37:23:521,473,-78.0,474,,172,,493,-92.0,33,
14:37:25:523,473,-80.0,474,,172,,493,,33,
14:37:27:522,473,-86.0,474,,172,,493,,33,
14:37:29:516,473,-82.0,474,,172,,493,,33,
14:37:31:512,473,-86.0,474,,172,,493,,33,
14:37:33:512,473,-84.0,474,,172,,493,,33,
14:37:35:510,473,-84.0,474,-106.0,172,,493,,33,
14:37:37:564,473,-81.0,474,,172,,493,,33,
14:37:39:514,473,-82.0,474,-99.0,172,,493,,33,
14:37:41:509,473,-75.0,474,-88.0,172,,493,,33,
14:37:43:511,473,-72.0,474,,172,,493,,33,
14:37:45:509,473,-76.0,474,,172,,493,-120.0,33,
14:37:47:511,473,-68.0,474,,172,,493,,33,
14:37:49:504,473,-66.0,474,,172,,493,,33,
14:37:51:502,473,-67.0,474,,172,,493,,33,
14:37:53:502,473,-75.0,474,,172,,493,,33,
14:37:55:502,473,-84.0,474,,172,,493,,33,
14:37:57:500,473,-77.0,474,,172,,493,,33,
14:37:59:505,473,-71.0,474,,172,,493,,33,
14:38:01:500,473,-82.0,474,,172,,493,,33,
14:38:03:499,473,-77.0,474,,172,,493,,33,
14:38:05:500,473,-79.0,474,,172,,493,,33,
14:38:07:502,473,-81.0,474,,172,,493,,33,
14:38:09:495,473,-86.0,474,-104.0,172,,493,-103.0,33,
14:38:11:491,473,-85.0,474,-100.0,172,,493,-106.0,33,
14:38:13:489,473,-89.0,474,-101.0,172,,493,-106.0,33,
14:38:15:490,473,-91.0,474,-104.0,172,,493,-106.0,33,
14:38:17:487,473,-86.0,474,,172,,493,-104.0,33,
14:38:19:492,473,-90.0,474,,172,,493,-99.0,33,
14:38:21:488,473,,474,,172,,493,-97.0,33,
14:38:23:489,473,,474,,172,,493,-101.0,33,
14:38:25:485,473,,474,,172,,493,-100.0,33,
14:38:27:483,473,,474,,172,,493,-102.0,33,
14:38:29:490,473,,474,,172,,493,-107.0,33,
14:38:31:481,473,,474,,172,,493,-108.0,33,
14:38:33:478,473,,474,,172,,493,-115.0,33,
14:38:35:479,473,,474,,172,,493,-113.0,33,
14:38:37:478,473,,474,,172,,493,-114.0,33,
14:38:39:478,473,,474,,172,,493,-119.0,33,
14:38:41:479,473,,474,,172,,493,-115.0,33,
14:38:43:480,473,,474,,172,,493,-118.0,33,
14:38:45:481,473,,474,,172,,493,-115.0,33,
14:38:47:471,473,,474,,172,,493,-113.0,33,
14:38:49:469,473,,474,,172,,493,-120.0,33,
14:38:51:471,473,,474,,172,,493,-118.0,33,
14:38:53:472,473,,474,,172,,493,-118.0,33,
14:38:55:466,473,,474,,172,,493,-124.0,33,
14:38:57:469,473,,474,,172,,493,-124.0,33,
14:38:59:467,473,,474,,172,,493,-123.0,33,
14:39:01:471,473,,474,,172,,493,-121.0,33,
14:39:03:462,473,,474,,172,,493,-119.0,33,
14:39:05:463,473,,474,,172,,493,-116.0,33,
14:39:07:464,473,,474,,172,,493,-114.0,33,
14:39:09:460,473,,474,,172,,493,-113.0,33,
14:39:11:464,473,-80.0,474,,172,,493,-111.0,33,
14:39:13:458,473,-78.0,474,,172,-127.0,493,,33,
14:39:15:456,473,-76.0,474,,172,-121.0,493,-93.0,33,
14:39:17:461,473,-73.0,474,,172,-124.0,493,,33,
14:39:19:456,473,-71.0,474,,172,-120.0,493,,33,
14:39:21:452,473,-72.0,474,-97.0,172,-112.0,493,-95.0,33,
14:39:23:459,473,-76.0,474,-97.0,172,,493,,33,
14:39:25:450,473,-78.0,474,-95.0,172,,493,,33,
14:39:27:453,473,-71.0,474,-88.0,172,,493,,33,
14:39:29:449,473,-79.0,474,-91.0,172,,493,,33,
14:39:31:447,473,-78.0,474,-95.0,172,,493,,33,
14:39:33:449,473,-75.0,474,-92.0,172,,493,,33,
14:39:35:448,473,-73.0,474,-91.0,172,,493,,33,
14:39:37:445,473,-68.0,474,-90.0,172,,493,,33,
14:39:39:448,473,-74.0,474,-93.0,172,,493,,33,
14:39:41:443,473,-73.0,474,-89.0,172,,493,,33,
14:39:43:440,473,-79.0,474,-97.0,172,,493,,33,
14:39:45:439,473,-73.0,474,-93.0,172,,493,,33,
14:39:47:439,473,-74.0,474,-94.0,172,,493,,33,
14:39:49:441,473,-80.0,474,-94.0,172,,493,,33,
14:39:51:437,473,-85.0,474,-89.0,172,,493,,33,
14:39:53:436,473,-82.0,474,,172,,493,,33,
14:39:55:440,473,-85.0,474,,172,,493,,33,
14:39:57:437,473,-88.0,474,,172,,493,,33,
14:39:59:438,473,-89.0,474,,172,,493,,33,
14:40:01:430,473,-91.0,474,,172,,493,,33,
14:40:03:429,473,-94.0,474,,172,,493,,33,
14:40:05:439,473,-88.0,474,,172,,493,,33,
14:40:07:428,473,-89.0,474,-89.0,172,,493,,33,
14:40:09:430,473,-92.0,474,-89.0,172,,493,,33,
14:40:11:425,473,-95.0,474,-89.0,172,-102.0,493,,33,
14:40:13:426,473,-88.0,474,-90.0,172,-102.0,493,-107.0,33,
14:40:15:425,473,-79.0,474,-95.0,172,-105.0,493,-100.0,33,
14:40:17:428,473,-82.0,474,-93.0,172,-113.0,493,-100.0,33,
14:40:19:421,473,-85.0,474,-96.0,172,-113.0,493,-104.0,33,
14:40:21:419,473,-80.0,474,-92.0,172,-112.0,493,-93.0,33,
14:40:23:418,473,-80.0,474,-90.0,172,-113.0,493,,33,
14:40:25:418,473,-78.0,474,-91.0,172,,493,,33,
14:40:27:419,473,-79.0,474,-95.0,172,,493,,33,
14:40:29:415,473,-69.0,474,-90.0,172,,493,,33,
14:40:31:414,473,-73.0,474,-95.0,172,,493,,33,
14:40:33:440,473,-68.0,474,-89.0,172,,493,,33,
14:40:35:418,473,-61.0,474,-81.0,172,,493,,33,
14:40:37:417,473,-61.0,474,-81.0,172,,493,,33,
14:40:39:409,473,-75.0,474,-91.0,172,,493,,33,
14:40:41:414,473,-73.0,474,-93.0,172,,493,,33,
14:40:43:410,473,-76.0,474,-92.0,172,,493,,33,
14:40:45:411,473,-71.0,474,-87.0,172,,493,,33,
14:40:47:409,473,-72.0,474,-88.0,172,,493,,33,
14:40:49:405,473,-65.0,474,-84.0,172,,493,,33,
14:40:51:405,473,-69.0,474,-89.0,172,,493,,33,
14:40:53:405,473,-62.0,474,-89.0,172,,493,,33,
14:40:55:401,473,-65.0,474,-89.0,172,,493,,33,
14:40:57:403,473,-70.0,474,,172,,493,,33,
14:40:59:399,473,-74.0,474,,172,,493,,33,
14:41:01:398,473,-75.0,474,,172,,493,,33,
14:41:03:399,473,-80.0,474,,172,,493,,33,
14:41:05:400,473,-84.0,474,,172,,493,,33,
14:41:07:397,473,-76.0,474,,172,,493,,33,
14:41:09:398,473,-78.0,474,,172,,493,,33,
14:41:11:395,473,-83.0,474,,172,,493,,33,
14:41:13:392,473,-90.0,474,,172,,493,-103.0,33,
14:41:15:390,473,-82.0,474,,172,,493,-99.0,33,
14:41:17:391,473,-86.0,474,,172,,493,-103.0,33,
14:41:19:394,473,-86.0,474,,172,,493,-103.0,33,
14:41:21:387,473,-86.0,474,,172,,493,-100.0,33,
14:41:23:394,473,-81.0,474,,172,,493,-100.0,33,
14:41:25:388,473,-85.0,474,,172,,493,-96.0,33,
14:41:27:384,473,-80.0,474,,172,,493,-97.0,33,
