Time,Meg
16:53:44:513,166.2246
16:53:44:531,167.5704
16:53:44:549,167.6227
16:53:44:577,167.3602
16:53:44:596,166.5102
16:53:44:613,165.8078
16:53:44:626,166.7132
16:53:44:646,166.2247
16:53:44:665,168.0479
16:53:44:694,166.1177
16:53:44:704,166.6018
16:53:44:722,166.8318
16:53:44:746,167.3174
16:53:44:766,166.6615
16:53:44:780,167.5219
16:53:44:800,165.9676
16:53:44:827,166.0331
16:53:44:844,167.1569
16:53:44:865,165.9058
16:53:44:891,167.8523
16:53:44:899,167.4708
16:53:44:920,165.3684
16:53:44:954,166.2339
16:53:44:959,165.9017
16:53:44:979,165.2127
16:53:44:998,163.9105
16:53:45:021,162.7409
16:53:45:039,163.638
16:53:45:065,163.7698
16:53:45:082,162.178
16:53:45:099,163.3952
16:53:45:134,165.6517
16:53:45:138,167.1071
16:53:45:159,162.9386
16:53:45:182,162.1099
16:53:45:199,162.1049
16:53:45:219,161.4273
16:53:45:247,160.7458
16:53:45:263,162.5677
16:53:45:281,162.9962
16:53:45:300,161.6059
16:53:45:317,162.5676
16:53:45:343,161.0173
16:53:45:360,163.6952
16:53:45:377,162.7582
16:53:45:398,163.8913
16:53:45:419,164.6419
16:53:45:441,163.3257
16:53:45:459,162.8376
16:53:45:479,164.7014
16:53:45:500,165.7274
16:53:45:522,163.1154
16:53:45:540,164.0666
16:53:45:558,165.8743
16:53:45:577,163.7708
16:53:45:598,163.8988
16:53:45:618,165.8743
16:53:45:639,165.4691
16:53:45:659,164.8829
16:53:45:679,164.8775
16:53:45:697,163.6372
16:53:45:717,162.9434
16:53:45:762,160.0402
16:53:45:778,157.1533
16:53:45:779,158.5727
16:53:45:801,159.495
16:53:45:819,158.5435
16:53:45:838,159.6891
16:53:45:857,159.2479
16:53:45:877,158.6877
16:53:45:897,160.8046
16:53:45:918,161.6281
16:53:45:939,160.4055
16:53:45:960,159.4543
16:53:45:979,160.5129
16:53:45:998,160.5129
16:53:46:018,161.6563
16:53:46:038,161.8463
16:53:46:059,160.6987
16:53:46:078,158.5727
16:53:46:097,161.4345
16:53:46:120,160.6759
16:53:46:138,162.0718
16:53:46:158,162.9644
16:53:46:177,163.1723
16:53:46:199,164.141
16:53:46:220,164.1721
16:53:46:240,165.1541
16:53:46:262,163.8735
16:53:46:277,164.0131
16:53:46:303,163.5896
16:53:46:325,164.1704
16:53:46:343,163.9015
16:53:46:362,161.9261
16:53:46:378,163.1723
16:53:46:397,162.6595
16:53:46:417,161.2354
16:53:46:439,161.2944
16:53:46:612,162.6288
16:53:46:613,160.1753
16:53:46:626,161.3237
16:53:46:627,163.0364
16:53:46:627,162.5828
16:53:46:627,161.7906
16:53:46:628,163.4908
16:53:46:628,164.6268
16:53:46:629,164.808
16:53:46:640,166.7447
16:53:46:657,166.7435
16:53:46:677,168.252
16:53:46:697,167.6406
16:53:46:719,167.7525
16:53:46:742,167.2657
16:53:46:758,169.1693
16:53:46:778,168.2629
16:53:46:798,169.376
16:53:46:817,168.6749
16:53:46:840,168.3582
16:53:46:859,167.9565
16:53:46:878,168.0538
16:53:46:898,170.0895
16:53:46:917,168.0653
16:53:46:937,169.4171
16:53:46:957,168.6972
16:53:46:977,170.5582
16:53:46:997,169.2664
16:53:47:017,168.5581
16:53:47:039,169.2776
16:53:47:062,169.0628
16:53:47:079,169.6045
16:53:47:097,169.8185
16:53:47:118,169.2303
16:53:47:140,169.0242
16:53:47:157,171.6921
16:53:47:178,169.3832
16:53:47:198,170.0906
16:53:47:216,171.2407
16:53:47:237,168.9126
16:53:47:260,169.7683
16:53:47:278,170.377
16:53:47:298,171.4385
