Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
16:53:44:513,473,-74.0,309,,477,,317,,501,-108.0
16:53:46:626,473,-73.0,309,,477,,317,,501,-108.0
16:53:48:496,473,-71.0,309,,477,,317,,501,-108.0
16:53:50:497,473,-68.0,309,,477,,317,,501,-108.0
16:53:52:493,473,-71.0,309,,477,,317,,501,-108.0
16:53:54:494,473,-70.0,309,,477,,317,,501,-108.0
16:53:56:501,473,-63.0,309,,477,,317,,501,-108.0
16:53:58:491,473,-70.0,309,,477,,317,,501,-108.0
16:54:00:496,473,-73.0,309,,477,,317,,501,-108.0
16:54:02:491,473,-75.0,309,,477,,317,,501,-108.0
16:54:04:488,473,-83.0,309,,477,,317,,501,-108.0
16:54:06:502,473,-80.0,309,,477,,317,,501,-108.0
16:54:08:487,473,-81.0,309,,477,,317,,501,-108.0
16:54:10:485,473,-77.0,309,,477,,317,,501,-108.0
16:54:12:485,473,-77.0,309,,477,,317,,501,-108.0
16:54:14:481,473,-74.0,309,,477,,317,,501,-108.0
16:54:16:484,473,-78.0,309,,477,,317,,501,-108.0
16:54:18:524,473,-78.0,309,,477,,317,,501,-108.0
16:54:20:481,473,-74.0,309,,477,,317,,501,-108.0
16:54:22:478,473,-77.0,309,,477,,317,,501,-108.0
16:54:24:484,473,-83.0,309,,477,,317,,501,-108.0
16:54:26:479,473,-77.0,309,,477,,317,,501,-108.0
16:54:28:475,473,-79.0,309,,477,,317,,501,-108.0
16:54:30:473,473,-71.0,309,,477,,317,,501,-108.0
16:54:32:480,473,-72.0,309,,477,,317,,501,-108.0
16:54:34:470,473,-74.0,309,,477,,317,,501,-108.0
16:54:36:487,473,-72.0,309,,477,,317,,501,-108.0
16:54:38:469,473,-71.0,309,,477,,317,,501,-108.0
16:54:40:470,473,-66.0,309,,477,,317,,501,-108.0
16:54:42:467,473,-73.0,309,,477,,317,,501,-108.0
16:54:44:471,473,-75.0,309,,477,,317,,501,-108.0
16:54:46:466,473,-82.0,309,,477,,317,,501,-108.0
16:54:48:467,473,-77.0,309,,477,,317,,501,-108.0
16:54:50:463,473,-77.0,309,,477,,317,,501,-108.0
16:54:52:461,473,-74.0,309,,477,,317,,501,-108.0
16:54:54:464,473,-74.0,309,,477,,317,,501,-108.0
16:54:56:462,473,-86.0,309,,477,,317,,501,-108.0
16:54:58:458,473,-93.0,309,,477,-93.0,317,,501,-108.0
16:55:00:462,473,-93.0,309,,477,-85.0,317,,501,-108.0
16:55:02:455,473,-91.0,309,,477,-82.0,317,,501,-135.0
16:55:04:456,473,-94.0,309,,477,-80.0,317,,501,
16:55:06:456,473,-94.0,309,,477,-79.0,317,,501,
16:55:08:455,473,-94.0,309,,477,-78.0,317,,501,
16:55:10:449,473,-94.0,309,,477,-79.0,317,,501,
16:55:12:449,473,-94.0,309,,477,-73.0,317,,501,
16:55:14:449,473,-94.0,309,,477,-76.0,317,,501,
16:55:16:455,473,-94.0,309,,477,-75.0,317,,501,
16:55:18:449,473,-97.0,309,,477,-85.0,317,,501,
16:55:20:454,473,-97.0,309,,477,-81.0,317,,501,
16:55:22:447,473,-97.0,309,,477,-86.0,317,,501,
16:55:24:443,473,-102.0,309,,477,-83.0,317,,501,
16:55:26:449,473,-94.0,309,,477,-87.0,317,,501,
16:55:28:486,473,-90.0,309,,477,-86.0,317,,501,
16:55:30:445,473,-90.0,309,,477,-86.0,317,,501,
16:55:32:438,473,-92.0,309,,477,-89.0,317,,501,
