Time,Meg
12:46:19:885,53.6999
12:46:19:896,55.1837
12:46:19:919,54.8184
12:46:19:936,54.7696
12:46:19:966,54.3545
12:46:19:983,56.4868
12:46:19:997,54.7543
12:46:20:017,54.6456
12:46:20:035,56.0091
12:46:20:054,56.0073
12:46:20:082,56.3544
12:46:20:093,55.2146
12:46:20:121,55.9463
12:46:20:132,55.1694
12:46:20:159,56.8549
12:46:20:184,57.3149
12:46:20:192,56.6184
12:46:20:217,56.3546
12:46:20:234,54.3541
12:46:20:257,54.593
12:46:20:280,55.6121
12:46:20:294,55.9778
12:46:20:313,54.7859
12:46:20:332,54.4825
12:46:20:357,56.4055
12:46:20:370,55.19
12:46:20:393,55.0717
12:46:20:415,53.5666
12:46:20:432,55.1543
12:46:20:450,54.8122
12:46:20:470,56.1222
12:46:20:490,55.2459
12:46:20:514,55.6918
12:46:20:531,55.1911
12:46:20:549,54.8054
12:46:20:570,56.0295
12:46:20:590,53.3578
12:46:20:613,55.616
12:46:20:630,52.8169
12:46:20:650,53.4036
12:46:20:672,53.6542
12:46:20:698,53.8345
12:46:20:715,53.0055
12:46:20:730,54.2141
12:46:20:751,54.9
12:46:20:772,53.581
12:46:20:796,54.9759
12:46:20:814,55.1314
12:46:20:830,56.283
12:46:20:851,55.1703
12:46:20:869,54.5434
12:46:20:892,53.0569
12:46:20:914,54.733
12:46:20:932,54.5873
12:46:20:950,54.9391
12:46:20:970,57.2796
12:46:20:991,57.2796
12:46:21:012,55.2971
12:46:21:030,54.9125
12:46:21:051,54.9125
12:46:21:070,54.056
12:46:21:091,54.9883
12:46:21:115,55.285
12:46:21:132,55.099
12:46:21:157,53.5275
12:46:21:169,55.5618
12:46:21:190,55.75
12:46:21:213,55.0735
12:46:21:233,56.1024
12:46:21:250,56.5745
12:46:21:273,55.2852
12:46:21:298,56.5944
12:46:21:314,55.7539
12:46:21:331,57.1048
12:46:21:349,54.8821
12:46:21:370,57.0881
12:46:21:394,54.3917
12:46:21:413,56.8317
12:46:21:431,55.4098
12:46:21:450,56.8107
12:46:21:470,56.7614
12:46:21:490,56.4745
12:46:21:514,55.803
12:46:21:529,56.1204
12:46:21:549,57.4252
12:46:21:572,54.9398
12:46:21:589,57.4442
12:46:21:611,56.4824
12:46:21:631,56.3103
12:46:21:656,55.8568
12:46:21:668,58.4414
12:46:21:692,57.5401
12:46:21:721,55.6088
12:46:21:741,55.8847
12:46:21:750,55.851
12:46:21:828,56.2342
12:46:21:829,57.373
12:46:21:829,56.7896
12:46:21:830,58.3413
12:46:21:852,56.3666
12:46:21:868,55.8139
12:46:21:889,57.5045
12:46:21:909,55.7398
12:46:21:932,56.7292
12:46:21:950,56.4863
12:46:21:969,57.8344
12:46:21:989,55.4158
12:46:22:015,56.9046
12:46:22:033,58.2353
12:46:22:050,56.5262
12:46:22:070,58.1705
12:46:22:090,57.1507
12:46:22:114,57.9615
12:46:22:132,58.6294
12:46:22:150,57.982
12:46:22:171,56.4952
12:46:22:191,57.9615
12:46:22:215,56.7504
12:46:22:232,55.4592
12:46:22:249,55.3974
12:46:22:270,58.0547
12:46:22:291,57.0314
12:46:22:315,56.4567
12:46:22:332,57.6625
12:46:22:349,55.2302
12:46:22:369,56.3813
12:46:22:389,56.9948
12:46:22:410,56.9792
12:46:22:430,57.0493
12:46:22:450,58.359
12:46:22:470,58.0805
12:46:22:490,57.6356
12:46:22:515,57.0499
12:46:22:535,56.3175
12:46:22:552,57.6304
12:46:22:576,57.4446
12:46:22:588,57.8666
12:46:22:610,56.5814
12:46:22:632,56.8686
12:46:22:648,57.3748
12:46:22:669,55.2795
12:46:22:690,54.933
