Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
15:46:12:258,473,,309,,27,-100.0,477,,301,
15:46:14:245,473,,309,,27,-100.0,477,,301,
15:46:16:242,473,,309,,27,-100.0,477,,301,
15:46:18:243,473,,309,,27,-100.0,477,,301,
15:46:20:244,473,,309,,27,-100.0,477,,301,
15:46:22:247,473,,309,,27,-100.0,477,,301,
15:46:24:244,473,,309,,27,-100.0,477,,301,
15:46:26:246,473,,309,,27,,477,,301,
15:46:28:239,473,,309,,27,,477,,301,
15:46:30:238,473,,309,,27,,477,,301,
15:46:32:235,473,,309,,27,,477,,301,
15:46:34:241,473,,309,,27,,477,,301,
15:46:36:230,473,,309,,27,,477,,301,
15:46:38:234,473,,309,,27,,477,,301,
15:46:40:233,473,,309,,27,,477,,301,
15:46:42:235,473,,309,,27,,477,,301,
15:46:44:236,473,,309,,27,,477,,301,
15:46:46:226,473,,309,,27,,477,,301,
15:46:48:225,473,,309,,27,,477,,301,
15:46:50:223,473,,309,,27,,477,,301,
15:46:52:227,473,,309,,27,,477,,301,
15:46:54:226,473,,309,,27,,477,,301,
15:46:56:220,473,,309,,27,,477,,301,
15:46:58:221,473,,309,,27,,477,,301,
15:47:00:223,473,,309,,27,,477,,301,
15:47:02:217,473,,309,,27,,477,,301,
15:47:04:219,473,,309,,27,,477,,301,
15:47:06:216,473,,309,,27,,477,,301,
15:47:08:214,473,,309,,27,,477,,301,
15:47:10:214,473,,309,,27,,477,,301,
15:47:12:215,473,,309,,27,,477,,301,
15:47:14:220,473,,309,,27,,477,,301,
15:47:16:220,473,,309,,27,,477,,301,
15:47:18:213,473,,309,,27,,477,,301,
15:47:20:211,473,,309,,27,,477,,301,
15:47:22:210,473,,309,,27,,477,,301,
15:47:24:206,473,,309,,27,,477,,301,
15:47:26:206,473,,309,,27,,477,,301,
15:47:28:205,473,,309,,27,,477,,301,
15:47:30:203,473,,309,,27,,477,,301,
15:47:32:207,473,,309,,27,,477,,301,
15:47:34:201,473,,309,,27,,477,,301,
15:47:36:201,473,,309,,27,,477,,301,
15:47:38:204,473,,309,,27,,477,,301,
15:47:40:202,473,,309,,27,,477,,301,
15:47:42:196,473,,309,,27,,477,,301,
15:47:44:195,473,,309,,27,,477,,301,
15:47:46:194,473,,309,,27,,477,,301,
15:47:48:195,473,,309,,27,,477,,301,-101.0
15:47:50:194,473,,309,,27,,477,,301,-107.0
15:47:52:189,473,,309,,27,,477,,301,-109.0
15:47:54:193,473,,309,,27,,477,,301,-106.0
15:47:56:189,473,,309,,27,,477,,301,-107.0
15:47:58:189,473,,309,,27,,477,,301,-98.0
15:48:00:186,473,,309,,27,,477,,301,-102.0
15:48:02:184,473,,309,,27,,477,,301,-106.0
15:48:04:183,473,,309,,27,,477,,301,-107.0
15:48:06:185,473,,309,,27,,477,,301,-106.0
15:48:08:189,473,,309,,27,,477,,301,-98.0
15:48:10:186,473,,309,,27,,477,,301,-105.0
15:48:12:186,473,,309,,27,,477,,301,-95.0
15:48:14:180,473,,309,,27,,477,,301,-98.0
15:48:16:177,473,,309,,27,,477,,301,-89.0
15:48:18:182,473,,309,,27,,477,,301,-93.0
15:48:20:177,473,,309,,27,,477,,301,-91.0
15:48:22:177,473,,309,,27,,477,,301,-88.0
15:48:24:175,473,,309,,27,,477,,301,-81.0
15:48:26:173,473,,309,,27,,477,,301,-82.0
15:48:28:170,473,,309,,27,,477,,301,-79.0
15:48:30:173,473,,309,,27,,477,,301,-80.0
15:48:32:168,473,,309,,27,,477,,301,-77.0
15:48:34:172,473,,309,,27,,477,,301,-77.0
15:48:36:171,473,,309,,27,,477,,301,-72.0
15:48:38:172,473,,309,,27,,477,,301,-69.0
15:48:40:165,473,,309,,27,,477,,301,-64.0
