Time,Meg
20:49:01:429,55.0823
20:49:01:449,55.7477
20:49:01:467,55.3154
20:49:01:487,54.9991
20:49:01:512,55.2828
20:49:01:529,55.9358
20:49:01:548,53.9123
20:49:01:569,55.1763
20:49:01:590,55.1763
20:49:01:609,54.1215
20:49:01:629,54.7566
20:49:01:646,54.1359
20:49:01:666,53.99
20:49:01:687,54.2546
20:49:01:708,53.9676
20:49:01:729,53.289
20:49:01:748,54.734
20:49:01:769,54.0085
20:49:01:790,54.8424
20:49:01:809,54.5294
20:49:01:827,54.4165
20:49:01:846,55.0185
20:49:01:867,54.9256
20:49:01:888,53.1487
20:49:01:909,54.3182
20:49:01:933,54.8094
20:49:01:948,55.4525
20:49:01:968,54.809
20:49:01:988,52.9079
20:49:02:008,55.0261
20:49:02:030,53.0619
20:49:02:047,53.2637
20:49:02:071,53.8509
20:49:02:089,54.3473
20:49:02:109,55.1535
20:49:02:129,55.0246
20:49:02:149,52.9892
20:49:02:171,54.8042
20:49:02:191,54.3247
20:49:02:211,53.7091
20:49:02:229,52.7314
20:49:02:249,54.2912
20:49:02:271,52.4058
20:49:02:289,55.1822
20:49:02:311,54.0324
20:49:02:330,53.5491
20:49:02:352,52.3589
20:49:02:369,53.7698
20:49:02:391,53.9537
20:49:02:409,53.5354
20:49:02:430,51.806
20:49:02:450,53.4996
20:49:02:472,52.888
20:49:02:491,53.0202
20:49:02:513,53.3196
20:49:02:530,53.0752
20:49:02:550,52.6814
20:49:02:571,53.0358
20:49:02:590,52.2485
20:49:02:611,53.1673
20:49:02:632,52.9133
20:49:02:657,53.2245
20:49:02:674,52.8625
20:49:02:691,53.5264
20:49:02:711,52.9146
20:49:02:730,52.6798
20:49:02:755,53.0321
20:49:02:773,52.0774
20:49:02:793,51.9918
20:49:02:813,52.1867
20:49:02:834,53.1935
20:49:02:857,52.4893
20:49:02:873,52.6416
20:49:02:893,53.4342
20:49:02:912,50.4086
20:49:02:933,50.7882
20:49:02:955,50.6161
20:49:02:974,51.0572
20:49:02:993,51.026
20:49:03:015,51.1822
20:49:03:033,50.0824
20:49:03:055,49.8298
20:49:03:075,50.1982
20:49:03:093,49.856
20:49:03:113,48.1477
20:49:03:134,48.872
20:49:03:157,48.2717
20:49:03:173,48.3471
20:49:03:223,47.6013
20:49:03:225,47.5404
20:49:03:242,46.2198
20:49:03:257,46.2738
20:49:03:274,46.1496
20:49:03:294,45.7416
20:49:03:316,45.1775
20:49:03:341,43.8237
20:49:03:354,43.1805
20:49:03:375,44.3828
20:49:03:395,42.8193
20:49:03:416,43.5966
20:49:03:438,43.0231
20:49:03:456,42.7675
20:49:03:475,40.5688
20:49:03:495,41.159
20:49:03:517,41.7476
20:49:03:540,41.3983
20:49:03:555,40.8533
20:49:03:576,41.6283
20:49:03:596,39.5375
20:49:03:616,41.4229
20:49:03:639,41.3422
20:49:03:656,39.7324
20:49:03:680,39.7481
20:49:03:697,39.9799
20:49:03:718,38.905
20:49:03:742,39.4268
20:49:03:757,38.4519
20:49:03:777,37.6496
20:49:03:798,38.6299
20:49:03:817,37.5038
20:49:03:839,37.3735
20:49:03:857,37.7122
20:49:03:879,38.2242
20:49:03:899,38.6496
20:49:03:924,37.997
20:49:03:940,36.5737
20:49:03:959,38.0479
20:49:03:979,37.1683
20:49:03:998,37.7405
20:49:04:026,39.0299
20:49:04:043,37.7027
20:49:04:059,37.9892
20:49:04:079,38.155
20:49:04:099,38.5795
20:49:04:124,38.6515
