Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
19:54:14:849,309,,473,-67.0,477,,120,,310,
19:54:16:849,309,,473,-76.0,477,,120,,310,
19:54:18:863,309,,473,-68.0,477,,120,,310,
19:54:20:868,309,,473,-67.0,477,,120,,310,
19:54:22:882,309,,473,-68.0,477,,120,,310,
19:54:24:903,309,,473,-69.0,477,,120,,310,
19:54:26:933,309,,473,-71.0,477,,120,,310,
19:54:28:910,309,,473,-66.0,477,,120,,310,
19:54:30:926,309,,473,-68.0,477,,120,,310,
19:54:32:933,309,,473,-66.0,477,,120,,310,
19:54:34:942,309,,473,-73.0,477,,120,,310,
19:54:36:955,309,,473,-74.0,477,,120,,310,
19:54:38:963,309,,473,-79.0,477,,120,,310,
19:54:40:974,309,,473,-72.0,477,,120,,310,
19:54:42:987,309,,473,-76.0,477,,120,,310,
19:54:44:997,309,,473,-63.0,477,,120,,310,
19:54:47:010,309,,473,-61.0,477,,120,,310,
19:54:49:023,309,,473,-67.0,477,,120,,310,
19:54:51:028,309,,473,-72.0,477,,120,,310,
19:54:53:044,309,,473,-70.0,477,,120,,310,
19:54:55:050,309,,473,-70.0,477,,120,,310,
19:54:57:064,309,,473,-73.0,477,,120,,310,
19:54:59:075,309,,473,-68.0,477,,120,,310,
19:55:01:083,309,,473,-72.0,477,,120,,310,
19:55:03:091,309,,473,-75.0,477,,120,,310,
19:55:05:101,309,,473,-71.0,477,,120,,310,
19:55:07:119,309,,473,-76.0,477,,120,,310,
19:55:09:122,309,,473,-77.0,477,,120,,310,
19:55:11:134,309,,473,-74.0,477,,120,,310,
19:55:13:147,309,,473,-72.0,477,,120,,310,
19:55:15:158,309,,473,-75.0,477,,120,,310,
19:55:17:170,309,,473,-72.0,477,,120,,310,
19:55:19:176,309,,473,-76.0,477,,120,,310,
19:55:21:189,309,,473,-69.0,477,,120,,310,
19:55:23:199,309,,473,-76.0,477,,120,,310,
19:55:25:208,309,,473,-74.0,477,,120,,310,
19:55:27:220,309,,473,-73.0,477,,120,,310,
19:55:29:229,309,,473,-79.0,477,,120,,310,
19:55:31:244,309,,473,-74.0,477,,120,,310,
19:55:33:250,309,,473,-87.0,477,,120,,310,
19:55:35:265,309,,473,-85.0,477,,120,,310,
19:55:37:271,309,,473,-82.0,477,-84.0,120,,310,
19:55:39:283,309,,473,-82.0,477,-84.0,120,,310,
19:55:41:295,309,,473,-83.0,477,-81.0,120,,310,
19:55:43:303,309,,473,-92.0,477,-78.0,120,,310,
19:55:45:314,309,,473,-92.0,477,-80.0,120,,310,
19:55:47:324,309,,473,-92.0,477,-72.0,120,,310,
19:55:49:335,309,,473,-92.0,477,-72.0,120,,310,
19:55:51:349,309,,473,-92.0,477,-78.0,120,,310,
19:55:53:359,309,,473,-92.0,477,-75.0,120,,310,
19:55:55:367,309,,473,-92.0,477,-76.0,120,,310,
19:55:57:380,309,,473,-92.0,477,-76.0,120,,310,
19:55:59:389,309,,473,-92.0,477,-77.0,120,,310,
19:56:01:400,309,,473,-92.0,477,-79.0,120,,310,
19:56:03:408,309,,473,-92.0,477,-82.0,120,,310,
19:56:05:419,309,,473,-78.0,477,-82.0,120,,310,
19:56:07:430,309,,473,-90.0,477,-83.0,120,,310,
19:56:09:442,309,,473,-87.0,477,-83.0,120,,310,
19:56:11:458,309,,473,-83.0,477,-83.0,120,,310,
19:56:13:461,309,,473,-83.0,477,-81.0,120,,310,
19:56:15:471,309,,473,-81.0,477,-94.0,120,,310,
19:56:17:482,309,,473,-76.0,477,-96.0,120,,310,
19:56:19:493,309,,473,-77.0,477,,120,,310,
19:56:21:505,309,,473,-73.0,477,,120,,310,
19:56:23:533,309,,473,-72.0,477,,120,,310,
19:56:25:527,309,,473,-72.0,477,,120,,310,
19:56:27:537,309,,473,-72.0,477,-89.0,120,,310,
19:56:29:547,309,,473,-68.0,477,-93.0,120,,310,
19:56:31:565,309,,473,-66.0,477,-88.0,120,,310,
19:56:33:568,309,,473,-67.0,477,-88.0,120,,310,
19:56:35:582,309,,473,-67.0,477,-88.0,120,,310,
19:56:37:590,309,,473,-76.0,477,-88.0,120,,310,
19:56:39:600,309,,473,-64.0,477,-93.0,120,,310,
19:56:41:612,309,,473,-71.0,477,-93.0,120,,310,
19:56:43:622,309,,473,-70.0,477,-93.0,120,,310,
19:56:45:632,309,,473,-68.0,477,-85.0,120,,310,
19:56:47:641,309,,473,-70.0,477,-85.0,120,,310,
19:56:49:653,309,,473,-73.0,477,-88.0,120,,310,
19:56:51:664,309,,473,-70.0,477,-84.0,120,,310,
19:56:53:675,309,,473,-74.0,477,-84.0,120,,310,
19:56:55:686,309,,473,-65.0,477,-93.0,120,,310,
19:56:57:697,309,,473,-78.0,477,-93.0,120,,310,
19:56:59:706,309,,473,-73.0,477,,120,,310,
19:57:01:720,309,,473,-73.0,477,,120,,310,
19:57:03:727,309,,473,-68.0,477,,120,,310,
19:57:05:742,309,,473,-75.0,477,-90.0,120,,310,
19:57:07:749,309,,473,-79.0,477,-96.0,120,,310,
19:57:09:762,309,,473,-77.0,477,,120,,310,
19:57:11:771,309,,473,-75.0,477,-93.0,120,,310,
19:57:13:780,309,,473,-77.0,477,-87.0,120,,310,
19:57:15:791,309,,473,-77.0,477,,120,,310,
19:57:17:802,309,,473,-74.0,477,-96.0,120,,310,
19:57:19:812,309,,473,-78.0,477,-93.0,120,,310,
19:57:21:827,309,,473,-79.0,477,-77.0,120,,310,
19:57:23:833,309,,473,-78.0,477,-87.0,120,,310,
19:57:25:846,309,,473,-72.0,477,-81.0,120,,310,
19:57:27:855,309,,473,-81.0,477,-86.0,120,,310,
19:57:29:867,309,,473,-76.0,477,-88.0,120,,310,
19:57:31:883,309,,473,-76.0,477,-90.0,120,,310,
19:57:33:888,309,,473,-75.0,477,-87.0,120,,310,
19:57:35:899,309,,473,-81.0,477,-85.0,120,,310,
19:57:37:913,309,,473,-81.0,477,-92.0,120,,310,
19:57:39:925,309,,473,-85.0,477,-82.0,120,,310,
19:57:41:932,309,,473,-85.0,477,-84.0,120,,310,
19:57:43:941,309,,473,-84.0,477,-83.0,120,,310,
19:57:45:953,309,,473,-87.0,477,-84.0,120,,310,
19:57:47:961,309,,473,-80.0,477,-85.0,120,,310,
19:57:49:976,309,,473,-80.0,477,-82.0,120,,310,
19:57:51:983,309,,473,-77.0,477,-76.0,120,,310,
19:57:53:997,309,,473,-70.0,477,-82.0,120,,310,
19:57:56:005,309,,473,-76.0,477,-77.0,120,,310,
19:57:58:019,309,,473,-72.0,477,-74.0,120,,310,
19:58:00:027,309,,473,-77.0,477,-75.0,120,,310,
19:58:02:038,309,,473,-76.0,477,-72.0,120,,310,
19:58:04:047,309,,473,-72.0,477,-67.0,120,,310,
19:58:06:065,309,,473,-79.0,477,-71.0,120,,310,
19:58:08:073,309,,473,-77.0,477,-70.0,120,,310,
19:58:10:080,309,,473,-84.0,477,-67.0,120,,310,
19:58:12:091,309,,473,-78.0,477,-67.0,120,,310,
19:58:14:102,309,,473,-85.0,477,-67.0,120,,310,
19:58:16:112,309,,473,-82.0,477,-58.0,120,,310,
19:58:18:134,309,,473,-70.0,477,-59.0,120,,310,
19:58:20:133,309,,473,,477,-61.0,120,,310,
19:58:22:144,309,,473,,477,-59.0,120,,310,
19:58:24:156,309,,473,,477,-64.0,120,,310,
19:58:26:164,309,,473,,477,-64.0,120,,310,
19:58:28:176,309,,473,,477,-67.0,120,,310,
19:58:30:216,309,,473,,477,-66.0,120,,310,
19:58:32:203,309,,473,,477,-66.0,120,,310,
19:58:34:207,309,,473,,477,-70.0,120,,310,
19:58:36:222,309,,473,-93.0,477,-75.0,120,,310,
19:58:38:232,309,,473,-90.0,477,-77.0,120,,310,
19:58:40:247,309,,473,-93.0,477,-80.0,120,,310,
19:58:42:258,309,,473,-92.0,477,-76.0,120,,310,
19:58:44:260,309,,473,,477,-78.0,120,,310,
19:58:46:271,309,,473,,477,-74.0,120,,310,
19:58:48:280,309,,473,,477,-72.0,120,,310,
19:58:50:292,309,,473,-81.0,477,-74.0,120,,310,
19:58:52:303,309,,473,-81.0,477,-73.0,120,,310,
19:58:54:314,309,,473,-81.0,477,-78.0,120,,310,
19:58:56:327,309,,473,-81.0,477,-76.0,120,,310,
19:58:58:335,309,,473,-81.0,477,-76.0,120,,310,
19:59:00:347,309,,473,-81.0,477,-78.0,120,,310,
19:59:02:361,309,,473,-81.0,477,-79.0,120,,310,
19:59:04:367,309,,473,-81.0,477,-76.0,120,,310,
19:59:06:385,309,,473,-81.0,477,-74.0,120,,310,
19:59:08:389,309,,473,-81.0,477,-78.0,120,,310,
19:59:10:400,309,,473,-81.0,477,-76.0,120,,310,
19:59:12:412,309,,473,-81.0,477,-72.0,120,,310,
19:59:14:420,309,,473,-81.0,477,-69.0,120,,310,
19:59:16:429,309,,473,-81.0,477,-69.0,120,,310,
19:59:18:440,309,,473,-81.0,477,-72.0,120,,310,
19:59:20:452,309,,473,-81.0,477,-65.0,120,,310,
19:59:22:466,309,,473,-81.0,477,-72.0,120,,310,
19:59:24:471,309,,473,-81.0,477,-69.0,120,,310,
19:59:26:483,309,,473,-81.0,477,-65.0,120,,310,
19:59:28:494,309,,473,-81.0,477,-65.0,120,,310,
19:59:30:506,309,,473,-81.0,477,-72.0,120,,310,
19:59:32:519,309,,473,-81.0,477,-69.0,120,,310,
19:59:34:525,309,,473,-81.0,477,-71.0,120,,310,
19:59:36:536,309,,473,-81.0,477,-71.0,120,,310,
19:59:38:552,309,,473,-81.0,477,-73.0,120,,310,
19:59:40:560,309,,473,-81.0,477,-77.0,120,,310,
19:59:42:572,309,,473,-81.0,477,-77.0,120,,310,
19:59:44:582,309,,473,-81.0,477,-78.0,120,,310,
19:59:46:589,309,,473,,477,-81.0,120,,310,
19:59:48:601,309,,473,,477,-78.0,120,,310,
19:59:50:611,309,,473,,477,-77.0,120,,310,
19:59:52:630,309,,473,,477,-79.0,120,,310,
19:59:54:631,309,,473,,477,-79.0,120,,310,
19:59:56:640,309,,473,,477,-76.0,120,,310,
19:59:58:651,309,,473,,477,-77.0,120,,310,
20:00:00:660,309,,473,,477,-78.0,120,,310,
20:00:02:674,309,,473,,477,-76.0,120,,310,
20:00:04:683,309,,473,,477,-76.0,120,,310,
20:00:06:694,309,,473,,477,-71.0,120,,310,
20:00:08:704,309,,473,,477,-68.0,120,,310,
20:00:10:714,309,,473,,477,-68.0,120,,310,
20:00:12:725,309,,473,,477,-62.0,120,,310,
20:00:14:736,309,,473,,477,-70.0,120,,310,
20:00:16:773,309,,473,,477,-66.0,120,,310,
20:00:18:763,309,,473,,477,-53.0,120,,310,
20:00:20:768,309,,473,,477,-60.0,120,,310,
20:00:22:782,309,,473,,477,-65.0,120,,310,
20:00:24:788,309,,473,,477,-70.0,120,,310,
20:00:26:803,309,,473,,477,-74.0,120,,310,
20:00:28:810,309,,473,,477,-73.0,120,,310,
20:00:30:827,309,,473,,477,-74.0,120,,310,
20:00:32:831,309,,473,,477,-74.0,120,,310,
20:00:34:842,309,,473,,477,-73.0,120,,310,
20:00:36:852,309,,473,,477,-77.0,120,,310,
20:00:38:862,309,,473,,477,-77.0,120,,310,
20:00:40:874,309,,473,,477,-78.0,120,,310,
20:00:42:883,309,,473,,477,-70.0,120,,310,
20:00:44:893,309,,473,,477,-71.0,120,,310,
20:00:46:906,309,,473,,477,-69.0,120,,310,
20:00:48:915,309,,473,,477,-76.0,120,,310,
20:00:50:928,309,-87.0,473,,477,-78.0,120,,310,
20:00:52:940,309,-82.0,473,,477,-76.0,120,,310,
20:00:54:947,309,-88.0,473,,477,-78.0,120,,310,
20:00:56:963,309,-88.0,473,,477,-79.0,120,,310,
20:00:58:967,309,,473,,477,-79.0,120,,310,
20:01:00:985,309,-92.0,473,,477,-80.0,120,,310,
20:01:02:989,309,-91.0,473,,477,-85.0,120,,310,
20:01:05:002,309,-90.0,473,,477,-82.0,120,,310,
20:01:07:012,309,-89.0,473,,477,-85.0,120,,310,
20:01:09:020,309,-85.0,473,,477,-84.0,120,,310,
20:01:11:033,309,-83.0,473,,477,-86.0,120,,310,
20:01:13:043,309,-108.0,473,,477,-83.0,120,,310,
20:01:15:053,309,-100.0,473,,477,-84.0,120,,310,
20:01:17:065,309,-110.0,473,,477,-81.0,120,,310,
20:01:19:074,309,-113.0,473,,477,-83.0,120,,310,
20:01:21:085,309,-105.0,473,,477,-84.0,120,,310,
20:01:23:101,309,-100.0,473,,477,-82.0,120,,310,
20:01:25:107,309,-113.0,473,,477,-86.0,120,,310,
20:01:27:122,309,-113.0,473,,477,-86.0,120,,310,
20:01:29:128,309,-107.0,473,,477,-86.0,120,,310,
20:01:31:143,309,-112.0,473,,477,-96.0,120,,310,
20:01:33:149,309,-103.0,473,,477,-90.0,120,,310,
20:01:35:160,309,-112.0,473,,477,-88.0,120,,310,
20:01:37:172,309,-105.0,473,,477,-93.0,120,,310,
20:01:39:181,309,-105.0,473,,477,-87.0,120,,310,
20:01:41:193,309,-108.0,473,,477,-89.0,120,,310,
20:01:43:206,309,-108.0,473,,477,-87.0,120,,310,
20:01:45:216,309,-118.0,473,,477,-90.0,120,,310,-93.0
20:01:47:347,309,-117.0,473,,477,-89.0,120,,310,-89.0
20:01:49:238,309,-130.0,473,,477,,120,,310,
20:01:51:246,309,-130.0,473,,477,,120,,310,
20:01:53:258,309,-72.0,473,,477,,120,,310,-87.0
20:01:55:267,309,-122.0,473,,477,,120,,310,-80.0
20:01:57:281,309,-120.0,473,,477,,120,,310,-90.0
20:01:59:289,309,-120.0,473,,477,,120,,310,-85.0
20:02:01:301,309,-124.0,473,,477,,120,,310,
20:02:03:310,309,-118.0,473,,477,,120,,310,
20:02:05:320,309,-129.0,473,,477,,120,,310,-81.0
20:02:07:335,309,-128.0,473,,477,,120,,310,-86.0
20:02:09:342,309,-123.0,473,,477,,120,,310,-89.0
20:02:11:353,309,-129.0,473,,477,,120,,310,
20:02:13:362,309,-70.0,473,,477,,120,,310,
20:02:15:375,309,-77.0,473,,477,,120,,310,
20:02:17:385,309,-77.0,473,,477,,120,,310,
20:02:19:396,309,-77.0,473,,477,,120,,310,
20:02:21:403,309,-77.0,473,,477,,120,,310,
20:02:23:421,309,-77.0,473,,477,,120,,310,
20:02:25:428,309,-87.0,473,,477,,120,,310,
20:02:27:443,309,-87.0,473,,477,,120,,310,
20:02:29:449,309,-87.0,473,,477,,120,,310,
20:02:31:460,309,-87.0,473,,477,,120,,310,
20:02:33:468,309,-87.0,473,,477,,120,,310,
20:02:35:480,309,-87.0,473,,477,,120,,310,
20:02:37:490,309,-91.0,473,,477,,120,,310,
