Time,Meg
16:39:06:224,55.6042
16:39:06:242,55.6418
16:39:06:262,55.9261
16:39:06:282,55.9958
16:39:06:302,56.1392
16:39:06:322,56.0873
16:39:06:341,56.0111
16:39:06:362,55.9708
16:39:06:383,55.8229
16:39:06:402,55.5192
16:39:06:422,56.046
16:39:06:442,56.0014
16:39:06:464,56.3841
16:39:06:482,56.5194
16:39:06:502,56.3392
16:39:06:522,56.0715
16:39:06:542,55.9734
16:39:06:562,55.9093
16:39:06:584,55.6579
16:39:06:602,55.6617
16:39:06:622,55.776
16:39:06:642,55.8282
16:39:06:662,55.9152
16:39:06:683,56.0106
16:39:06:702,56.1438
16:39:06:722,56.515
16:39:06:742,56.4533
16:39:06:762,56.4286
16:39:06:783,56.4103
16:39:06:802,56.0434
16:39:06:822,56.0803
16:39:06:842,56.3402
16:39:06:862,56.3867
16:39:06:882,56.7606
16:39:06:902,56.674
16:39:06:922,56.6989
16:39:06:942,56.494
16:39:06:962,56.3478
16:39:06:983,56.6801
16:39:07:007,56.5589
16:39:07:023,56.6015
16:39:07:042,56.4241
16:39:07:062,56.3915
16:39:07:084,56.6688
16:39:07:102,56.4448
16:39:07:122,56.6793
16:39:07:142,56.7822
16:39:07:165,56.6022
16:39:07:183,56.7616
16:39:07:202,56.9329
16:39:07:222,56.9946
16:39:07:246,57.0904
16:39:07:262,57.2509
16:39:07:283,57.2014
16:39:07:303,57.0428
16:39:07:327,56.9998
16:39:07:343,57.0002
16:39:07:362,57.0407
16:39:07:384,57.3274
16:39:07:408,57.3886
16:39:07:424,57.1774
16:39:07:443,57.0602
16:39:07:465,57.098
16:39:07:488,57.2209
16:39:07:502,57.4123
16:39:07:522,57.5408
16:39:07:542,57.8063
16:39:07:567,57.9758
16:39:07:584,57.9063
16:39:07:602,57.7966
16:39:07:622,57.8078
16:39:07:642,57.723
16:39:07:665,57.6134
16:39:07:683,57.5726
16:39:07:702,57.5489
16:39:07:722,57.4822
16:39:07:742,57.2725
16:39:07:762,57.2905
16:39:07:783,57.4263
16:39:07:802,57.5034
16:39:07:826,57.6902
16:39:07:842,58.0595
16:39:07:862,57.9824
16:39:07:883,58.0493
16:39:07:908,58.0193
16:39:07:924,57.9863
16:39:07:942,57.9921
16:39:07:962,58.2874
16:39:07:988,58.1739
16:39:08:004,57.9166
16:39:08:022,58.0299
16:39:08:042,57.7577
16:39:08:068,57.807
16:39:08:085,58.5469
16:39:08:102,58.7979
16:39:08:123,58.988
16:39:08:148,59.0303
16:39:08:162,58.8935
16:39:08:184,58.9991
16:39:08:240,59.1413
16:39:08:247,59.448
16:39:08:248,59.4781
16:39:08:262,59.6221
16:39:08:282,59.5296
16:39:08:302,59.3724
16:39:08:322,59.4104
16:39:08:345,59.4018
16:39:08:362,59.6037
16:39:08:383,59.661
16:39:08:402,60.0792
16:39:08:422,59.7623
16:39:08:442,59.9207
16:39:08:464,59.9905
16:39:08:485,59.7757
16:39:08:502,60.0105
16:39:08:523,59.892
