Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
16:28:38:184,473,-79.0,471,,474,,480,,322,
16:28:40:235,473,-81.0,471,,474,,480,,322,
16:28:42:183,473,-74.0,471,,474,,480,,322,
16:28:44:182,473,-75.0,471,,474,,480,,322,
16:28:46:183,473,-79.0,471,,474,,480,,322,
16:28:48:188,473,-77.0,471,,474,,480,,322,-101.0
16:28:50:184,473,-76.0,471,,474,,480,,322,-94.0
16:28:52:183,473,-80.0,471,,474,,480,,322,-105.0
16:28:54:188,473,-64.0,471,,474,,480,,322,
16:28:56:186,473,-70.0,471,,474,,480,,322,-104.0
16:28:58:182,473,-72.0,471,,474,,480,,322,-96.0
16:29:00:184,473,-77.0,471,,474,,480,,322,-102.0
16:29:02:184,473,-78.0,471,,474,,480,,322,-101.0
16:29:04:183,473,-78.0,471,,474,,480,,322,-101.0
16:29:06:182,473,-78.0,471,,474,,480,,322,-102.0
16:29:08:183,473,-77.0,471,,474,,480,,322,-89.0
16:29:10:187,473,-72.0,471,,474,,480,,322,-110.0
16:29:12:183,473,-80.0,471,,474,,480,,322,-128.0
16:29:14:183,473,-77.0,471,,474,,480,,322,-109.0
16:29:16:188,473,-70.0,471,,474,,480,,322,-84.0
16:29:18:186,473,-76.0,471,,474,,480,,322,-139.0
16:29:20:182,473,-86.0,471,,474,,480,,322,-113.0
16:29:22:183,473,-86.0,471,,474,-103.0,480,,322,-105.0
16:29:24:182,473,-78.0,471,,474,-108.0,480,,322,-103.0
16:29:26:184,473,-84.0,471,,474,-99.0,480,,322,-103.0
16:29:28:183,473,-69.0,471,,474,-89.0,480,,322,-83.0
16:29:30:183,473,-81.0,471,,474,-113.0,480,,322,-100.0
16:29:32:183,473,-80.0,471,,474,-100.0,480,,322,-98.0
16:29:34:184,473,-79.0,471,,474,-97.0,480,,322,-99.0
16:29:36:187,473,-77.0,471,-102.0,474,-95.0,480,,322,-104.0
16:29:38:234,473,-80.0,471,-105.0,474,-96.0,480,,322,-106.0
16:29:40:184,473,-80.0,471,,474,-96.0,480,,322,-101.0
16:29:42:183,473,-81.0,471,,474,-97.0,480,,322,-102.0
16:29:44:183,473,-73.0,471,,474,-91.0,480,,322,
16:29:46:184,473,-64.0,471,,474,-125.0,480,,322,
16:29:48:182,473,-76.0,471,-100.0,474,-94.0,480,,322,-110.0
16:29:50:183,473,-82.0,471,-104.0,474,-100.0,480,,322,-106.0
16:29:52:183,473,-71.0,471,-102.0,474,-90.0,480,,322,-103.0
16:29:54:184,473,-72.0,471,-102.0,474,-91.0,480,,322,-102.0
16:29:56:182,473,-71.0,471,,474,-94.0,480,,322,
16:29:58:183,473,-67.0,471,,474,,480,,322,
16:30:00:185,473,-65.0,471,,474,,480,,322,
16:30:02:183,473,-81.0,471,,474,-118.0,480,,322,
16:30:04:183,473,-78.0,471,,474,-96.0,480,,322,
16:30:06:184,473,-92.0,471,,474,-114.0,480,,322,
16:30:08:183,473,-77.0,471,-102.0,474,-118.0,480,,322,
16:30:10:182,473,-73.0,471,-93.0,474,-113.0,480,,322,
16:30:12:183,473,-76.0,471,-100.0,474,-97.0,480,,322,
16:30:14:184,473,-92.0,471,-97.0,474,-107.0,480,,322,
16:30:16:188,473,-84.0,471,-99.0,474,-102.0,480,,322,
16:30:18:183,473,-93.0,471,-96.0,474,,480,,322,
16:30:20:184,473,-92.0,471,-96.0,474,,480,,322,
16:30:22:183,473,-91.0,471,-101.0,474,,480,,322,
16:30:24:188,473,-95.0,471,-98.0,474,,480,,322,
16:30:26:184,473,-98.0,471,-99.0,474,,480,,322,
16:30:28:183,473,-94.0,471,-94.0,474,,480,,322,-104.0
16:30:30:182,473,-97.0,471,-96.0,474,,480,,322,-105.0
16:30:32:184,473,-91.0,471,-97.0,474,,480,,322,-108.0
16:30:34:182,473,-97.0,471,-91.0,474,,480,,322,-98.0
16:30:36:226,473,-93.0,471,-90.0,474,,480,,322,-99.0
16:30:38:189,473,-96.0,471,-91.0,474,,480,-115.0,322,-103.0
16:30:40:183,473,-105.0,471,-86.0,474,,480,,322,-114.0
16:30:42:183,473,-112.0,471,-89.0,474,,480,,322,-110.0
16:30:44:184,473,-98.0,471,-94.0,474,,480,,322,-101.0
16:30:46:188,473,-99.0,471,-83.0,474,,480,,322,-107.0
16:30:48:183,473,-99.0,471,-92.0,474,,480,,322,-109.0
16:30:50:184,473,-106.0,471,-82.0,474,,480,,322,-114.0
16:30:52:183,473,-101.0,471,-82.0,474,,480,,322,-112.0
16:30:54:182,473,-103.0,471,-89.0,474,,480,,322,-116.0
16:30:56:183,473,-97.0,471,-82.0,474,-93.0,480,,322,
16:30:58:182,473,-101.0,471,-84.0,474,-93.0,480,-93.0,322,
16:31:00:188,473,-98.0,471,-85.0,474,-94.0,480,,322,
16:31:02:187,473,-99.0,471,-85.0,474,-93.0,480,,322,
16:31:04:183,473,-98.0,471,-76.0,474,-85.0,480,,322,
16:31:06:183,473,-101.0,471,-82.0,474,-97.0,480,-97.0,322,
16:31:08:188,473,-101.0,471,-75.0,474,,480,,322,
16:31:10:183,473,,471,-73.0,474,,480,,322,
16:31:12:190,473,-96.0,471,-83.0,474,-92.0,480,-93.0,322,
16:31:14:184,473,-109.0,471,-83.0,474,-100.0,480,-92.0,322,
16:31:16:183,473,-105.0,471,-88.0,474,-93.0,480,-95.0,322,
16:31:18:182,473,-100.0,471,-92.0,474,-93.0,480,-98.0,322,
16:31:20:189,473,-102.0,471,-89.0,474,-98.0,480,-96.0,322,
16:31:22:187,473,-91.0,471,-92.0,474,-87.0,480,-98.0,322,
16:31:24:184,473,-95.0,471,-95.0,474,-97.0,480,-99.0,322,
16:31:26:184,473,-86.0,471,-95.0,474,,480,,322,
16:31:28:183,473,-88.0,471,-100.0,474,,480,,322,
16:31:30:183,473,-84.0,471,-103.0,474,,480,,322,
16:31:32:212,473,-89.0,471,-99.0,474,,480,,322,
16:31:34:183,473,-89.0,471,-106.0,474,,480,,322,
16:31:36:183,473,-85.0,471,-102.0,474,-108.0,480,,322,
16:31:38:183,473,-82.0,471,-100.0,474,-108.0,480,,322,
16:31:40:183,473,-80.0,471,-102.0,474,-108.0,480,-116.0,322,
16:31:42:183,473,-80.0,471,-97.0,474,-102.0,480,-94.0,322,
16:31:44:184,473,-76.0,471,-104.0,474,-102.0,480,-105.0,322,
16:31:46:184,473,-84.0,471,-108.0,474,-108.0,480,-101.0,322,
16:31:48:183,473,-77.0,471,-107.0,474,-115.0,480,-106.0,322,
16:31:50:185,473,-84.0,471,-101.0,474,-100.0,480,-101.0,322,
16:31:52:183,473,-84.0,471,-104.0,474,-100.0,480,-107.0,322,
16:31:54:183,473,-82.0,471,-99.0,474,,480,-103.0,322,
16:31:56:184,473,-81.0,471,,474,-93.0,480,-101.0,322,
16:31:58:182,473,-76.0,471,,474,-93.0,480,-97.0,322,
16:32:00:183,473,-82.0,471,,474,-93.0,480,-99.0,322,
16:32:02:184,473,-82.0,471,,474,-92.0,480,-100.0,322,
16:32:04:184,473,-77.0,471,,474,-90.0,480,-100.0,322,
16:32:06:185,473,-77.0,471,,474,-89.0,480,-98.0,322,
16:32:08:184,473,-77.0,471,,474,-92.0,480,-98.0,322,
16:32:10:186,473,-71.0,471,,474,-87.0,480,-96.0,322,
16:32:12:183,473,-68.0,471,,474,-91.0,480,,322,
16:32:14:184,473,-71.0,471,,474,-91.0,480,,322,
16:32:16:183,473,-77.0,471,,474,-102.0,480,,322,
16:32:18:183,473,-74.0,471,,474,-98.0,480,,322,
16:32:20:184,473,-80.0,471,,474,-95.0,480,,322,
16:32:22:182,473,-74.0,471,,474,-96.0,480,,322,
16:32:24:183,473,-81.0,471,,474,-99.0,480,,322,
16:32:26:183,473,-80.0,471,,474,-110.0,480,-107.0,322,
16:32:28:184,473,-72.0,471,,474,-112.0,480,,322,
16:32:30:183,473,-76.0,471,,474,-86.0,480,,322,
16:32:32:194,473,-68.0,471,,474,-104.0,480,,322,
16:32:34:190,473,-79.0,471,,474,-100.0,480,,322,
16:32:36:183,473,-82.0,471,,474,-105.0,480,,322,
16:32:38:183,473,-82.0,471,,474,-121.0,480,-107.0,322,
16:32:40:184,473,-85.0,471,,474,-111.0,480,-106.0,322,
16:32:42:183,473,-76.0,471,,474,-140.0,480,-120.0,322,
16:32:44:182,473,-73.0,471,,474,-110.0,480,,322,
16:32:46:187,473,-79.0,471,,474,-87.0,480,,322,
16:32:48:183,473,-86.0,471,,474,-108.0,480,,322,
16:32:50:184,473,-80.0,471,,474,-104.0,480,-107.0,322,
16:32:52:189,473,-81.0,471,,474,-105.0,480,,322,
16:32:54:187,473,-77.0,471,,474,-118.0,480,,322,
16:32:56:182,473,-77.0,471,,474,,480,,322,
16:32:58:182,473,-79.0,471,,474,,480,,322,
16:33:00:182,473,-73.0,471,,474,,480,,322,
16:33:02:183,473,-81.0,471,,474,,480,,322,
16:33:04:183,473,-80.0,471,,474,,480,,322,
16:33:06:189,473,-79.0,471,,474,,480,,322,
