Time,Meg
19:48:47:425,54.0678
19:48:47:444,55.2532
19:48:47:460,55.9856
19:48:47:479,54.8756
19:48:47:498,56.298
19:48:47:527,55.7008
19:48:47:538,55.8802
19:48:47:557,54.6839
19:48:47:576,53.8193
19:48:47:596,56.0958
19:48:47:614,55.6244
19:48:47:643,55.8006
19:48:47:661,55.3127
19:48:47:672,55.6701
19:48:47:691,55.9012
19:48:47:710,53.976
19:48:47:729,56.108
19:48:47:762,53.7253
19:48:47:769,55.7007
19:48:47:798,55.5876
19:48:47:807,57.0703
19:48:47:830,56.9237
19:48:47:850,55.258
19:48:47:878,55.451
19:48:47:901,55.3451
19:48:47:906,55.1897
19:48:47:933,55.2184
19:48:47:945,55.7781
19:48:47:968,55.2595
19:48:47:996,55.5404
19:48:48:012,55.9258
19:48:48:028,56.9131
19:48:48:046,55.635
19:48:48:066,56.4989
19:48:48:085,56.8633
19:48:48:107,56.4206
19:48:48:128,55.9864
19:48:48:147,56.828
19:48:48:165,56.6682
19:48:48:202,57.0695
19:48:48:208,55.5708
19:48:48:227,55.4059
19:48:48:246,54.7716
19:48:48:271,57.1989
19:48:48:289,56.3395
19:48:48:307,56.204
19:48:48:330,58.3405
19:48:48:344,55.8718
19:48:48:367,56.3862
19:48:48:386,55.8842
19:48:48:407,58.0266
19:48:48:437,55.4804
19:48:48:452,55.0523
19:48:48:471,56.4085
19:48:48:485,56.2439
19:48:48:504,54.7647
19:48:48:525,53.3921
19:48:48:546,55.4669
19:48:48:567,54.4724
19:48:48:589,56.5453
19:48:48:606,56.0034
19:48:48:626,54.8184
19:48:48:646,54.7012
19:48:48:671,55.1355
19:48:48:687,55.6329
19:48:48:706,55.6184
19:48:48:728,53.8835
19:48:48:754,54.9123
19:48:48:768,56.5329
19:48:48:786,57.6399
19:48:48:809,54.2541
19:48:48:825,55.8856
19:48:48:849,56.4499
19:48:48:871,53.7367
19:48:48:888,54.1553
19:48:48:907,54.6109
19:48:48:926,52.8805
19:48:48:949,53.9257
19:48:48:968,54.7479
19:48:48:988,53.5425
19:48:49:007,54.2594
19:48:49:026,53.2291
19:48:49:053,54.0083
19:48:49:067,53.3928
19:48:49:087,53.2041
19:48:49:105,51.6094
19:48:49:125,54.5302
19:48:49:146,54.0354
19:48:49:168,53.2461
19:48:49:189,54.326
19:48:49:206,52.5671
19:48:49:225,53.24
19:48:49:250,53.9677
19:48:49:271,52.7631
19:48:49:287,52.4356
19:48:49:305,52.3718
19:48:49:325,52.3718
19:48:49:350,52.8222
19:48:49:367,51.367
19:48:49:468,51.861
19:48:49:479,51.8979
19:48:49:480,52.4726
19:48:49:480,52.1038
19:48:49:481,52.4258
19:48:49:489,49.8583
19:48:49:505,52.4358
19:48:49:524,50.1224
19:48:49:544,51.0483
19:48:49:566,50.0814
19:48:49:584,50.4931
19:48:49:604,51.1363
19:48:49:625,49.2455
19:48:49:647,49.1652
19:48:49:668,49.6522
19:48:49:688,50.3181
19:48:49:705,48.7288
19:48:49:727,51.182
19:48:49:748,48.5924
19:48:49:766,47.6824
19:48:49:785,48.1847
19:48:49:805,48.9628
19:48:49:827,48.6392
19:48:49:848,48.7416
19:48:49:864,48.0403
19:48:49:886,48.7131
19:48:49:904,47.3087
19:48:49:926,46.7751
19:48:49:946,46.6123
19:48:49:966,45.7363
