Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
17:21:43:940,473,-76,0,0.0,474,,477,,489,-119.0
17:21:46:026,473,-73,0,0.0,474,,477,,489,-119.0
17:21:47:926,473,-69,0,0.0,474,,477,,489,-119.0
17:21:49:923,473,-64,0,0.0,474,,477,,489,-119.0
17:21:51:921,473,-64,0,0.0,474,,477,,489,-119.0
17:21:53:919,473,-59,0,0.0,474,,477,,489,-119.0
17:21:55:921,473,-67,0,0.0,474,,477,,489,-119.0
17:21:57:917,473,-71,0,0.0,474,,477,,489,-119.0
17:21:59:914,473,-69,0,0.0,474,,477,,489,-119.0
17:22:01:913,473,-77,0,0.0,474,,477,,489,-119.0
17:22:03:910,473,-78,0,0.0,474,,477,,489,-119.0
17:22:05:910,473,-80,0,0.0,474,,477,,489,-119.0
17:22:07:911,473,-72,0,0.0,474,,477,,489,-119.0
17:22:09:909,473,-71,0,0.0,474,,477,,489,-119.0
17:22:11:907,473,-66,0,0.0,474,,477,,489,-119.0
17:22:13:906,473,-67,0,0.0,474,,477,,489,-119.0
17:22:15:926,473,-72,0,0.0,474,,477,,489,-119.0
17:22:17:925,473,-72,0,0.0,474,,477,,489,-119.0
17:22:19:924,473,-74,0,0.0,474,,477,,489,-119.0
17:22:21:925,473,-73,0,0.0,474,,477,,489,-119.0
17:22:23:925,473,-77,0,0.0,474,,477,,489,-119.0
17:22:25:920,473,-80,0,0.0,474,,477,,489,-119.0
17:22:27:921,473,-67,0,0.0,474,,477,,489,-119.0
17:22:29:970,473,-74,0,0.0,474,,477,,489,-119.0
17:22:31:921,473,-74,0,0.0,474,-89.0,477,,489,-119.0
17:22:33:921,473,-85,0,0.0,474,-96.0,477,,489,-119.0
17:22:35:918,473,-79,0,0.0,474,-88.0,477,,489,-119.0
17:22:37:916,473,-83,0,0.0,474,-89.0,477,,489,-119.0
17:22:39:912,473,-87,0,0.0,474,-90.0,477,,489,-119.0
17:22:41:922,473,-83,0,0.0,474,-91.0,477,,489,-119.0
17:22:43:909,473,-86,0,0.0,474,-93.0,477,,489,-119.0
17:22:45:909,473,-87,0,0.0,474,-92.0,477,,489,-119.0
