Time,Meg
20:23:02:076,56.9362
20:23:02:133,56.5142
20:23:02:150,56.1758
20:23:02:166,57.0344
20:23:02:186,55.9935
20:23:02:216,56.7786
20:23:02:229,57.4168
20:23:02:250,55.8904
20:23:02:264,57.0375
20:23:02:284,57.0914
20:23:02:307,57.5873
20:23:02:334,55.4735
20:23:02:350,57.4257
20:23:02:363,56.6429
20:23:02:387,57.2388
20:23:02:403,56.2712
20:23:02:421,56.3069
20:23:02:450,55.9076
20:23:02:461,57.0643
20:23:02:482,56.9998
20:23:02:500,56.181
20:23:02:520,57.4959
20:23:02:547,55.3574
20:23:02:561,56.0581
20:23:02:580,54.371
20:23:02:600,56.2142
20:23:02:620,57.6025
20:23:02:638,57.1292
20:23:02:659,56.5135
20:23:02:680,56.8654
20:23:02:698,57.2618
20:23:02:722,56.0416
20:23:02:738,55.9817
20:23:02:761,56.2397
20:23:02:780,56.6234
20:23:02:799,56.1207
20:23:02:817,56.1207
20:23:02:836,58.1546
20:23:02:856,56.0219
20:23:02:880,57.4084
20:23:02:897,56.4953
20:23:02:918,55.8636
20:23:02:937,57.0209
20:23:02:957,55.6557
20:23:02:980,56.1778
20:23:02:998,57.392
20:23:03:017,57.2144
20:23:03:036,55.8462
20:23:03:055,57.1865
20:23:03:076,58.0251
20:23:03:101,56.822
20:23:03:118,56.6284
20:23:03:136,55.6886
20:23:03:156,57.4135
20:23:03:176,57.121
20:23:03:196,55.9268
20:23:03:217,56.1152
20:23:03:236,57.0551
20:23:03:256,55.9375
20:23:03:278,56.594
20:23:03:296,56.2629
20:23:03:317,55.9743
20:23:03:337,56.4296
20:23:03:356,55.6729
20:23:03:382,56.4125
20:23:03:397,57.216
20:23:03:417,56.0307
20:23:03:439,54.5966
20:23:03:457,56.219
20:23:03:482,56.5919
20:23:03:498,56.3888
20:23:03:516,55.3657
20:23:03:536,57.0875
20:23:03:555,55.931
20:23:03:576,56.7053
20:23:03:598,55.685
20:23:03:616,55.1854
