Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
20:50:04:674,473,-70,480,,474,,477,,172,
20:50:06:672,473,-79,480,,474,,477,,172,
20:50:08:703,473,-64,480,,474,,477,,172,
20:50:10:670,473,-63,480,,474,,477,,172,
20:50:12:667,473,-60,480,,474,,477,,172,
20:50:14:675,473,-64,480,,474,,477,,172,
20:50:16:665,473,-63,480,,474,,477,,172,
20:50:18:664,473,-76,480,,474,,477,,172,
20:50:20:665,473,-80,480,,474,,477,,172,
20:50:22:668,473,-80,480,,474,,477,,172,
20:50:24:668,473,-77,480,,474,,477,,172,
20:50:26:662,473,-75,480,,474,,477,,172,
20:50:28:659,473,-75,480,,474,,477,,172,
20:50:30:658,473,-77,480,,474,,477,,172,
20:50:32:659,473,-73,480,,474,,477,,172,
20:50:34:660,473,-74,480,,474,,477,,172,
20:50:36:655,473,-77,480,,474,,477,,172,
20:50:38:654,473,-75,480,,474,,477,,172,
20:50:40:656,473,-76,480,,474,,477,,172,
20:50:42:651,473,-75,480,,474,,477,,172,
20:50:44:650,473,-76,480,,474,,477,,172,
20:50:46:647,473,-75,480,,474,,477,,172,
20:50:48:652,473,-79,480,,474,,477,,172,
20:50:50:650,473,-77,480,,474,-87.0,477,,172,
20:50:52:647,473,-77,480,,474,-90.0,477,,172,
20:50:54:645,473,-87,480,,474,-84.0,477,,172,
20:50:56:646,473,-85,480,,474,-86.0,477,,172,
20:50:58:643,473,-83,480,,474,-83.0,477,,172,
20:51:00:641,473,-84,480,,474,-92.0,477,,172,
20:51:02:639,473,-81,480,,474,-89.0,477,,172,
20:51:04:637,473,-83,480,,474,-81.0,477,,172,
20:51:06:691,473,-88,480,,474,-88.0,477,,172,
20:51:08:642,473,-87,480,,474,-86.0,477,,172,
20:51:10:635,473,-86,480,,474,-94.0,477,,172,
20:51:12:637,473,-84,480,,474,-87.0,477,,172,
20:51:14:633,473,-90,480,,474,-83.0,477,,172,
20:51:16:632,473,-96,480,-125.0,474,-97.0,477,,172,
20:51:18:631,473,-96,480,-125.0,474,-95.0,477,,172,
20:51:20:634,473,-96,480,-125.0,474,-103.0,477,-94.0,172,
20:51:22:631,473,-96,480,-125.0,474,-108.0,477,-101.0,172,
20:51:24:631,473,-110,480,-131.0,474,-105.0,477,-88.0,172,
20:51:26:625,473,-110,480,-131.0,474,-115.0,477,-87.0,172,
20:51:28:628,473,-110,480,-131.0,474,-100.0,477,-79.0,172,
20:51:30:626,473,-110,480,-131.0,474,-104.0,477,-83.0,172,
20:51:32:631,473,-110,480,-131.0,474,-110.0,477,-77.0,172,
20:51:34:629,473,-110,480,-131.0,474,-110.0,477,-78.0,172,
20:51:36:620,473,-110,480,-131.0,474,-110.0,477,-80.0,172,
20:51:38:623,473,-110,480,-131.0,474,-105.0,477,-81.0,172,
20:51:40:624,473,-110,480,-131.0,474,-105.0,477,-77.0,172,
20:51:42:621,473,-110,480,-131.0,474,-105.0,477,-73.0,172,
20:51:44:618,473,-110,480,-131.0,474,-105.0,477,-73.0,172,
20:51:46:615,473,-91,480,,474,-94.0,477,-76.0,172,-102.0
20:51:48:614,473,-97,480,,474,-94.0,477,-80.0,172,-101.0
20:51:50:621,473,-94,480,,474,-94.0,477,-83.0,172,-101.0
20:51:52:613,473,-91,480,,474,-95.0,477,-87.0,172,-102.0
20:51:54:612,473,-92,480,,474,-89.0,477,-88.0,172,-104.0
