Time,Meg
16:27:08:427,42.2209
16:27:08:448,43.5028
16:27:08:466,42.457
16:27:08:485,42.1462
16:27:08:509,44.3434
16:27:08:524,44.4153
16:27:08:544,43.7565
16:27:08:563,44.4011
16:27:08:583,44.5612
16:27:08:602,44.0652
16:27:08:632,43.7822
16:27:08:643,43.0323
16:27:08:662,43.5815
16:27:08:682,44.4793
16:27:08:703,43.6013
16:27:08:744,42.9339
16:27:08:746,42.2928
16:27:08:764,42.3464
16:27:08:784,42.1134
16:27:08:803,43.5908
16:27:08:844,45.0927
16:27:08:845,45.0141
16:27:08:862,43.7088
16:27:08:882,44.3383
16:27:08:903,43.2083
16:27:08:942,44.4406
16:27:08:947,44.6385
16:27:08:963,45.0141
16:27:08:984,44.5399
16:27:09:004,43.8701
16:27:09:032,42.9556
16:27:09:051,43.5492
16:27:09:062,44.1193
16:27:09:086,44.7212
16:27:09:103,44.7992
16:27:09:126,43.3796
16:27:09:155,43.3582
16:27:09:162,43.9535
16:27:09:183,43.313
16:27:09:203,44.6542
16:27:09:223,45.3012
16:27:09:242,44.6644
16:27:09:264,45.2843
16:27:09:282,43.9454
16:27:09:303,43.9266
16:27:09:328,45.2887
16:27:09:347,44.632
16:27:09:366,45.9645
16:27:09:383,43.9906
16:27:09:403,44.6619
16:27:09:423,43.9862
16:27:09:443,44.7881
16:27:09:463,44.7996
16:27:09:482,44.8063
16:27:09:503,44.8063
16:27:09:525,44.8715
16:27:09:545,44.9471
16:27:09:565,43.5887
16:27:09:585,44.2957
16:27:09:603,45.5707
16:27:09:623,45.7164
16:27:09:643,46.1533
16:27:09:667,46.1807
16:27:09:694,44.7682
16:27:09:702,46.9768
16:27:09:724,46.1184
16:27:09:741,44.3509
16:27:09:762,46.4346
16:27:09:780,47.335
16:27:09:802,45.7563
16:27:09:822,46.6414
16:27:09:845,48.6478
16:27:09:866,46.528
16:27:09:883,49.0099
16:27:09:905,47.5153
16:27:09:926,48.8578
16:27:09:945,46.0564
16:27:09:965,47.5299
16:27:09:983,48.1857
16:27:10:003,48.0909
16:27:10:026,49.4231
16:27:10:043,48.8394
16:27:10:063,49.5347
16:27:10:083,48.7682
16:27:10:102,50.1327
16:27:10:127,49.7138
16:27:10:143,49.6357
16:27:10:162,50.333
16:27:10:181,50.9101
16:27:10:201,49.7428
16:27:10:221,52.8935
16:27:10:242,50.9445
16:27:10:261,50.8536
16:27:10:281,51.5456
16:27:10:301,51.4579
16:27:10:322,52.0574
16:27:10:342,50.8536
16:27:10:363,52.0543
16:27:10:502,51.4492
16:27:10:502,51.5456
16:27:10:514,50.0997
16:27:10:515,51.3828
16:27:10:516,52.7589
16:27:10:516,52.7591
16:27:10:517,54.0796
16:27:10:529,53.4654
16:27:10:542,54.0533
16:27:10:561,54.0586
16:27:10:582,55.4373
16:27:10:602,53.4268
16:27:10:627,54.3367
16:27:10:645,55.0717
16:27:10:666,53.7283
16:27:10:683,53.0149
16:27:10:703,54.3834
16:27:10:724,53.5518
16:27:10:743,53.8014
16:27:10:763,53.8014
16:27:10:783,55.1753
16:27:10:803,54.9356
16:27:10:827,55.7759
16:27:10:844,55.6856
16:27:10:870,56.3874
16:27:10:889,55.8088
16:27:10:912,54.0411
16:27:10:924,53.9555
16:27:10:945,55.5984
16:27:10:962,54.6249
16:27:10:983,56.6481
16:27:11:003,56.4543
16:27:11:025,57.16
16:27:11:045,57.3187
16:27:11:063,57.843
16:27:11:083,58.5507
16:27:11:102,56.6447
16:27:11:123,59.9776
16:27:11:142,58.6401
16:27:11:162,58.4756
16:27:11:182,59.7483
16:27:11:203,57.3118
16:27:11:224,59.675
16:27:11:242,58.4788
16:27:11:263,58.2733
16:27:11:282,61.1081
16:27:11:305,59.7483
16:27:11:326,59.6192
16:27:11:348,60.3187
16:27:11:365,61.0189
16:27:11:381,59.6846
16:27:11:401,60.3479
16:27:11:422,60.3188
16:27:11:445,60.3039
16:27:11:462,60.2003
16:27:11:482,60.9273
16:27:11:502,61.0676
16:27:11:523,62.4431
16:27:11:543,61.771
16:27:11:563,61.1299
16:27:11:582,60.01
16:27:11:603,62.7245
16:27:11:625,61.5481
16:27:11:642,64.1958
16:27:11:663,63.4983
16:27:11:681,63.6251
16:27:11:702,62.7954
16:27:11:727,62.4508
16:27:11:744,62.7211
16:27:11:764,63.3109
16:27:11:783,62.8514
16:27:11:808,63.8121
16:27:11:833,63.3991
16:27:11:841,62.2213
16:27:11:862,63.2431
16:27:11:880,62.8535
16:27:11:903,63.655
16:27:11:923,64.3262
16:27:11:943,66.0606
16:27:11:962,64.3056
16:27:11:981,64.9655
16:27:12:001,64.9805
16:27:12:023,65.649
16:27:12:042,66.2599
16:27:12:062,65.4369
16:27:12:081,65.0421
16:27:12:101,65.5617
16:27:12:124,66.4698
16:27:12:145,67.1386
16:27:12:163,67.0462
16:27:12:182,65.5097
16:27:12:202,66.7267
16:27:12:223,66.8405
16:27:12:243,67.6578
16:27:12:262,67.3975
16:27:12:282,67.3975
16:27:12:301,67.6447
16:27:12:324,65.9867
16:27:12:343,68.5355
16:27:12:361,67.8814
16:27:12:381,66.5675
16:27:12:401,65.7074
16:27:12:424,67.6801
16:27:12:443,67.6516
16:27:12:462,67.0167
16:27:12:482,66.4703
16:27:12:502,67.0901
16:27:12:623,67.0572
16:27:12:623,67.0572
16:27:12:624,68.3682
16:27:12:624,66.2114
16:27:12:625,68.3053
16:27:12:625,67.597
16:27:12:644,69.6726
16:27:12:664,68.3713
16:27:12:684,68.5869
16:27:12:705,67.9436
16:27:12:725,67.7143
16:27:12:743,66.5224
16:27:12:761,67.8795
16:27:12:781,68.1728
16:27:12:802,68.1054
16:27:12:823,68.0075
16:27:12:843,68.1054
16:27:12:862,67.696
16:27:12:882,67.4966
16:27:12:903,66.9291
16:27:12:923,66.2548
16:27:12:943,67.0761
16:27:12:963,67.2123
16:27:12:982,66.8054
16:27:13:000,67.0714
16:27:13:025,65.8576
16:27:13:042,66.2291
16:27:13:063,66.0261
16:27:13:082,66.5821
16:27:13:101,63.9324
16:27:13:122,66.4746
16:27:13:145,65.2218
16:27:13:161,64.5737
16:27:13:181,66.0261
16:27:13:200,66.6953
16:27:13:223,66.4534
16:27:13:241,66.561
16:27:13:263,66.4323
16:27:13:281,66.4393
16:27:13:302,64.9953
16:27:13:323,66.2762
16:27:13:344,67.1037
16:27:13:362,65.7613
16:27:13:380,64.3882
16:27:13:402,67.279
16:27:13:423,64.3382
16:27:13:442,64.6675
16:27:13:462,65.0909
16:27:13:482,66.0047
16:27:13:501,64.4198
16:27:13:525,64.6533
16:27:13:543,63.6523
16:27:13:563,63.2124
16:27:13:583,63.5677
16:27:13:603,64.3165
16:27:13:624,64.1489
16:27:13:643,62.6132
16:27:13:665,63.2148
16:27:13:683,63.9355
16:27:13:707,64.5198
16:27:13:722,64.3833
16:27:13:745,65.1171
16:27:13:762,64.3166
16:27:13:780,65.373
16:27:13:802,65.9323
16:27:13:824,63.872
16:27:13:839,63.9729
16:27:13:865,65.1606
16:27:13:879,63.866
16:27:13:899,65.1707
16:27:13:919,63.0187
16:27:13:942,66.3829
16:27:13:964,65.0694
16:27:13:980,65.0694
16:27:14:000,64.4418
16:27:14:025,63.1677
16:27:14:042,64.5079
16:27:14:064,64.4451
16:27:14:081,63.8398
16:27:14:103,65.3309
16:27:14:124,64.0847
16:27:14:142,64.2818
16:27:14:162,64.1908
16:27:14:181,64.9517
16:27:14:200,63.9959
16:27:14:221,63.8481
16:27:14:244,64.5221
16:27:14:261,64.6347
16:27:14:280,64.5377
16:27:14:300,64.6474
16:27:14:327,64.5094
16:27:14:344,64.251
16:27:14:363,62.9531
16:27:14:381,62.7047
16:27:14:399,64.5094
16:27:14:423,64.6474
16:27:14:441,62.272
16:27:14:460,64.106
16:27:14:481,63.4737
16:27:14:503,63.0945
16:27:14:524,65.9172
16:27:14:544,63.4955
16:27:14:562,63.3229
16:27:14:581,64.097
16:27:14:600,64.2893
16:27:14:623,64.0565
16:27:14:746,63.1602
16:27:14:748,63.4119
16:27:14:749,64.6707
16:27:14:750,63.9948
16:27:14:752,63.9509
16:27:14:753,64.167
16:27:14:769,64.4174
16:27:14:780,63.3103
16:27:14:800,65.4028
16:27:14:821,64.9954
16:27:14:843,67.5475
16:27:14:862,64.8563
16:27:14:880,63.9507
16:27:14:900,64.1799
16:27:14:925,64.0581
16:27:14:942,63.9408
16:27:14:961,63.3056
16:27:14:981,63.0754
16:27:15:008,63.7978
16:27:15:023,63.7927
16:27:15:039,64.5864
16:27:15:058,63.514
16:27:15:079,64.373
16:27:15:099,64.5761
16:27:15:120,64.7902
16:27:15:141,63.2369
16:27:15:159,63.995
16:27:15:179,65.1336
16:27:15:226,62.8597
16:27:15:227,65.4169
16:27:15:250,62.009
16:27:15:280,63.6332
16:27:15:280,64.1337
16:27:15:304,64.5078
16:27:15:323,64.4302
16:27:15:339,65.1942
16:27:15:360,64.9369
16:27:15:379,64.4442
16:27:15:399,65.2998
16:27:15:420,66.6281
16:27:15:439,64.4318
16:27:15:459,65.7548
16:27:15:479,64.7753
16:27:15:498,64.8565
16:27:15:521,64.9668
16:27:15:547,64.0101
16:27:15:559,65.8463
16:27:15:579,65.9583
16:27:15:598,64.4851
16:27:15:631,64.4808
16:27:15:645,64.229
16:27:15:662,63.0093
16:27:15:679,63.6185
16:27:15:699,63.3208
16:27:15:735,62.812
16:27:15:741,63.4486
16:27:15:760,63.7139
16:27:15:780,61.4647
16:27:15:800,63.0557
16:27:15:830,62.5956
16:27:15:846,62.0755
16:27:15:859,63.8775
16:27:15:881,63.2052
16:27:15:913,64.3759
16:27:15:933,63.0012
16:27:15:941,62.4036
16:27:15:963,62.7992
16:27:15:978,61.89
16:27:15:998,62.6429
16:27:16:019,63.4231
16:27:16:039,61.4932
16:27:16:069,60.5013
16:27:16:079,62.8972
16:27:16:100,60.6105
16:27:16:133,60.8634
16:27:16:139,59.6939
16:27:16:170,60.9059
16:27:16:180,60.2441
16:27:16:202,60.4178
16:27:16:223,60.3619
16:27:16:240,60.2013
16:27:16:259,59.4052
16:27:16:280,58.0349
16:27:16:299,57.1353
16:27:16:326,59.1283
16:27:16:346,57.8357
16:27:16:366,58.5743
16:27:16:378,57.8966
16:27:16:400,59.7577
16:27:16:419,59.1245
16:27:16:440,58.0595
16:27:16:462,56.9698
16:27:16:480,58.8948
16:27:16:499,57.774
16:27:16:521,57.8468
16:27:16:539,59.2486
16:27:16:558,58.5026
16:27:16:579,56.7592
16:27:16:599,58.5026
16:27:16:622,57.891
16:27:16:640,56.7038
16:27:16:661,57.8612
16:27:16:680,57.0126
16:27:16:698,57.2307
16:27:16:723,56.3144
16:27:16:742,57.8511
16:27:16:869,58.3779
16:27:16:872,56.2307
16:27:16:873,57.4329
16:27:16:875,56.2486
16:27:16:876,56.5808
16:27:16:877,56.1007
16:27:16:879,56.9553
16:27:16:899,55.7661
16:27:16:920,57.3979
16:27:16:940,55.1533
16:27:16:960,56.5565
16:27:16:979,56.8706
16:27:17:000,57.9734
16:27:17:023,56.5808
16:27:17:038,55.5184
16:27:17:058,55.9522
16:27:17:079,55.9522
16:27:17:099,55.9522
16:27:17:124,55.9522
16:27:17:139,55.9522
16:27:17:162,55.9522
16:27:17:181,55.9522
16:27:17:202,55.1054
16:27:17:222,56.4738
16:27:17:261,56.1899
16:27:17:265,55.2315
16:27:17:278,55.2315
16:27:17:298,55.2315
16:27:17:323,54.944
16:27:17:342,55.1011
16:27:17:360,56.1382
16:27:17:378,55.8769
16:27:17:398,54.2188
16:27:17:420,54.979
16:27:17:438,52.8697
16:27:17:458,53.7043
16:27:17:479,54.2121
16:27:17:499,53.7747
16:27:17:523,54.8176
16:27:17:545,52.284
16:27:17:562,53.7325
16:27:17:578,54.8557
16:27:17:598,54.944
16:27:17:623,52.7484
16:27:17:640,53.2601
16:27:17:659,52.9296
16:27:17:679,54.0017
16:27:17:699,52.6568
16:27:17:724,52.1833
16:27:17:741,53.746
16:27:17:762,50.3514
16:27:17:777,51.058
16:27:17:799,52.5027
16:27:17:819,53.5811
16:27:17:839,53.1916
16:27:17:858,52.1645
16:27:17:878,51.1245
16:27:17:898,50.6101
16:27:17:919,52.1968
16:27:17:941,51.3572
16:27:17:959,51.5181
16:27:17:979,54.5943
16:27:18:000,53.8415
16:27:18:019,53.677
16:27:18:040,51.234
16:27:18:058,50.0565
16:27:18:092,49.5985
16:27:18:106,50.123
16:27:18:120,52.1645
16:27:18:140,50.7278
16:27:18:159,49.0528
16:27:18:180,50.4876
16:27:18:202,50.0249
16:27:18:224,50.8604
16:27:18:244,50.527
16:27:18:261,50.1947
16:27:18:280,48.5454
16:27:18:298,49.1232
16:27:18:321,48.2229
16:27:18:340,49.5372
16:27:18:358,48.4204
16:27:18:379,50.8441
16:27:18:398,48.8904
16:27:18:419,48.4962
16:27:18:439,48.6054
16:27:18:459,47.8471
16:27:18:479,49.4274
16:27:18:498,48.9673
16:27:18:523,48.6722
16:27:18:537,49.1232
16:27:18:558,50.504
16:27:18:578,48.7163
16:27:18:599,49.7971
16:27:18:623,47.4901
16:27:18:639,47.1758
16:27:18:660,48.1477
16:27:18:679,49.516
16:27:18:698,48.9125
16:27:18:721,47.6911
16:27:18:738,48.0141
16:27:18:760,48.0141
16:27:18:778,48.471
16:27:18:798,48.2403
16:27:18:818,47.2809
16:27:18:842,48.5778
16:27:18:858,46.3253
16:27:18:955,48.1919
16:27:18:956,48.2438
16:27:18:956,47.5981
16:27:18:957,48.4571
16:27:18:957,47.3149
16:27:18:979,46.4217
16:27:18:999,46.9425
16:27:19:021,46.4217
16:27:19:040,47.3476
16:27:19:058,45.4498
16:27:19:078,45.1447
16:27:19:098,45.1108
16:27:19:125,46.3343
16:27:19:141,46.0439
16:27:19:159,46.4226
16:27:19:179,47.0215
16:27:19:198,45.545
16:27:19:219,44.3716
16:27:19:239,43.7777
16:27:19:262,45.2064
16:27:19:278,43.7241
16:27:19:298,43.944
16:27:19:319,43.7883
16:27:19:340,43.7513
16:27:19:358,42.958
16:27:19:377,41.2983
16:27:19:398,41.9305
16:27:19:419,42.5453
16:27:19:438,41.6766
16:27:19:459,41.9705
16:27:19:478,39.6841
16:27:19:498,40.9545
16:27:19:519,40.4937
16:27:19:538,39.975
16:27:19:560,40.7429
16:27:19:578,40.2084
16:27:19:597,41.4578
16:27:19:619,40.7187
16:27:19:641,37.73
16:27:19:658,38.8589
16:27:19:678,38.3133
16:27:19:698,38.9413
16:27:19:721,38.7303
16:27:19:739,39.2662
16:27:19:760,36.8398
16:27:19:777,36.5049
16:27:19:798,38.347
16:27:19:822,35.668
16:27:19:839,36.2204
16:27:19:858,37.3542
16:27:19:878,35.206
16:27:19:898,34.5057
16:27:19:922,35.9867
16:27:19:936,33.2349
16:27:19:958,33.2161
16:27:19:978,35.7492
16:27:19:998,36.4704
16:27:20:023,32.1486
16:27:20:043,33.8562
16:27:20:060,33.2349
16:27:20:077,33.5478
16:27:20:098,32.1486
